,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,DETROIT_ACTION,MILWAUKEE_SCORE,DETROIT_SCORE
0,1,12:00.0,,S. Mykhailiuk misses 3-pt jump shot from 25 ft,0,0
1,1,11:36.0,Defensive rebound by K. Middleton,,0,0
2,1,11:24.0,B. Lopez misses 3-pt jump shot from 26 ft,,0,0
3,1,11:22.0,,Defensive rebound by S. Doumbouya,0,0
4,1,11:12.0,,T. Maker makes 3-pt jump shot from 23 ft (assist by D. Rose),0,3
5,1,10:52.0,B. Lopez misses 2-pt jump shot from 9 ft,,0,3
6,1,10:48.0,,Defensive rebound by S. Doumbouya,0,3
7,1,10:44.0,,D. Rose misses 3-pt jump shot from 25 ft,0,3
8,1,10:40.0,Defensive rebound by G. Antetokounmpo,,0,3
9,1,10:32.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,2,3
10,1,10:08.0,,D. Rose misses 2-pt jump shot from 3 ft,2,3
11,1,10:07.0,Defensive rebound by K. Middleton,,2,3
12,1,9:58.0,K. Middleton makes 2-pt layup from 5 ft (assist by W. Matthews),,4,3
13,1,9:42.0,,Turnover by S. Mykhailiuk (bad pass),4,3
14,1,9:25.0,B. Lopez misses 3-pt jump shot from 26 ft,,4,3
15,1,9:21.0,,Defensive rebound by S. Mykhailiuk,4,3
16,1,9:05.0,,T. Maker makes 2-pt jump shot from 13 ft (assist by T. Snell),4,5
17,1,8:44.0,G. Antetokounmpo makes 2-pt jump shot from 14 ft,,6,5
18,1,8:30.0,,T. Maker misses 3-pt jump shot from 25 ft,6,5
19,1,8:27.0,Defensive rebound by K. Middleton,,6,5
20,1,8:27.0,Clear path foul by T. Maker,,6,5
21,1,8:27.0,Instant Replay (Request: Ruling Stands),,6,5
22,1,8:27.0,B. Lopez makes clear path free throw 1 of 2,,7,5
23,1,8:27.0,B. Lopez makes clear path free throw 2 of 2,,8,5
24,1,8:18.0,G. Antetokounmpo makes 2-pt jump shot from 17 ft,,10,5
25,1,7:58.0,,T. Snell misses 2-pt jump shot from 7 ft,10,5
26,1,7:56.0,Defensive rebound by G. Antetokounmpo,,10,5
27,1,7:52.0,Shooting foul by T. Maker (drawn by G. Antetokounmpo),,10,5
28,1,7:52.0,G. Antetokounmpo makes free throw 1 of 2,,11,5
29,1,7:52.0,,C. Wood enters the game for T. Maker,11,5
30,1,7:52.0,G. Antetokounmpo makes free throw 2 of 2,,12,5
31,1,7:43.0,,D. Rose makes 2-pt layup from 2 ft,12,7
32,1,7:33.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),,14,7
33,1,7:23.0,,S. Mykhailiuk misses 3-pt jump shot from 24 ft,14,7
34,1,7:21.0,Defensive rebound by G. Antetokounmpo,,14,7
35,1,7:17.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,14,7
36,1,7:11.0,,Defensive rebound by C. Wood,14,7
37,1,7:05.0,,S. Doumbouya misses 3-pt jump shot from 23 ft,14,7
38,1,7:01.0,Defensive rebound by G. Antetokounmpo,,14,7
39,1,6:56.0,G. Antetokounmpo misses 2-pt layup from 4 ft (block by C. Wood),,14,7
40,1,6:56.0,Offensive rebound by Team,,14,7
41,1,6:56.0,,Detroit full timeout,14,7
42,1,6:56.0,R. Lopez enters the game for B. Lopez,,14,7
43,1,6:47.0,R. Lopez makes 2-pt hook shot from 9 ft (assist by E. Bledsoe),,16,7
44,1,6:29.0,,C. Wood makes 2-pt jump shot from 17 ft (assist by S. Mykhailiuk),16,9
45,1,6:16.0,K. Middleton misses 2-pt jump shot from 15 ft,,16,9
46,1,6:13.0,,Defensive rebound by S. Doumbouya,16,9
47,1,6:04.0,,C. Wood misses 3-pt jump shot from 26 ft,16,9
48,1,6:00.0,Defensive rebound by G. Antetokounmpo,,16,9
49,1,5:46.0,Shooting foul by C. Wood (drawn by G. Antetokounmpo),,16,9
50,1,5:46.0,G. Antetokounmpo misses free throw 1 of 2,,16,9
51,1,5:46.0,Offensive rebound by Team,,16,9
52,1,5:46.0,D. DiVincenzo enters the game for E. Bledsoe,,16,9
53,1,5:46.0,G. Hill enters the game for W. Matthews,,16,9
54,1,5:46.0,,B. Brown enters the game for D. Rose,16,9
55,1,5:46.0,G. Antetokounmpo misses free throw 2 of 2,,16,9
56,1,5:41.0,Offensive rebound by K. Middleton,,16,9
57,1,5:40.0,K. Middleton makes 2-pt layup from 1 ft,,18,9
58,1,5:22.0,,S. Doumbouya misses 3-pt jump shot from 25 ft,18,9
59,1,5:17.0,Defensive rebound by G. Hill,,18,9
60,1,5:10.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by R. Lopez),,21,9
61,1,4:54.0,,S. Mykhailiuk misses 2-pt jump shot from 20 ft,21,9
62,1,4:52.0,Defensive rebound by G. Antetokounmpo,,21,9
63,1,4:48.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,21,9
