,QUARTER,TIME_REMAINING,TORONTO_ACTION,PHOENIX_ACTION,TORONTO_SCORE,PHOENIX_SCORE
0,1,11:38.0,O. Anunoby makes 2-pt layup from 3 ft,,2,0
1,1,11:22.0,,D. Booker makes 2-pt jump shot from 18 ft (assist by M. Bridges),2,2
2,1,11:06.0,P. McCaw makes 2-pt layup from 3 ft,,4,2
3,1,10:59.0,,D. Ayton makes 2-pt hook shot from 2 ft (assist by D. Booker),4,4
4,1,10:50.0,K. Lowry misses 2-pt jump shot from 20 ft,,4,4
5,1,10:50.0,,Defensive rebound by M. Bridges,4,4
6,1,10:42.0,,M. Bridges makes 3-pt jump shot from 23 ft (assist by R. Rubio),4,7
7,1,10:29.0,N. Powell misses 3-pt jump shot from 23 ft,,4,7
8,1,10:26.0,,Defensive rebound by D. Ayton,4,7
9,1,10:21.0,,Personal foul by P. McCaw (drawn by R. Rubio),4,7
10,1,10:13.0,,D. Booker misses 2-pt layup from 1 ft,4,7
11,1,10:11.0,Defensive rebound by O. Anunoby,,4,7
12,1,10:06.0,K. Lowry misses 2-pt layup from 1 ft (block by D. Ayton),,4,7
13,1,10:06.0,Offensive rebound by Team,,4,7
14,1,9:59.0,Turnover by P. Siakam (traveling),,4,7
15,1,9:49.0,,D. Šarić makes 2-pt jump shot from 20 ft (assist by D. Booker),4,9
16,1,9:39.0,Turnover by N. Powell (lost ball; steal by R. Rubio),,4,9
17,1,9:35.0,,D. Šarić makes 2-pt layup at rim (assist by R. Rubio),4,11
18,1,9:19.0,P. Siakam makes 2-pt dunk from 1 ft,,6,11
19,1,9:00.0,,M. Bridges misses 3-pt jump shot from 26 ft,6,11
20,1,8:57.0,Defensive rebound by O. Anunoby,,6,11
21,1,8:48.0,P. Siakam makes 3-pt jump shot from 26 ft (assist by O. Anunoby),,9,11
22,1,8:33.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by M. Bridges),9,14
23,1,8:12.0,Turnover by P. Siakam (bad pass),,9,14
24,1,7:58.0,,D. Šarić misses 2-pt layup at rim,9,14
25,1,7:57.0,,Offensive rebound by Team,9,14
26,1,7:54.0,,D. Booker misses 3-pt jump shot from 26 ft,9,14
27,1,7:51.0,,Offensive rebound by R. Rubio,9,14
28,1,7:46.0,,Shooting foul by N. Powell (drawn by D. Booker),9,14
29,1,7:46.0,,D. Booker makes free throw 1 of 2,9,15
30,1,7:46.0,,D. Booker makes free throw 2 of 2,9,16
31,1,7:39.0,P. Siakam misses 3-pt jump shot from 25 ft,,9,16
32,1,7:37.0,,Defensive rebound by Team,9,16
33,1,7:21.0,,D. Šarić makes 2-pt layup from 1 ft (assist by R. Rubio),9,18
34,1,7:13.0,P. McCaw misses 3-pt jump shot from 23 ft,,9,18
35,1,7:11.0,,Defensive rebound by D. Ayton,9,18
36,1,7:02.0,,D. Booker misses 3-pt jump shot from 25 ft,9,18
37,1,6:58.0,Defensive rebound by P. Siakam,,9,18
38,1,6:55.0,Shooting foul by D. Šarić (drawn by P. Siakam),,9,18
39,1,6:55.0,,Phoenix full timeout,9,18
40,1,6:55.0,P. Siakam makes free throw 1 of 2,,10,18
41,1,6:55.0,P. Siakam misses free throw 2 of 2,,10,18
42,1,6:53.0,,Defensive rebound by D. Ayton,10,18
43,1,6:37.0,,M. Bridges misses 3-pt jump shot from 24 ft,10,18
44,1,6:33.0,Defensive rebound by O. Anunoby,,10,18
45,1,6:29.0,K. Lowry makes 3-pt jump shot from 26 ft,,13,18
46,1,6:09.0,,D. Ayton makes 2-pt hook shot from 4 ft (assist by D. Šarić),13,20
47,1,6:01.0,P. Siakam makes 3-pt jump shot from 25 ft,,16,20
48,1,5:41.0,,M. Bridges makes 2-pt dunk at rim (assist by D. Šarić),16,22
49,1,5:32.0,K. Lowry makes 2-pt layup from 1 ft,,18,22
50,1,5:32.0,,J. Carter enters the game for R. Rubio,18,22
51,1,5:32.0,,C. Johnson enters the game for D. Šarić,18,22
52,1,5:14.0,,Turnover by D. Ayton (lost ball; steal by P. Siakam),18,22
53,1,5:10.0,K. Lowry misses 3-pt jump shot from 25 ft,,18,22
54,1,5:08.0,,Defensive rebound by D. Booker,18,22
55,1,5:00.0,,D. Booker makes 2-pt layup from 1 ft,18,24
56,1,4:45.0,K. Lowry makes 2-pt layup from 1 ft,,20,24
57,1,4:45.0,Shooting foul by J. Carter (drawn by K. Lowry),,20,24
58,1,4:45.0,T. Davis enters the game for P. McCaw,,20,24
59,1,4:45.0,R. Hollis-Jefferson enters the game for N. Powell,,20,24
60,1,4:45.0,K. Lowry makes free throw 1 of 1,,21,24
61,1,4:32.0,,Personal foul by R. Hollis-Jefferson (drawn by M. Bridges),21,24
62,1,4:23.0,,Offensive foul by M. Bridges (drawn by R. Hollis-Jefferson),21,24
63,1,4:23.0,,Turnover by M. Bridges (offensive foul),21,24
64,1,4:02.0,O. Anunoby misses 2-pt hook shot from 3 ft,,21,24
65,1,4:00.0,,Defensive rebound by C. Johnson,21,24
66,1,3:54.0,,M. Bridges makes 3-pt jump shot from 24 ft (assist by D. Booker),21,27
67,1,3:45.0,Shooting foul by M. Bridges (drawn by K. Lowry),,21,27
68,1,3:45.0,K. Lowry makes free throw 1 of 2,,22,27
69,1,3:45.0,,E. Okobo enters the game for D. Ayton,22,27
70,1,3:45.0,,D. Šarić enters the game for M. Bridges,22,27
71,1,3:45.0,K. Lowry makes free throw 2 of 2,,23,27
72,1,3:29.0,,D. Šarić makes 2-pt layup from 1 ft (assist by D. Booker),23,29
73,1,3:14.0,P. Siakam misses 3-pt jump shot from 23 ft,,23,29
74,1,3:12.0,,Defensive rebound by Team,23,29
75,1,3:04.0,,D. Booker makes 3-pt jump shot from 26 ft,23,32
76,1,2:44.0,K. Lowry makes 2-pt layup from 1 ft,,25,32
77,1,2:39.0,,Turnover by C. Johnson (traveling),25,32
78,1,2:39.0,Toronto full timeout,,25,32
79,1,2:39.0,N. Powell enters the game for P. Siakam,,25,32
80,1,2:28.0,N. Powell makes 2-pt layup from 1 ft (assist by K. Lowry),,27,32
81,1,2:05.0,,C. Johnson misses 3-pt jump shot from 23 ft,27,32
82,1,2:04.0,,Offensive rebound by J. Carter,27,32
83,1,2:03.0,,Offensive foul by D. Booker (drawn by R. Hollis-Jefferson),27,32
84,1,2:03.0,,Turnover by D. Booker (offensive foul),27,32
85,1,1:52.0,Turnover by K. Lowry (bad pass; steal by E. Okobo),,27,32
86,1,1:46.0,,C. Johnson makes 3-pt jump shot from 25 ft (assist by D. Booker),27,35
87,1,1:35.0,O. Anunoby makes 2-pt dunk from 1 ft,,29,35
88,1,1:23.0,,Shooting foul by T. Davis (drawn by D. Šarić),29,35
89,1,1:23.0,Toronto full timeout,,29,35
90,1,1:23.0,Instant Replay (Request: Stands),,29,35
91,1,1:23.0,P. McCaw enters the game for O. Anunoby,,29,35
92,1,1:23.0,P. Siakam enters the game for K. Lowry,,29,35
93,1,1:23.0,,R. Rubio enters the game for D. Booker,29,35
94,1,1:23.0,,D. Šarić makes free throw 1 of 2,29,36
95,1,1:23.0,,D. Šarić makes free throw 2 of 2,29,37
96,1,1:18.0,Shooting foul by D. Šarić (drawn by T. Davis),,29,37
97,1,1:18.0,T. Davis misses free throw 1 of 2,,29,37
98,1,1:18.0,Offensive rebound by Team,,29,37
99,1,1:18.0,,D. Ayton enters the game for D. Šarić,29,37
100,1,1:18.0,T. Davis makes free throw 2 of 2,,30,37
101,1,1:04.0,,J. Carter makes 2-pt layup from 1 ft (assist by R. Rubio),30,39
102,1,1:04.0,,Shooting foul by P. Siakam (drawn by J. Carter),30,39
103,1,1:04.0,,J. Carter misses free throw 1 of 1,30,39
104,1,1:02.0,Defensive rebound by P. McCaw,,30,39
105,1,0:52.0,Turnover by P. Siakam (bad pass; steal by C. Johnson),,30,39
106,1,0:41.0,,Turnover by D. Ayton (traveling),30,39
107,1,0:30.0,N. Powell misses 3-pt jump shot from 25 ft,,30,39
108,1,0:27.0,,Defensive rebound by D. Ayton,30,39
109,1,0:13.0,,R. Rubio misses 2-pt jump shot from 8 ft,30,39
110,1,0:10.0,Defensive rebound by T. Davis,,30,39
111,1,0:04.0,Turnover by P. Siakam (lost ball; steal by D. Ayton),,30,39
112,1,0:01.0,,Turnover by D. Ayton (bad pass),30,39
113,1,0:01.0,N. Powell misses 3-pt jump shot from 50 ft,,30,39
114,1,0:01.0,Offensive rebound by Team,,30,39
115,2,11:43.0,,E. Okobo makes 3-pt jump shot from 27 ft (assist by D. Ayton),30,42
116,2,11:29.0,Turnover by R. Hollis-Jefferson (illegal assist),,30,42
117,2,11:15.0,,Turnover by R. Rubio (traveling),30,42
118,2,10:59.0,N. Powell makes 2-pt layup at rim,,32,42
119,2,10:48.0,,C. Johnson makes 3-pt jump shot from 23 ft (assist by R. Rubio),32,45
120,2,10:38.0,Turnover by T. Davis (lost ball; steal by E. Okobo),,32,45
121,2,10:34.0,,J. Carter makes 2-pt layup from 1 ft (assist by E. Okobo),32,47
122,2,10:18.0,T. Davis misses 3-pt jump shot from 25 ft,,32,47
123,2,10:16.0,,Defensive rebound by Team,32,47
124,2,10:16.0,,M. Bridges enters the game for J. Carter,32,47
125,2,10:06.0,,E. Okobo misses 3-pt jump shot from 23 ft,32,47
126,2,10:03.0,Defensive rebound by R. Hollis-Jefferson,,32,47
127,2,10:03.0,C. Boucher enters the game for T. Davis,,32,47
128,2,9:47.0,Shooting foul by D. Ayton (drawn by P. Siakam),,32,47
129,2,9:47.0,P. Siakam misses free throw 1 of 2,,32,47
130,2,9:47.0,Offensive rebound by Team,,32,47
131,2,9:47.0,P. Siakam makes free throw 2 of 2,,33,47
132,2,9:34.0,,Turnover by D. Ayton (lost ball; steal by N. Powell),33,47
133,2,9:19.0,C. Boucher misses 3-pt jump shot from 24 ft,,33,47
134,2,9:15.0,,Defensive rebound by E. Okobo,33,47
135,2,9:08.0,,C. Johnson makes 3-pt jump shot from 24 ft (assist by R. Rubio),33,50
136,2,8:55.0,N. Powell makes 2-pt dunk at rim (assist by P. Siakam),,35,50
137,2,8:48.0,,Shooting foul by P. McCaw (drawn by R. Rubio),35,50
138,2,8:48.0,,R. Rubio makes free throw 1 of 2,35,51
139,2,8:48.0,,R. Rubio makes free throw 2 of 2,35,52
140,2,8:48.0,O. Anunoby enters the game for R. Hollis-Jefferson,,35,52
141,2,8:40.0,N. Powell makes 3-pt jump shot from 25 ft (assist by P. Siakam),,38,52
142,2,8:31.0,,C. Johnson misses 3-pt jump shot from 23 ft,38,52
143,2,8:28.0,,Offensive rebound by D. Ayton,38,52
144,2,8:23.0,,Turnover by M. Bridges (traveling),38,52
145,2,8:03.0,N. Powell makes 2-pt layup from 1 ft (assist by P. McCaw),,40,52
146,2,7:47.0,,D. Ayton makes 2-pt dunk at rim (assist by C. Johnson),40,54
147,2,7:27.0,P. Siakam misses 2-pt jump shot from 20 ft,,40,54
148,2,7:26.0,,Defensive rebound by Team,40,54
149,2,7:26.0,Loose ball foul by C. Boucher (drawn by C. Johnson),,40,54
150,2,7:26.0,,D. Booker enters the game for C. Johnson,40,54
151,2,7:08.0,,M. Bridges misses 3-pt jump shot from 23 ft,40,54
152,2,7:08.0,Defensive rebound by O. Anunoby,,40,54
153,2,6:57.0,O. Anunoby misses 3-pt jump shot from 25 ft,,40,54
154,2,6:56.0,Offensive rebound by C. Boucher,,40,54
155,2,6:56.0,C. Boucher misses 2-pt layup at rim,,40,54
156,2,6:55.0,Offensive rebound by C. Boucher,,40,54
157,2,6:53.0,C. Boucher makes 2-pt layup from 1 ft,,42,54
158,2,6:33.0,,E. Okobo misses 2-pt layup from 1 ft,42,54
159,2,6:32.0,Defensive rebound by C. Boucher,,42,54
160,2,6:26.0,P. Siakam misses 2-pt layup from 2 ft,,42,54
161,2,6:24.0,Offensive rebound by P. Siakam,,42,54
162,2,6:23.0,O. Anunoby misses 2-pt jump shot from 1 ft (block by D. Ayton),,42,54
163,2,6:22.0,Offensive rebound by C. Boucher,,42,54
164,2,6:21.0,Shooting foul by E. Okobo (drawn by C. Boucher),,42,54
165,2,6:21.0,,Phoenix full timeout,42,54
166,2,6:21.0,K. Lowry enters the game for P. McCaw,,42,54
167,2,6:21.0,,J. Carter enters the game for E. Okobo,42,54
168,2,6:21.0,,D. Šarić enters the game for R. Rubio,42,54
169,2,6:21.0,C. Boucher makes free throw 1 of 2,,43,54
170,2,6:21.0,C. Boucher makes free throw 2 of 2,,44,54
171,2,6:10.0,,J. Carter makes 2-pt jump shot from 18 ft,44,56
172,2,5:51.0,Shooting foul by D. Šarić (drawn by N. Powell),,44,56
173,2,5:51.0,N. Powell makes free throw 1 of 3,,45,56
174,2,5:51.0,N. Powell makes free throw 2 of 3,,46,56
175,2,5:51.0,N. Powell makes free throw 3 of 3,,47,56
176,2,5:51.0,,C. Johnson enters the game for D. Šarić,47,56
177,2,5:33.0,,J. Carter misses 2-pt layup from 2 ft (block by P. Siakam),47,56
178,2,5:32.0,Defensive rebound by Team,,47,56
179,2,5:32.0,,Loose ball foul by D. Ayton (drawn by K. Lowry),47,56
180,2,5:20.0,N. Powell misses 2-pt layup from 2 ft,,47,56
181,2,5:18.0,,Defensive rebound by D. Ayton,47,56
182,2,5:13.0,,C. Johnson makes 3-pt jump shot from 23 ft (assist by D. Booker),47,59
183,2,4:49.0,P. Siakam makes 2-pt hook shot from 4 ft,,49,59
184,2,4:41.0,,C. Johnson misses 3-pt jump shot from 26 ft,49,59
185,2,4:38.0,Defensive rebound by O. Anunoby,,49,59
186,2,4:26.0,O. Anunoby misses 2-pt hook shot from 2 ft,,49,59
187,2,4:24.0,Offensive rebound by C. Boucher,,49,59
188,2,4:24.0,C. Boucher makes 2-pt dunk at rim,,51,59
189,2,4:07.0,,J. Carter misses 2-pt layup from 2 ft,51,59
190,2,4:04.0,Defensive rebound by P. Siakam,,51,59
191,2,4:01.0,P. Siakam makes 2-pt layup from 1 ft,,53,59
192,2,4:01.0,,Phoenix full timeout,53,59
193,2,4:01.0,,R. Rubio enters the game for J. Carter,53,59
194,2,3:36.0,,D. Ayton misses 2-pt jump shot from 13 ft,53,59
195,2,3:35.0,Defensive rebound by C. Boucher,,53,59
