,QUARTER,TIME_REMAINING,UTAH_ACTION,MILWAUKEE_ACTION,UTAH_SCORE,MILWAUKEE_SCORE
0,1,11:52.0,,D. DiVincenzo misses 2-pt layup from 2 ft,0,0
1,1,11:50.0,Defensive rebound by T. Bradley,,0,0
2,1,11:41.0,R. O'Neale makes 3-pt jump shot from 23 ft (assist by M. Conley),,3,0
3,1,11:25.0,,Personal foul by R. O'Neale (drawn by G. Antetokounmpo),3,0
4,1,11:19.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,3,0
5,1,11:16.0,Defensive rebound by T. Bradley,,3,0
6,1,11:06.0,M. Conley misses 3-pt jump shot from 27 ft,,3,0
7,1,11:02.0,,Defensive rebound by W. Matthews,3,0
8,1,10:52.0,,B. Lopez misses 3-pt jump shot from 26 ft,3,0
9,1,10:50.0,Defensive rebound by R. O'Neale,,3,0
10,1,10:44.0,Turnover by D. Mitchell (bad pass),,3,0
11,1,10:33.0,,E. Bledsoe misses 2-pt jump shot from 18 ft,3,0
12,1,10:30.0,Defensive rebound by R. O'Neale,,3,0
13,1,10:16.0,B. Bogdanović misses 2-pt jump shot from 14 ft (block by B. Lopez),,3,0
14,1,10:13.0,,Defensive rebound by D. DiVincenzo,3,0
15,1,10:05.0,,E. Bledsoe misses 2-pt jump shot from 11 ft,3,0
16,1,10:00.0,,Offensive rebound by G. Antetokounmpo,3,0
17,1,10:00.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,3,0
18,1,9:59.0,Defensive rebound by T. Bradley,,3,0
19,1,9:52.0,R. O'Neale misses 3-pt jump shot from 26 ft,,3,0
20,1,9:49.0,,Defensive rebound by W. Matthews,3,0
21,1,9:43.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,3,2
22,1,9:18.0,M. Conley misses 2-pt jump shot from 14 ft,,3,2
23,1,9:15.0,,Defensive rebound by B. Lopez,3,2
24,1,9:11.0,,E. Bledsoe misses 2-pt layup from 5 ft (block by T. Bradley),3,2
25,1,9:07.0,Defensive rebound by R. O'Neale,,3,2
26,1,9:05.0,T. Bradley makes 2-pt dunk from 1 ft (assist by M. Conley),,5,2
27,1,8:48.0,,Offensive foul by D. DiVincenzo (drawn by R. O'Neale),5,2
28,1,8:48.0,,Turnover by D. DiVincenzo (offensive foul),5,2
29,1,8:36.0,B. Bogdanović makes 2-pt jump shot from 15 ft (assist by M. Conley),,7,2
30,1,8:19.0,,Turnover by W. Matthews (bad pass; steal by D. Mitchell),7,2
31,1,8:14.0,Turnover by D. Mitchell (bad pass),,7,2
32,1,8:14.0,,S. Brown enters the game for E. Bledsoe,7,2
33,1,7:55.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by S. Brown),7,5
34,1,7:41.0,B. Bogdanović misses 2-pt jump shot from 14 ft,,7,5
35,1,7:38.0,,Defensive rebound by G. Antetokounmpo,7,5
36,1,7:30.0,,B. Lopez misses 3-pt jump shot from 28 ft,7,5
37,1,7:28.0,,Offensive rebound by S. Brown,7,5
38,1,7:26.0,,Shooting foul by D. Mitchell (drawn by G. Antetokounmpo),7,5
39,1,7:26.0,,G. Antetokounmpo misses free throw 1 of 2,7,5
40,1,7:26.0,,Offensive rebound by Team,7,5
41,1,7:26.0,,G. Antetokounmpo makes free throw 2 of 2,7,6
42,1,7:16.0,Turnover by M. Conley (lost ball; steal by B. Lopez),,7,6
43,1,7:11.0,,G. Antetokounmpo makes 2-pt dunk at rim,7,8
44,1,6:52.0,M. Conley makes 2-pt layup from 11 ft (assist by T. Bradley),,9,8
45,1,6:51.0,,Milwaukee full timeout,9,8
46,1,6:51.0,J. Ingles enters the game for D. Mitchell,,9,8
47,1,6:33.0,,G. Antetokounmpo makes 2-pt hook shot from 5 ft,9,10
48,1,6:13.0,B. Bogdanović misses 3-pt jump shot from 27 ft,,9,10
49,1,6:10.0,,Defensive rebound by D. DiVincenzo,9,10
50,1,6:09.0,,Turnover by D. DiVincenzo (bad pass),9,10
51,1,5:58.0,J. Ingles makes 3-pt jump shot from 26 ft (assist by M. Conley),,12,10
52,1,5:48.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by D. DiVincenzo),12,12
53,1,5:34.0,T. Bradley misses 2-pt layup from 6 ft (block by B. Lopez),,12,12
54,1,5:30.0,Offensive rebound by T. Bradley,,12,12
55,1,5:27.0,M. Conley misses 2-pt jump shot from 16 ft,,12,12
56,1,5:23.0,,Defensive rebound by B. Lopez,12,12
57,1,5:10.0,,D. DiVincenzo misses 3-pt jump shot from 26 ft,12,12
58,1,5:07.0,Defensive rebound by J. Ingles,,12,12
59,1,5:00.0,J. Ingles misses 2-pt layup from 7 ft,,12,12
60,1,4:57.0,,Defensive rebound by B. Lopez,12,12
61,1,4:49.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by W. Matthews),12,15
62,1,4:26.0,Turnover by R. O'Neale (traveling),,12,15
63,1,4:26.0,E. Mudiay enters the game for M. Conley,,12,15
64,1,4:26.0,,E. Bledsoe enters the game for G. Antetokounmpo,12,15
65,1,4:26.0,,P. Connaughton enters the game for D. DiVincenzo,12,15
66,1,4:26.0,,E. İlyasova enters the game for B. Lopez,12,15
67,1,4:26.0,,R. Lopez enters the game for W. Matthews,12,15
68,1,4:05.0,,R. Lopez makes 2-pt hook shot from 6 ft,12,17
69,1,3:52.0,T. Bradley makes 2-pt jump shot from 9 ft (assist by J. Ingles),,14,17
70,1,3:41.0,,R. Lopez makes 2-pt layup from 2 ft (assist by E. Bledsoe),14,19
71,1,3:15.0,Turnover by Team (shot clock),,14,19
72,1,3:15.0,J. Green enters the game for T. Bradley,,14,19
73,1,3:15.0,G. Niang enters the game for R. O'Neale,,14,19
74,1,2:57.0,,E. Bledsoe misses 2-pt jump shot from 15 ft,14,19
75,1,2:57.0,Defensive rebound by Team,,14,19
76,1,2:57.0,,Loose ball foul by E. İlyasova (drawn by B. Bogdanović),14,19
77,1,2:57.0,Utah full timeout,,14,19
78,1,2:57.0,D. Mitchell enters the game for B. Bogdanović,,14,19
79,1,2:43.0,D. Mitchell makes 3-pt jump shot from 27 ft (assist by E. Mudiay),,17,19
80,1,2:43.0,Shooting foul by E. Bledsoe (drawn by D. Mitchell),,17,19
81,1,2:43.0,D. Mitchell makes free throw 1 of 1,,18,19
82,1,2:31.0,,E. Bledsoe misses 2-pt layup from 2 ft (block by J. Green),18,19
83,1,2:27.0,Defensive rebound by G. Niang,,18,19
84,1,2:22.0,E. Mudiay misses 2-pt jump shot from 7 ft,,18,19
85,1,2:19.0,,Defensive rebound by R. Lopez,18,19
86,1,2:10.0,,S. Brown misses 3-pt jump shot from 27 ft,18,19
87,1,2:08.0,Defensive rebound by J. Ingles,,18,19
88,1,2:01.0,G. Niang makes 3-pt jump shot from 24 ft (assist by E. Mudiay),,21,19
89,1,1:40.0,,Offensive foul by R. Lopez (drawn by J. Green),21,19
90,1,1:40.0,,Turnover by R. Lopez (offensive foul),21,19
91,1,1:40.0,,G. Antetokounmpo enters the game for S. Brown,21,19
92,1,1:40.0,,K. Korver enters the game for R. Lopez,21,19
93,1,1:29.0,D. Mitchell misses 2-pt layup from 2 ft,,21,19
94,1,1:26.0,,Defensive rebound by E. İlyasova,21,19
95,1,1:22.0,,E. Bledsoe makes 2-pt layup from 2 ft,21,21
96,1,1:09.0,D. Mitchell makes 2-pt layup from 2 ft (assist by E. Mudiay),,23,21
97,1,0:53.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,23,21
98,1,0:50.0,Defensive rebound by J. Ingles,,23,21
99,1,0:46.0,E. Mudiay makes 2-pt jump shot from 7 ft (assist by J. Ingles),,25,21
100,1,0:28.0,,E. Bledsoe makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),25,23
101,1,0:05.0,Turnover by E. Mudiay (bad pass),,25,23
102,1,0:05.0,Loose ball foul by E. Mudiay (drawn by E. İlyasova),,25,23
103,1,0:05.0,,D. DiVincenzo enters the game for E. Bledsoe,25,23
104,1,0:00.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,25,23
105,1,0:00.0,Defensive rebound by J. Ingles,,25,23
106,2,11:45.0,J. Ingles misses 3-pt jump shot from 27 ft,,25,23
107,2,11:42.0,,Defensive rebound by P. Connaughton,25,23
108,2,11:36.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by P. Connaughton),25,25
109,2,11:25.0,Turnover by E. Mudiay (bad pass; steal by G. Antetokounmpo),,25,25
110,2,11:21.0,,Personal foul by G. Niang (drawn by G. Antetokounmpo),25,25
111,2,11:16.0,,D. DiVincenzo misses 2-pt layup from 7 ft,25,25
112,2,11:16.0,Defensive rebound by Team,,25,25
