,QUARTER,TIME_REMAINING,PORTLAND_ACTION,ORLANDO_ACTION,PORTLAND_SCORE,ORLANDO_SCORE
0,1,11:47.0,G. Trent makes 2-pt layup from 1 ft,,2,0
1,1,11:27.0,,M. Fultz misses 2-pt jump shot from 12 ft (block by H. Whiteside),2,0
2,1,11:23.0,Defensive rebound by C. McCollum,,2,0
3,1,11:17.0,H. Whiteside makes 2-pt layup from 2 ft (assist by T. Ariza),,4,0
4,1,10:58.0,,N. Vučević misses 2-pt jump shot from 9 ft,4,0
5,1,10:52.0,Defensive rebound by C. Anthony,,4,0
6,1,10:40.0,G. Trent makes 3-pt jump shot from 26 ft (assist by T. Ariza),,7,0
7,1,10:17.0,,N. Vučević misses 2-pt hook shot from 8 ft,7,0
8,1,10:14.0,Defensive rebound by H. Whiteside,,7,0
9,1,10:04.0,C. McCollum misses 2-pt jump shot from 12 ft,,7,0
10,1,10:01.0,,Defensive rebound by N. Vučević,7,0
11,1,9:50.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by J. Ennis),7,3
12,1,9:32.0,H. Whiteside misses 2-pt jump shot from 14 ft,,7,3
13,1,9:29.0,,Defensive rebound by G. Clark,7,3
14,1,9:25.0,,N. Vučević makes 3-pt jump shot from 25 ft (assist by M. Fultz),7,6
15,1,9:05.0,C. McCollum misses 2-pt layup from 5 ft,,7,6
16,1,9:05.0,Offensive rebound by Team,,7,6
17,1,8:56.0,G. Trent misses 3-pt jump shot from 25 ft,,7,6
18,1,8:51.0,,Defensive rebound by N. Vučević,7,6
19,1,8:43.0,,Shooting foul by H. Whiteside (drawn by N. Vučević),7,6
20,1,8:43.0,,N. Vučević makes free throw 1 of 2,7,7
21,1,8:43.0,,N. Vučević makes free throw 2 of 2,7,8
22,1,8:30.0,T. Ariza misses 2-pt jump shot from 22 ft,,7,8
23,1,8:27.0,,Defensive rebound by G. Clark,7,8
24,1,8:18.0,,N. Vučević misses 2-pt layup from 1 ft,7,8
25,1,8:16.0,,Offensive rebound by J. Ennis,7,8
26,1,8:16.0,,Shooting foul by C. McCollum (drawn by J. Ennis),7,8
27,1,8:16.0,,J. Ennis makes free throw 1 of 2,7,9
28,1,8:16.0,,J. Ennis makes free throw 2 of 2,7,10
29,1,8:03.0,C. McCollum makes 2-pt layup from 3 ft,,9,10
30,1,7:53.0,,E. Fournier misses 3-pt jump shot from 25 ft,9,10
31,1,7:53.0,,Offensive rebound by Team,9,10
32,1,7:53.0,Loose ball foul by G. Trent (drawn by J. Ennis),,9,10
33,1,7:44.0,,M. Fultz misses 2-pt layup from 1 ft,9,10
34,1,7:38.0,,Offensive rebound by N. Vučević,9,10
35,1,7:38.0,,N. Vučević makes 2-pt layup at rim,9,12
36,1,7:29.0,C. Anthony misses 2-pt layup from 2 ft,,9,12
37,1,7:23.0,Offensive rebound by C. Anthony,,9,12
38,1,7:23.0,C. Anthony makes 2-pt layup from 1 ft,,11,12
39,1,7:09.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by M. Fultz),11,15
40,1,6:53.0,C. Anthony misses 2-pt jump shot from 16 ft,,11,15
41,1,6:48.0,,Defensive rebound by N. Vučević,11,15
42,1,6:33.0,,E. Fournier makes 2-pt jump shot from 13 ft (assist by N. Vučević),11,17
43,1,6:33.0,Portland full timeout,,11,17
44,1,6:16.0,C. Anthony misses 2-pt jump shot from 13 ft,,11,17
45,1,6:11.0,,Defensive rebound by N. Vučević,11,17
46,1,6:02.0,,E. Fournier misses 2-pt jump shot from 19 ft,11,17
47,1,5:58.0,Defensive rebound by G. Trent,,11,17
48,1,5:50.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by G. Trent),,14,17
49,1,5:50.0,Shooting foul by M. Fultz (drawn by C. McCollum),,14,17
50,1,5:50.0,,T. Ross enters the game for G. Clark,14,17
51,1,5:50.0,C. McCollum makes free throw 1 of 1,,15,17
52,1,5:38.0,,N. Vučević makes 2-pt jump shot from 10 ft (assist by E. Fournier),15,19
53,1,5:31.0,C. McCollum makes 3-pt jump shot from 25 ft,,18,19
54,1,5:10.0,,N. Vučević misses 2-pt hook shot from 6 ft,18,19
55,1,5:08.0,Defensive rebound by H. Whiteside,,18,19
56,1,4:59.0,H. Whiteside makes 2-pt jump shot from 11 ft (assist by C. McCollum),,20,19
57,1,4:43.0,,N. Vučević makes 2-pt hook shot from 2 ft (assist by M. Fultz),20,21
58,1,4:30.0,H. Whiteside misses 3-pt jump shot from 26 ft,,20,21
59,1,4:26.0,,Defensive rebound by J. Ennis,20,21
60,1,4:22.0,,J. Ennis makes 3-pt jump shot from 26 ft,20,24
61,1,4:05.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by H. Whiteside),,23,24
62,1,3:52.0,,M. Fultz misses 2-pt jump shot from 15 ft,23,24
63,1,3:50.0,,Offensive rebound by M. Fultz,23,24
64,1,3:49.0,,J. Ennis misses 3-pt jump shot from 26 ft,23,24
65,1,3:49.0,Defensive rebound by C. McCollum,,23,24
