,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,NEW YORK_ACTION,MEMPHIS_SCORE,NEW YORK_SCORE
0,1,11:43.0,,T. Gibson makes 2-pt layup from 1 ft (assist by E. Payton),0,2
1,1,11:15.0,J. Jackson misses 2-pt jump shot from 22 ft,,0,2
2,1,11:14.0,Offensive rebound by Team,,0,2
3,1,11:00.0,J. Valančiūnas makes 2-pt hook shot from 9 ft,,2,2
4,1,10:43.0,,T. Gibson misses 2-pt jump shot from 19 ft,2,2
5,1,10:41.0,Defensive rebound by J. Morant,,2,2
6,1,10:33.0,J. Jackson misses 2-pt jump shot from 12 ft,,2,2
7,1,10:31.0,,Defensive rebound by J. Randle,2,2
8,1,10:26.0,,Shooting foul by J. Jackson (drawn by J. Randle),2,2
9,1,10:26.0,,J. Randle misses free throw 1 of 2,2,2
10,1,10:26.0,,Offensive rebound by Team,2,2
11,1,10:26.0,,J. Randle makes free throw 2 of 2,2,3
12,1,10:14.0,J. Morant makes 2-pt layup from 1 ft,,4,3
13,1,10:02.0,,R. Bullock makes 2-pt layup from 2 ft (assist by E. Payton),4,5
14,1,9:50.0,J. Jackson misses 2-pt layup from 3 ft (block by T. Gibson),,4,5
15,1,9:49.0,,Defensive rebound by Team,4,5
16,1,9:34.0,,J. Randle misses 3-pt jump shot from 25 ft,4,5
17,1,9:33.0,Defensive rebound by Team,,4,5
18,1,9:33.0,,Loose ball foul by T. Gibson (drawn by J. Jackson),4,5
19,1,9:24.0,J. Jackson misses 3-pt jump shot from 25 ft,,4,5
20,1,9:22.0,,Defensive rebound by M. Morris,4,5
21,1,9:19.0,Violation by Team (kicked ball),,4,5
22,1,9:12.0,,E. Payton makes 2-pt layup from 2 ft,4,7
23,1,9:00.0,D. Brooks makes 2-pt jump shot from 20 ft,,6,7
24,1,8:43.0,,R. Bullock misses 2-pt jump shot from 15 ft,6,7
25,1,8:41.0,Defensive rebound by J. Crowder,,6,7
26,1,8:33.0,D. Brooks misses 3-pt jump shot from 23 ft,,6,7
27,1,8:31.0,,Defensive rebound by J. Randle,6,7
28,1,8:24.0,,Offensive foul by M. Morris (drawn by J. Crowder),6,7
29,1,8:24.0,,Turnover by M. Morris (offensive foul),6,7
30,1,8:07.0,J. Valančiūnas makes 2-pt hook shot from 8 ft,,8,7
31,1,7:49.0,,J. Randle misses 2-pt jump shot from 19 ft,8,7
32,1,7:47.0,Defensive rebound by Team,,8,7
33,1,7:35.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by J. Valančiūnas),,11,7
34,1,7:19.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by E. Payton),11,10
35,1,7:19.0,,Instant Replay (Request: Ruling Stands),11,10
36,1,7:14.0,Personal foul by M. Morris (drawn by J. Crowder),,11,10
37,1,7:14.0,,K. Knox enters the game for M. Morris,11,10
38,1,7:08.0,J. Morant misses 2-pt layup from 1 ft,,11,10
39,1,7:06.0,,Defensive rebound by T. Gibson,11,10
40,1,6:58.0,,J. Randle makes 2-pt jump shot from 8 ft,11,12
41,1,6:43.0,J. Morant makes 2-pt jump shot from 10 ft,,13,12
42,1,6:24.0,,R. Bullock misses 3-pt jump shot from 24 ft,13,12
43,1,6:22.0,Defensive rebound by J. Crowder,,13,12
44,1,6:14.0,D. Brooks makes 2-pt layup from 2 ft,,15,12
45,1,6:14.0,Shooting foul by K. Knox (drawn by D. Brooks),,15,12
46,1,6:14.0,,New York full timeout,15,12
47,1,6:14.0,B. Clarke enters the game for J. Jackson,,15,12
48,1,6:14.0,T. Jones enters the game for J. Morant,,15,12
49,1,6:14.0,,D. Dotson enters the game for R. Bullock,15,12
50,1,6:14.0,,M. Robinson enters the game for T. Gibson,15,12
51,1,6:14.0,D. Brooks makes free throw 1 of 1,,16,12
52,1,6:01.0,,K. Knox misses 2-pt jump shot from 21 ft,16,12
53,1,5:59.0,Defensive rebound by T. Jones,,16,12
54,1,5:47.0,J. Crowder misses 3-pt jump shot from 26 ft,,16,12
55,1,5:45.0,,Defensive rebound by E. Payton,16,12
56,1,5:27.0,,J. Randle misses 2-pt jump shot from 9 ft,16,12
57,1,5:25.0,Defensive rebound by J. Valančiūnas,,16,12
58,1,5:18.0,T. Jones makes 3-pt jump shot from 25 ft,,19,12
59,1,5:18.0,Instant Replay (Request: Ruling Stands),,19,12
60,1,5:08.0,,E. Payton misses 2-pt jump shot from 5 ft,19,12
61,1,5:06.0,Defensive rebound by J. Valančiūnas,,19,12
62,1,5:00.0,Turnover by T. Jones (bad pass; steal by E. Payton),,19,12
63,1,4:50.0,,D. Dotson makes 3-pt jump shot from 23 ft (assist by J. Randle),19,15
64,1,4:38.0,D. Brooks makes 2-pt layup from 2 ft,,21,15
65,1,4:26.0,,D. Dotson makes 3-pt jump shot from 26 ft (assist by E. Payton),21,18
66,1,4:13.0,Turnover by D. Brooks (bad pass; steal by M. Robinson),,21,18
67,1,4:10.0,,M. Robinson makes 2-pt dunk at rim (assist by E. Payton),21,20
68,1,4:10.0,Memphis full timeout,,21,20
69,1,4:10.0,K. Anderson enters the game for J. Crowder,,21,20
70,1,4:10.0,,D. Smith enters the game for E. Payton,21,20
71,1,3:59.0,D. Brooks misses 3-pt jump shot from 26 ft,,21,20
72,1,3:57.0,,Defensive rebound by K. Knox,21,20
73,1,3:48.0,,K. Knox misses 3-pt jump shot from 26 ft,21,20
74,1,3:46.0,,Offensive rebound by M. Robinson,21,20
75,1,3:42.0,,K. Knox makes 2-pt layup from 2 ft (assist by M. Robinson),21,22
76,1,3:26.0,Turnover by K. Anderson (bad pass; steal by D. Smith),,21,22
77,1,3:18.0,,J. Randle makes 2-pt dunk at rim (assist by D. Smith),21,24
78,1,3:08.0,D. Brooks makes 2-pt jump shot from 9 ft (assist by T. Jones),,23,24
79,1,2:56.0,,Shooting foul by T. Jones (drawn by D. Smith),23,24
80,1,2:56.0,M. Guduric enters the game for D. Brooks,,23,24
81,1,2:56.0,J. Jackson enters the game for J. Valančiūnas,,23,24
82,1,2:56.0,,D. Smith makes free throw 1 of 2,23,25
83,1,2:56.0,,D. Smith misses free throw 2 of 2,23,25
84,1,2:55.0,,Offensive rebound by M. Robinson,23,25
85,1,2:55.0,,Personal foul by J. Jackson (drawn by M. Robinson),23,25
86,1,2:43.0,,J. Randle misses 3-pt jump shot from 25 ft,23,25
87,1,2:41.0,Defensive rebound by M. Guduric,,23,25
88,1,2:31.0,T. Jones makes 3-pt jump shot from 25 ft (assist by B. Clarke),,26,25
89,1,2:20.0,,Turnover by D. Smith (bad pass),26,25
90,1,2:20.0,,B. Portis enters the game for J. Randle,26,25
91,1,2:07.0,J. Jackson misses 2-pt layup from 2 ft (block by M. Robinson),,26,25
92,1,2:05.0,Offensive rebound by J. Jackson,,26,25
93,1,2:04.0,Turnover by J. Jackson (lost ball; steal by D. Smith),,26,25
94,1,1:57.0,,Turnover by D. Smith (bad pass; steal by B. Clarke),26,25
95,1,1:51.0,J. Jackson misses 3-pt jump shot from 26 ft,,26,25
96,1,1:49.0,,Defensive rebound by D. Smith,26,25
97,1,1:32.0,,D. Smith makes 2-pt jump shot from 20 ft,26,27
98,1,1:22.0,B. Clarke makes 2-pt jump shot from 11 ft (assist by T. Jones),,28,27
99,1,1:04.0,,B. Portis makes 2-pt jump shot from 17 ft (assist by D. Smith),28,29
100,1,0:50.0,K. Anderson makes 2-pt jump shot from 10 ft (assist by J. Jackson),,30,29
101,1,0:36.0,,K. Knox makes 3-pt jump shot from 25 ft (assist by D. Dotson),30,32
102,1,0:17.0,B. Clarke makes 2-pt jump shot from 11 ft (assist by T. Jones),,32,32
103,1,0:02.0,,D. Smith misses 2-pt jump shot from 21 ft,32,32
104,1,0:00.0,Defensive rebound by B. Clarke,,32,32
105,2,11:47.0,K. Anderson misses 2-pt jump shot from 5 ft,,32,32
106,2,11:46.0,,Defensive rebound by M. Robinson,32,32
107,2,11:29.0,,B. Portis misses 3-pt jump shot from 26 ft,32,32
108,2,11:27.0,Defensive rebound by K. Anderson,,32,32
109,2,11:02.0,M. Guduric makes 3-pt jump shot from 27 ft (assist by J. Morant),,35,32
110,2,10:54.0,,Turnover by D. Smith (bad pass),35,32
111,2,10:54.0,Technical foul by D. Smith,,35,32
112,2,10:54.0,J. Morant misses technical free throw,,35,32
113,2,10:54.0,Offensive rebound by Team,,35,32
114,2,10:39.0,S. Hill misses 3-pt jump shot from 27 ft,,35,32
115,2,10:37.0,,Defensive rebound by D. Smith,35,32
116,2,10:26.0,,Turnover by D. Smith (bad pass),35,32
117,2,10:26.0,,E. Payton enters the game for D. Smith,35,32
118,2,10:15.0,B. Clarke makes 2-pt jump shot from 11 ft (assist by J. Morant),,37,32
119,2,9:57.0,,M. Robinson misses 2-pt dunk from 1 ft,37,32
120,2,9:55.0,Defensive rebound by M. Guduric,,37,32
121,2,9:53.0,Offensive foul by B. Clarke (drawn by D. Dotson),,37,32
122,2,9:53.0,Turnover by B. Clarke (offensive foul),,37,32
123,2,9:53.0,J. Jackson enters the game for M. Guduric,,37,32
124,2,9:34.0,,B. Portis makes 2-pt hook shot from 8 ft,37,34
125,2,9:14.0,B. Clarke misses 2-pt jump shot from 4 ft (block by M. Robinson),,37,34
126,2,9:12.0,Offensive rebound by B. Clarke,,37,34
127,2,9:10.0,B. Clarke makes 2-pt dunk from 1 ft,,39,34
128,2,8:54.0,,B. Portis misses 2-pt jump shot from 13 ft,39,34
129,2,8:53.0,Defensive rebound by K. Anderson,,39,34
130,2,8:48.0,J. Morant makes 2-pt dunk from 1 ft (assist by K. Anderson),,41,34
131,2,8:48.0,,New York full timeout,41,34
132,2,8:48.0,D. Brooks enters the game for K. Anderson,,41,34
133,2,8:48.0,J. Valančiūnas enters the game for B. Clarke,,41,34
134,2,8:48.0,,R. Bullock enters the game for D. Dotson,41,34
135,2,8:48.0,,M. Morris enters the game for K. Knox,41,34
136,2,8:32.0,,M. Morris misses 2-pt jump shot from 9 ft,41,34
137,2,8:30.0,Defensive rebound by S. Hill,,41,34
138,2,8:17.0,J. Jackson misses 3-pt jump shot from 26 ft,,41,34
139,2,8:15.0,,Defensive rebound by R. Bullock,41,34
140,2,8:07.0,,M. Morris misses 2-pt layup from 1 ft,41,34
141,2,8:05.0,Defensive rebound by J. Jackson,,41,34
142,2,7:49.0,J. Valančiūnas misses 2-pt jump shot from 10 ft,,41,34
143,2,7:47.0,,Defensive rebound by Team,41,34
144,2,7:47.0,,J. Randle enters the game for M. Robinson,41,34
145,2,7:35.0,,Personal foul by J. Valančiūnas (drawn by M. Morris),41,34
146,2,7:20.0,,E. Payton makes 2-pt jump shot from 20 ft (assist by R. Bullock),41,36
