,QUARTER,TIME_REMAINING,PHOENIX_ACTION,GOLDEN STATE_ACTION,PHOENIX_SCORE,GOLDEN STATE_SCORE
0,1,11:45.0,Turnover by R. Rubio (bad pass; steal by D. Lee),,0,0
1,1,11:29.0,,G. Robinson misses 2-pt jump shot from 15 ft,0,0
2,1,11:27.0,Defensive rebound by Team,,0,0
3,1,11:14.0,D. Booker misses 2-pt layup from 3 ft,,0,0
4,1,11:13.0,Offensive rebound by D. Šarić,,0,0
5,1,11:10.0,D. Šarić makes 2-pt layup from 3 ft,,2,0
6,1,11:10.0,Shooting foul by D. Green (drawn by D. Šarić),,2,0
7,1,11:10.0,D. Šarić makes free throw 1 of 1,,3,0
8,1,11:04.0,,Shooting foul by K. Oubre (drawn by G. Robinson),3,0
9,1,11:04.0,,G. Robinson makes free throw 1 of 2,3,1
10,1,11:04.0,,G. Robinson makes free throw 2 of 2,3,2
11,1,10:53.0,D. Booker makes 2-pt jump shot from 21 ft (assist by D. Šarić),,5,2
12,1,10:41.0,,Personal foul by K. Oubre (drawn by D. Russell),5,2
13,1,10:41.0,C. Johnson enters the game for K. Oubre,,5,2
14,1,10:33.0,,D. Russell makes 2-pt jump shot from 16 ft,5,4
15,1,10:20.0,D. Šarić misses 3-pt jump shot from 27 ft,,5,4
16,1,10:18.0,,Defensive rebound by D. Lee,5,4
17,1,10:13.0,,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by D. Green),5,6
18,1,10:03.0,Turnover by D. Booker (bad pass; steal by G. Robinson),,5,6
19,1,9:52.0,,D. Green misses 3-pt jump shot from 23 ft,5,6
20,1,9:50.0,Defensive rebound by D. Šarić,,5,6
21,1,9:36.0,D. Booker makes 2-pt jump shot from 11 ft,,7,6
22,1,9:20.0,,D. Russell makes 3-pt jump shot from 25 ft (assist by D. Green),7,9
23,1,9:14.0,Phoenix full timeout,,7,9
24,1,9:08.0,R. Rubio misses 2-pt layup from 4 ft,,7,9
25,1,9:06.0,,Defensive rebound by G. Robinson,7,9
26,1,8:50.0,,D. Lee makes 2-pt jump shot from 18 ft,7,11
27,1,8:40.0,Personal foul by G. Robinson (drawn by D. Booker),,7,11
28,1,8:30.0,D. Šarić makes 3-pt jump shot from 27 ft (assist by R. Rubio),,10,11
29,1,8:14.0,,D. Russell misses 2-pt jump shot from 10 ft,10,11
30,1,8:12.0,Defensive rebound by A. Baynes,,10,11
31,1,7:59.0,C. Johnson misses 2-pt hook shot from 11 ft,,10,11
32,1,7:58.0,Offensive rebound by A. Baynes,,10,11
33,1,7:58.0,A. Baynes misses 2-pt layup from 1 ft,,10,11
34,1,7:56.0,Offensive rebound by D. Šarić,,10,11
35,1,7:50.0,C. Johnson misses 3-pt jump shot from 24 ft,,10,11
36,1,7:48.0,,Defensive rebound by D. Green,10,11
37,1,7:40.0,,D. Green misses 3-pt jump shot from 28 ft,10,11
38,1,7:38.0,Defensive rebound by D. Booker,,10,11
39,1,7:32.0,Personal foul by D. Lee (drawn by D. Booker),,10,11
40,1,7:29.0,D. Booker makes 2-pt layup from 3 ft (assist by D. Šarić),,12,11
41,1,7:15.0,,D. Russell misses 3-pt jump shot from 26 ft,12,11
42,1,7:13.0,Defensive rebound by A. Baynes,,12,11
43,1,7:10.0,D. Booker misses 3-pt jump shot from 29 ft,,12,11
44,1,7:08.0,Offensive rebound by D. Šarić,,12,11
45,1,7:00.0,D. Šarić makes 3-pt jump shot from 27 ft (assist by D. Booker),,15,11
46,1,6:48.0,,D. Lee misses 2-pt jump shot from 14 ft,15,11
47,1,6:47.0,Defensive rebound by R. Rubio,,15,11
48,1,6:36.0,Turnover by D. Šarić (out of bounds lost ball),,15,11
49,1,6:24.0,,D. Russell misses 2-pt jump shot from 16 ft,15,11
50,1,6:22.0,Defensive rebound by C. Johnson,,15,11
51,1,6:05.0,A. Baynes makes 3-pt jump shot from 28 ft (assist by D. Booker),,18,11
52,1,6:05.0,,Golden State full timeout,18,11
53,1,6:05.0,J. Carter enters the game for A. Baynes,,18,11
54,1,6:05.0,F. Kaminsky enters the game for R. Rubio,,18,11
55,1,5:50.0,,G. Robinson makes 2-pt jump shot from 17 ft (assist by D. Lee),18,13
56,1,5:37.0,Turnover by J. Carter (traveling),,18,13
57,1,5:25.0,,Turnover by D. Russell (lost ball; steal by J. Carter),18,13
58,1,5:16.0,D. Booker misses 2-pt layup from 3 ft (block by D. Green),,18,13
59,1,5:14.0,,Defensive rebound by D. Lee,18,13
60,1,5:08.0,,D. Green misses 2-pt layup from 7 ft,18,13
61,1,5:06.0,,Offensive rebound by D. Green,18,13
62,1,5:06.0,,D. Green makes 2-pt layup at rim,18,15
63,1,4:56.0,Turnover by D. Booker (bad pass; steal by G. Robinson),,18,15
64,1,4:56.0,M. Bridges enters the game for D. Šarić,,18,15
65,1,4:56.0,,M. Chriss enters the game for W. Cauley-Stein,18,15
66,1,4:56.0,,J. Evans enters the game for D. Green,18,15
67,1,4:56.0,,A. Smailagić enters the game for D. Russell,18,15
68,1,4:37.0,,Shooting foul by J. Carter (drawn by G. Robinson),18,15
69,1,4:37.0,,G. Robinson makes free throw 1 of 2,18,16
70,1,4:37.0,,G. Robinson makes free throw 2 of 2,18,17
71,1,4:25.0,F. Kaminsky makes 2-pt layup from 2 ft (assist by D. Booker),,20,17
72,1,4:08.0,,J. Evans misses 2-pt jump shot from 13 ft,20,17
73,1,4:06.0,,Offensive rebound by M. Chriss,20,17
74,1,4:02.0,,A. Smailagić makes 2-pt layup from 1 ft (assist by M. Chriss),20,19
75,1,3:40.0,F. Kaminsky makes 2-pt jump shot from 16 ft (assist by C. Johnson),,22,19
76,1,3:28.0,,D. Lee makes 2-pt layup from 2 ft,22,21
77,1,3:16.0,J. Carter misses 3-pt jump shot from 23 ft,,22,21
78,1,3:14.0,,Defensive rebound by D. Lee,22,21
79,1,3:04.0,,Turnover by D. Lee (bad pass),22,21
80,1,3:04.0,,K. Bowman enters the game for D. Lee,22,21
81,1,3:04.0,,A. Burks enters the game for G. Robinson,22,21
82,1,2:53.0,F. Kaminsky misses 3-pt jump shot from 27 ft,,22,21
83,1,2:51.0,,Defensive rebound by K. Bowman,22,21
84,1,2:42.0,,K. Bowman misses 2-pt jump shot from 8 ft,22,21
85,1,2:40.0,,Offensive rebound by A. Smailagić,22,21
86,1,2:39.0,,A. Smailagić makes 2-pt layup from 2 ft,22,23
87,1,2:22.0,F. Kaminsky makes 2-pt layup from 3 ft (assist by M. Bridges),,24,23
88,1,2:05.0,,A. Burks misses 3-pt jump shot from 26 ft,24,23
89,1,2:03.0,Defensive rebound by D. Booker,,24,23
90,1,1:54.0,D. Booker makes 2-pt layup from 4 ft,,26,23
91,1,1:36.0,,Turnover by K. Bowman (bad pass),26,23
92,1,1:36.0,K. Oubre enters the game for D. Booker,,26,23
93,1,1:22.0,Turnover by K. Oubre (step out of bounds),,26,23
94,1,1:03.0,,M. Chriss makes 2-pt layup from 3 ft (assist by J. Evans),26,25
95,1,0:42.0,K. Oubre misses 2-pt jump shot from 8 ft (block by A. Smailagić),,26,25
96,1,0:40.0,,Defensive rebound by A. Burks,26,25
97,1,0:34.0,,A. Smailagić misses 3-pt jump shot from 23 ft,26,25
98,1,0:32.0,Defensive rebound by K. Oubre,,26,25
99,1,0:11.0,C. Johnson makes 3-pt jump shot from 27 ft (assist by F. Kaminsky),,29,25
100,1,0:04.0,,Personal take foul by M. Bridges (drawn by A. Burks),29,25
101,2,11:46.0,,D. Russell makes 2-pt layup from 2 ft,29,27
102,2,11:33.0,A. Baynes misses 3-pt jump shot from 25 ft,,29,27
103,2,11:31.0,,Defensive rebound by K. Bowman,29,27
104,2,11:20.0,,A. Burks misses 2-pt jump shot from 15 ft,29,27
105,2,11:19.0,Defensive rebound by Team,,29,27
106,2,11:00.0,A. Baynes makes 2-pt layup from 3 ft (assist by R. Rubio),,31,27
107,2,10:46.0,,Personal foul by K. Oubre (drawn by D. Russell),31,27
108,2,10:46.0,C. Johnson enters the game for K. Oubre,,31,27
109,2,10:41.0,,Turnover by K. Bowman (traveling),31,27
110,2,10:30.0,Turnover by R. Rubio (bad pass; steal by A. Burks),,31,27
