,QUARTER,TIME_REMAINING,ATLANTA_ACTION,SAN ANTONIO_ACTION,ATLANTA_SCORE,SAN ANTONIO_SCORE
0,1,11:43.0,Turnover by J. Collins (bad pass; steal by D. Murray),,0,0
1,1,11:39.0,,D. Murray makes 2-pt layup from 6 ft,0,2
2,1,11:29.0,D. Hunter misses 3-pt jump shot from 28 ft,,0,2
3,1,11:29.0,,Defensive rebound by D. Murray,0,2
4,1,11:15.0,,T. Lyles misses 2-pt jump shot from 17 ft,0,2
5,1,11:13.0,Defensive rebound by T. Young,,0,2
6,1,11:08.0,Shooting foul by L. Aldridge (drawn by D. Hunter),,0,2
7,1,11:08.0,D. Hunter makes free throw 1 of 2,,1,2
8,1,11:08.0,D. Hunter makes free throw 2 of 2,,2,2
9,1,10:54.0,,Personal foul by D. Hunter (drawn by D. DeRozan),2,2
10,1,10:44.0,,L. Aldridge makes 2-pt jump shot from 11 ft (assist by B. Forbes),2,4
11,1,10:21.0,D. Hunter misses 3-pt jump shot from 23 ft,,2,4
12,1,10:17.0,,Defensive rebound by D. Murray,2,4
13,1,10:10.0,,D. Murray misses 3-pt jump shot from 26 ft,2,4
14,1,10:07.0,Defensive rebound by J. Collins,,2,4
15,1,10:03.0,K. Huerter makes 3-pt jump shot from 28 ft (assist by T. Young),,5,4
16,1,9:49.0,,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. Murray),5,6
17,1,9:34.0,T. Young makes 3-pt jump shot from 28 ft,,8,6
18,1,9:25.0,,Personal foul by K. Huerter (drawn by D. DeRozan),8,6
19,1,9:16.0,,L. Aldridge misses 3-pt jump shot from 28 ft,8,6
20,1,9:12.0,Defensive rebound by D. Hunter,,8,6
21,1,9:12.0,Turnover by D. Hunter (out of bounds lost ball),,8,6
22,1,9:10.0,,Turnover by B. Forbes (bad pass; steal by C. Reddish),8,6
23,1,9:05.0,J. Collins makes 2-pt dunk from 4 ft (assist by C. Reddish),,10,6
24,1,8:49.0,,D. DeRozan makes 2-pt dunk from 3 ft,10,8
25,1,8:36.0,J. Collins makes 3-pt jump shot from 26 ft (assist by T. Young),,13,8
26,1,8:19.0,,D. Murray makes 2-pt layup from 3 ft (assist by D. DeRozan),13,10
27,1,8:06.0,Shooting foul by D. DeRozan (drawn by J. Collins),,13,10
28,1,8:06.0,J. Collins makes free throw 1 of 2,,14,10
29,1,8:06.0,J. Collins makes free throw 2 of 2,,15,10
30,1,7:46.0,,B. Forbes misses 3-pt jump shot from 27 ft,15,10
31,1,7:43.0,Defensive rebound by J. Collins,,15,10
32,1,7:33.0,J. Collins misses 2-pt dunk from 7 ft,,15,10
33,1,7:31.0,,Defensive rebound by B. Forbes,15,10
34,1,7:27.0,,L. Aldridge makes 2-pt dunk from 4 ft (assist by D. Murray),15,12
35,1,7:09.0,K. Huerter misses 2-pt jump shot from 12 ft,,15,12
36,1,7:07.0,,Defensive rebound by D. DeRozan,15,12
37,1,7:01.0,,L. Aldridge misses 2-pt layup from 6 ft (block by J. Collins),15,12
38,1,6:59.0,Defensive rebound by J. Collins,,15,12
39,1,6:56.0,Personal foul by D. Murray (drawn by T. Young),,15,12
40,1,6:56.0,,San Antonio full timeout,15,12
41,1,6:56.0,,P. Mills enters the game for B. Forbes,15,12
42,1,6:48.0,J. Collins misses 2-pt layup from 5 ft,,15,12
43,1,6:45.0,,Defensive rebound by D. Murray,15,12
44,1,6:42.0,,Turnover by D. DeRozan (traveling),15,12
45,1,6:26.0,J. Collins misses 3-pt jump shot from 26 ft,,15,12
46,1,6:24.0,Offensive rebound by T. Young,,15,12
47,1,6:22.0,T. Young makes 2-pt layup from 4 ft,,17,12
48,1,6:06.0,,L. Aldridge makes 2-pt layup from 3 ft,17,14
49,1,5:52.0,J. Collins makes 2-pt dunk from 4 ft (assist by T. Young),,19,14
50,1,5:35.0,,D. DeRozan misses 2-pt jump shot from 2 ft,19,14
51,1,5:33.0,Defensive rebound by J. Collins,,19,14
52,1,5:29.0,T. Young misses 3-pt jump shot from 28 ft,,19,14
53,1,5:24.0,,Defensive rebound by T. Lyles,19,14
54,1,5:18.0,,D. DeRozan misses 2-pt jump shot from 9 ft,19,14
55,1,5:11.0,,Offensive rebound by T. Lyles,19,14
56,1,5:11.0,,T. Lyles misses 2-pt layup from 1 ft,19,14
57,1,5:09.0,,Offensive rebound by D. Murray,19,14
58,1,5:09.0,,D. Murray makes 2-pt layup from 1 ft,19,16
59,1,4:53.0,C. Reddish misses 2-pt layup from 5 ft,,19,16
60,1,4:50.0,,Defensive rebound by T. Lyles,19,16
61,1,4:44.0,,D. Murray misses 3-pt jump shot from 24 ft,19,16
62,1,4:41.0,,Offensive rebound by T. Lyles,19,16
63,1,4:32.0,,P. Mills misses 3-pt jump shot from 28 ft,19,16
64,1,4:30.0,Defensive rebound by J. Collins,,19,16
65,1,4:18.0,Turnover by K. Huerter (bad pass; steal by T. Lyles),,19,16
66,1,4:12.0,,P. Mills misses 3-pt jump shot from 27 ft,19,16
67,1,4:08.0,,Offensive rebound by L. Aldridge,19,16
68,1,4:04.0,,Shooting foul by J. Collins (drawn by L. Aldridge),19,16
69,1,4:04.0,,L. Aldridge makes free throw 1 of 2,19,17
70,1,4:04.0,D. Bembry enters the game for J. Collins,,19,17
71,1,4:04.0,V. Carter enters the game for D. Hunter,,19,17
72,1,4:04.0,D. Jones enters the game for C. Reddish,,19,17
73,1,4:04.0,,M. Belinelli enters the game for D. DeRozan,19,17
74,1,4:04.0,,L. Walker enters the game for T. Lyles,19,17
75,1,4:04.0,,D. White enters the game for D. Murray,19,17
76,1,4:04.0,,L. Aldridge makes free throw 2 of 2,19,18
77,1,3:53.0,K. Huerter misses 3-pt jump shot from 26 ft,,19,18
78,1,3:50.0,,Defensive rebound by L. Aldridge,19,18
79,1,3:42.0,,Turnover by D. White (lost ball; steal by K. Huerter),19,18
80,1,3:38.0,K. Huerter makes 2-pt layup from 5 ft,,21,18
81,1,3:19.0,,Personal foul by D. Jones (drawn by L. Aldridge),21,18
82,1,3:10.0,,L. Aldridge misses 2-pt jump shot from 11 ft,21,18
83,1,3:09.0,Defensive rebound by T. Young,,21,18
84,1,3:01.0,V. Carter makes 3-pt jump shot from 26 ft,,24,18
85,1,2:41.0,,M. Belinelli makes 2-pt jump shot from 19 ft (assist by D. White),24,20
86,1,2:18.0,Shooting foul by P. Mills (drawn by D. Jones),,24,20
87,1,2:18.0,Atlanta full timeout,,24,20
88,1,2:18.0,B. Goodwin enters the game for K. Huerter,,24,20
89,1,2:18.0,C. Reddish enters the game for T. Young,,24,20
90,1,2:18.0,,J. Poeltl enters the game for L. Aldridge,24,20
91,1,2:18.0,D. Jones makes free throw 1 of 2,,25,20
92,1,2:18.0,D. Jones makes free throw 2 of 2,,26,20
93,1,2:05.0,,D. White misses 2-pt layup from 6 ft,26,20
94,1,2:02.0,,Offensive rebound by D. White,26,20
95,1,1:57.0,,D. White makes 3-pt jump shot from 28 ft (assist by M. Belinelli),26,23
96,1,1:39.0,C. Reddish makes 3-pt jump shot from 26 ft (assist by B. Goodwin),,29,23
97,1,1:25.0,,P. Mills misses 2-pt jump shot from 19 ft (block by C. Reddish),29,23
98,1,1:21.0,Defensive rebound by B. Goodwin,,29,23
99,1,1:14.0,B. Goodwin misses 3-pt jump shot from 27 ft,,29,23
100,1,1:11.0,,Defensive rebound by L. Walker,29,23
101,1,1:04.0,,L. Walker misses 2-pt layup from 8 ft,29,23
102,1,0:59.0,,Offensive rebound by J. Poeltl,29,23
103,1,0:59.0,,J. Poeltl makes 2-pt layup from 1 ft,29,25
104,1,0:44.0,D. Bembry misses 3-pt jump shot from 26 ft,,29,25
105,1,0:42.0,,Defensive rebound by J. Poeltl,29,25
106,1,0:36.0,,M. Belinelli makes 2-pt jump shot from 21 ft (assist by L. Walker),29,27
107,1,0:20.0,C. Reddish misses 3-pt jump shot from 26 ft,,29,27
108,1,0:16.0,,Defensive rebound by D. White,29,27
109,1,0:02.0,,D. White misses 3-pt jump shot from 27 ft,29,27
110,1,0:02.0,Defensive rebound by C. Reddish,,29,27
111,2,11:48.0,,Offensive foul by J. Poeltl (drawn by V. Carter),29,27
112,2,11:48.0,,Turnover by J. Poeltl (offensive foul),29,27
113,2,11:35.0,B. Goodwin misses 3-pt jump shot from 26 ft,,29,27
114,2,11:34.0,,Defensive rebound by B. Forbes,29,27
115,2,11:24.0,,Shooting foul by C. Reddish (drawn by B. Forbes),29,27
116,2,11:24.0,,B. Forbes makes free throw 1 of 2,29,28
117,2,11:24.0,,B. Forbes makes free throw 2 of 2,29,29
118,2,11:06.0,C. Reddish makes 2-pt jump shot from 17 ft,,31,29
119,2,10:54.0,,M. Belinelli misses 2-pt jump shot from 21 ft,31,29
120,2,10:51.0,Defensive rebound by V. Carter,,31,29
121,2,10:45.0,Turnover by B. Goodwin (bad pass; steal by J. Poeltl),,31,29
122,2,10:40.0,,B. Forbes makes 3-pt jump shot from 27 ft (assist by J. Poeltl),31,32
123,2,10:21.0,Shooting foul by D. White (drawn by V. Carter),,31,32
124,2,10:21.0,V. Carter misses free throw 1 of 2,,31,32
125,2,10:21.0,Offensive rebound by Team,,31,32
126,2,10:21.0,,D. DeRozan enters the game for L. Walker,31,32
127,2,10:21.0,V. Carter makes free throw 2 of 2,,32,32
128,2,10:12.0,,Turnover by B. Forbes (bad pass; steal by C. Reddish),32,32
129,2,10:08.0,Personal foul by B. Forbes (drawn by C. Reddish),,32,32
130,2,10:08.0,B. Fernando enters the game for D. Jones,,32,32
131,2,10:03.0,V. Carter makes 3-pt jump shot from 26 ft (assist by B. Fernando),,35,32
132,2,9:49.0,,M. Belinelli makes 3-pt jump shot from 27 ft (assist by J. Poeltl),35,35
133,2,9:30.0,V. Carter misses 2-pt layup from 6 ft,,35,35
134,2,9:29.0,B. Goodwin misses 2-pt layup from 1 ft,,35,35
135,2,9:29.0,Offensive rebound by V. Carter,,35,35
136,2,9:29.0,Offensive rebound by B. Goodwin,,35,35
137,2,9:24.0,V. Carter makes 3-pt jump shot from 24 ft,,38,35
138,2,9:11.0,,Turnover by D. DeRozan (bad pass; steal by V. Carter),38,35
139,2,9:07.0,Shooting foul by D. White (drawn by D. Bembry),,38,35
140,2,9:07.0,D. Bembry makes free throw 1 of 2,,39,35
141,2,9:07.0,Turnover by D. Bembry (lane violation),,39,35
142,2,9:07.0,D. Hunter enters the game for C. Reddish,,39,35
143,2,9:07.0,,D. Murray enters the game for D. White,39,35
144,2,8:59.0,,Personal foul by D. Bembry (drawn by D. DeRozan),39,35
145,2,8:46.0,,D. DeRozan makes 2-pt layup from 7 ft,39,37
146,2,8:28.0,B. Fernando misses 2-pt layup from 7 ft,,39,37
147,2,8:26.0,,Defensive rebound by J. Poeltl,39,37
148,2,8:17.0,,Turnover by D. Murray (bad pass; steal by D. Bembry),39,37
149,2,8:05.0,B. Goodwin makes 2-pt jump shot from 14 ft,,41,37
150,2,8:05.0,,San Antonio full timeout,41,37
151,2,8:05.0,T. Young enters the game for D. Bembry,,41,37
152,2,7:57.0,,J. Poeltl makes 2-pt jump shot from 8 ft (assist by D. DeRozan),41,39
153,2,7:47.0,Personal foul by D. DeRozan (drawn by T. Young),,41,39
154,2,7:39.0,T. Young misses 2-pt layup from 8 ft,,41,39
155,2,7:37.0,,Defensive rebound by D. Murray,41,39
156,2,7:34.0,,M. Belinelli misses 3-pt jump shot from 26 ft,41,39
