,QUARTER,TIME_REMAINING,ORLANDO_ACTION,TORONTO_ACTION,ORLANDO_SCORE,TORONTO_SCORE
0,1,11:39.0,,P. Siakam makes 2-pt jump shot from 17 ft,0,2
1,1,11:22.0,N. Vučević misses 3-pt jump shot from 23 ft,,0,2
2,1,11:19.0,,Defensive rebound by P. Siakam,0,2
3,1,11:14.0,,Turnover by P. Siakam (lost ball; steal by J. Isaac),0,2
4,1,11:10.0,Turnover by J. Isaac (off goaltending),,0,2
5,1,10:57.0,,Turnover by F. VanVleet (bad pass; steal by M. Fultz),0,2
6,1,10:40.0,J. Isaac makes 2-pt jump shot from 9 ft (assist by N. Vučević),,2,2
7,1,10:27.0,,F. VanVleet makes 2-pt layup from 2 ft,2,4
8,1,10:02.0,E. Fournier makes 2-pt layup from 4 ft (assist by N. Vučević),,4,4
9,1,10:02.0,Shooting foul by N. Powell (drawn by E. Fournier),,4,4
10,1,10:02.0,E. Fournier makes free throw 1 of 1,,5,4
11,1,9:53.0,,F. VanVleet misses 3-pt jump shot from 25 ft,5,4
12,1,9:49.0,Defensive rebound by J. Isaac,,5,4
13,1,9:42.0,M. Fultz makes 2-pt layup from 2 ft (assist by J. Isaac),,7,4
14,1,9:15.0,,M. Gasol makes 3-pt jump shot from 23 ft (assist by F. VanVleet),7,7
15,1,8:55.0,M. Fultz misses 2-pt layup from 3 ft,,7,7
16,1,8:53.0,,Defensive rebound by M. Gasol,7,7
17,1,8:34.0,,F. VanVleet misses 3-pt jump shot from 25 ft,7,7
18,1,8:30.0,Defensive rebound by A. Gordon,,7,7
19,1,8:18.0,A. Gordon makes 2-pt dunk from 2 ft (assist by N. Vučević),,9,7
20,1,8:00.0,,N. Powell makes 2-pt layup from 2 ft,9,9
21,1,7:44.0,J. Isaac makes 2-pt jump shot from 17 ft (assist by N. Vučević),,11,9
22,1,7:24.0,,F. VanVleet misses 2-pt layup from 2 ft (block by N. Vučević),11,9
23,1,7:22.0,Defensive rebound by N. Vučević,,11,9
24,1,7:17.0,A. Gordon misses 2-pt jump shot from 10 ft,,11,9
25,1,7:14.0,Offensive rebound by N. Vučević,,11,9
26,1,7:12.0,N. Vučević misses 2-pt layup from 3 ft,,11,9
27,1,7:10.0,,Defensive rebound by P. Siakam,11,9
28,1,7:07.0,,Turnover by N. Powell (lost ball; steal by E. Fournier),11,9
29,1,7:02.0,E. Fournier makes 2-pt jump shot from 5 ft,,13,9
30,1,6:43.0,,F. VanVleet makes 2-pt layup from 1 ft,13,11
31,1,6:22.0,N. Vučević makes 3-pt jump shot from 24 ft (assist by E. Fournier),,16,11
32,1,6:11.0,,Toronto full timeout,16,11
33,1,6:11.0,A. Aminu enters the game for A. Gordon,,16,11
34,1,6:05.0,,N. Powell makes 3-pt jump shot from 23 ft (assist by F. VanVleet),16,14
35,1,5:43.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by N. Vučević),,19,14
36,1,5:32.0,,Personal foul by E. Fournier (drawn by M. Gasol),19,14
37,1,5:22.0,,M. Gasol misses 2-pt hook shot from 3 ft,19,14
38,1,5:19.0,Defensive rebound by A. Aminu,,19,14
39,1,5:09.0,Turnover by A. Aminu (bad pass; steal by M. Gasol),,19,14
40,1,5:04.0,,O. Anunoby misses 3-pt jump shot from 23 ft,19,14
41,1,5:01.0,Defensive rebound by N. Vučević,,19,14
42,1,4:52.0,N. Vučević misses 3-pt jump shot from 25 ft,,19,14
43,1,4:51.0,Offensive rebound by J. Isaac,,19,14
44,1,4:51.0,J. Isaac makes 2-pt dunk at rim,,21,14
45,1,4:51.0,Shooting foul by O. Anunoby (drawn by J. Isaac),,21,14
46,1,4:51.0,D. Augustin enters the game for E. Fournier,,21,14
47,1,4:51.0,T. Ross enters the game for M. Fultz,,21,14
48,1,4:51.0,J. Isaac makes free throw 1 of 1,,22,14
49,1,4:39.0,,Shooting foul by J. Isaac (drawn by O. Anunoby),22,14
50,1,4:39.0,,O. Anunoby makes free throw 1 of 2,22,15
51,1,4:39.0,,O. Anunoby makes free throw 2 of 2,22,16
52,1,4:28.0,N. Vučević misses 2-pt jump shot from 13 ft,,22,16
53,1,4:26.0,,Defensive rebound by M. Gasol,22,16
54,1,4:15.0,,O. Anunoby makes 2-pt jump shot from 2 ft (assist by P. Siakam),22,18
55,1,4:08.0,Orlando full timeout,,22,18
56,1,4:08.0,M. Bamba enters the game for N. Vučević,,22,18
57,1,4:01.0,Shooting foul by M. Gasol (drawn by M. Bamba),,22,18
58,1,4:01.0,M. Bamba makes free throw 1 of 2,,23,18
59,1,4:01.0,M. Bamba misses free throw 2 of 2,,23,18
60,1,3:58.0,,Defensive rebound by M. Gasol,23,18
61,1,3:42.0,,P. Siakam makes 2-pt jump shot from 16 ft,23,20
62,1,3:28.0,J. Isaac misses 3-pt jump shot from 26 ft,,23,20
63,1,3:26.0,Offensive rebound by J. Isaac,,23,20
64,1,3:24.0,T. Ross makes 3-pt jump shot from 25 ft (assist by J. Isaac),,26,20
65,1,3:09.0,,N. Powell makes 2-pt layup from 2 ft (assist by M. Gasol),26,22
66,1,3:09.0,A. Gordon enters the game for J. Isaac,,26,22
67,1,3:09.0,,T. Davis enters the game for O. Anunoby,26,22
68,1,3:09.0,,R. Hollis-Jefferson enters the game for N. Powell,26,22
69,1,2:47.0,T. Ross misses 3-pt jump shot from 25 ft,,26,22
70,1,2:45.0,,Defensive rebound by M. Gasol,26,22
71,1,2:34.0,,T. Davis makes 3-pt jump shot from 25 ft (assist by M. Gasol),26,25
72,1,2:11.0,D. Augustin makes 3-pt jump shot from 27 ft (assist by M. Bamba),,29,25
73,1,2:11.0,,C. Boucher enters the game for M. Gasol,29,25
74,1,1:47.0,,T. Davis makes 3-pt jump shot from 25 ft,29,28
75,1,1:21.0,D. Augustin misses 2-pt hook shot from 9 ft,,29,28
76,1,1:19.0,,Defensive rebound by T. Davis,29,28
77,1,1:01.0,,P. Siakam misses 2-pt layup from 1 ft,29,28
78,1,0:59.0,Defensive rebound by M. Bamba,,29,28
79,1,0:56.0,A. Aminu makes 3-pt jump shot from 25 ft (assist by D. Augustin),,32,28
80,1,0:33.0,,P. Siakam misses 3-pt jump shot from 24 ft,32,28
