,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MILWAUKEE_ACTION,CHICAGO_SCORE,MILWAUKEE_SCORE
0,1,11:37.0,T. Satoranský makes 3-pt jump shot from 27 ft (assist by C. Hutchison),,3,0
1,1,11:25.0,,Turnover by B. Lopez (bad pass; steal by T. Satoranský),3,0
2,1,11:22.0,T. Satoranský makes 2-pt layup from 2 ft,,5,0
3,1,11:09.0,,B. Lopez makes 2-pt dunk from 3 ft (assist by E. Bledsoe),5,2
4,1,10:54.0,T. Satoranský misses 2-pt jump shot from 11 ft,,5,2
5,1,10:51.0,,Defensive rebound by G. Antetokounmpo,5,2
6,1,10:43.0,,B. Lopez misses 3-pt jump shot from 27 ft,5,2
7,1,10:40.0,Defensive rebound by Z. LaVine,,5,2
8,1,10:36.0,L. Markkanen misses 3-pt jump shot from 27 ft,,5,2
9,1,10:32.0,,Defensive rebound by W. Matthews,5,2
10,1,10:24.0,,E. Bledsoe makes 2-pt layup from 5 ft,5,4
11,1,10:16.0,Z. LaVine misses 2-pt jump shot from 16 ft,,5,4
12,1,10:11.0,,Defensive rebound by G. Antetokounmpo,5,4
13,1,10:07.0,,G. Antetokounmpo makes 3-pt jump shot from 26 ft,5,7
14,1,9:53.0,Offensive foul by W. Carter (drawn by D. DiVincenzo),,5,7
15,1,9:53.0,Turnover by W. Carter (offensive foul),,5,7
16,1,9:45.0,Violation by Team (kicked ball),,5,7
17,1,9:38.0,,B. Lopez misses 2-pt layup from 3 ft,5,7
18,1,9:36.0,,Offensive rebound by B. Lopez,5,7
19,1,9:30.0,,B. Lopez makes 2-pt jump shot from 11 ft,5,9
20,1,9:19.0,W. Carter makes 2-pt layup from 1 ft (assist by Z. LaVine),,7,9
21,1,9:10.0,,B. Lopez misses 3-pt jump shot from 26 ft,7,9
22,1,9:07.0,Defensive rebound by C. Hutchison,,7,9
23,1,9:01.0,L. Markkanen makes 3-pt jump shot from 25 ft (assist by T. Satoranský),,10,9
24,1,8:47.0,,Turnover by W. Matthews (bad pass; steal by C. Hutchison),10,9
25,1,8:44.0,Shooting foul by E. Bledsoe (drawn by C. Hutchison),,10,9
26,1,8:44.0,C. Hutchison makes free throw 1 of 2,,11,9
27,1,8:44.0,C. Hutchison makes free throw 2 of 2,,12,9
28,1,8:30.0,,W. Matthews makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),12,12
29,1,8:20.0,Turnover by T. Satoranský (bad pass; steal by E. Bledsoe),,12,12
30,1,8:17.0,,G. Antetokounmpo makes 2-pt layup from 3 ft (assist by E. Bledsoe),12,14
31,1,8:17.0,,Shooting foul by L. Markkanen (drawn by G. Antetokounmpo),12,14
32,1,8:17.0,,G. Antetokounmpo makes free throw 1 of 1,12,15
33,1,8:01.0,C. Hutchison misses 2-pt jump shot from 9 ft,,12,15
34,1,7:55.0,Offensive rebound by W. Carter,,12,15
35,1,7:55.0,W. Carter makes 2-pt dunk at rim,,14,15
36,1,7:39.0,,W. Matthews misses 3-pt jump shot from 26 ft,14,15
37,1,7:35.0,Defensive rebound by L. Markkanen,,14,15
38,1,7:34.0,Shooting foul by G. Antetokounmpo (drawn by L. Markkanen),,14,15
39,1,7:34.0,L. Markkanen misses free throw 1 of 2,,14,15
40,1,7:34.0,Offensive rebound by Team,,14,15
41,1,7:34.0,T. Young enters the game for W. Carter,,14,15
42,1,7:34.0,,Milwaukee full timeout,14,15
43,1,7:34.0,L. Markkanen makes free throw 2 of 2,,15,15
44,1,7:25.0,,Offensive foul by B. Lopez (drawn by Z. LaVine),15,15
45,1,7:25.0,,Turnover by B. Lopez (offensive foul),15,15
46,1,7:14.0,Z. LaVine makes 2-pt jump shot from 20 ft,,17,15
47,1,7:07.0,,Shooting foul by T. Young (drawn by G. Antetokounmpo),17,15
