,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,BOSTON_ACTION,GOLDEN STATE_SCORE,BOSTON_SCORE
0,1,11:49.0,D. Lee makes 2-pt jump shot from 19 ft (assist by D. Green),,2,0
1,1,11:29.0,,D. Theis misses 2-pt jump shot from 14 ft,2,0
2,1,11:27.0,Defensive rebound by D. Green,,2,0
3,1,11:22.0,G. Robinson makes 3-pt jump shot from 26 ft (assist by D. Green),,5,0
4,1,11:08.0,,Shooting foul by G. Robinson (drawn by J. Tatum),5,0
5,1,11:08.0,,J. Tatum makes free throw 1 of 2,5,1
6,1,11:08.0,,J. Tatum misses free throw 2 of 2,5,1
7,1,11:05.0,Defensive rebound by D. Green,,5,1
8,1,10:58.0,D. Green misses 2-pt jump shot from 10 ft,,5,1
9,1,10:56.0,,Defensive rebound by D. Theis,5,1
10,1,10:47.0,,Turnover by J. Brown (bad pass; steal by M. Chriss),5,1
11,1,10:42.0,D. Russell makes 2-pt layup from 1 ft,,7,1
12,1,10:28.0,,K. Walker misses 2-pt jump shot from 16 ft,7,1
13,1,10:26.0,,Offensive rebound by D. Theis,7,1
14,1,10:20.0,,J. Brown makes 3-pt jump shot from 25 ft (assist by G. Hayward),7,4
15,1,10:04.0,M. Chriss makes 2-pt hook shot from 4 ft (assist by D. Green),,9,4
16,1,9:50.0,,Turnover by D. Theis (bad pass; steal by D. Russell),9,4
17,1,9:43.0,D. Russell misses 3-pt jump shot from 26 ft,,9,4
18,1,9:41.0,,Defensive rebound by J. Tatum,9,4
19,1,9:36.0,,K. Walker misses 3-pt jump shot from 26 ft,9,4
20,1,9:34.0,,Offensive rebound by D. Theis,9,4
21,1,9:30.0,,Turnover by K. Walker (bad pass),9,4
22,1,9:16.0,M. Chriss misses 2-pt layup from 8 ft,,9,4
23,1,9:15.0,,Defensive rebound by Team,9,4
24,1,9:00.0,,G. Hayward makes 2-pt layup from 2 ft,9,6
25,1,8:47.0,Turnover by D. Lee (bad pass),,9,6
26,1,8:36.0,,Shooting foul by D. Lee (drawn by G. Hayward),9,6
27,1,8:36.0,,G. Hayward makes free throw 1 of 2,9,7
28,1,8:36.0,,G. Hayward makes free throw 2 of 2,9,8
29,1,8:11.0,G. Robinson misses 3-pt jump shot from 26 ft,,9,8
30,1,8:09.0,,Defensive rebound by D. Theis,9,8
31,1,8:00.0,,J. Brown misses 2-pt layup from 2 ft,9,8
32,1,7:58.0,Defensive rebound by D. Lee,,9,8
33,1,7:47.0,D. Russell misses 2-pt jump shot from 8 ft,,9,8
34,1,7:45.0,Offensive rebound by M. Chriss,,9,8
35,1,7:44.0,M. Chriss misses 2-pt layup from 1 ft (block by G. Hayward),,9,8
36,1,7:42.0,,Defensive rebound by K. Walker,9,8
37,1,7:33.0,,G. Hayward makes 3-pt jump shot from 25 ft (assist by K. Walker),9,11
38,1,7:20.0,G. Robinson misses 3-pt jump shot from 23 ft,,9,11
39,1,7:19.0,Offensive rebound by D. Russell,,9,11
40,1,7:15.0,D. Russell makes 2-pt layup from 1 ft,,11,11
41,1,6:58.0,,J. Tatum misses 3-pt jump shot from 26 ft,11,11
42,1,6:56.0,Defensive rebound by D. Green,,11,11
43,1,6:55.0,Clear path foul by J. Tatum,,11,11
44,1,6:55.0,,Boston full timeout,11,11
45,1,6:55.0,,Instant Replay (Request: Ruling Stands),11,11
46,1,6:55.0,M. Chriss misses clear path free throw 1 of 2,,11,11
47,1,6:55.0,Offensive rebound by Team,,11,11
48,1,6:55.0,M. Chriss makes clear path free throw 2 of 2,,12,11
49,1,6:40.0,D. Green makes 3-pt jump shot from 23 ft (assist by D. Lee),,15,11
50,1,6:17.0,,G. Hayward misses 2-pt jump shot from 6 ft,15,11
51,1,6:14.0,Defensive rebound by D. Lee,,15,11
52,1,5:54.0,Offensive foul by D. Green (drawn by D. Theis),,15,11
53,1,5:54.0,Turnover by D. Green (offensive foul),,15,11
54,1,5:54.0,,S. Ojeleye enters the game for J. Tatum,15,11
55,1,5:54.0,,M. Smart enters the game for K. Walker,15,11
56,1,5:48.0,,G. Hayward makes 2-pt dunk from 1 ft (assist by M. Smart),15,13
57,1,5:29.0,D. Russell misses 3-pt jump shot from 27 ft,,15,13
58,1,5:27.0,,Defensive rebound by M. Smart,15,13
59,1,5:24.0,,J. Brown makes 2-pt dunk at rim (assist by M. Smart),15,15
60,1,5:24.0,Golden State full timeout,,15,15
61,1,5:24.0,A. Burks enters the game for D. Lee,,15,15
62,1,5:11.0,Personal foul by D. Theis (drawn by D. Russell),,15,15
63,1,5:05.0,Turnover by D. Russell (lost ball; steal by D. Theis),,15,15
64,1,4:47.0,,Shooting foul by G. Robinson (drawn by J. Brown),15,15
65,1,4:47.0,,J. Brown makes free throw 1 of 2,15,16
66,1,4:47.0,J. Evans enters the game for M. Chriss,,15,16
67,1,4:47.0,E. Paschall enters the game for G. Robinson,,15,16
68,1,4:47.0,J. Poole enters the game for D. Russell,,15,16
69,1,4:47.0,,J. Brown makes free throw 2 of 2,15,17
70,1,4:22.0,J. Poole misses 3-pt jump shot from 23 ft,,15,17
71,1,4:20.0,,Defensive rebound by G. Hayward,15,17
72,1,4:10.0,,M. Smart misses 3-pt jump shot from 23 ft,15,17
73,1,4:08.0,,Offensive rebound by D. Theis,15,17
74,1,4:04.0,,Offensive foul by D. Theis (drawn by D. Green),15,17
75,1,4:04.0,,Turnover by D. Theis (offensive foul),15,17
76,1,4:04.0,Turnover by D. Green (inbound),,15,17
77,1,4:04.0,,G. Williams enters the game for D. Theis,15,17
78,1,3:58.0,,Shooting foul by E. Paschall (drawn by G. Hayward),15,17
79,1,3:58.0,,G. Hayward makes free throw 1 of 2,15,18
80,1,3:58.0,,G. Hayward makes free throw 2 of 2,15,19
81,1,3:37.0,A. Burks misses 3-pt jump shot from 27 ft,,15,19
82,1,3:35.0,,Defensive rebound by M. Smart,15,19
83,1,3:15.0,,Turnover by M. Smart (bad pass; steal by A. Burks),15,19
84,1,3:11.0,Shooting foul by J. Brown (drawn by J. Evans),,15,19
85,1,3:11.0,J. Evans makes free throw 1 of 2,,16,19
86,1,3:11.0,O. Spellman enters the game for D. Green,,16,19
87,1,3:11.0,,B. Wanamaker enters the game for J. Brown,16,19
88,1,3:11.0,J. Evans makes free throw 2 of 2,,17,19
89,1,2:48.0,,G. Williams makes 2-pt jump shot from 8 ft (assist by S. Ojeleye),17,21
90,1,2:41.0,Turnover by A. Burks (traveling),,17,21
91,1,2:30.0,,M. Smart makes 2-pt hook shot from 8 ft (assist by G. Williams),17,23
92,1,2:19.0,O. Spellman misses 3-pt jump shot from 26 ft,,17,23
93,1,2:17.0,,Defensive rebound by B. Wanamaker,17,23
94,1,1:58.0,,M. Smart makes 2-pt jump shot from 11 ft,17,25
95,1,1:42.0,Turnover by J. Poole (lost ball; steal by S. Ojeleye),,17,25
96,1,1:37.0,,M. Smart misses 3-pt jump shot from 26 ft,17,25
97,1,1:34.0,Defensive rebound by E. Paschall,,17,25
98,1,1:28.0,Shooting foul by G. Williams (drawn by E. Paschall),,17,25
99,1,1:28.0,E. Paschall makes free throw 1 of 2,,18,25
100,1,1:28.0,E. Paschall makes free throw 2 of 2,,19,25
101,1,1:07.0,,G. Williams misses 2-pt jump shot from 10 ft,19,25
102,1,1:05.0,Defensive rebound by A. Burks,,19,25
103,1,0:59.0,A. Burks misses 2-pt layup from 2 ft,,19,25
104,1,0:58.0,,Defensive rebound by G. Hayward,19,25
105,1,0:53.0,,M. Smart misses 3-pt jump shot from 23 ft,19,25
106,1,0:51.0,,Offensive rebound by S. Ojeleye,19,25
