,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CHARLOTTE_ACTION,ORLANDO_SCORE,CHARLOTTE_SCORE
0,1,11:37.0,,M. Bridges makes 3-pt jump shot from 27 ft (assist by D. Graham),0,3
1,1,11:20.0,N. Vučević makes 2-pt layup from 1 ft (assist by M. Fultz),,2,3
2,1,11:05.0,,M. Bridges misses 3-pt jump shot from 22 ft,2,3
3,1,10:58.0,,Offensive rebound by M. Bridges,2,3
4,1,10:57.0,,M. Bridges makes 2-pt dunk from 2 ft,2,5
5,1,10:49.0,E. Fournier makes 2-pt layup from 1 ft (assist by M. Fultz),,4,5
6,1,10:49.0,,Violation by Team (def goaltending),4,5
7,1,10:29.0,,T. Rozier makes 2-pt jump shot from 17 ft,4,7
8,1,10:14.0,N. Vučević makes 2-pt jump shot from 10 ft (assist by M. Fultz),,6,7
9,1,10:03.0,,Personal foul by M. Fultz (drawn by D. Graham),6,7
10,1,9:57.0,,Turnover by D. Bacon (traveling),6,7
11,1,9:38.0,A. Gordon misses 2-pt jump shot from 11 ft,,6,7
12,1,9:36.0,Offensive rebound by N. Vučević,,6,7
13,1,9:30.0,A. Gordon misses 3-pt jump shot from 23 ft,,6,7
14,1,9:27.0,,Defensive rebound by D. Bacon,6,7
15,1,9:15.0,,D. Graham misses 3-pt jump shot from 26 ft,6,7
16,1,9:11.0,Defensive rebound by N. Vučević,,6,7
17,1,9:07.0,W. Iwundu misses 3-pt jump shot from 24 ft,,6,7
18,1,9:04.0,,Defensive rebound by C. Zeller,6,7
19,1,8:50.0,,C. Zeller makes 2-pt layup from 5 ft (assist by T. Rozier),6,9
20,1,8:29.0,Shooting foul by C. Zeller (drawn by W. Iwundu),,6,9
21,1,8:29.0,W. Iwundu makes free throw 1 of 2,,7,9
22,1,8:29.0,W. Iwundu makes free throw 2 of 2,,8,9
23,1,8:04.0,,Turnover by T. Rozier (bad pass; steal by W. Iwundu),8,9
24,1,7:59.0,W. Iwundu makes 2-pt dunk from 1 ft (assist by A. Gordon),,10,9
25,1,7:47.0,,T. Rozier misses 2-pt jump shot from 16 ft,10,9
26,1,7:45.0,,Offensive rebound by M. Bridges,10,9
27,1,7:43.0,,T. Rozier misses 3-pt jump shot from 24 ft,10,9
28,1,7:38.0,Defensive rebound by A. Gordon,,10,9
29,1,7:32.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by W. Iwundu),,13,9
30,1,7:31.0,,Charlotte full timeout,13,9
31,1,7:17.0,,M. Bridges makes 2-pt dunk from 1 ft (assist by C. Zeller),13,11
32,1,6:58.0,E. Fournier misses 2-pt jump shot from 17 ft,,13,11
33,1,6:56.0,,Defensive rebound by C. Zeller,13,11
34,1,6:46.0,,M. Bridges misses 2-pt layup from 2 ft,13,11
35,1,6:39.0,,Offensive rebound by C. Zeller,13,11
36,1,6:39.0,,C. Zeller makes 2-pt layup from 1 ft,13,13
37,1,6:19.0,N. Vučević misses 2-pt jump shot from 13 ft,,13,13
38,1,6:17.0,,Defensive rebound by D. Bacon,13,13
39,1,6:13.0,,Turnover by D. Bacon (bad pass; steal by A. Gordon),13,13
40,1,6:11.0,Shooting foul by C. Zeller (drawn by A. Gordon),,13,13
41,1,6:11.0,A. Gordon misses free throw 1 of 2,,13,13
42,1,6:11.0,Offensive rebound by Team,,13,13
43,1,6:11.0,T. Ross enters the game for W. Iwundu,,13,13
44,1,6:11.0,,W. Hernangómez enters the game for D. Graham,13,13
45,1,6:11.0,,M. Monk enters the game for C. Zeller,13,13
46,1,6:11.0,A. Gordon misses free throw 2 of 2,,13,13
47,1,6:08.0,,Defensive rebound by D. Bacon,13,13
48,1,5:49.0,,Turnover by W. Hernangómez (traveling),13,13
49,1,5:38.0,N. Vučević makes 2-pt hook shot from 6 ft (assist by M. Fultz),,15,13
50,1,5:22.0,,M. Monk misses 3-pt jump shot from 32 ft,15,13
51,1,5:20.0,Defensive rebound by Team,,15,13
52,1,5:03.0,N. Vučević makes 2-pt jump shot from 15 ft (assist by M. Fultz),,17,13
53,1,4:45.0,,D. Bacon misses 2-pt jump shot from 9 ft,17,13
54,1,4:41.0,Defensive rebound by A. Gordon,,17,13
55,1,4:33.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by M. Fultz),,20,13
56,1,4:19.0,,T. Rozier makes 2-pt jump shot from 10 ft,20,15
57,1,4:05.0,N. Vučević makes 2-pt layup from 3 ft (assist by M. Fultz),,22,15
58,1,4:05.0,Shooting foul by D. Bacon (drawn by N. Vučević),,22,15
59,1,4:05.0,M. Carter-Williams enters the game for E. Fournier,,22,15
60,1,4:05.0,B. Johnson enters the game for M. Fultz,,22,15
61,1,4:05.0,,D. Graham enters the game for D. Bacon,22,15
62,1,4:05.0,,C. Martin enters the game for M. Bridges,22,15
63,1,4:05.0,,M. Williams enters the game for T. Rozier,22,15
64,1,4:05.0,N. Vučević makes free throw 1 of 1,,23,15
65,1,3:49.0,,W. Hernangómez misses 2-pt layup from 3 ft,23,15
66,1,3:47.0,Defensive rebound by A. Gordon,,23,15
67,1,3:42.0,A. Gordon makes 2-pt layup from 1 ft,,25,15
68,1,3:33.0,,Turnover by W. Hernangómez (bad pass; steal by T. Ross),25,15
69,1,3:27.0,N. Vučević misses 3-pt jump shot from 26 ft,,25,15
70,1,3:24.0,,Defensive rebound by M. Williams,25,15
71,1,3:12.0,,Turnover by D. Graham (bad pass; steal by A. Gordon),25,15
72,1,3:01.0,A. Gordon misses 3-pt jump shot from 26 ft,,25,15
73,1,2:58.0,,Defensive rebound by M. Monk,25,15
74,1,2:54.0,,M. Monk makes 2-pt jump shot from 3 ft,25,17
75,1,2:51.0,Orlando full timeout,,25,17
76,1,2:51.0,M. Bamba enters the game for A. Gordon,,25,17
77,1,2:51.0,G. Clark enters the game for N. Vučević,,25,17
78,1,2:42.0,G. Clark misses 3-pt jump shot from 24 ft,,25,17
79,1,2:41.0,,Defensive rebound by Team,25,17
80,1,2:41.0,Loose ball foul by M. Bamba (drawn by W. Hernangómez),,25,17
81,1,2:29.0,,M. Monk makes 3-pt jump shot from 26 ft (assist by D. Graham),25,20
82,1,2:19.0,M. Carter-Williams misses 2-pt layup from 2 ft (block by M. Williams),,25,20
