,QUARTER,TIME_REMAINING,MIAMI_ACTION,PHILADELPHIA_ACTION,MIAMI_SCORE,PHILADELPHIA_SCORE
0,1,11:31.0,,J. Richardson misses 3-pt jump shot from 25 ft,0,0
1,1,11:29.0,Defensive rebound by D. Robinson,,0,0
2,1,11:09.0,Turnover by K. Nunn (lost ball; steal by B. Simmons),,0,0
3,1,11:05.0,,B. Simmons makes 2-pt layup from 1 ft,0,2
4,1,10:45.0,D. Robinson misses 3-pt jump shot from 25 ft,,0,2
5,1,10:42.0,,Defensive rebound by A. Horford,0,2
6,1,10:37.0,,Personal foul by J. Butler (drawn by B. Simmons),0,2
7,1,10:28.0,,T. Harris misses 3-pt jump shot from 26 ft,0,2
8,1,10:24.0,Defensive rebound by K. Nunn,,0,2
9,1,10:13.0,J. Butler misses 2-pt jump shot from 11 ft,,0,2
10,1,10:08.0,Offensive rebound by B. Adebayo,,0,2
11,1,10:08.0,B. Adebayo makes 2-pt layup at rim,,2,2
12,1,9:53.0,,J. Embiid makes 2-pt jump shot from 19 ft,2,4
13,1,9:45.0,K. Nunn misses 3-pt jump shot from 28 ft,,2,4
14,1,9:42.0,,Defensive rebound by B. Simmons,2,4
15,1,9:37.0,,T. Harris makes 2-pt dunk from 1 ft (assist by B. Simmons),2,6
16,1,9:22.0,D. Robinson misses 3-pt jump shot from 27 ft,,2,6
17,1,9:19.0,,Defensive rebound by B. Simmons,2,6
18,1,9:09.0,,J. Richardson makes 3-pt jump shot from 26 ft (assist by A. Horford),2,9
19,1,9:09.0,,Shooting foul by K. Nunn (drawn by J. Richardson),2,9
20,1,9:09.0,,J. Richardson misses free throw 1 of 1,2,9
21,1,9:07.0,Defensive rebound by M. Leonard,,2,9
22,1,9:00.0,B. Adebayo misses 2-pt layup from 2 ft,,2,9
23,1,9:00.0,Offensive rebound by Team,,2,9
24,1,8:49.0,B. Adebayo misses 2-pt jump shot from 22 ft,,2,9
25,1,8:46.0,,Defensive rebound by T. Harris,2,9
26,1,8:27.0,,J. Embiid makes 2-pt dunk from 1 ft,2,11
27,1,8:27.0,Miami full timeout,,2,11
28,1,8:27.0,G. Dragić enters the game for D. Robinson,,2,11
29,1,8:17.0,Personal foul by J. Richardson (drawn by G. Dragić),,2,11
30,1,8:09.0,Personal foul by T. Harris (drawn by B. Adebayo),,2,11
31,1,7:56.0,J. Butler makes 2-pt layup from 2 ft,,4,11
32,1,7:30.0,,A. Horford makes 2-pt jump shot from 20 ft (assist by J. Richardson),4,13
33,1,7:15.0,J. Butler misses 3-pt jump shot from 27 ft,,4,13
34,1,7:12.0,,Defensive rebound by B. Simmons,4,13
35,1,7:09.0,,Turnover by B. Simmons (traveling),4,13
36,1,6:57.0,Turnover by G. Dragić (bad pass; steal by J. Embiid),,4,13
37,1,6:49.0,,J. Richardson makes 2-pt jump shot from 18 ft (assist by A. Horford),4,15
38,1,6:35.0,G. Dragić makes 2-pt jump shot from 18 ft,,6,15
39,1,6:17.0,,Personal foul by G. Dragić (drawn by J. Richardson),6,15
40,1,6:17.0,K. Olynyk enters the game for M. Leonard,,6,15
41,1,6:17.0,,J. Ennis enters the game for J. Embiid,6,15
42,1,6:17.0,,M. Thybulle enters the game for J. Richardson,6,15
43,1,6:08.0,,A. Horford makes 2-pt jump shot from 20 ft (assist by B. Simmons),6,17
44,1,5:52.0,K. Nunn misses 2-pt jump shot from 20 ft,,6,17
45,1,5:49.0,,Defensive rebound by T. Harris,6,17
46,1,5:43.0,,B. Simmons makes 2-pt layup from 1 ft (assist by J. Ennis),6,19
47,1,5:43.0,Miami full timeout,,6,19
48,1,5:43.0,T. Herro enters the game for K. Nunn,,6,19
49,1,5:28.0,J. Butler misses 2-pt jump shot from 22 ft,,6,19
50,1,5:26.0,,Defensive rebound by B. Simmons,6,19
51,1,5:26.0,C. Silva enters the game for B. Adebayo,,6,19
52,1,5:18.0,,T. Harris misses 3-pt jump shot from 25 ft,6,19
53,1,5:14.0,Defensive rebound by G. Dragić,,6,19
54,1,5:06.0,Turnover by G. Dragić (bad pass; steal by T. Harris),,6,19
55,1,4:55.0,,A. Horford misses 2-pt hook shot from 3 ft,6,19
56,1,4:52.0,,Offensive rebound by B. Simmons,6,19
57,1,4:47.0,,A. Horford misses 2-pt layup from 1 ft,6,19
58,1,4:43.0,Defensive rebound by C. Silva,,6,19
59,1,4:35.0,G. Dragić misses 2-pt jump shot from 9 ft,,6,19
60,1,4:33.0,,Defensive rebound by A. Horford,6,19
61,1,4:28.0,,T. Harris makes 2-pt jump shot from 13 ft,6,21
62,1,4:12.0,J. Butler misses 3-pt jump shot from 27 ft,,6,21
63,1,4:08.0,,Defensive rebound by T. Harris,6,21
64,1,4:05.0,,Philadelphia full timeout,6,21
65,1,4:05.0,,M. Scott enters the game for T. Harris,6,21
66,1,3:56.0,,A. Horford makes 2-pt jump shot from 19 ft,6,23
67,1,3:30.0,T. Herro misses 2-pt jump shot from 22 ft,,6,23
68,1,3:24.0,Offensive rebound by G. Dragić,,6,23
69,1,3:23.0,Turnover by G. Dragić (bad pass; steal by B. Simmons),,6,23
70,1,3:21.0,,M. Thybulle makes 3-pt jump shot from 24 ft (assist by B. Simmons),6,26
71,1,2:54.0,T. Herro misses 3-pt jump shot from 27 ft,,6,26
72,1,2:54.0,Offensive rebound by J. Butler,,6,26
73,1,2:54.0,J. Butler makes 2-pt dunk at rim,,8,26
74,1,2:54.0,,Personal foul by C. Silva (drawn by B. Simmons),8,26
75,1,2:54.0,B. Adebayo enters the game for C. Silva,,8,26
76,1,2:54.0,,T. Burke enters the game for A. Horford,8,26
77,1,2:54.0,,J. Embiid enters the game for B. Simmons,8,26
78,1,2:54.0,,J. Richardson enters the game for M. Thybulle,8,26
79,1,2:46.0,,Shooting foul by B. Adebayo (drawn by J. Embiid),8,26
80,1,2:46.0,,J. Embiid makes free throw 1 of 2,8,27
81,1,2:46.0,,J. Embiid makes free throw 2 of 2,8,28
82,1,2:21.0,J. Butler misses 2-pt jump shot from 17 ft,,8,28
83,1,2:18.0,,Defensive rebound by J. Embiid,8,28
84,1,2:02.0,,M. Scott misses 2-pt layup from 1 ft,8,28
85,1,1:59.0,Defensive rebound by G. Dragić,,8,28
86,1,1:59.0,Personal foul by J. Richardson (drawn by J. Butler),,8,28
87,1,1:50.0,G. Dragić misses 3-pt jump shot from 23 ft,,8,28
88,1,1:46.0,Offensive rebound by J. Butler,,8,28
89,1,1:44.0,T. Herro makes 3-pt jump shot from 27 ft (assist by J. Butler),,11,28
90,1,1:19.0,,Turnover by J. Embiid (bad pass; steal by T. Herro),11,28
91,1,1:19.0,Turnover by T. Herro (out of bounds lost ball),,11,28
92,1,1:19.0,,M. Thybulle enters the game for J. Richardson,11,28
93,1,1:08.0,,J. Embiid misses 2-pt jump shot from 18 ft,11,28
94,1,1:05.0,Defensive rebound by J. Butler,,11,28
95,1,0:56.0,J. Butler misses 2-pt jump shot from 9 ft,,11,28
96,1,0:54.0,,Defensive rebound by M. Scott,11,28
97,1,0:51.0,,Turnover by T. Burke (traveling),11,28
98,1,0:45.0,Personal foul by J. Ennis (drawn by T. Herro),,11,28
