,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SAN ANTONIO_ACTION,LA LAKERS_SCORE,SAN ANTONIO_SCORE
0,1,11:53.0,,D. DeRozan misses 2-pt layup from 2 ft (block by L. James),0,0
1,1,11:49.0,Defensive rebound by J. McGee,,0,0
2,1,11:42.0,A. Bradley misses 2-pt jump shot from 18 ft,,0,0
3,1,11:37.0,,Defensive rebound by T. Lyles,0,0
4,1,11:18.0,,L. Aldridge misses 3-pt jump shot from 26 ft,0,0
5,1,11:15.0,Defensive rebound by L. James,,0,0
6,1,11:01.0,Turnover by A. Davis (bad pass; steal by B. Forbes),,0,0
7,1,10:53.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. Murray),0,3
8,1,10:41.0,Turnover by D. Green (lost ball; steal by B. Forbes),,0,3
9,1,10:35.0,,T. Lyles makes 2-pt dunk at rim (assist by D. Murray),0,5
10,1,10:18.0,L. James misses 2-pt jump shot from 20 ft,,0,5
11,1,10:14.0,,Defensive rebound by D. Murray,0,5
12,1,10:03.0,,D. DeRozan misses 2-pt jump shot from 18 ft,0,5
13,1,9:56.0,Defensive rebound by A. Bradley,,0,5
14,1,9:52.0,,Violation by Team (kicked ball),0,5
15,1,9:47.0,A. Davis misses 2-pt jump shot from 18 ft,,0,5
16,1,9:44.0,,Defensive rebound by Team,0,5
17,1,9:25.0,,B. Forbes misses 2-pt layup from 2 ft (block by J. McGee),0,5
18,1,9:22.0,,Offensive rebound by D. DeRozan,0,5
19,1,9:20.0,,B. Forbes misses 3-pt jump shot from 23 ft,0,5
20,1,9:17.0,Defensive rebound by A. Bradley,,0,5
21,1,9:10.0,D. Green makes 3-pt jump shot from 23 ft (assist by L. James),,3,5
22,1,8:54.0,,D. Murray misses 2-pt jump shot from 9 ft,3,5
23,1,8:52.0,Defensive rebound by J. McGee,,3,5
24,1,8:45.0,L. James misses 2-pt layup from 2 ft (block by D. DeRozan),,3,5
25,1,8:45.0,Offensive rebound by Team,,3,5
26,1,8:43.0,A. Bradley makes 2-pt layup from 2 ft (assist by L. James),,5,5
27,1,8:24.0,,D. DeRozan makes 2-pt jump shot from 16 ft,5,7
28,1,8:07.0,A. Bradley makes 2-pt jump shot from 16 ft (assist by L. James),,7,7
29,1,7:46.0,,Personal foul by J. McGee (drawn by L. Aldridge),7,7
30,1,7:40.0,,T. Lyles misses 3-pt jump shot from 25 ft,7,7
