,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,ORLANDO_ACTION,LA LAKERS_SCORE,ORLANDO_SCORE
0,1,11:46.0,Turnover by L. James (step out of bounds),,0,0
1,1,11:26.0,,Turnover by D. Augustin (bad pass; steal by L. James),0,0
2,1,11:21.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,0,0
3,1,11:16.0,Offensive rebound by A. Davis,,0,0
4,1,11:06.0,L. James misses 3-pt jump shot from 26 ft,,0,0
5,1,11:01.0,,Defensive rebound by A. Gordon,0,0
6,1,10:50.0,,E. Fournier misses 3-pt jump shot from 25 ft,0,0
7,1,10:44.0,,Offensive rebound by J. Isaac,0,0
8,1,10:44.0,,J. Isaac misses 2-pt dunk at rim,0,0
9,1,10:43.0,Defensive rebound by A. Davis,,0,0
10,1,10:39.0,D. Green makes 2-pt layup from 2 ft (assist by L. James),,2,0
11,1,10:19.0,,Turnover by E. Fournier (lost ball; steal by D. Green),2,0
12,1,10:14.0,A. Davis misses 2-pt dunk from 2 ft,,2,0
13,1,10:11.0,,Defensive rebound by K. Birch,2,0
14,1,10:06.0,,Shooting foul by A. Davis (drawn by A. Gordon),2,0
15,1,10:06.0,,A. Gordon makes free throw 1 of 2,2,1
16,1,10:06.0,,A. Gordon misses free throw 2 of 2,2,1
17,1,10:03.0,Defensive rebound by J. McGee,,2,1
18,1,9:54.0,A. Davis misses 2-pt hook shot from 8 ft (block by J. Isaac),,2,1
19,1,9:50.0,,Defensive rebound by A. Gordon,2,1
20,1,9:46.0,,E. Fournier makes 2-pt layup from 2 ft,2,3
21,1,9:46.0,Violation by Team (def goaltending),,2,3
22,1,9:42.0,Shooting foul by A. Gordon (drawn by L. James),,2,3
23,1,9:42.0,L. James makes free throw 1 of 2,,3,3
24,1,9:42.0,L. James misses free throw 2 of 2,,3,3
25,1,9:39.0,Offensive rebound by L. James,,3,3
26,1,9:37.0,L. James misses 2-pt layup from 4 ft,,3,3
27,1,9:35.0,Offensive rebound by D. Green,,3,3
28,1,9:34.0,D. Green misses 3-pt jump shot from 25 ft,,3,3
29,1,9:34.0,,Defensive rebound by J. Isaac,3,3
30,1,9:19.0,,A. Gordon misses 2-pt jump shot from 15 ft,3,3
31,1,9:15.0,Defensive rebound by J. McGee,,3,3
32,1,9:14.0,Turnover by L. James (bad pass; steal by J. Isaac),,3,3
33,1,9:07.0,,J. Isaac misses 2-pt layup from 3 ft,3,3
34,1,9:05.0,Defensive rebound by A. Davis,,3,3
35,1,8:57.0,A. Davis misses 2-pt layup from 4 ft,,3,3
36,1,8:48.0,Offensive rebound by J. McGee,,3,3
37,1,8:48.0,J. McGee makes 2-pt layup from 1 ft,,5,3
38,1,8:43.0,,A. Gordon misses 3-pt jump shot from 25 ft,5,3
39,1,8:40.0,Defensive rebound by D. Green,,5,3
40,1,8:30.0,A. Davis misses 3-pt jump shot from 26 ft,,5,3
41,1,8:29.0,,Defensive rebound by Team,5,3
42,1,8:29.0,Loose ball foul by J. McGee (drawn by E. Fournier),,5,3
43,1,8:17.0,,D. Augustin misses 3-pt jump shot from 26 ft,5,3
44,1,8:12.0,Defensive rebound by A. Davis,,5,3
45,1,8:10.0,L. James misses 2-pt layup from 3 ft (block by A. Gordon),,5,3
46,1,8:08.0,,Defensive rebound by E. Fournier,5,3
47,1,8:07.0,,Orlando full timeout,5,3
48,1,8:07.0,,Instant Replay (Challenge: Ruling Stands),5,3
49,1,7:51.0,,J. Isaac misses 2-pt jump shot from 13 ft,5,3
50,1,7:51.0,,Offensive rebound by Team,5,3
51,1,7:43.0,,A. Gordon misses 2-pt jump shot from 9 ft,5,3
52,1,7:39.0,Defensive rebound by J. McGee,,5,3
53,1,7:23.0,L. James makes 2-pt jump shot from 14 ft,,7,3
54,1,7:06.0,,E. Fournier misses 3-pt jump shot from 26 ft,7,3
55,1,7:01.0,Defensive rebound by D. Green,,7,3
56,1,6:54.0,A. Davis makes 2-pt jump shot from 16 ft,,9,3
57,1,6:38.0,,Personal foul by J. McGee (drawn by E. Fournier),9,3
58,1,6:34.0,,Personal foul by L. James (drawn by D. Augustin),9,3
59,1,6:21.0,,D. Augustin misses 2-pt jump shot from 17 ft,9,3
60,1,6:16.0,Defensive rebound by L. James,,9,3
61,1,6:13.0,K. Caldwell-Pope misses 2-pt layup from 3 ft,,9,3
62,1,6:13.0,Offensive rebound by A. Davis,,9,3
63,1,6:07.0,A. Davis makes 2-pt layup from 1 ft,,11,3
