,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,HOUSTON_ACTION,LA LAKERS_SCORE,HOUSTON_SCORE
0,1,11:43.0,Turnover by A. Bradley (lost ball; steal by R. Westbrook),,0,0
1,1,11:33.0,,Shooting foul by J. McGee (drawn by J. Harden),0,0
2,1,11:33.0,,J. Harden makes free throw 1 of 2,0,1
3,1,11:33.0,,J. Harden makes free throw 2 of 2,0,2
4,1,11:11.0,K. Kuzma misses 3-pt jump shot from 26 ft,,0,2
5,1,11:10.0,,Defensive rebound by B. McLemore,0,2
6,1,11:01.0,,R. Westbrook makes 2-pt layup from 1 ft,0,4
7,1,10:40.0,D. Green misses 3-pt jump shot from 23 ft,,0,4
8,1,10:39.0,Offensive rebound by Team,,0,4
9,1,10:31.0,A. Bradley misses 2-pt jump shot from 19 ft,,0,4
10,1,10:29.0,,Defensive rebound by C. Capela,0,4
11,1,10:25.0,,Shooting foul by A. Bradley (drawn by J. Harden),0,4
12,1,10:25.0,,J. Harden misses free throw 1 of 3,0,4
13,1,10:25.0,,Offensive rebound by Team,0,4
14,1,10:25.0,,J. Harden makes free throw 2 of 3,0,5
15,1,10:25.0,,J. Harden makes free throw 3 of 3,0,6
16,1,10:14.0,J. McGee misses 2-pt layup from 9 ft,,0,6
17,1,10:12.0,,Defensive rebound by P. Tucker,0,6
18,1,10:06.0,,J. Harden misses 3-pt jump shot from 26 ft,0,6
19,1,10:02.0,,Offensive rebound by C. Capela,0,6
20,1,10:02.0,,C. Capela misses 2-pt layup from 1 ft,0,6
21,1,10:01.0,,Offensive rebound by C. Capela,0,6
22,1,10:01.0,,C. Capela misses 2-pt layup from 1 ft,0,6
23,1,10:00.0,,Offensive rebound by C. Capela,0,6
24,1,9:57.0,,B. McLemore misses 3-pt jump shot from 25 ft,0,6
25,1,9:55.0,Defensive rebound by L. James,,0,6
26,1,9:43.0,D. Green makes 3-pt jump shot from 26 ft (assist by L. James),,3,6
27,1,9:34.0,,Turnover by R. Westbrook (bad pass; steal by D. Green),3,6
28,1,9:28.0,L. James makes 2-pt layup from 2 ft,,5,6
29,1,9:12.0,,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),5,8
30,1,8:51.0,D. Green misses 3-pt jump shot from 22 ft,,5,8
31,1,8:51.0,,Defensive rebound by R. Westbrook,5,8
32,1,8:45.0,,R. Westbrook makes 2-pt layup from 1 ft,5,10
33,1,8:34.0,A. Bradley makes 2-pt jump shot from 22 ft,,7,10
34,1,8:14.0,,Turnover by J. Harden (bad pass),7,10
35,1,8:07.0,L. James misses 2-pt layup from 1 ft,,7,10
36,1,8:06.0,,Defensive rebound by C. Capela,7,10
37,1,7:56.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by J. Harden),7,12
38,1,7:38.0,D. Green makes 2-pt layup from 3 ft (assist by L. James),,9,12
39,1,7:16.0,,B. McLemore makes 3-pt jump shot from 26 ft (assist by R. Westbrook),9,15
40,1,7:04.0,Turnover by L. James (bad pass; steal by C. Capela),,9,15
41,1,6:55.0,,Turnover by J. Harden (bad pass; steal by D. Green),9,15
42,1,6:51.0,Shooting foul by P. Tucker (drawn by L. James),,9,15
43,1,6:51.0,,Houston full timeout,9,15
44,1,6:51.0,,E. Gordon enters the game for B. McLemore,9,15
45,1,6:51.0,L. James makes free throw 1 of 2,,10,15
46,1,6:51.0,L. James makes free throw 2 of 2,,11,15
47,1,6:50.0,,Personal foul by L. James (drawn by J. Harden),11,15
48,1,6:36.0,,Turnover by C. Capela (bad pass),11,15
49,1,6:26.0,Shooting foul by E. Gordon (drawn by D. Green),,11,15
50,1,6:26.0,D. Green misses free throw 1 of 2,,11,15
51,1,6:26.0,Offensive rebound by Team,,11,15
52,1,6:26.0,D. Green misses free throw 2 of 2,,11,15
53,1,6:26.0,,Defensive rebound by C. Capela,11,15
54,1,6:11.0,,J. Harden misses 2-pt jump shot from 4 ft,11,15
55,1,6:10.0,Defensive rebound by A. Bradley,,11,15
56,1,6:03.0,A. Bradley misses 2-pt jump shot from 20 ft,,11,15
57,1,6:00.0,Offensive rebound by D. Green,,11,15
58,1,5:59.0,D. Green makes 2-pt layup from 6 ft,,13,15
59,1,5:54.0,,Turnover by C. Capela (bad pass; steal by A. Bradley),13,15
60,1,5:52.0,Offensive foul by J. McGee (drawn by C. Capela),,13,15
61,1,5:52.0,Turnover by J. McGee (offensive foul),,13,15
62,1,5:52.0,D. Howard enters the game for J. McGee,,13,15
63,1,5:52.0,,D. House enters the game for R. Westbrook,13,15
64,1,5:43.0,,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),13,17
65,1,5:28.0,L. James misses 2-pt layup from 3 ft (block by C. Capela),,13,17
66,1,5:27.0,,Defensive rebound by J. Harden,13,17
67,1,5:18.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Capela),13,20
68,1,5:18.0,LA Lakers full timeout,,13,20
69,1,5:18.0,K. Caldwell-Pope enters the game for A. Bradley,,13,20
70,1,5:06.0,K. Kuzma misses 2-pt layup from 8 ft (block by C. Capela),,13,20
71,1,5:04.0,,Defensive rebound by J. Harden,13,20
72,1,4:59.0,,J. Harden makes 3-pt jump shot from 26 ft,13,23
73,1,4:47.0,K. Caldwell-Pope makes 2-pt jump shot from 20 ft,,15,23
74,1,4:31.0,,Turnover by J. Harden (bad pass; steal by L. James),15,23
75,1,4:27.0,K. Caldwell-Pope misses 2-pt layup from 1 ft,,15,23
76,1,4:25.0,,Defensive rebound by C. Capela,15,23
77,1,4:22.0,,Shooting foul by D. Howard (drawn by J. Harden),15,23
78,1,4:22.0,,J. Harden makes free throw 1 of 2,15,24
79,1,4:22.0,A. Caruso enters the game for D. Green,,15,24
80,1,4:22.0,,T. Chandler enters the game for C. Capela,15,24
81,1,4:22.0,,J. Harden makes free throw 2 of 2,15,25
82,1,4:08.0,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by L. James),,17,25
83,1,4:02.0,,E. Gordon misses 2-pt layup from 3 ft (block by D. Howard),17,25
84,1,4:01.0,,Offensive rebound by Team,17,25
85,1,3:51.0,,E. Gordon makes 2-pt layup from 2 ft (assist by J. Harden),17,27
86,1,3:40.0,L. James misses 3-pt jump shot from 27 ft,,17,27
87,1,3:38.0,,Defensive rebound by J. Harden,17,27
88,1,3:29.0,,J. Harden misses 3-pt jump shot from 23 ft,17,27
89,1,3:27.0,Defensive rebound by L. James,,17,27
90,1,3:21.0,K. Kuzma makes 3-pt jump shot from 24 ft (assist by L. James),,20,27
91,1,3:00.0,,E. Gordon misses 3-pt jump shot from 29 ft,20,27
92,1,2:57.0,Defensive rebound by K. Kuzma,,20,27
93,1,2:49.0,K. Kuzma misses 3-pt jump shot from 27 ft,,20,27
94,1,2:45.0,Offensive rebound by D. Howard,,20,27
95,1,2:43.0,A. Caruso misses 3-pt jump shot from 26 ft,,20,27
96,1,2:41.0,Offensive rebound by K. Caldwell-Pope,,20,27
97,1,2:41.0,Shooting foul by T. Chandler (drawn by A. Caruso),,20,27
98,1,2:41.0,A. Caruso makes free throw 1 of 2,,21,27
99,1,2:41.0,Q. Cook enters the game for L. James,,21,27
100,1,2:41.0,,T. Sefolosha enters the game for J. Harden,21,27
101,1,2:41.0,,R. Westbrook enters the game for P. Tucker,21,27
102,1,2:41.0,A. Caruso makes free throw 2 of 2,,22,27
103,1,2:21.0,,D. House misses 3-pt jump shot from 24 ft,22,27
104,1,2:20.0,Defensive rebound by A. Caruso,,22,27
105,1,2:03.0,A. Caruso misses 2-pt jump shot from 13 ft,,22,27
106,1,2:00.0,,Defensive rebound by T. Chandler,22,27
107,1,1:59.0,,Turnover by T. Chandler (bad pass; steal by Q. Cook),22,27
108,1,1:54.0,Q. Cook makes 2-pt jump shot from 16 ft,,24,27
109,1,1:46.0,,R. Westbrook misses 2-pt jump shot from 9 ft,24,27
110,1,1:44.0,Defensive rebound by Team,,24,27
111,1,1:33.0,Turnover by D. Howard (bad pass; steal by T. Sefolosha),,24,27
112,1,1:19.0,,R. Westbrook makes 2-pt jump shot from 7 ft,24,29
113,1,1:06.0,Q. Cook makes 2-pt jump shot from 22 ft,,26,29
114,1,0:57.0,,R. Westbrook makes 2-pt hook shot from 7 ft,26,31
115,1,0:46.0,Q. Cook misses 2-pt jump shot from 20 ft,,26,31
