,QUARTER,TIME_REMAINING,HOUSTON_ACTION,DENVER_ACTION,HOUSTON_SCORE,DENVER_SCORE
0,1,11:49.0,,J. Murray makes 3-pt jump shot from 25 ft,0,3
1,1,11:32.0,P. Tucker misses 3-pt jump shot from 23 ft,,0,3
2,1,11:29.0,,Defensive rebound by N. Jokić,0,3
3,1,11:16.0,,N. Jokić misses 2-pt jump shot from 12 ft,0,3
4,1,11:12.0,,Offensive rebound by W. Barton,0,3
5,1,11:12.0,,W. Barton makes 2-pt layup from 2 ft,0,5
6,1,10:54.0,Turnover by J. Harden (bad pass; steal by J. Murray),,0,5
7,1,10:45.0,,W. Barton makes 2-pt dunk from 1 ft,0,7
8,1,10:33.0,C. Capela misses 2-pt hook shot from 4 ft,,0,7
9,1,10:33.0,,Defensive rebound by Team,0,7
10,1,10:20.0,,J. Murray misses 3-pt jump shot from 25 ft,0,7
11,1,10:16.0,Defensive rebound by R. Westbrook,,0,7
12,1,10:09.0,C. Capela makes 2-pt layup from 1 ft (assist by R. Westbrook),,2,7
13,1,9:44.0,,N. Jokić makes 2-pt hook shot from 5 ft,2,9
14,1,9:31.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,4,9
15,1,9:17.0,,Turnover by N. Jokić (lost ball; steal by J. Harden),4,9
16,1,9:13.0,J. Harden makes 2-pt layup from 1 ft,,6,9
17,1,8:58.0,,Offensive foul by G. Harris (drawn by P. Tucker),6,9
18,1,8:58.0,,Turnover by G. Harris (offensive foul),6,9
19,1,8:48.0,R. Westbrook makes 2-pt layup from 2 ft,,8,9
20,1,8:37.0,,Turnover by J. Murray (bad pass; steal by J. Harden),8,9
21,1,8:32.0,R. Westbrook makes 2-pt layup from 1 ft (assist by J. Harden),,10,9
22,1,8:32.0,,Denver full timeout,10,9
23,1,8:24.0,,G. Harris misses 2-pt layup from 1 ft,10,9
24,1,8:21.0,Defensive rebound by C. Capela,,10,9
25,1,8:06.0,J. Harden makes 2-pt jump shot from 4 ft,,12,9
26,1,7:54.0,,W. Barton misses 3-pt jump shot from 25 ft,12,9
27,1,7:50.0,Defensive rebound by J. Harden,,12,9
28,1,7:44.0,J. Harden makes 3-pt jump shot from 27 ft (assist by D. House),,15,9
29,1,7:41.0,,Denver full timeout,15,9
30,1,7:20.0,,N. Jokić misses 2-pt jump shot from 17 ft,15,9
31,1,7:17.0,Defensive rebound by C. Capela,,15,9
32,1,7:11.0,Personal foul by W. Barton (drawn by J. Harden),,15,9
33,1,7:06.0,Turnover by D. House (bad pass; steal by W. Barton),,15,9
34,1,7:01.0,,G. Harris makes 2-pt dunk at rim (assist by N. Jokić),15,11
35,1,6:35.0,P. Tucker misses 2-pt hook shot from 5 ft,,15,11
36,1,6:35.0,Offensive rebound by Team,,15,11
37,1,6:35.0,Turnover by Team (shot clock),,15,11
38,1,6:35.0,A. Rivers enters the game for R. Westbrook,,15,11
39,1,6:15.0,,Personal foul by J. Harden (drawn by P. Millsap),15,11
40,1,6:02.0,,J. Murray misses 2-pt jump shot from 19 ft,15,11
41,1,5:59.0,,Offensive rebound by N. Jokić,15,11
42,1,5:56.0,,N. Jokić makes 2-pt layup from 3 ft,15,13
43,1,5:46.0,J. Harden misses 2-pt jump shot from 5 ft,,15,13
44,1,5:46.0,Offensive rebound by C. Capela,,15,13
45,1,5:46.0,C. Capela misses 2-pt layup at rim,,15,13
46,1,5:46.0,Offensive rebound by Team,,15,13
47,1,5:34.0,P. Tucker misses 3-pt jump shot from 23 ft,,15,13
48,1,5:31.0,,Defensive rebound by W. Barton,15,13
49,1,5:26.0,,W. Barton makes 2-pt jump shot from 6 ft,15,15
50,1,5:07.0,Turnover by P. Tucker (bad pass),,15,15
51,1,5:07.0,T. Chandler enters the game for C. Capela,,15,15
52,1,5:07.0,B. McLemore enters the game for D. House,,15,15
53,1,4:51.0,,P. Millsap makes 2-pt jump shot from 13 ft (assist by J. Murray),15,17
54,1,4:27.0,J. Harden misses 2-pt jump shot from 6 ft,,15,17
55,1,4:25.0,Offensive rebound by T. Chandler,,15,17
56,1,4:23.0,B. McLemore misses 3-pt jump shot from 26 ft,,15,17
57,1,4:19.0,,Defensive rebound by W. Barton,15,17
58,1,4:09.0,,N. Jokić makes 2-pt jump shot from 8 ft (assist by W. Barton),15,19
59,1,3:57.0,Turnover by J. Harden (lost ball; steal by P. Millsap),,15,19
60,1,3:51.0,,G. Harris makes 3-pt jump shot from 23 ft (assist by J. Murray),15,22
61,1,3:50.0,Houston full timeout,,15,22
62,1,3:50.0,,J. Grant enters the game for P. Millsap,15,22
63,1,3:27.0,Turnover by B. McLemore (bad pass; steal by J. Murray),,15,22
64,1,3:21.0,,Turnover by J. Murray (bad pass; steal by J. Harden),15,22
65,1,3:18.0,Personal foul by N. Jokić (drawn by J. Harden),,15,22
66,1,3:18.0,T. Sefolosha enters the game for P. Tucker,,15,22
67,1,3:18.0,,M. Morris enters the game for J. Murray,15,22
68,1,3:13.0,T. Sefolosha misses 3-pt jump shot from 23 ft,,15,22
69,1,3:10.0,,Defensive rebound by M. Morris,15,22
70,1,2:51.0,,N. Jokić misses 3-pt jump shot from 25 ft,15,22
71,1,2:48.0,Defensive rebound by T. Chandler,,15,22
72,1,2:33.0,Turnover by A. Rivers (traveling),,15,22
73,1,2:33.0,R. Westbrook enters the game for J. Harden,,15,22
74,1,2:33.0,,J. Hernangómez enters the game for W. Barton,15,22
75,1,2:33.0,,M. Plumlee enters the game for N. Jokić,15,22
76,1,2:16.0,,G. Harris makes 2-pt layup from 3 ft (assist by M. Plumlee),15,24
77,1,2:04.0,R. Westbrook makes 2-pt jump shot from 18 ft,,17,24
78,1,1:46.0,Violation by Team (kicked ball),,17,24
79,1,1:46.0,C. Capela enters the game for T. Chandler,,17,24
80,1,1:46.0,,T. Craig enters the game for G. Harris,17,24
81,1,1:35.0,,M. Morris misses 2-pt jump shot from 10 ft,17,24
82,1,1:32.0,Defensive rebound by C. Capela,,17,24
83,1,1:24.0,R. Westbrook misses 3-pt jump shot from 23 ft,,17,24
84,1,1:18.0,Offensive rebound by C. Capela,,17,24
