,QUARTER,TIME_REMAINING,INDIANA_ACTION,NEW ORLEANS_ACTION,INDIANA_SCORE,NEW ORLEANS_SCORE
0,1,11:40.0,T. Warren misses 3-pt jump shot from 24 ft,,0,0
1,1,11:38.0,Offensive rebound by D. Sabonis,,0,0
2,1,11:26.0,T. Warren makes 2-pt jump shot from 5 ft (assist by D. Sabonis),,2,0
3,1,11:08.0,,Shooting foul by D. Sabonis (drawn by B. Ingram),2,0
4,1,11:08.0,,B. Ingram makes free throw 1 of 2,2,1
5,1,11:08.0,,B. Ingram makes free throw 2 of 2,2,2
6,1,10:48.0,D. Sabonis makes 2-pt layup from 2 ft,,4,2
7,1,10:39.0,,L. Ball makes 3-pt jump shot from 25 ft,4,5
8,1,10:17.0,T. Warren misses 2-pt jump shot from 9 ft (block by J. Holiday),,4,5
9,1,10:14.0,Offensive rebound by T. Warren,,4,5
10,1,10:11.0,D. Sabonis misses 3-pt jump shot from 25 ft,,4,5
11,1,10:08.0,,Defensive rebound by B. Ingram,4,5
12,1,10:05.0,,J. Holiday makes 2-pt layup from 2 ft,4,7
13,1,9:54.0,Shooting foul by L. Ball (drawn by A. Holiday),,4,7
14,1,9:54.0,A. Holiday makes free throw 1 of 2,,5,7
15,1,9:54.0,A. Holiday makes free throw 2 of 2,,6,7
16,1,9:45.0,,Turnover by L. Ball (traveling),6,7
17,1,9:25.0,J. Lamb misses 2-pt layup from 2 ft,,6,7
18,1,9:23.0,Offensive rebound by M. Turner,,6,7
19,1,9:23.0,M. Turner makes 2-pt layup at rim,,8,7
20,1,9:08.0,,B. Ingram misses 3-pt jump shot from 24 ft,8,7
21,1,9:07.0,,Offensive rebound by J. Holiday,8,7
22,1,9:06.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by J. Holiday),8,10
23,1,8:51.0,J. Lamb misses 2-pt jump shot from 18 ft,,8,10
24,1,8:47.0,,Defensive rebound by B. Ingram,8,10
25,1,8:39.0,,Turnover by D. Favors (bad pass; steal by J. Lamb),8,10
26,1,8:36.0,J. Lamb makes 2-pt dunk at rim,,10,10
27,1,8:18.0,,B. Ingram misses 2-pt layup from 3 ft,10,10
28,1,8:16.0,Defensive rebound by D. Sabonis,,10,10
29,1,8:04.0,A. Holiday misses 2-pt jump shot from 10 ft,,10,10
30,1,8:02.0,Offensive rebound by M. Turner,,10,10
31,1,8:00.0,M. Turner misses 2-pt layup from 2 ft,,10,10
32,1,7:57.0,,Defensive rebound by D. Favors,10,10
33,1,7:54.0,,J. Redick misses 3-pt jump shot from 26 ft,10,10
34,1,7:51.0,Defensive rebound by A. Holiday,,10,10
35,1,7:43.0,M. Turner misses 3-pt jump shot from 27 ft,,10,10
36,1,7:38.0,,Defensive rebound by D. Favors,10,10
37,1,7:34.0,,Shooting foul by M. Turner (drawn by B. Ingram),10,10
38,1,7:34.0,,B. Ingram makes free throw 1 of 2,10,11
39,1,7:34.0,,B. Ingram makes free throw 2 of 2,10,12
40,1,7:22.0,T. Warren misses 2-pt jump shot from 13 ft,,10,12
41,1,7:19.0,,Defensive rebound by L. Ball,10,12
42,1,7:08.0,,L. Ball makes 3-pt jump shot from 26 ft (assist by B. Ingram),10,15
43,1,6:54.0,Turnover by M. Turner (lost ball; steal by B. Ingram),,10,15
44,1,6:47.0,,L. Ball misses 3-pt jump shot from 23 ft,10,15
45,1,6:43.0,Defensive rebound by M. Turner,,10,15
46,1,6:36.0,J. Lamb misses 3-pt jump shot from 24 ft,,10,15
47,1,6:34.0,,Defensive rebound by D. Favors,10,15
48,1,6:18.0,,J. Redick misses 2-pt layup from 2 ft,10,15
49,1,6:14.0,,Offensive rebound by D. Favors,10,15
50,1,6:14.0,,D. Favors misses 2-pt layup from 1 ft,10,15
51,1,6:14.0,Defensive rebound by M. Turner,,10,15
52,1,6:11.0,A. Holiday makes 3-pt jump shot from 25 ft (assist by M. Turner),,13,15
53,1,5:56.0,,J. Redick misses 3-pt jump shot from 26 ft,13,15
54,1,5:51.0,,Offensive rebound by J. Holiday,13,15
55,1,5:48.0,,J. Holiday misses 3-pt jump shot from 23 ft,13,15
56,1,5:46.0,Defensive rebound by T. Warren,,13,15
57,1,5:34.0,M. Turner misses 2-pt jump shot from 17 ft,,13,15
58,1,5:32.0,,Defensive rebound by D. Favors,13,15
59,1,5:29.0,,L. Ball misses 2-pt layup from 2 ft,13,15
60,1,5:29.0,Defensive rebound by D. Sabonis,,13,15
61,1,5:19.0,D. Sabonis misses 2-pt layup from 3 ft,,13,15
62,1,5:16.0,Offensive rebound by D. Sabonis,,13,15
63,1,5:16.0,D. Sabonis makes 2-pt layup at rim,,15,15
64,1,5:13.0,,New Orleans full timeout,15,15
65,1,5:13.0,J. Holiday enters the game for D. Sabonis,,15,15
66,1,5:13.0,,J. Hart enters the game for D. Favors,15,15
67,1,5:13.0,,J. Hayes enters the game for J. Holiday,15,15
68,1,5:04.0,,L. Ball misses 2-pt layup from 2 ft,15,15
69,1,5:02.0,Defensive rebound by J. Lamb,,15,15
70,1,4:58.0,A. Holiday makes 2-pt layup from 2 ft (assist by J. Lamb),,17,15
71,1,4:32.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by L. Ball),17,18
72,1,4:17.0,J. Lamb makes 2-pt jump shot from 2 ft (assist by A. Holiday),,19,18
73,1,4:04.0,,B. Ingram misses 3-pt jump shot from 25 ft,19,18
74,1,4:04.0,Defensive rebound by Team,,19,18
75,1,4:04.0,T. McConnell enters the game for J. Lamb,,19,18
76,1,3:47.0,M. Turner makes 2-pt jump shot from 9 ft (assist by T. Warren),,21,18
77,1,3:29.0,,J. Redick misses 3-pt jump shot from 23 ft,21,18
78,1,3:28.0,Defensive rebound by Team,,21,18
79,1,3:19.0,M. Turner misses 3-pt jump shot from 26 ft,,21,18
80,1,3:13.0,,Defensive rebound by J. Hart,21,18
81,1,3:07.0,,Turnover by L. Ball (bad pass; steal by T. Warren),21,18
82,1,3:02.0,T. Warren makes 2-pt layup from 2 ft,,23,18
83,1,2:50.0,,Personal foul by T. McConnell (drawn by L. Ball),23,18
84,1,2:50.0,Indiana full timeout,,23,18
85,1,2:38.0,,Shooting foul by M. Turner (drawn by L. Ball),23,18
86,1,2:38.0,,L. Ball misses free throw 1 of 2,23,18
87,1,2:38.0,,Offensive rebound by Team,23,18
88,1,2:38.0,D. Sabonis enters the game for M. Turner,,23,18
89,1,2:38.0,,E. Moore enters the game for J. Redick,23,18
90,1,2:38.0,,L. Ball makes free throw 2 of 2,23,19
91,1,2:26.0,Turnover by A. Holiday (traveling),,23,19
92,1,2:26.0,E. Sumner enters the game for A. Holiday,,23,19
93,1,2:26.0,,J. Holiday enters the game for L. Ball,23,19
94,1,2:00.0,,J. Holiday misses 2-pt jump shot from 8 ft,23,19
95,1,1:58.0,Defensive rebound by J. Holiday,,23,19
96,1,1:49.0,Shooting foul by B. Ingram (drawn by T. Warren),,23,19
97,1,1:49.0,,K. Williams enters the game for B. Ingram,23,19
98,1,1:49.0,T. Warren makes free throw 1 of 2,,24,19
99,1,1:49.0,T. Warren makes free throw 2 of 2,,25,19
100,1,1:36.0,,E. Moore misses 2-pt jump shot from 8 ft,25,19
101,1,1:33.0,Defensive rebound by D. Sabonis,,25,19
102,1,1:26.0,Personal foul by J. Hayes (drawn by D. Sabonis),,25,19
103,1,1:26.0,D. McDermott enters the game for T. Warren,,25,19
104,1,1:26.0,D. Sabonis makes free throw 1 of 2,,26,19
105,1,1:26.0,D. Sabonis makes free throw 2 of 2,,27,19
