,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DALLAS_ACTION,LA LAKERS_SCORE,DALLAS_SCORE
0,1,11:49.0,A. Davis makes 2-pt dunk from 1 ft (assist by L. James),,2,0
1,1,11:32.0,,D. Powell makes 2-pt dunk at rim (assist by L. Dončić),2,2
2,1,11:06.0,A. Bradley misses 3-pt jump shot from 23 ft,,2,2
3,1,11:03.0,,Defensive rebound by L. Dončić,2,2
4,1,10:48.0,,D. Powell misses 3-pt jump shot from 23 ft,2,2
5,1,10:46.0,Defensive rebound by A. Bradley,,2,2
6,1,10:43.0,Personal foul by L. Dončić (drawn by L. James),,2,2
7,1,10:35.0,A. Davis misses 3-pt jump shot from 24 ft,,2,2
8,1,10:33.0,,Defensive rebound by L. Dončić,2,2
9,1,10:24.0,,L. Dončić makes 2-pt jump shot from 8 ft,2,4
10,1,10:06.0,L. James misses 3-pt jump shot from 26 ft,,2,4
11,1,10:03.0,,Defensive rebound by L. Dončić,2,4
12,1,9:59.0,,K. Porziņģis makes 2-pt jump shot from 12 ft (assist by L. Dončić),2,6
13,1,9:42.0,A. Davis misses 2-pt jump shot from 11 ft,,2,6
14,1,9:40.0,,Defensive rebound by D. Powell,2,6
15,1,9:29.0,,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by D. Finney-Smith),2,9
16,1,9:15.0,L. James misses 2-pt layup from 3 ft,,2,9
17,1,9:13.0,,Defensive rebound by L. Dončić,2,9
18,1,9:10.0,,L. Dončić misses 2-pt jump shot from 9 ft,2,9
19,1,9:09.0,,Offensive rebound by D. Powell,2,9
20,1,9:08.0,,D. Powell makes 2-pt layup from 2 ft,2,11
21,1,9:08.0,LA Lakers full timeout,,2,11
22,1,8:57.0,Turnover by A. Davis (bad pass),,2,11
23,1,8:45.0,,Def 3 sec tech foul by Team,2,11
24,1,8:45.0,,S. Curry makes technical free throw,2,12
25,1,8:40.0,,L. Dončić misses 2-pt jump shot from 8 ft (block by J. McGee),2,12
26,1,8:40.0,,Offensive rebound by Team,2,12
27,1,8:34.0,,D. Finney-Smith misses 3-pt jump shot from 25 ft,2,12
28,1,8:32.0,Defensive rebound by A. Davis,,2,12
29,1,8:27.0,Shooting foul by D. Finney-Smith (drawn by L. James),,2,12
30,1,8:27.0,L. James makes free throw 1 of 2,,3,12
31,1,8:27.0,L. James makes free throw 2 of 2,,4,12
32,1,8:14.0,,Turnover by L. Dončić (bad pass; steal by A. Davis),4,12
33,1,8:05.0,Shooting foul by K. Porziņģis (drawn by A. Davis),,4,12
34,1,8:05.0,A. Davis makes free throw 1 of 2,,5,12
35,1,8:05.0,A. Davis misses free throw 2 of 2,,5,12
36,1,8:03.0,,Defensive rebound by L. Dončić,5,12
37,1,7:52.0,,D. Powell makes 3-pt jump shot from 25 ft (assist by L. Dončić),5,15
38,1,7:37.0,A. Davis makes 2-pt jump shot from 12 ft,,7,15
39,1,7:25.0,,Shooting foul by J. McGee (drawn by K. Porziņģis),7,15
40,1,7:25.0,,K. Porziņģis makes free throw 1 of 2,7,16
41,1,7:25.0,,K. Porziņģis misses free throw 2 of 2,7,16
42,1,7:22.0,Defensive rebound by L. James,,7,16
43,1,7:19.0,D. Green misses 3-pt jump shot from 22 ft,,7,16
44,1,7:15.0,,Defensive rebound by S. Curry,7,16
45,1,7:00.0,,K. Porziņģis makes 2-pt jump shot from 5 ft (assist by L. Dončić),7,18
46,1,7:00.0,,Shooting foul by J. McGee (drawn by K. Porziņģis),7,18
47,1,7:00.0,K. Kuzma enters the game for J. McGee,,7,18
48,1,7:00.0,,K. Porziņģis misses free throw 1 of 1,7,18
49,1,6:57.0,Defensive rebound by L. James,,7,18
50,1,6:51.0,K. Kuzma misses 3-pt jump shot from 26 ft,,7,18
51,1,6:47.0,,Defensive rebound by L. Dončić,7,18
52,1,6:42.0,,L. Dončić misses 2-pt layup from 3 ft,7,18
53,1,6:39.0,Defensive rebound by L. James,,7,18
54,1,6:38.0,Turnover by L. James (bad pass; steal by S. Curry),,7,18
55,1,6:34.0,,L. Dončić makes 2-pt layup from 1 ft (assist by S. Curry),7,20
56,1,6:16.0,A. Bradley misses 2-pt jump shot from 19 ft,,7,20
57,1,6:13.0,,Defensive rebound by D. Finney-Smith,7,20
58,1,6:08.0,,Personal foul by D. Green (drawn by D. Powell),7,20
59,1,6:08.0,,M. Kleber enters the game for D. Powell,7,20
60,1,6:02.0,,Personal foul by D. Green (drawn by S. Curry),7,20
61,1,5:51.0,,K. Porziņģis misses 2-pt jump shot from 9 ft,7,20
62,1,5:49.0,,Offensive rebound by Team,7,20
63,1,5:49.0,K. Caldwell-Pope enters the game for D. Green,,7,20
64,1,5:48.0,,Offensive foul by D. Finney-Smith (drawn by L. James),7,20
65,1,5:48.0,,Turnover by D. Finney-Smith (offensive foul),7,20
66,1,5:48.0,,T. Hardaway enters the game for S. Curry,7,20
67,1,5:48.0,,J. Jackson enters the game for D. Finney-Smith,7,20
68,1,5:39.0,Shooting foul by K. Porziņģis (drawn by K. Kuzma),,7,20
69,1,5:39.0,K. Kuzma makes free throw 1 of 2,,8,20
70,1,5:39.0,,D. Powell enters the game for K. Porziņģis,8,20
71,1,5:39.0,K. Kuzma misses free throw 2 of 2,,8,20
72,1,5:36.0,,Defensive rebound by L. Dončić,8,20
73,1,5:28.0,,T. Hardaway makes 2-pt layup from 2 ft (assist by L. Dončić),8,22
74,1,5:18.0,A. Bradley makes 3-pt jump shot from 23 ft (assist by L. James),,11,22
75,1,4:57.0,,M. Kleber misses 2-pt jump shot from 5 ft,11,22
76,1,4:54.0,Defensive rebound by K. Kuzma,,11,22
77,1,4:49.0,L. James misses 2-pt jump shot from 8 ft,,11,22
78,1,4:46.0,Offensive rebound by A. Davis,,11,22
79,1,4:46.0,A. Davis makes 2-pt layup from 1 ft,,13,22
