,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,UTAH_ACTION,WASHINGTON_SCORE,UTAH_SCORE
0,1,11:48.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by M. Conley),0,2
1,1,11:35.0,B. Beal makes 3-pt jump shot from 26 ft,,3,2
2,1,11:15.0,,Turnover by R. O'Neale (step out of bounds),3,2
3,1,11:02.0,I. Mahinmi misses 2-pt layup from 4 ft,,3,2
4,1,10:59.0,Offensive rebound by R. Hachimura,,3,2
5,1,10:59.0,R. Hachimura makes 2-pt layup from 1 ft,,5,2
6,1,10:38.0,,D. Mitchell misses 2-pt jump shot from 5 ft,5,2
7,1,10:35.0,Defensive rebound by I. Mahinmi,,5,2
8,1,10:26.0,S. Napier misses 2-pt jump shot from 3 ft,,5,2
9,1,10:25.0,Offensive rebound by Team,,5,2
10,1,10:21.0,B. Beal misses 3-pt jump shot from 23 ft,,5,2
11,1,10:19.0,,Defensive rebound by R. O'Neale,5,2
12,1,10:09.0,,Turnover by R. Gobert (lost ball; steal by I. Mahinmi),5,2
13,1,10:07.0,Personal take foul by M. Conley (drawn by S. Napier),,5,2
14,1,9:56.0,B. Beal misses 3-pt jump shot from 24 ft,,5,2
15,1,9:51.0,Offensive rebound by I. Bonga,,5,2
16,1,9:51.0,I. Bonga misses 2-pt layup from 1 ft,,5,2
17,1,9:49.0,Offensive rebound by R. Hachimura,,5,2
18,1,9:48.0,R. Hachimura makes 2-pt layup from 2 ft,,7,2
19,1,9:33.0,,Turnover by D. Mitchell (bad pass; steal by B. Beal),7,2
20,1,9:29.0,Flagrant foul type 1 by D. Mitchell (drawn by S. Napier),,7,2
21,1,9:29.0,Instant Replay (Request: Ruling Stands),,7,2
22,1,9:29.0,S. Napier makes flagrant free throw 1 of 3,,8,2
23,1,9:29.0,S. Napier makes flagrant free throw 2 of 3,,9,2
24,1,9:29.0,S. Napier makes flagrant free throw 3 of 3,,10,2
25,1,9:10.0,I. Mahinmi misses 2-pt jump shot from 5 ft (block by R. Gobert),,10,2
26,1,9:08.0,Offensive rebound by I. Bonga,,10,2
27,1,9:06.0,I. Mahinmi misses 2-pt jump shot from 6 ft,,10,2
28,1,9:04.0,,Defensive rebound by R. O'Neale,10,2
29,1,9:01.0,,Turnover by D. Mitchell (bad pass; steal by R. Hachimura),10,2
30,1,8:53.0,S. Napier misses 3-pt jump shot from 26 ft,,10,2
31,1,8:50.0,,Defensive rebound by R. Gobert,10,2
32,1,8:38.0,,Shooting foul by I. Mahinmi (drawn by B. Bogdanović),10,2
33,1,8:38.0,,B. Bogdanović makes free throw 1 of 2,10,3
34,1,8:38.0,,B. Bogdanović makes free throw 2 of 2,10,4
35,1,8:21.0,B. Beal makes 2-pt jump shot from 6 ft,,12,4
36,1,8:04.0,,R. O'Neale makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),12,7
37,1,7:47.0,S. Napier makes 2-pt jump shot from 16 ft (assist by B. Beal),,14,7
38,1,7:35.0,,D. Mitchell makes 2-pt dunk from 3 ft (assist by M. Conley),14,9
39,1,7:16.0,S. Napier misses 2-pt jump shot from 19 ft,,14,9
40,1,7:13.0,,Defensive rebound by R. Gobert,14,9
41,1,7:04.0,,D. Mitchell makes 2-pt layup from 7 ft,14,11
42,1,6:50.0,B. Beal misses 2-pt jump shot from 17 ft,,14,11
43,1,6:47.0,,Defensive rebound by R. Gobert,14,11
44,1,6:39.0,Violation by Team (kicked ball),,14,11
45,1,6:39.0,,Utah full timeout,14,11
46,1,6:39.0,J. Robinson enters the game for I. Bonga,,14,11
47,1,6:39.0,,J. Ingles enters the game for M. Conley,14,11
48,1,6:30.0,,D. Mitchell makes 2-pt dunk from 2 ft,14,13
49,1,6:08.0,Shooting foul by R. O'Neale (drawn by B. Beal),,14,13
50,1,6:08.0,B. Beal misses free throw 1 of 2,,14,13
51,1,6:08.0,Offensive rebound by Team,,14,13
52,1,6:08.0,B. Beal makes free throw 2 of 2,,15,13
53,1,5:57.0,,D. Mitchell makes 3-pt jump shot from 24 ft (assist by J. Ingles),15,16
54,1,5:36.0,S. Napier misses 2-pt jump shot from 14 ft,,15,16
55,1,5:33.0,,Defensive rebound by D. Mitchell,15,16
56,1,5:28.0,,J. Ingles misses 3-pt jump shot from 25 ft,15,16
57,1,5:24.0,Defensive rebound by J. Robinson,,15,16
58,1,5:11.0,I. Mahinmi misses 2-pt hook shot from 3 ft,,15,16
59,1,5:09.0,,Defensive rebound by R. Gobert,15,16
60,1,5:04.0,,B. Bogdanović misses 2-pt jump shot from 11 ft,15,16
61,1,5:00.0,,Offensive rebound by B. Bogdanović,15,16
62,1,5:00.0,,B. Bogdanović makes 2-pt layup at rim,15,18
63,1,4:47.0,B. Beal makes 2-pt jump shot from 15 ft,,17,18
64,1,4:24.0,,Shooting foul by S. Napier (drawn by R. O'Neale),17,18
65,1,4:24.0,,R. O'Neale misses free throw 1 of 3,17,18
66,1,4:24.0,,Offensive rebound by Team,17,18
67,1,4:24.0,,R. O'Neale makes free throw 2 of 3,17,19
68,1,4:24.0,D. Bertāns enters the game for I. Mahinmi,,17,19
69,1,4:24.0,I. Smith enters the game for S. Napier,,17,19
70,1,4:24.0,,R. O'Neale makes free throw 3 of 3,17,20
71,1,4:13.0,J. Robinson misses 2-pt layup from 4 ft,,17,20
72,1,4:11.0,,Defensive rebound by D. Mitchell,17,20
73,1,4:05.0,,D. Mitchell misses 2-pt jump shot from 18 ft,17,20
74,1,4:02.0,Defensive rebound by B. Beal,,17,20
75,1,3:55.0,B. Beal makes 2-pt layup from 1 ft,,19,20
76,1,3:40.0,,B. Bogdanović misses 2-pt dunk from 2 ft,19,20
77,1,3:38.0,Defensive rebound by D. Bertāns,,19,20
78,1,3:33.0,J. Robinson makes 3-pt jump shot from 24 ft (assist by B. Beal),,22,20
79,1,3:18.0,,Turnover by B. Bogdanović (bad pass; steal by R. Hachimura),22,20
80,1,3:15.0,R. Hachimura makes 2-pt dunk from 3 ft,,24,20
81,1,2:54.0,,B. Bogdanović misses 2-pt layup from 3 ft (block by D. Bertāns),24,20
82,1,2:51.0,Defensive rebound by D. Bertāns,,24,20
83,1,2:49.0,I. Smith misses 2-pt layup from 2 ft,,24,20
84,1,2:46.0,,Defensive rebound by J. Ingles,24,20
85,1,2:42.0,,Personal foul by I. Smith (drawn by R. O'Neale),24,20
86,1,2:42.0,Washington full timeout,,24,20
87,1,2:42.0,T. Bryant enters the game for R. Hachimura,,24,20
88,1,2:42.0,,T. Bradley enters the game for B. Bogdanović,24,20
89,1,2:42.0,,J. Clarkson enters the game for R. Gobert,24,20
90,1,2:42.0,,M. Conley enters the game for D. Mitchell,24,20
91,1,2:42.0,,G. Niang enters the game for R. O'Neale,24,20
92,1,2:29.0,,J. Clarkson misses 2-pt jump shot from 7 ft (block by J. Robinson),24,20
93,1,2:28.0,,Offensive rebound by Team,24,20
94,1,2:26.0,,T. Bradley makes 3-pt jump shot from 25 ft (assist by J. Clarkson),24,23
95,1,2:09.0,D. Bertāns misses 3-pt jump shot from 27 ft,,24,23
96,1,2:06.0,,Defensive rebound by T. Bradley,24,23
97,1,1:51.0,,J. Clarkson misses 2-pt jump shot from 5 ft,24,23
98,1,1:47.0,,Offensive rebound by J. Clarkson,24,23
99,1,1:47.0,,J. Clarkson misses 2-pt layup at rim,24,23
100,1,1:47.0,,Offensive rebound by T. Bradley,24,23
101,1,1:40.0,,G. Niang makes 3-pt jump shot from 24 ft (assist by T. Bradley),24,26
102,1,1:33.0,T. Bryant makes 2-pt dunk from 2 ft (assist by B. Beal),,26,26
103,1,1:16.0,,Turnover by M. Conley (bad pass; steal by I. Smith),26,26
104,1,1:12.0,D. Bertāns misses 3-pt jump shot from 27 ft,,26,26
105,1,1:09.0,,Defensive rebound by J. Clarkson,26,26
106,1,1:03.0,,Turnover by J. Clarkson (bad pass; steal by D. Bertāns),26,26
107,1,0:58.0,J. Robinson misses 3-pt jump shot from 25 ft,,26,26
108,1,0:55.0,Offensive rebound by J. Robinson,,26,26
109,1,0:53.0,B. Beal misses 3-pt jump shot from 25 ft,,26,26
110,1,0:53.0,,Defensive rebound by T. Bradley,26,26
111,1,0:36.0,,J. Clarkson makes 2-pt hook shot from 9 ft,26,28
112,1,0:26.0,T. Bryant makes 2-pt jump shot from 20 ft (assist by B. Beal),,28,28
113,1,0:04.0,,G. Niang makes 3-pt jump shot from 23 ft (assist by M. Conley),28,31
114,1,0:00.0,B. Beal misses 3-pt jump shot from 38 ft,,28,31
115,1,0:00.0,Offensive rebound by Team,,28,31
116,2,11:43.0,T. Brown misses 2-pt jump shot from 14 ft,,28,31
117,2,11:40.0,,Defensive rebound by J. Ingles,28,31
118,2,11:31.0,,J. Ingles makes 3-pt jump shot from 25 ft,28,34
119,2,11:21.0,T. Bryant makes 2-pt jump shot from 15 ft (assist by I. Smith),,30,34
120,2,11:03.0,,Shooting foul by I. Smith (drawn by M. Conley),30,34
121,2,11:03.0,,M. Conley makes free throw 1 of 2,30,35
122,2,11:03.0,,M. Conley makes free throw 2 of 2,30,36
123,2,10:52.0,T. Bryant misses 2-pt hook shot from 5 ft,,30,36
124,2,10:50.0,,Defensive rebound by J. Ingles,30,36
125,2,10:43.0,,J. Ingles misses 3-pt jump shot from 23 ft,30,36
126,2,10:39.0,Defensive rebound by J. Robinson,,30,36
127,2,10:34.0,J. Robinson misses 3-pt jump shot from 25 ft,,30,36
128,2,10:31.0,,Defensive rebound by J. Ingles,30,36
129,2,10:21.0,,T. Bradley misses 2-pt layup from 3 ft,30,36
130,2,10:19.0,Defensive rebound by J. Robinson,,30,36
131,2,10:14.0,T. Bryant misses 2-pt layup from 3 ft,,30,36
132,2,10:12.0,,Defensive rebound by J. Clarkson,30,36
133,2,10:09.0,,M. Conley misses 3-pt jump shot from 25 ft,30,36
134,2,10:06.0,,Offensive rebound by J. Clarkson,30,36
135,2,10:05.0,,Offensive foul by J. Clarkson (drawn by T. Brown),30,36
136,2,10:05.0,,Turnover by J. Clarkson (offensive foul),30,36
137,2,9:54.0,Turnover by J. Robinson (bad pass; steal by J. Clarkson),,30,36
138,2,9:50.0,,Turnover by J. Clarkson (lost ball; steal by T. Brown),30,36
139,2,9:39.0,T. Bryant makes 2-pt dunk from 2 ft (assist by J. Robinson),,32,36
140,2,9:15.0,,G. Niang misses 3-pt jump shot from 24 ft,32,36
141,2,9:10.0,,Offensive rebound by T. Bradley,32,36
142,2,9:10.0,,T. Bradley makes 2-pt layup at rim,32,38
143,2,8:51.0,T. Bryant misses 2-pt jump shot from 20 ft,,32,38
144,2,8:48.0,,Defensive rebound by M. Conley,32,38
145,2,8:25.0,,J. Clarkson makes 3-pt jump shot from 26 ft (assist by J. Ingles),32,41
146,2,8:23.0,Washington full timeout,,32,41
147,2,8:23.0,B. Beal enters the game for D. Bertāns,,32,41
148,2,8:23.0,R. Hachimura enters the game for T. Brown,,32,41
149,2,8:23.0,M. Wagner enters the game for T. Bryant,,32,41
150,2,8:23.0,,B. Bogdanović enters the game for T. Bradley,32,41
151,2,8:23.0,,R. Gobert enters the game for M. Conley,32,41
152,2,8:23.0,,R. O'Neale enters the game for G. Niang,32,41
153,2,8:10.0,B. Beal makes 3-pt jump shot from 25 ft (assist by M. Wagner),,35,41
154,2,7:51.0,,J. Clarkson misses 3-pt jump shot from 27 ft,35,41
155,2,7:47.0,Defensive rebound by R. Hachimura,,35,41
156,2,7:32.0,M. Wagner makes 2-pt layup from 3 ft,,37,41
157,2,7:18.0,,J. Clarkson makes 2-pt layup from 2 ft (assist by R. O'Neale),37,43
158,2,7:10.0,R. Hachimura misses 2-pt layup from 1 ft (block by R. Gobert),,37,43
159,2,7:10.0,,Defensive rebound by J. Clarkson,37,43
160,2,7:03.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by J. Clarkson),37,46
161,2,6:47.0,Turnover by B. Beal (lost ball; steal by J. Clarkson),,37,46
162,2,6:38.0,,Turnover by J. Clarkson (lost ball; steal by R. Hachimura),37,46
163,2,6:36.0,Personal take foul by J. Clarkson (drawn by R. Hachimura),,37,46
