,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,BOSTON_ACTION,PHILADELPHIA_SCORE,BOSTON_SCORE
0,1,11:41.0,Turnover by B. Simmons (out of bounds lost ball),,0,0
1,1,11:26.0,,J. Brown misses 2-pt jump shot from 6 ft,0,0
2,1,11:25.0,Defensive rebound by M. Scott,,0,0
3,1,11:11.0,T. Harris misses 3-pt jump shot from 27 ft,,0,0
4,1,11:09.0,,Defensive rebound by J. Tatum,0,0
5,1,10:57.0,,D. Theis makes 2-pt hook shot from 6 ft (assist by J. Tatum),0,2
6,1,10:41.0,M. Scott makes 3-pt jump shot from 25 ft (assist by J. Richardson),,3,2
7,1,10:27.0,,K. Walker misses 2-pt jump shot from 17 ft,3,2
8,1,10:25.0,Defensive rebound by J. Embiid,,3,2
9,1,10:04.0,J. Embiid misses 2-pt jump shot from 14 ft,,3,2
10,1,10:00.0,,Defensive rebound by G. Hayward,3,2
11,1,9:50.0,,K. Walker makes 3-pt jump shot from 26 ft (assist by G. Hayward),3,5
12,1,9:33.0,Personal foul by D. Theis (drawn by J. Embiid),,3,5
13,1,9:21.0,J. Embiid makes 2-pt layup at rim,,5,5
14,1,9:08.0,,J. Brown makes 2-pt jump shot from 9 ft,5,7
15,1,8:54.0,Turnover by B. Simmons (bad pass; steal by G. Hayward),,5,7
16,1,8:50.0,,K. Walker makes 2-pt layup from 2 ft,5,9
17,1,8:34.0,J. Embiid makes 2-pt jump shot from 17 ft (assist by T. Harris),,7,9
18,1,8:18.0,,J. Tatum misses 3-pt jump shot from 25 ft,7,9
19,1,8:17.0,Defensive rebound by T. Harris,,7,9
20,1,8:01.0,B. Simmons makes 2-pt layup from 1 ft (assist by J. Embiid),,9,9
21,1,7:43.0,,G. Hayward makes 2-pt jump shot from 12 ft,9,11
22,1,7:19.0,M. Scott makes 3-pt jump shot from 26 ft (assist by J. Embiid),,12,11
23,1,7:03.0,,Personal foul by T. Harris (drawn by D. Theis),12,11
24,1,6:57.0,,G. Hayward misses 3-pt jump shot from 25 ft,12,11
25,1,6:55.0,Defensive rebound by Team,,12,11
26,1,6:55.0,,Boston full timeout,12,11
27,1,6:55.0,J. Ennis enters the game for J. Embiid,,12,11
28,1,6:55.0,K. O'Quinn enters the game for J. Richardson,,12,11
29,1,6:55.0,M. Thybulle enters the game for M. Scott,,12,11
30,1,6:35.0,J. Ennis misses 2-pt jump shot from 12 ft,,12,11
31,1,6:33.0,Offensive rebound by K. O'Quinn,,12,11
32,1,6:32.0,T. Harris misses 2-pt layup from 11 ft (block by J. Tatum),,12,11
33,1,6:31.0,,Defensive rebound by Team,12,11
34,1,6:16.0,,J. Brown makes 2-pt layup from 3 ft,12,13
35,1,5:56.0,B. Simmons misses 2-pt layup from 6 ft,,12,13
36,1,5:54.0,,Defensive rebound by G. Hayward,12,13
37,1,5:48.0,,J. Tatum makes 2-pt layup from 3 ft (assist by G. Hayward),12,15
38,1,5:48.0,Philadelphia full timeout,,12,15
39,1,5:48.0,,S. Ojeleye enters the game for G. Hayward,12,15
40,1,5:35.0,T. Harris misses 2-pt jump shot from 17 ft,,12,15
41,1,5:34.0,,Defensive rebound by J. Brown,12,15
42,1,5:20.0,,K. Walker makes 3-pt jump shot from 26 ft (assist by J. Brown),12,18
43,1,4:58.0,T. Harris makes 3-pt jump shot from 24 ft (assist by B. Simmons),,15,18
44,1,4:46.0,,K. Walker misses 3-pt jump shot from 27 ft,15,18
45,1,4:44.0,Defensive rebound by J. Ennis,,15,18
46,1,4:33.0,Personal foul by J. Tatum (drawn by T. Harris),,15,18
47,1,4:33.0,,J. Green enters the game for J. Brown,15,18
48,1,4:33.0,,E. Freedom enters the game for D. Theis,15,18
49,1,4:26.0,T. Harris misses 3-pt jump shot from 25 ft,,15,18
50,1,4:25.0,,Defensive rebound by Team,15,18
51,1,4:25.0,Loose ball foul by J. Ennis (drawn by J. Green),,15,18
52,1,4:16.0,,E. Freedom makes 2-pt dunk from 1 ft (assist by K. Walker),15,20
53,1,4:00.0,J. Ennis misses 3-pt jump shot from 25 ft,,15,20
54,1,3:59.0,Offensive rebound by Team,,15,20
55,1,3:57.0,K. O'Quinn makes 3-pt jump shot from 26 ft (assist by B. Simmons),,18,20
56,1,3:45.0,,K. Walker makes 3-pt jump shot from 27 ft,18,23
57,1,3:45.0,,Shooting foul by M. Thybulle (drawn by K. Walker),18,23
58,1,3:45.0,M. Scott enters the game for T. Harris,,18,23
59,1,3:45.0,,K. Walker makes free throw 1 of 1,18,24
60,1,3:36.0,Offensive foul by K. O'Quinn (drawn by J. Tatum),,18,24
61,1,3:36.0,Turnover by K. O'Quinn (offensive foul),,18,24
62,1,3:36.0,J. Embiid enters the game for K. O'Quinn,,18,24
63,1,3:26.0,,S. Ojeleye misses 3-pt jump shot from 25 ft,18,24
64,1,3:24.0,Defensive rebound by J. Embiid,,18,24
65,1,3:20.0,Offensive foul by J. Ennis (drawn by S. Ojeleye),,18,24
66,1,3:20.0,Turnover by J. Ennis (offensive foul),,18,24
67,1,3:20.0,F. Korkmaz enters the game for J. Ennis,,18,24
68,1,3:10.0,,J. Tatum makes 2-pt layup from 4 ft,18,26
69,1,2:59.0,M. Thybulle makes 3-pt jump shot from 24 ft (assist by B. Simmons),,21,26
70,1,2:45.0,,J. Tatum misses 3-pt jump shot from 26 ft,21,26
71,1,2:44.0,Defensive rebound by F. Korkmaz,,21,26
72,1,2:36.0,J. Embiid makes 3-pt jump shot from 25 ft (assist by B. Simmons),,24,26
73,1,2:23.0,,K. Walker misses 3-pt jump shot from 26 ft,24,26
74,1,2:21.0,Defensive rebound by F. Korkmaz,,24,26
75,1,2:15.0,B. Simmons makes 2-pt hook shot from 8 ft,,26,26
76,1,1:51.0,,Shooting foul by B. Simmons (drawn by J. Tatum),26,26
77,1,1:51.0,,J. Tatum makes free throw 1 of 2,26,27
78,1,1:51.0,J. Richardson enters the game for M. Thybulle,,26,27
79,1,1:51.0,,J. Brown enters the game for J. Green,26,27
80,1,1:51.0,,G. Hayward enters the game for K. Walker,26,27
81,1,1:51.0,,J. Tatum makes free throw 2 of 2,26,28
82,1,1:44.0,Personal foul by J. Brown (drawn by J. Richardson),,26,28
83,1,1:44.0,,B. Wanamaker enters the game for J. Tatum,26,28
84,1,1:33.0,B. Simmons misses 2-pt hook shot from 4 ft,,26,28
85,1,1:32.0,Offensive rebound by Team,,26,28
86,1,1:32.0,,Loose ball foul by S. Ojeleye (drawn by J. Embiid),26,28
87,1,1:32.0,J. Embiid makes free throw 1 of 2,,27,28
88,1,1:32.0,J. Embiid makes free throw 2 of 2,,28,28
89,1,1:12.0,,E. Freedom makes 2-pt hook shot from 3 ft,28,30
90,1,0:52.0,J. Embiid misses 2-pt layup from 2 ft,,28,30
91,1,0:50.0,,Defensive rebound by E. Freedom,28,30
92,1,0:46.0,,J. Brown makes 2-pt layup from 4 ft,28,32
93,1,0:30.0,J. Richardson misses 2-pt jump shot from 15 ft,,28,32
94,1,0:27.0,,Defensive rebound by Team,28,32
95,1,0:06.0,,G. Hayward misses 2-pt layup from 4 ft,28,32
96,1,0:05.0,,Offensive rebound by E. Freedom,28,32
97,1,0:05.0,,E. Freedom makes 2-pt layup at rim,28,34
98,2,11:47.0,,E. Freedom misses 2-pt hook shot from 6 ft (block by J. Richardson),28,34
99,2,11:46.0,,Offensive rebound by Team,28,34
100,2,11:43.0,,G. Hayward makes 2-pt jump shot from 8 ft (assist by B. Wanamaker),28,36
