,QUARTER,TIME_REMAINING,UTAH_ACTION,SAN ANTONIO_ACTION,UTAH_SCORE,SAN ANTONIO_SCORE
0,1,11:43.0,,D. DeRozan misses 2-pt jump shot from 18 ft,0,0
1,1,11:39.0,Defensive rebound by R. Gobert,,0,0
2,1,11:27.0,Personal foul by J. Poeltl (drawn by R. Gobert),,0,0
3,1,11:20.0,Turnover by B. Bogdanović (bad pass),,0,0
4,1,11:04.0,,B. Forbes makes 2-pt jump shot from 6 ft (assist by D. DeRozan),0,2
5,1,10:52.0,Shooting foul by B. Forbes (drawn by R. Gobert),,0,2
6,1,10:52.0,R. Gobert misses free throw 1 of 2,,0,2
7,1,10:52.0,Offensive rebound by Team,,0,2
8,1,10:52.0,R. Gobert makes free throw 2 of 2,,1,2
9,1,10:33.0,,J. Poeltl makes 2-pt layup from 2 ft (assist by D. DeRozan),1,4
10,1,10:21.0,B. Bogdanović makes 3-pt jump shot from 25 ft,,4,4
11,1,10:04.0,,T. Lyles misses 2-pt jump shot from 7 ft,4,4
12,1,10:02.0,Defensive rebound by R. Gobert,,4,4
13,1,9:52.0,B. Bogdanović misses 2-pt jump shot from 6 ft,,4,4
14,1,9:50.0,,Defensive rebound by J. Poeltl,4,4
15,1,9:37.0,,D. Murray misses 3-pt jump shot from 26 ft,4,4
16,1,9:34.0,Defensive rebound by B. Bogdanović,,4,4
17,1,9:28.0,Shooting foul by J. Poeltl (drawn by R. Gobert),,4,4
18,1,9:28.0,R. Gobert misses free throw 1 of 2,,4,4
19,1,9:28.0,Offensive rebound by Team,,4,4
20,1,9:28.0,,C. Metu enters the game for J. Poeltl,4,4
21,1,9:28.0,R. Gobert makes free throw 2 of 2,,5,4
22,1,9:14.0,,T. Lyles makes 2-pt jump shot from 14 ft (assist by D. Murray),5,6
23,1,9:01.0,J. Ingles misses 2-pt layup from 1 ft,,5,6
24,1,8:56.0,Offensive rebound by R. Gobert,,5,6
25,1,8:56.0,R. Gobert makes 2-pt dunk from 1 ft,,7,6
26,1,8:45.0,,D. Murray makes 2-pt jump shot from 15 ft,7,8
27,1,8:30.0,D. Mitchell misses 2-pt jump shot from 11 ft,,7,8
28,1,8:28.0,Offensive rebound by R. Gobert,,7,8
29,1,8:28.0,Shooting foul by C. Metu (drawn by R. Gobert),,7,8
30,1,8:28.0,R. Gobert makes free throw 1 of 2,,8,8
31,1,8:28.0,R. Gobert misses free throw 2 of 2,,8,8
32,1,8:25.0,,Defensive rebound by C. Metu,8,8
33,1,8:08.0,,D. DeRozan makes 2-pt jump shot from 8 ft,8,10
34,1,7:52.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by D. Mitchell),,11,10
35,1,7:35.0,,D. DeRozan misses 2-pt jump shot from 12 ft,11,10
36,1,7:33.0,Defensive rebound by B. Bogdanović,,11,10
37,1,7:28.0,B. Bogdanović makes 2-pt layup from 1 ft,,13,10
38,1,7:28.0,,Violation by Team (def goaltending),13,10
39,1,7:28.0,,San Antonio full timeout,13,10
40,1,7:13.0,,B. Forbes misses 3-pt jump shot from 26 ft,13,10
41,1,7:11.0,Defensive rebound by B. Bogdanović,,13,10
42,1,6:57.0,R. O'Neale misses 3-pt jump shot from 26 ft,,13,10
43,1,6:54.0,,Defensive rebound by D. DeRozan,13,10
44,1,6:49.0,,D. DeRozan misses 2-pt jump shot from 16 ft,13,10
45,1,6:45.0,Defensive rebound by R. Gobert,,13,10
46,1,6:37.0,R. O'Neale makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,16,10
47,1,6:21.0,,D. Murray makes 2-pt jump shot from 16 ft,16,12
48,1,6:07.0,Personal foul by T. Lyles (drawn by R. Gobert),,16,12
49,1,6:07.0,R. Gobert misses free throw 1 of 2,,16,12
50,1,6:07.0,Offensive rebound by Team,,16,12
51,1,6:07.0,M. Conley enters the game for D. Mitchell,,16,12
52,1,6:07.0,G. Niang enters the game for R. O'Neale,,16,12
53,1,6:07.0,,R. Gay enters the game for T. Lyles,16,12
54,1,6:07.0,R. Gobert misses free throw 2 of 2,,16,12
55,1,6:05.0,,Defensive rebound by C. Metu,16,12
56,1,5:54.0,,B. Forbes makes 2-pt layup from 1 ft (assist by D. Murray),16,14
57,1,5:38.0,J. Ingles makes 2-pt jump shot from 6 ft,,18,14
58,1,5:26.0,,D. Murray makes 2-pt jump shot from 14 ft,18,16
59,1,5:07.0,Turnover by R. Gobert (3 sec),,18,16
60,1,5:07.0,J. Clarkson enters the game for J. Ingles,,18,16
61,1,4:53.0,,Turnover by R. Gay (lost ball; steal by J. Clarkson),18,16
62,1,4:46.0,J. Clarkson misses 3-pt jump shot from 25 ft,,18,16
63,1,4:43.0,,Defensive rebound by R. Gay,18,16
64,1,4:33.0,,B. Forbes makes 2-pt jump shot from 19 ft (assist by R. Gay),18,18
65,1,4:09.0,B. Bogdanović misses 2-pt jump shot from 12 ft,,18,18
66,1,4:06.0,,Defensive rebound by R. Gay,18,18
67,1,3:55.0,,C. Metu makes 2-pt layup from 5 ft (assist by R. Gay),18,20
68,1,3:47.0,Utah full timeout,,18,20
69,1,3:47.0,,L. Walker enters the game for B. Forbes,18,20
70,1,3:47.0,,D. White enters the game for D. Murray,18,20
71,1,3:38.0,J. Clarkson makes 3-pt jump shot from 24 ft (assist by G. Niang),,21,20
72,1,3:28.0,,Shooting foul by M. Conley (drawn by D. DeRozan),21,20
73,1,3:28.0,,D. DeRozan makes free throw 1 of 2,21,21
74,1,3:28.0,T. Bradley enters the game for B. Bogdanović,,21,21
75,1,3:28.0,D. Mitchell enters the game for R. Gobert,,21,21
76,1,3:28.0,,P. Mills enters the game for C. Metu,21,21
77,1,3:28.0,,D. DeRozan makes free throw 2 of 2,21,22
78,1,3:16.0,G. Niang misses 3-pt jump shot from 24 ft,,21,22
79,1,3:12.0,,Defensive rebound by R. Gay,21,22
80,1,2:55.0,,P. Mills makes 3-pt jump shot from 23 ft (assist by L. Walker),21,25
81,1,2:39.0,D. Mitchell misses 2-pt jump shot from 4 ft,,21,25
82,1,2:36.0,,Defensive rebound by D. White,21,25
83,1,2:32.0,,L. Walker makes 2-pt layup from 1 ft (assist by D. White),21,27
84,1,2:20.0,Shooting foul by R. Gay (drawn by M. Conley),,21,27
85,1,2:20.0,M. Conley misses free throw 1 of 2,,21,27
86,1,2:20.0,Offensive rebound by Team,,21,27
87,1,2:20.0,R. O'Neale enters the game for G. Niang,,21,27
88,1,2:20.0,M. Conley makes free throw 2 of 2,,22,27
89,1,2:12.0,,R. Gay misses 3-pt jump shot from 25 ft,22,27
90,1,2:08.0,Defensive rebound by R. O'Neale,,22,27
91,1,2:01.0,D. Mitchell misses 3-pt jump shot from 24 ft,,22,27
92,1,1:59.0,Offensive rebound by Team,,22,27
93,1,1:59.0,,Loose ball foul by L. Walker (drawn by R. O'Neale),22,27
94,1,1:59.0,R. O'Neale makes free throw 1 of 2,,23,27
95,1,1:59.0,R. O'Neale makes free throw 2 of 2,,24,27
96,1,1:51.0,,D. DeRozan makes 2-pt layup at rim,24,29
97,1,1:30.0,J. Clarkson misses 2-pt jump shot from 17 ft,,24,29
98,1,1:27.0,,Defensive rebound by R. Gay,24,29
99,1,1:21.0,,D. White makes 3-pt jump shot from 25 ft (assist by R. Gay),24,32
100,1,0:56.0,D. Mitchell makes 2-pt jump shot from 20 ft,,26,32
101,1,0:42.0,,Personal foul by J. Clarkson (drawn by D. DeRozan),26,32
102,1,0:42.0,,M. Belinelli enters the game for D. DeRozan,26,32
103,1,0:37.0,,Shooting foul by M. Conley (drawn by P. Mills),26,32
104,1,0:37.0,,P. Mills makes free throw 1 of 3,26,33
105,1,0:37.0,,P. Mills makes free throw 2 of 3,26,34
106,1,0:37.0,,P. Mills makes free throw 3 of 3,26,35
107,1,0:29.0,J. Clarkson makes 3-pt jump shot from 23 ft (assist by D. Mitchell),,29,35
108,1,0:08.0,,R. Gay makes 2-pt jump shot from 10 ft,29,37
109,1,0:00.0,R. O'Neale misses 3-pt jump shot from 24 ft,,29,37
110,1,0:00.0,Offensive rebound by Team,,29,37
111,2,11:42.0,J. Clarkson misses 2-pt jump shot from 14 ft,,29,37
112,2,11:38.0,,Defensive rebound by R. Gay,29,37
113,2,11:26.0,,M. Belinelli makes 2-pt jump shot from 17 ft (assist by D. White),29,39
114,2,11:04.0,D. Mitchell makes 3-pt jump shot from 26 ft,,32,39
115,2,10:50.0,,P. Mills misses 3-pt jump shot from 26 ft,32,39
116,2,10:47.0,Defensive rebound by J. Clarkson,,32,39
