,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,ATLANTA_ACTION,CHARLOTTE_SCORE,ATLANTA_SCORE
0,1,11:40.0,,T. Young makes 3-pt jump shot from 35 ft (assist by D. Hunter),0,3
1,1,11:12.0,Turnover by Team (shot clock),,0,3
2,1,10:58.0,,J. Collins makes 2-pt layup at rim (assist by T. Young),0,5
3,1,10:48.0,D. Graham makes 3-pt jump shot from 26 ft (assist by M. Bridges),,3,5
4,1,10:34.0,,J. Collins makes 2-pt dunk from 1 ft (assist by K. Huerter),3,7
5,1,10:17.0,D. Graham misses 3-pt jump shot from 26 ft,,3,7
6,1,10:14.0,,Defensive rebound by D. Dedmon,3,7
7,1,10:07.0,,D. Dedmon makes 3-pt jump shot from 25 ft (assist by T. Young),3,10
8,1,9:37.0,D. Graham misses 2-pt jump shot from 22 ft,,3,10
9,1,9:35.0,,Defensive rebound by D. Dedmon,3,10
10,1,9:26.0,,D. Dedmon makes 2-pt layup from 2 ft (assist by T. Young),3,12
11,1,9:26.0,,Shooting foul by P. Washington (drawn by D. Dedmon),3,12
12,1,9:26.0,Charlotte full timeout,,3,12
13,1,9:26.0,,D. Dedmon misses free throw 1 of 1,3,12
14,1,9:24.0,Defensive rebound by C. Zeller,,3,12
15,1,9:05.0,T. Rozier makes 2-pt jump shot from 22 ft,,5,12
16,1,8:53.0,,Turnover by T. Young (bad pass; steal by D. Graham),5,12
17,1,8:49.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by D. Graham),,8,12
18,1,8:31.0,,K. Huerter misses 3-pt jump shot from 26 ft,8,12
19,1,8:29.0,Defensive rebound by P. Washington,,8,12
20,1,8:24.0,T. Rozier makes 2-pt layup from 3 ft,,10,12
21,1,8:24.0,Shooting foul by J. Collins (drawn by T. Rozier),,10,12
22,1,8:24.0,T. Rozier misses free throw 1 of 1,,10,12
23,1,8:22.0,,Defensive rebound by D. Dedmon,10,12
24,1,8:14.0,,Personal foul by P. Washington (drawn by D. Hunter),10,12
25,1,8:14.0,J. McDaniels enters the game for P. Washington,,10,12
26,1,8:12.0,,Turnover by K. Huerter (bad pass; steal by D. Graham),10,12
27,1,8:09.0,D. Graham makes 2-pt dunk from 1 ft,,12,12
28,1,8:09.0,,Atlanta full timeout,12,12
29,1,7:46.0,,K. Huerter misses 3-pt jump shot from 25 ft,12,12
30,1,7:44.0,,Offensive rebound by Team,12,12
31,1,7:37.0,,Shooting foul by M. Bridges (drawn by J. Collins),12,12
32,1,7:37.0,,J. Collins misses free throw 1 of 2,12,12
33,1,7:37.0,,Offensive rebound by Team,12,12
34,1,7:37.0,,J. Collins makes free throw 2 of 2,12,13
35,1,7:22.0,T. Rozier misses 2-pt jump shot from 13 ft,,12,13
36,1,7:20.0,,Defensive rebound by D. Hunter,12,13
37,1,7:05.0,,J. Collins makes 2-pt layup from 2 ft (assist by T. Young),12,15
38,1,6:51.0,D. Graham misses 2-pt jump shot from 9 ft,,12,15
39,1,6:48.0,,Defensive rebound by D. Dedmon,12,15
40,1,6:39.0,,T. Young misses 3-pt jump shot from 29 ft,12,15
41,1,6:35.0,Defensive rebound by D. Graham,,12,15
42,1,6:19.0,C. Zeller makes 2-pt layup from 2 ft (assist by D. Graham),,14,15
43,1,6:09.0,,D. Hunter makes 3-pt jump shot from 23 ft (assist by T. Young),14,18
44,1,5:52.0,C. Zeller misses 2-pt layup from 1 ft,,14,18
45,1,5:49.0,,Defensive rebound by D. Dedmon,14,18
46,1,5:45.0,,J. Collins makes 2-pt layup from 4 ft (assist by D. Hunter),14,20
47,1,5:30.0,M. Bridges misses 2-pt layup from 3 ft,,14,20
48,1,5:24.0,Offensive rebound by C. Zeller,,14,20
49,1,5:22.0,D. Graham makes 3-pt jump shot from 25 ft (assist by M. Bridges),,17,20
50,1,5:05.0,,Turnover by T. Young (bad pass; steal by D. Graham),17,20
51,1,4:54.0,M. Bridges misses 3-pt jump shot from 23 ft,,17,20
52,1,4:51.0,Offensive rebound by M. Bridges,,17,20
53,1,4:49.0,Turnover by C. Zeller (off goaltending),,17,20
54,1,4:49.0,B. Biyombo enters the game for D. Graham,,17,20
55,1,4:49.0,C. Martin enters the game for C. Zeller,,17,20
56,1,4:49.0,,C. Reddish enters the game for D. Dedmon,17,20
57,1,4:34.0,,T. Young makes 3-pt jump shot from 26 ft,17,23
58,1,4:14.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by B. Biyombo),,20,23
59,1,3:58.0,,T. Young makes 2-pt jump shot from 14 ft,20,25
60,1,3:42.0,J. McDaniels misses 2-pt layup from 5 ft,,20,25
61,1,3:39.0,Offensive rebound by B. Biyombo,,20,25
62,1,3:38.0,B. Biyombo misses 2-pt layup from 4 ft,,20,25
63,1,3:38.0,Offensive rebound by J. McDaniels,,20,25
64,1,3:25.0,T. Rozier makes 2-pt layup from 1 ft,,22,25
65,1,3:12.0,,C. Reddish makes 2-pt layup from 2 ft,22,27
66,1,2:58.0,C. Martin makes 2-pt jump shot from 18 ft,,24,27
67,1,2:41.0,,D. Hunter misses 2-pt dunk from 2 ft,24,27
68,1,2:38.0,Defensive rebound by J. McDaniels,,24,27
69,1,2:36.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by J. McDaniels),,27,27
70,1,2:33.0,,Atlanta full timeout,27,27
71,1,2:33.0,D. Graham enters the game for M. Bridges,,27,27
72,1,2:33.0,P. Washington enters the game for T. Rozier,,27,27
73,1,2:33.0,,V. Carter enters the game for J. Collins,27,27
74,1,2:33.0,,D. Dedmon enters the game for K. Huerter,27,27
75,1,2:33.0,,T. Graham enters the game for D. Hunter,27,27
76,1,2:33.0,,J. Teague enters the game for T. Young,27,27
77,1,2:23.0,,Offensive foul by D. Dedmon (drawn by J. McDaniels),27,27
78,1,2:23.0,,Turnover by D. Dedmon (offensive foul),27,27
79,1,2:05.0,P. Washington makes 2-pt hook shot from 7 ft,,29,27
80,1,1:58.0,,Personal foul by C. Martin (drawn by J. Teague),29,27
81,1,1:43.0,,C. Reddish misses 3-pt jump shot from 24 ft,29,27
82,1,1:39.0,Defensive rebound by D. Graham,,29,27
83,1,1:32.0,Turnover by P. Washington (bad pass; steal by C. Reddish),,29,27
84,1,1:28.0,,Shooting foul by P. Washington (drawn by C. Reddish),29,27
85,1,1:28.0,,C. Reddish misses free throw 1 of 2,29,27
86,1,1:28.0,,Offensive rebound by Team,29,27
87,1,1:28.0,C. Martin enters the game for P. Washington,,29,27
88,1,1:28.0,,C. Reddish makes free throw 2 of 2,29,28
89,1,1:08.0,D. Graham makes 3-pt jump shot from 26 ft,,32,28
90,1,0:56.0,,J. Teague makes 2-pt layup from 2 ft,32,30
91,1,0:44.0,D. Graham misses 2-pt layup from 4 ft,,32,30
92,1,0:42.0,,Defensive rebound by Team,32,30
93,1,0:19.0,,V. Carter misses 2-pt jump shot from 20 ft,32,30
94,1,0:16.0,,Offensive rebound by T. Graham,32,30
95,1,0:15.0,,D. Dedmon makes 2-pt jump shot from 16 ft (assist by T. Graham),32,32
96,1,0:01.0,Personal foul by V. Carter (drawn by D. Graham),,32,32
97,2,11:46.0,B. Biyombo makes 2-pt dunk from 1 ft (assist by C. Martin),,34,32
98,2,11:46.0,Shooting foul by K. Huerter (drawn by B. Biyombo),,34,32
99,2,11:46.0,B. Biyombo misses free throw 1 of 1,,34,32
