,QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW YORK_ACTION,MIAMI_SCORE,NEW YORK_SCORE
0,1,11:44.0,,R. Barrett makes 2-pt layup from 2 ft,0,2
1,1,11:21.0,M. Leonard makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,3,2
2,1,11:08.0,,J. Randle misses 2-pt jump shot from 15 ft,3,2
3,1,11:06.0,Defensive rebound by J. Butler,,3,2
4,1,10:59.0,K. Nunn makes 2-pt layup at rim (assist by J. Butler),,5,2
5,1,10:39.0,,R. Bullock misses 3-pt jump shot from 27 ft,5,2
6,1,10:37.0,Defensive rebound by D. Robinson,,5,2
7,1,10:16.0,K. Nunn makes 2-pt layup from 1 ft (assist by J. Butler),,7,2
8,1,10:09.0,,New York full timeout,7,2
9,1,10:01.0,,J. Randle misses 2-pt jump shot from 15 ft,7,2
10,1,9:59.0,Defensive rebound by K. Nunn,,7,2
11,1,9:41.0,B. Adebayo misses 2-pt jump shot from 14 ft,,7,2
12,1,9:39.0,,Defensive rebound by R. Barrett,7,2
13,1,9:33.0,,T. Gibson makes 2-pt layup from 3 ft (assist by R. Barrett),7,4
14,1,9:33.0,,Shooting foul by M. Leonard (drawn by T. Gibson),7,4
15,1,9:33.0,,T. Gibson makes free throw 1 of 1,7,5
16,1,9:15.0,Turnover by M. Leonard (bad pass; steal by E. Payton),,7,5
17,1,9:12.0,,J. Randle makes 2-pt dunk from 1 ft (assist by E. Payton),7,7
18,1,8:49.0,K. Nunn misses 2-pt jump shot from 8 ft,,7,7
19,1,8:47.0,,Defensive rebound by T. Gibson,7,7
20,1,8:41.0,,E. Payton misses 2-pt jump shot from 12 ft,7,7
21,1,8:39.0,,Offensive rebound by T. Gibson,7,7
22,1,8:29.0,,R. Bullock misses 3-pt jump shot from 24 ft,7,7
23,1,8:27.0,Defensive rebound by J. Butler,,7,7
24,1,8:12.0,K. Nunn misses 3-pt jump shot from 26 ft,,7,7
25,1,8:10.0,,Defensive rebound by R. Barrett,7,7
26,1,8:06.0,,R. Barrett makes 2-pt layup from 2 ft,7,9
27,1,8:06.0,,Shooting foul by D. Robinson (drawn by R. Barrett),7,9
28,1,8:06.0,,R. Barrett makes free throw 1 of 1,7,10
29,1,7:53.0,Shooting foul by R. Barrett (drawn by D. Robinson),,7,10
30,1,7:53.0,D. Robinson makes free throw 1 of 2,,8,10
31,1,7:53.0,D. Robinson makes free throw 2 of 2,,9,10
32,1,7:41.0,,E. Payton makes 2-pt layup from 3 ft,9,12
33,1,7:18.0,K. Nunn makes 2-pt jump shot from 15 ft (assist by J. Butler),,11,12
34,1,7:02.0,,J. Randle misses 3-pt jump shot from 26 ft,11,12
35,1,7:00.0,Defensive rebound by D. Robinson,,11,12
36,1,6:53.0,Shooting foul by J. Randle (drawn by J. Butler),,11,12
37,1,6:53.0,J. Butler makes free throw 1 of 2,,12,12
38,1,6:53.0,J. Butler makes free throw 2 of 2,,13,12
39,1,6:41.0,,R. Bullock misses 3-pt jump shot from 25 ft,13,12
40,1,6:39.0,,Offensive rebound by T. Gibson,13,12
41,1,6:38.0,,T. Gibson makes 2-pt layup from 2 ft,13,14
42,1,6:38.0,,Shooting foul by B. Adebayo (drawn by T. Gibson),13,14
43,1,6:38.0,,T. Gibson makes free throw 1 of 1,13,15
44,1,6:23.0,D. Robinson misses 3-pt jump shot from 24 ft,,13,15
45,1,6:21.0,Offensive rebound by B. Adebayo,,13,15
46,1,6:17.0,B. Adebayo makes 2-pt jump shot from 4 ft,,15,15
47,1,5:53.0,,E. Payton makes 2-pt layup from 1 ft,15,17
48,1,5:45.0,D. Robinson misses 3-pt jump shot from 26 ft,,15,17
49,1,5:44.0,,Defensive rebound by R. Bullock,15,17
50,1,5:32.0,,R. Barrett makes 3-pt jump shot from 25 ft (assist by J. Randle),15,20
51,1,5:24.0,Miami full timeout,,15,20
52,1,5:24.0,D. Jones enters the game for M. Leonard,,15,20
53,1,5:24.0,,M. Robinson enters the game for T. Gibson,15,20
54,1,5:17.0,J. Butler makes 2-pt layup at rim (assist by D. Robinson),,17,20
55,1,5:01.0,,E. Payton misses 2-pt layup from 4 ft (block by J. Butler),17,20
56,1,5:00.0,Defensive rebound by Team,,17,20
57,1,4:50.0,K. Nunn misses 3-pt jump shot from 23 ft,,17,20
58,1,4:48.0,,Defensive rebound by M. Robinson,17,20
59,1,4:37.0,,Turnover by M. Robinson (3 sec),17,20
60,1,4:37.0,G. Dragić enters the game for K. Nunn,,17,20
61,1,4:23.0,J. Butler misses 2-pt layup from 4 ft (block by M. Robinson),,17,20
62,1,4:21.0,Offensive rebound by J. Butler,,17,20
63,1,4:14.0,Turnover by B. Adebayo (lost ball; steal by R. Bullock),,17,20
64,1,4:10.0,,R. Barrett makes 2-pt layup from 1 ft (assist by R. Bullock),17,22
65,1,3:52.0,J. Butler makes 2-pt hook shot from 8 ft,,19,22
66,1,3:52.0,Shooting foul by R. Bullock (drawn by J. Butler),,19,22
67,1,3:52.0,M. Leonard enters the game for B. Adebayo,,19,22
68,1,3:52.0,,D. Dotson enters the game for R. Bullock,19,22
69,1,3:52.0,J. Butler makes free throw 1 of 1,,20,22
70,1,3:33.0,,R. Barrett misses 3-pt jump shot from 25 ft,20,22
