,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,CHICAGO_ACTION,NEW ORLEANS_SCORE,CHICAGO_SCORE
0,1,11:41.0,,C. Hutchison makes 2-pt layup from 2 ft,0,2
1,1,11:41.0,Violation by Team (def goaltending),,0,2
2,1,11:27.0,D. Favors makes 2-pt layup at rim (assist by B. Ingram),,2,2
3,1,11:14.0,,T. Satoranský makes 2-pt jump shot from 14 ft,2,4
4,1,11:00.0,B. Ingram makes 2-pt layup at rim,,4,4
5,1,10:40.0,,Shooting foul by J. Holiday (drawn by C. Hutchison),4,4
6,1,10:40.0,,C. Hutchison misses free throw 1 of 2,4,4
7,1,10:40.0,,Offensive rebound by Team,4,4
8,1,10:40.0,,C. Hutchison misses free throw 2 of 2,4,4
9,1,10:38.0,Defensive rebound by D. Favors,,4,4
10,1,10:19.0,J. Holiday misses 3-pt jump shot from 26 ft,,4,4
11,1,10:16.0,,Defensive rebound by C. Hutchison,4,4
12,1,10:09.0,,T. Satoranský makes 3-pt jump shot from 23 ft (assist by Z. LaVine),4,7
13,1,9:55.0,B. Ingram misses 3-pt jump shot from 22 ft,,4,7
14,1,9:54.0,,Defensive rebound by C. Hutchison,4,7
15,1,9:33.0,,C. Hutchison misses 2-pt layup from 1 ft,4,7
16,1,9:30.0,Defensive rebound by D. Favors,,4,7
17,1,9:22.0,B. Ingram misses 2-pt jump shot from 7 ft (block by Z. LaVine),,4,7
18,1,9:19.0,,Defensive rebound by C. Hutchison,4,7
19,1,9:01.0,,T. Young misses 2-pt dunk from 3 ft (block by J. Holiday),4,7
20,1,8:56.0,,Offensive rebound by T. Young,4,7
21,1,8:56.0,,T. Young makes 2-pt layup at rim,4,9
22,1,8:47.0,Z. Williamson misses 2-pt layup from 1 ft,,4,9
23,1,8:45.0,,Defensive rebound by T. Satoranský,4,9
24,1,8:38.0,,C. Hutchison misses 2-pt layup from 3 ft,4,9
25,1,8:35.0,Defensive rebound by B. Ingram,,4,9
26,1,8:31.0,B. Ingram misses 2-pt layup from 1 ft,,4,9
27,1,8:29.0,,Defensive rebound by T. Young,4,9
28,1,8:26.0,,T. Satoranský misses 2-pt layup from 3 ft (block by Z. Williamson),4,9
29,1,8:26.0,,Offensive rebound by Team,4,9
30,1,8:19.0,,T. Satoranský misses 2-pt jump shot from 7 ft,4,9
31,1,8:17.0,Defensive rebound by L. Ball,,4,9
32,1,8:08.0,J. Holiday misses 3-pt jump shot from 25 ft,,4,9
33,1,8:04.0,,Defensive rebound by T. Young,4,9
34,1,7:53.0,,Turnover by C. Hutchison (bad pass; steal by L. Ball),4,9
35,1,7:47.0,J. Holiday makes 2-pt layup at rim,,6,9
36,1,7:26.0,,Shooting foul by J. Holiday (drawn by Z. LaVine),6,9
37,1,7:26.0,,Z. LaVine makes free throw 1 of 2,6,10
38,1,7:26.0,J. Hart enters the game for J. Holiday,,6,10
