,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CHARLOTTE_ACTION,MILWAUKEE_SCORE,CHARLOTTE_SCORE
0,1,11:45.0,W. Matthews misses 3-pt jump shot from 27 ft,,0,0
1,1,11:39.0,Offensive rebound by W. Matthews,,0,0
2,1,11:31.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,3,0
3,1,11:16.0,,T. Rozier makes 2-pt layup from 3 ft,3,2
4,1,10:56.0,Turnover by E. Bledsoe (bad pass; steal by T. Rozier),,3,2
5,1,10:50.0,,B. Biyombo makes 2-pt hook shot from 3 ft (assist by P. Washington),3,4
6,1,10:50.0,Violation by Team (def goaltending),,3,4
7,1,10:26.0,G. Antetokounmpo makes 2-pt jump shot from 7 ft,,5,4
8,1,10:13.0,,D. Graham misses 2-pt jump shot from 7 ft,5,4
9,1,10:13.0,Defensive rebound by Team,,5,4
10,1,9:53.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,7,4
11,1,9:53.0,Shooting foul by B. Biyombo (drawn by G. Antetokounmpo),,7,4
12,1,9:53.0,G. Antetokounmpo makes free throw 1 of 1,,8,4
13,1,9:32.0,,T. Rozier misses 2-pt jump shot from 17 ft,8,4
14,1,9:30.0,Defensive rebound by G. Antetokounmpo,,8,4
15,1,9:23.0,B. Lopez makes 2-pt dunk from 1 ft (assist by G. Antetokounmpo),,10,4
16,1,9:11.0,,P. Washington misses 3-pt jump shot from 25 ft,10,4
17,1,9:08.0,Defensive rebound by B. Lopez,,10,4
18,1,9:04.0,W. Matthews misses 3-pt jump shot from 31 ft,,10,4
19,1,9:03.0,Offensive rebound by W. Matthews,,10,4
20,1,8:46.0,E. Bledsoe misses 3-pt jump shot from 27 ft,,10,4
21,1,8:43.0,,Defensive rebound by P. Washington,10,4
22,1,8:36.0,,Turnover by M. Bridges (step out of bounds),10,4
23,1,8:19.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by W. Matthews),,12,4
24,1,8:19.0,,Charlotte full timeout,12,4
25,1,8:04.0,,P. Washington misses 3-pt jump shot from 25 ft,12,4
26,1,8:01.0,Defensive rebound by D. DiVincenzo,,12,4
27,1,7:54.0,E. Bledsoe makes 2-pt layup from 2 ft,,14,4
