,QUARTER,TIME_REMAINING,MIAMI_ACTION,GOLDEN STATE_ACTION,MIAMI_SCORE,GOLDEN STATE_SCORE
0,1,11:46.0,,M. Chriss makes 2-pt hook shot from 5 ft (assist by D. Green),0,2
1,1,11:22.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by J. Butler),,3,2
2,1,11:03.0,,A. Wiggins misses 3-pt jump shot from 27 ft,3,2
3,1,11:01.0,Defensive rebound by J. Butler,,3,2
4,1,10:52.0,J. Butler misses 2-pt jump shot from 11 ft,,3,2
5,1,10:51.0,Offensive rebound by Team,,3,2
6,1,10:49.0,K. Nunn misses 2-pt jump shot from 16 ft,,3,2
7,1,10:47.0,,Defensive rebound by Team,3,2
8,1,10:29.0,,M. Chriss misses 2-pt jump shot from 19 ft,3,2
9,1,10:28.0,Defensive rebound by J. Butler,,3,2
10,1,10:17.0,K. Nunn misses 2-pt jump shot from 13 ft,,3,2
11,1,10:16.0,,Defensive rebound by A. Wiggins,3,2
12,1,10:07.0,,D. Green misses 2-pt layup from 5 ft,3,2
13,1,10:06.0,Defensive rebound by J. Butler,,3,2
14,1,9:59.0,D. Jones makes 2-pt layup from 2 ft (assist by K. Nunn),,5,2
15,1,9:46.0,,Personal foul by D. Jones (drawn by M. Chriss),5,2
16,1,9:41.0,,K. Bowman misses 3-pt jump shot from 28 ft,5,2
17,1,9:39.0,Defensive rebound by D. Jones,,5,2
18,1,9:25.0,B. Adebayo makes 2-pt layup from 1 ft (assist by J. Butler),,7,2
19,1,9:04.0,,D. Green misses 3-pt jump shot from 23 ft,7,2
20,1,9:02.0,Defensive rebound by B. Adebayo,,7,2
21,1,8:56.0,Personal foul by M. Chriss (drawn by B. Adebayo),,7,2
22,1,8:49.0,K. Nunn misses 3-pt jump shot from 24 ft,,7,2
23,1,8:47.0,Offensive rebound by B. Adebayo,,7,2
24,1,8:43.0,B. Adebayo misses 2-pt layup from 2 ft,,7,2
25,1,8:42.0,,Defensive rebound by D. Lee,7,2
26,1,8:34.0,,Shooting foul by D. Robinson (drawn by M. Chriss),7,2
27,1,8:34.0,,M. Chriss makes free throw 1 of 2,7,3
28,1,8:34.0,,M. Chriss misses free throw 2 of 2,7,3
29,1,8:32.0,Defensive rebound by B. Adebayo,,7,3
30,1,8:13.0,K. Nunn misses 2-pt layup from 6 ft (block by D. Green),,7,3
31,1,8:11.0,,Defensive rebound by M. Chriss,7,3
32,1,8:02.0,,A. Wiggins misses 3-pt jump shot from 23 ft,7,3
33,1,8:00.0,Defensive rebound by K. Nunn,,7,3
34,1,7:50.0,J. Butler makes 2-pt jump shot from 5 ft,,9,3
35,1,7:40.0,,D. Lee misses 2-pt jump shot from 11 ft,9,3
36,1,7:39.0,Defensive rebound by J. Butler,,9,3
37,1,7:28.0,J. Butler makes 2-pt layup from 6 ft (assist by B. Adebayo),,11,3
38,1,7:22.0,,Golden State full timeout,11,3
39,1,7:17.0,,D. Lee makes 3-pt jump shot from 25 ft (assist by K. Bowman),11,6
40,1,6:59.0,J. Butler makes 2-pt jump shot from 15 ft,,13,6
41,1,6:49.0,Violation by Team (kicked ball),,13,6
42,1,6:39.0,,M. Chriss misses 2-pt jump shot from 6 ft,13,6
43,1,6:38.0,,Offensive rebound by M. Chriss,13,6
44,1,6:37.0,,Shooting foul by B. Adebayo (drawn by M. Chriss),13,6
45,1,6:37.0,,M. Chriss makes free throw 1 of 2,13,7
46,1,6:37.0,,M. Chriss makes free throw 2 of 2,13,8
47,1,6:22.0,D. Robinson makes 3-pt jump shot from 28 ft (assist by B. Adebayo),,16,8
48,1,6:08.0,,D. Lee misses 3-pt jump shot from 27 ft,16,8
49,1,6:06.0,Defensive rebound by B. Adebayo,,16,8
50,1,6:02.0,Personal foul by M. Chriss (drawn by B. Adebayo),,16,8
51,1,6:02.0,G. Dragić enters the game for D. Robinson,,16,8
52,1,6:02.0,,K. Looney enters the game for M. Chriss,16,8
53,1,5:51.0,J. Butler misses 2-pt jump shot from 7 ft,,16,8
54,1,5:50.0,,Defensive rebound by D. Green,16,8
55,1,5:44.0,,D. Lee misses 3-pt jump shot from 27 ft,16,8
56,1,5:42.0,Defensive rebound by J. Butler,,16,8
57,1,5:31.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by J. Butler),,18,8
58,1,5:31.0,,J. Pargo enters the game for K. Bowman,18,8
59,1,5:31.0,,J. Poole enters the game for D. Lee,18,8
60,1,5:16.0,,Personal foul by K. Nunn (drawn by J. Poole),18,8
61,1,5:07.0,,J. Poole makes 2-pt jump shot from 20 ft,18,10
62,1,4:49.0,Turnover by D. Jones (lost ball; steal by D. Green),,18,10
63,1,4:41.0,,Turnover by J. Pargo (bad pass; steal by J. Butler),18,10
64,1,4:37.0,J. Butler makes 2-pt layup from 3 ft,,20,10
65,1,4:17.0,,D. Green makes 3-pt jump shot from 28 ft (assist by J. Pargo),20,13
66,1,4:09.0,Miami full timeout,,20,13
67,1,4:09.0,J. Crowder enters the game for D. Jones,,20,13
68,1,4:09.0,,E. Paschall enters the game for D. Green,20,13
69,1,4:00.0,J. Butler misses 2-pt jump shot from 10 ft,,20,13
70,1,3:59.0,,Defensive rebound by K. Looney,20,13
71,1,3:45.0,,Shooting foul by G. Dragić (drawn by J. Poole),20,13
72,1,3:45.0,,J. Poole makes free throw 1 of 3,20,14
73,1,3:45.0,,J. Poole makes free throw 2 of 3,20,15
74,1,3:45.0,,J. Poole makes free throw 3 of 3,20,16
75,1,3:35.0,Turnover by J. Butler (bad pass; steal by K. Looney),,20,16
76,1,3:29.0,,J. Poole misses 3-pt jump shot from 28 ft,20,16
77,1,3:27.0,Defensive rebound by J. Butler,,20,16
78,1,3:15.0,Personal foul by J. Poole (drawn by G. Dragić),,20,16
79,1,3:15.0,A. Iguodala enters the game for J. Butler,,20,16
