,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,BOSTON_ACTION,SAN ANTONIO_SCORE,BOSTON_SCORE
0,1,11:44.0,D. Murray makes 2-pt layup from 2 ft,,2,0
1,1,11:26.0,,J. Brown misses 3-pt jump shot from 26 ft,2,0
2,1,11:25.0,Defensive rebound by D. DeRozan,,2,0
3,1,11:07.0,L. Aldridge makes 2-pt jump shot from 12 ft (assist by B. Forbes),,4,0
4,1,10:52.0,,J. Brown misses 3-pt jump shot from 26 ft,4,0
5,1,10:51.0,Defensive rebound by B. Forbes,,4,0
6,1,10:41.0,D. DeRozan makes 2-pt jump shot from 10 ft (assist by L. Aldridge),,6,0
7,1,10:21.0,,K. Walker misses 3-pt jump shot from 26 ft,6,0
8,1,10:20.0,Defensive rebound by T. Lyles,,6,0
9,1,10:10.0,D. DeRozan makes 2-pt layup from 2 ft,,8,0
10,1,9:49.0,,G. Hayward misses 2-pt jump shot from 15 ft,8,0
11,1,9:48.0,Defensive rebound by D. Murray,,8,0
12,1,9:35.0,D. Murray misses 2-pt layup from 3 ft,,8,0
13,1,9:34.0,,Defensive rebound by J. Tatum,8,0
14,1,9:21.0,,G. Hayward makes 3-pt jump shot from 27 ft (assist by K. Walker),8,3
15,1,8:55.0,B. Forbes misses 3-pt jump shot from 25 ft,,8,3
16,1,8:53.0,,Defensive rebound by J. Tatum,8,3
17,1,8:41.0,,J. Tatum misses 3-pt jump shot from 27 ft,8,3
18,1,8:39.0,Defensive rebound by T. Lyles,,8,3
19,1,8:30.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by L. Aldridge),,11,3
20,1,8:07.0,,G. Hayward misses 3-pt jump shot from 27 ft,11,3
21,1,8:05.0,Defensive rebound by B. Forbes,,11,3
22,1,7:56.0,T. Lyles makes 3-pt jump shot from 28 ft (assist by D. DeRozan),,14,3
23,1,7:55.0,,Boston full timeout,14,3
24,1,7:39.0,,Turnover by J. Brown (bad pass; steal by B. Forbes),14,3
25,1,7:24.0,B. Forbes misses 3-pt jump shot from 26 ft,,14,3
26,1,7:22.0,Offensive rebound by T. Lyles,,14,3
27,1,7:18.0,Turnover by D. DeRozan (lost ball; steal by J. Brown),,14,3
28,1,7:14.0,,Turnover by J. Brown (bad pass),14,3
29,1,6:52.0,L. Aldridge makes 2-pt hook shot from 6 ft,,16,3
30,1,6:36.0,,J. Brown misses 2-pt layup from 2 ft,16,3
31,1,6:35.0,,Offensive rebound by Team,16,3
32,1,6:35.0,,Turnover by J. Brown (traveling),16,3
33,1,6:35.0,,E. Freedom enters the game for D. Theis,16,3
34,1,6:35.0,,M. Smart enters the game for K. Walker,16,3
35,1,6:20.0,L. Aldridge misses 2-pt jump shot from 13 ft,,16,3
36,1,6:19.0,,Defensive rebound by J. Tatum,16,3
37,1,6:08.0,,M. Smart misses 3-pt jump shot from 23 ft,16,3
38,1,6:06.0,Defensive rebound by L. Aldridge,,16,3
