,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,UTAH_ACTION,BROOKLYN_SCORE,UTAH_SCORE
0,1,11:44.0,K. Irving misses 2-pt jump shot from 13 ft,,0,0
1,1,11:41.0,,Defensive rebound by R. Gobert,0,0
2,1,11:22.0,,M. Conley makes 2-pt jump shot from 12 ft,0,2
3,1,11:04.0,J. Allen misses 2-pt hook shot from 5 ft,,0,2
4,1,11:02.0,,Defensive rebound by D. Mitchell,0,2
5,1,10:56.0,,D. Mitchell misses 3-pt jump shot from 24 ft,0,2
6,1,10:53.0,Defensive rebound by J. Harris,,0,2
7,1,10:45.0,T. Prince misses 3-pt jump shot from 25 ft,,0,2
8,1,10:43.0,Offensive rebound by G. Temple,,0,2
9,1,10:39.0,T. Prince makes 2-pt layup from 2 ft (assist by G. Temple),,2,2
10,1,10:20.0,,B. Bogdanović misses 2-pt jump shot from 16 ft,2,2
11,1,10:17.0,Defensive rebound by J. Harris,,2,2
12,1,10:12.0,J. Harris makes 2-pt jump shot from 13 ft,,4,2
13,1,9:44.0,,D. Mitchell makes 2-pt jump shot from 7 ft,4,4
14,1,9:36.0,K. Irving misses 3-pt jump shot from 25 ft,,4,4
15,1,9:33.0,,Defensive rebound by R. Gobert,4,4
16,1,9:14.0,,D. Mitchell misses 3-pt jump shot from 26 ft,4,4
17,1,9:11.0,,Offensive rebound by R. Gobert,4,4
18,1,9:02.0,,R. Gobert misses 2-pt layup from 2 ft (block by J. Allen),4,4
19,1,9:02.0,Defensive rebound by Team,,4,4
20,1,8:51.0,T. Prince makes 3-pt jump shot from 25 ft (assist by K. Irving),,7,4
21,1,8:28.0,,Turnover by M. Conley (bad pass),7,4
22,1,8:21.0,G. Temple misses 3-pt jump shot from 25 ft,,7,4
23,1,8:19.0,,Defensive rebound by R. Gobert,7,4
24,1,8:09.0,,D. Mitchell misses 2-pt jump shot from 7 ft,7,4
25,1,8:07.0,Defensive rebound by J. Allen,,7,4
26,1,7:48.0,G. Temple makes 3-pt jump shot from 26 ft (assist by J. Allen),,10,4
27,1,7:47.0,,Utah full timeout,10,4
28,1,7:31.0,,Shooting foul by J. Harris (drawn by B. Bogdanović),10,4
29,1,7:31.0,,B. Bogdanović misses free throw 1 of 2,10,4
30,1,7:31.0,,Offensive rebound by Team,10,4
