,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,WASHINGTON_ACTION,BROOKLYN_SCORE,WASHINGTON_SCORE
0,1,11:41.0,G. Temple makes 3-pt jump shot from 25 ft (assist by T. Prince),,3,0
1,1,11:23.0,,I. Thomas misses 2-pt jump shot from 18 ft,3,0
2,1,11:19.0,Defensive rebound by J. Allen,,3,0
3,1,11:11.0,J. Harris misses 2-pt layup from 2 ft (block by B. Beal),,3,0
4,1,11:11.0,,Defensive rebound by Team,3,0
5,1,11:03.0,,B. Beal makes 2-pt jump shot from 15 ft,3,2
6,1,10:47.0,Turnover by K. Irving (bad pass; steal by G. Payton),,3,2
7,1,10:43.0,,G. Payton makes 2-pt dunk at rim,3,4
8,1,10:30.0,T. Prince misses 3-pt jump shot from 26 ft,,3,4
9,1,10:27.0,,Defensive rebound by B. Beal,3,4
10,1,10:19.0,,I. Thomas makes 2-pt hook shot from 10 ft,3,6
11,1,9:59.0,J. Harris makes 3-pt jump shot from 25 ft (assist by J. Allen),,6,6
12,1,9:44.0,,Turnover by B. Beal (bad pass; steal by T. Prince),6,6
13,1,9:36.0,Personal foul by I. Mahinmi (drawn by G. Temple),,6,6
14,1,9:29.0,Turnover by K. Irving (bad pass; steal by I. Mahinmi),,6,6
15,1,9:28.0,,Personal foul by K. Irving (drawn by I. Bonga),6,6
16,1,9:21.0,,G. Payton misses 3-pt jump shot from 25 ft,6,6
17,1,9:17.0,Defensive rebound by T. Prince,,6,6
18,1,9:08.0,K. Irving misses 2-pt jump shot from 15 ft,,6,6
19,1,9:06.0,,Defensive rebound by Team,6,6
20,1,9:06.0,Loose ball foul by J. Allen (drawn by I. Thomas),,6,6
21,1,8:53.0,,I. Bonga misses 2-pt layup from 6 ft (block by J. Allen),6,6
22,1,8:49.0,,Offensive rebound by I. Mahinmi,6,6
23,1,8:49.0,,I. Mahinmi misses 2-pt layup from 3 ft (block by T. Prince),6,6
24,1,8:49.0,,Offensive rebound by B. Beal,6,6
25,1,8:39.0,,I. Mahinmi misses 2-pt layup from 7 ft (block by J. Allen),6,6
26,1,8:39.0,Defensive rebound by J. Allen,,6,6
27,1,8:31.0,G. Temple makes 3-pt jump shot from 24 ft (assist by J. Harris),,9,6
28,1,8:19.0,,I. Thomas makes 2-pt jump shot from 16 ft,9,8
29,1,8:04.0,G. Temple misses 3-pt jump shot from 28 ft,,9,8
30,1,8:01.0,,Defensive rebound by G. Payton,9,8
31,1,7:58.0,,B. Beal misses 3-pt jump shot from 26 ft,9,8
32,1,7:54.0,,Offensive rebound by I. Bonga,9,8
33,1,7:53.0,,B. Beal makes 3-pt jump shot from 24 ft (assist by I. Bonga),9,11
34,1,7:31.0,J. Allen makes 2-pt dunk from 1 ft (assist by J. Harris),,11,11
35,1,7:26.0,,Turnover by I. Thomas (bad pass),11,11
36,1,7:14.0,J. Allen makes 2-pt hook shot from 5 ft (assist by J. Harris),,13,11
37,1,7:14.0,Shooting foul by B. Beal (drawn by J. Allen),,13,11
38,1,7:14.0,J. Allen misses free throw 1 of 1,,13,11
39,1,7:11.0,Offensive rebound by Team,,13,11
40,1,7:08.0,J. Allen makes 2-pt dunk from 2 ft (assist by G. Temple),,15,11
41,1,6:51.0,,I. Thomas makes 3-pt jump shot from 26 ft (assist by G. Payton),15,14
42,1,6:36.0,Turnover by K. Irving (bad pass; steal by G. Payton),,15,14
43,1,6:32.0,,G. Payton makes 2-pt layup from 2 ft,15,16
44,1,6:32.0,,Shooting foul by K. Irving (drawn by G. Payton),15,16
45,1,6:32.0,,Washington full timeout,15,16
46,1,6:32.0,S. Dinwiddie enters the game for G. Temple,,15,16
47,1,6:32.0,,G. Payton misses free throw 1 of 1,15,16
48,1,6:30.0,Defensive rebound by J. Allen,,15,16
49,1,6:18.0,J. Harris makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),,18,16
50,1,5:56.0,,B. Beal makes 2-pt layup from 4 ft,18,18
51,1,5:32.0,K. Irving misses 2-pt jump shot from 10 ft,,18,18
52,1,5:31.0,,Defensive rebound by Team,18,18
53,1,5:17.0,,I. Mahinmi misses 2-pt layup from 2 ft,18,18
54,1,5:14.0,,Offensive rebound by I. Bonga,18,18
55,1,5:11.0,,G. Payton misses 3-pt jump shot from 23 ft,18,18
56,1,5:09.0,Defensive rebound by K. Irving,,18,18
57,1,4:57.0,J. Harris misses 2-pt layup from 2 ft (block by I. Bonga),,18,18
58,1,4:54.0,,Defensive rebound by I. Mahinmi,18,18
59,1,4:48.0,,I. Thomas misses 2-pt layup from 7 ft,18,18
60,1,4:44.0,,Offensive rebound by I. Mahinmi,18,18
61,1,4:43.0,,I. Mahinmi misses 3-pt jump shot from 26 ft,18,18
62,1,4:43.0,Defensive rebound by J. Allen,,18,18
63,1,4:32.0,S. Dinwiddie makes 3-pt jump shot from 26 ft,,21,18
64,1,4:19.0,,I. Thomas misses 3-pt jump shot from 28 ft,21,18
65,1,4:15.0,Defensive rebound by J. Allen,,21,18
66,1,4:08.0,Personal foul by I. Thomas (drawn by K. Irving),,21,18
67,1,4:08.0,W. Chandler enters the game for J. Allen,,21,18
68,1,4:08.0,D. Jordan enters the game for J. Harris,,21,18
69,1,4:08.0,C. LeVert enters the game for T. Prince,,21,18
70,1,4:08.0,,T. Brown enters the game for I. Mahinmi,21,18
71,1,4:08.0,,T. Bryant enters the game for G. Payton,21,18
72,1,4:00.0,D. Jordan makes 2-pt layup from 4 ft (assist by S. Dinwiddie),,23,18
73,1,3:46.0,,Personal foul by S. Dinwiddie (drawn by B. Beal),23,18
74,1,3:32.0,,B. Beal makes 2-pt jump shot from 14 ft,23,20
75,1,3:21.0,S. Dinwiddie makes 3-pt jump shot from 25 ft,,26,20
76,1,3:08.0,,I. Thomas misses 3-pt jump shot from 27 ft,26,20
77,1,3:03.0,Defensive rebound by W. Chandler,,26,20
78,1,2:46.0,S. Dinwiddie misses 3-pt jump shot from 23 ft,,26,20
79,1,2:42.0,,Defensive rebound by I. Thomas,26,20
80,1,2:38.0,,T. Brown makes 2-pt layup from 7 ft (assist by I. Thomas),26,22
81,1,2:38.0,Brooklyn full timeout,,26,22
82,1,2:38.0,G. Temple enters the game for K. Irving,,26,22
83,1,2:38.0,,D. Bertāns enters the game for B. Beal,26,22
84,1,2:38.0,,I. Smith enters the game for I. Thomas,26,22
85,1,2:18.0,C. LeVert misses 2-pt layup from 8 ft,,26,22
86,1,2:15.0,,Defensive rebound by T. Bryant,26,22
87,1,2:12.0,,D. Bertāns makes 3-pt jump shot from 25 ft (assist by I. Smith),26,25
88,1,2:01.0,Turnover by S. Dinwiddie (bad pass),,26,25
89,1,1:46.0,,I. Smith misses 2-pt jump shot from 21 ft,26,25
90,1,1:44.0,Defensive rebound by Team,,26,25
91,1,1:29.0,W. Chandler misses 3-pt jump shot from 26 ft,,26,25
92,1,1:25.0,,Defensive rebound by T. Brown,26,25
93,1,1:21.0,,Personal foul by S. Dinwiddie (drawn by D. Bertāns),26,25
94,1,1:21.0,,D. Bertāns makes free throw 1 of 2,26,26
95,1,1:21.0,,D. Bertāns makes free throw 2 of 2,26,27
96,1,1:02.0,S. Dinwiddie makes 2-pt layup from 6 ft,,28,27
97,1,0:56.0,,D. Bertāns misses 3-pt jump shot from 25 ft,28,27
98,1,0:54.0,Defensive rebound by S. Dinwiddie,,28,27
99,1,0:51.0,G. Temple makes 2-pt layup from 1 ft (assist by S. Dinwiddie),,30,27
100,1,0:35.0,,T. Brown misses 2-pt jump shot from 18 ft,30,27
101,1,0:31.0,Defensive rebound by S. Dinwiddie,,30,27
102,1,0:29.0,G. Temple makes 2-pt layup from 2 ft (assist by S. Dinwiddie),,32,27
103,1,0:29.0,Shooting foul by I. Bonga (drawn by G. Temple),,32,27
104,1,0:29.0,G. Temple makes free throw 1 of 1,,33,27
105,1,0:06.0,,I. Smith misses 2-pt jump shot from 16 ft,33,27
106,1,0:02.0,Defensive rebound by G. Temple,,33,27
107,1,0:00.0,G. Temple makes 3-pt jump shot from 32 ft,,36,27
108,1,0:00.0,Instant Replay (Request: Ruling Stands),,36,27
109,2,11:44.0,,T. Bryant makes 2-pt dunk from 1 ft (assist by D. Bertāns),36,29
110,2,11:34.0,C. LeVert makes 3-pt jump shot from 25 ft,,39,29
111,2,11:13.0,,T. Brown misses 2-pt jump shot from 17 ft,39,29
112,2,11:09.0,Defensive rebound by D. Jordan,,39,29
113,2,10:58.0,G. Temple misses 2-pt jump shot from 11 ft,,39,29
114,2,10:52.0,Offensive rebound by D. Jordan,,39,29
115,2,10:52.0,D. Jordan makes 2-pt layup from 3 ft,,41,29
116,2,10:41.0,,T. Brown misses 3-pt jump shot from 25 ft,41,29
117,2,10:37.0,Defensive rebound by D. Jordan,,41,29
118,2,10:28.0,Turnover by S. Dinwiddie (bad pass; steal by G. Payton),,41,29
119,2,10:19.0,,D. Bertāns makes 3-pt jump shot from 26 ft (assist by G. Payton),41,32
120,2,10:04.0,C. LeVert misses 2-pt jump shot from 12 ft,,41,32
121,2,10:01.0,,Defensive rebound by T. Bryant,41,32
122,2,9:57.0,,I. Smith misses 2-pt jump shot from 7 ft,41,32
123,2,9:55.0,Defensive rebound by D. Jordan,,41,32
124,2,9:55.0,Turnover by S. Dinwiddie (traveling),,41,32
125,2,9:45.0,,T. Brown makes 2-pt layup from 2 ft,41,34
126,2,9:45.0,,Shooting foul by W. Chandler (drawn by T. Brown),41,34
127,2,9:45.0,,T. Brown misses free throw 1 of 1,41,34
128,2,9:43.0,Defensive rebound by D. Jordan,,41,34
129,2,9:23.0,S. Dinwiddie misses 2-pt layup from 6 ft,,41,34
130,2,9:18.0,,Defensive rebound by T. Bryant,41,34
131,2,9:14.0,,I. Smith makes 3-pt jump shot from 26 ft (assist by D. Bertāns),41,37
132,2,8:50.0,G. Temple makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,44,37
133,2,8:39.0,,T. Bryant misses 2-pt jump shot from 19 ft,44,37
134,2,8:35.0,Defensive rebound by C. LeVert,,44,37
135,2,8:14.0,S. Dinwiddie misses 2-pt layup from 9 ft,,44,37
136,2,8:13.0,Offensive rebound by Team,,44,37
137,2,8:13.0,Turnover by Team (shot clock),,44,37
138,2,8:13.0,K. Irving enters the game for S. Dinwiddie,,44,37
139,2,7:53.0,,I. Smith misses 2-pt jump shot from 20 ft,44,37
140,2,7:46.0,,Offensive rebound by T. Bryant,44,37
141,2,7:46.0,,T. Bryant makes 2-pt layup at rim,44,39
142,2,7:36.0,C. LeVert misses 2-pt layup from 9 ft,,44,39
143,2,7:33.0,,Defensive rebound by T. Brown,44,39
144,2,7:26.0,,T. Brown makes 2-pt dunk from 1 ft (assist by I. Smith),44,41
145,2,7:26.0,Brooklyn full timeout,,44,41
146,2,7:26.0,J. Harris enters the game for W. Chandler,,44,41
147,2,7:26.0,T. Prince enters the game for C. LeVert,,44,41
148,2,7:26.0,,B. Beal enters the game for G. Payton,44,41
149,2,7:13.0,K. Irving misses 3-pt jump shot from 26 ft,,44,41
150,2,7:09.0,,Defensive rebound by I. Smith,44,41
151,2,6:51.0,,I. Smith makes 2-pt jump shot from 19 ft,44,43
152,2,6:33.0,D. Jordan makes 2-pt dunk from 1 ft (assist by T. Prince),,46,43
153,2,6:17.0,,B. Beal misses 2-pt jump shot from 13 ft,46,43
154,2,6:13.0,Defensive rebound by T. Prince,,46,43
155,2,6:01.0,J. Harris makes 3-pt jump shot from 27 ft (assist by D. Jordan),,49,43
156,2,5:43.0,,I. Smith makes 2-pt jump shot from 14 ft,49,45
157,2,5:29.0,K. Irving makes 2-pt layup from 1 ft,,51,45
158,2,5:18.0,,B. Beal misses 2-pt jump shot from 17 ft,51,45
159,2,5:14.0,Defensive rebound by J. Harris,,51,45
160,2,5:03.0,G. Temple misses 3-pt jump shot from 25 ft,,51,45
161,2,4:59.0,,Defensive rebound by T. Bryant,51,45
162,2,4:55.0,,D. Bertāns misses 3-pt jump shot from 26 ft,51,45
163,2,4:53.0,Defensive rebound by Team,,51,45
164,2,4:53.0,J. Allen enters the game for D. Jordan,,51,45
165,2,4:40.0,K. Irving makes 3-pt jump shot from 28 ft (assist by J. Allen),,54,45
166,2,4:38.0,,Washington full timeout,54,45
167,2,4:38.0,S. Dinwiddie enters the game for G. Temple,,54,45
