,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,PHILADELPHIA_ACTION,LA CLIPPERS_SCORE,PHILADELPHIA_SCORE
0,1,11:43.0,P. George makes 3-pt jump shot from 25 ft (assist by K. Leonard),,3,0
1,1,11:25.0,,T. Harris misses 2-pt layup from 3 ft,3,0
2,1,11:24.0,,Offensive rebound by B. Simmons,3,0
3,1,11:22.0,,B. Simmons misses 2-pt jump shot from 6 ft,3,0
4,1,11:22.0,,Offensive rebound by J. Embiid,3,0
5,1,11:22.0,,J. Embiid makes 2-pt layup from 3 ft,3,2
6,1,11:22.0,,Shooting foul by K. Leonard (drawn by J. Embiid),3,2
7,1,11:22.0,,J. Embiid misses free throw 1 of 1,3,2
8,1,11:20.0,Defensive rebound by K. Leonard,,3,2
9,1,11:04.0,P. George misses 2-pt jump shot from 10 ft (block by J. Richardson),,3,2
10,1,11:03.0,Offensive rebound by M. Morris,,3,2
11,1,10:57.0,P. George misses 2-pt jump shot from 11 ft,,3,2
12,1,10:53.0,,Defensive rebound by T. Harris,3,2
13,1,10:36.0,,Shooting foul by I. Zubac (drawn by J. Embiid),3,2
14,1,10:36.0,,J. Embiid makes free throw 1 of 2,3,3
15,1,10:36.0,,J. Embiid makes free throw 2 of 2,3,4
16,1,10:22.0,K. Leonard makes 2-pt jump shot from 8 ft (assist by I. Zubac),,5,4
17,1,10:04.0,,J. Richardson misses 3-pt jump shot from 26 ft,5,4
18,1,10:02.0,Defensive rebound by P. George,,5,4
19,1,9:56.0,P. George misses 2-pt jump shot from 13 ft,,5,4
20,1,9:53.0,,Defensive rebound by J. Embiid,5,4
21,1,9:40.0,,B. Simmons makes 2-pt layup from 2 ft,5,6
22,1,9:32.0,L. Williams misses 2-pt jump shot from 13 ft,,5,6
23,1,9:30.0,,Defensive rebound by J. Richardson,5,6
24,1,9:22.0,,J. Richardson makes 2-pt jump shot from 16 ft (assist by J. Embiid),5,8
25,1,9:04.0,M. Morris makes 3-pt jump shot from 26 ft,,8,8
26,1,8:41.0,,J. Embiid misses 2-pt hook shot from 2 ft,8,8
27,1,8:39.0,Defensive rebound by P. George,,8,8
28,1,8:35.0,I. Zubac makes 2-pt dunk at rim (assist by P. George),,10,8
29,1,8:22.0,,B. Simmons misses 2-pt layup from 3 ft,10,8
30,1,8:22.0,,Offensive rebound by Team,10,8
31,1,8:13.0,,J. Embiid misses 2-pt jump shot from 5 ft,10,8
32,1,8:11.0,Defensive rebound by I. Zubac,,10,8
33,1,8:06.0,Shooting foul by J. Embiid (drawn by I. Zubac),,10,8
34,1,8:06.0,I. Zubac makes free throw 1 of 2,,11,8
35,1,8:06.0,I. Zubac misses free throw 2 of 2,,11,8
36,1,8:03.0,,Defensive rebound by T. Harris,11,8
37,1,7:57.0,,J. Richardson makes 2-pt jump shot from 4 ft (assist by T. Harris),11,10
38,1,7:51.0,K. Leonard misses 3-pt jump shot from 26 ft,,11,10
39,1,7:48.0,,Defensive rebound by J. Richardson,11,10
40,1,7:44.0,,Personal foul by P. George (drawn by J. Richardson),11,10
41,1,7:44.0,L. Shamet enters the game for L. Williams,,11,10
