,QUARTER,TIME_REMAINING,ATLANTA_ACTION,LA LAKERS_ACTION,ATLANTA_SCORE,LA LAKERS_SCORE
0,1,11:33.0,,D. Green misses 3-pt jump shot from 25 ft,0,0
1,1,11:31.0,Defensive rebound by J. Parker,,0,0
2,1,11:16.0,Turnover by T. Young (bad pass; steal by L. James),,0,0
3,1,11:11.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by L. James),0,2
4,1,10:56.0,J. Parker makes 2-pt jump shot from 15 ft,,2,2
5,1,10:46.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,2,2
6,1,10:44.0,Defensive rebound by D. Jones,,2,2
7,1,10:30.0,J. Parker misses 3-pt jump shot from 26 ft,,2,2
8,1,10:28.0,,Defensive rebound by J. McGee,2,2
9,1,10:20.0,,D. Green makes 3-pt jump shot from 23 ft (assist by A. Davis),2,5
10,1,10:05.0,J. Parker misses 2-pt hook shot from 3 ft (block by J. McGee),,2,5
11,1,10:02.0,,Defensive rebound by L. James,2,5
12,1,10:01.0,,L. James makes 2-pt dunk from 1 ft (assist by D. Green),2,7
13,1,9:41.0,Turnover by T. Young (bad pass; steal by J. McGee),,2,7
14,1,9:37.0,,L. James makes 2-pt layup from 1 ft,2,9
15,1,9:24.0,T. Young misses 3-pt jump shot from 29 ft,,2,9
16,1,9:21.0,,Defensive rebound by J. McGee,2,9
17,1,9:12.0,,K. Caldwell-Pope makes 2-pt jump shot from 15 ft (assist by A. Davis),2,11
18,1,8:59.0,C. Reddish misses 3-pt jump shot from 25 ft,,2,11
19,1,8:55.0,,Defensive rebound by J. McGee,2,11
20,1,8:46.0,,D. Green makes 3-pt jump shot from 27 ft (assist by L. James),2,14
21,1,8:45.0,Atlanta full timeout,,2,14
22,1,8:34.0,D. Hunter misses 2-pt layup from 3 ft (block by J. McGee),,2,14
23,1,8:31.0,,Defensive rebound by J. McGee,2,14
24,1,8:23.0,,D. Green makes 3-pt jump shot from 23 ft (assist by A. Davis),2,17
25,1,8:05.0,D. Jones misses 2-pt layup from 3 ft (block by D. Green),,2,17
26,1,8:03.0,,Defensive rebound by D. Green,2,17
27,1,7:58.0,,L. James misses 2-pt layup from 1 ft,2,17
28,1,7:56.0,Defensive rebound by D. Jones,,2,17
29,1,7:51.0,T. Young makes 2-pt jump shot from 5 ft (assist by D. Jones),,4,17
30,1,7:23.0,,L. James makes 2-pt layup from 2 ft,4,19
31,1,7:09.0,J. Parker misses 2-pt layup from 2 ft,,4,19
32,1,7:07.0,,Defensive rebound by L. James,4,19
33,1,6:48.0,,Turnover by K. Caldwell-Pope (bad pass; steal by C. Reddish),4,19
34,1,6:48.0,E. Turner enters the game for C. Reddish,,4,19
35,1,6:24.0,Turnover by T. Young (lost ball; steal by D. Green),,4,19
36,1,6:20.0,,K. Caldwell-Pope makes 2-pt dunk from 2 ft (assist by D. Green),4,21
37,1,6:10.0,Shooting foul by A. Davis (drawn by J. Parker),,4,21
38,1,6:10.0,J. Parker misses free throw 1 of 2,,4,21
39,1,6:10.0,Offensive rebound by Team,,4,21
40,1,6:10.0,A. Len enters the game for D. Jones,,4,21
41,1,6:10.0,J. Parker makes free throw 2 of 2,,5,21
42,1,6:06.0,,Personal foul by A. Len (drawn by A. Davis),5,21
43,1,6:01.0,,L. James makes 3-pt jump shot from 28 ft,5,24
44,1,5:42.0,J. Parker misses 2-pt layup from 7 ft (block by D. Green),,5,24
45,1,5:42.0,Offensive rebound by Team,,5,24
46,1,5:40.0,D. Hunter misses 3-pt jump shot from 27 ft,,5,24
47,1,5:38.0,,Defensive rebound by D. Green,5,24
48,1,5:27.0,,Personal foul by J. Parker (drawn by A. Davis),5,24
49,1,5:19.0,,J. McGee makes 2-pt jump shot from 4 ft (assist by A. Davis),5,26
50,1,5:08.0,Shooting foul by J. McGee (drawn by A. Len),,5,26
51,1,5:08.0,A. Len makes free throw 1 of 2,,6,26
52,1,5:08.0,A. Crabbe enters the game for D. Hunter,,6,26
53,1,5:08.0,B. Fernando enters the game for J. Parker,,6,26
54,1,5:08.0,A. Len misses free throw 2 of 2,,6,26
55,1,5:06.0,,Defensive rebound by J. McGee,6,26
56,1,4:53.0,,A. Davis misses 2-pt jump shot from 9 ft,6,26
57,1,4:51.0,Defensive rebound by E. Turner,,6,26
58,1,4:51.0,Turnover by E. Turner (out of bounds lost ball),,6,26
