,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,INDIANA_ACTION,PHILADELPHIA_SCORE,INDIANA_SCORE
0,1,11:37.0,J. Richardson makes 2-pt layup at rim,,2,0
1,1,11:20.0,,D. Sabonis misses 2-pt layup from 1 ft,2,0
2,1,11:17.0,Defensive rebound by K. O'Quinn,,2,0
3,1,11:14.0,B. Simmons misses 2-pt layup from 3 ft,,2,0
4,1,11:11.0,,Defensive rebound by M. Turner,2,0
5,1,10:56.0,,T. Warren makes 3-pt jump shot from 23 ft (assist by M. Brogdon),2,3
6,1,10:35.0,T. Harris makes 3-pt jump shot from 23 ft (assist by K. O'Quinn),,5,3
7,1,10:14.0,,M. Brogdon misses 2-pt jump shot from 14 ft,5,3
8,1,10:12.0,,Offensive rebound by Team,5,3
9,1,10:12.0,,Personal foul by T. Harris (drawn by D. Sabonis),5,3
10,1,10:00.0,,Turnover by D. Sabonis (lost ball; steal by J. Richardson),5,3
11,1,9:53.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by B. Simmons),,8,3
12,1,9:36.0,,J. Lamb makes 2-pt jump shot from 14 ft,8,5
13,1,9:22.0,Turnover by B. Simmons (bad pass),,8,5
14,1,9:06.0,,T. Warren makes 2-pt jump shot from 16 ft (assist by D. Sabonis),8,7
15,1,9:06.0,,Shooting foul by T. Harris (drawn by T. Warren),8,7
16,1,9:06.0,,T. Warren makes free throw 1 of 1,8,8
17,1,8:43.0,Shooting foul by D. Sabonis (drawn by B. Simmons),,8,8
18,1,8:43.0,B. Simmons makes free throw 1 of 2,,9,8
19,1,8:43.0,J. Ennis enters the game for T. Harris,,9,8
20,1,8:43.0,B. Simmons makes free throw 2 of 2,,10,8
21,1,8:30.0,,M. Brogdon misses 2-pt layup from 2 ft,10,8
22,1,8:28.0,,Offensive rebound by D. Sabonis,10,8
23,1,8:28.0,,D. Sabonis makes 2-pt layup at rim,10,10
24,1,8:21.0,Offensive foul by B. Simmons (drawn by J. Lamb),,10,10
25,1,8:21.0,Turnover by B. Simmons (offensive foul),,10,10
26,1,8:12.0,,T. Warren makes 2-pt layup from 3 ft (assist by D. Sabonis),10,12
27,1,8:11.0,Philadelphia full timeout,,10,12
28,1,8:00.0,B. Simmons makes 2-pt jump shot from 6 ft (assist by J. Richardson),,12,12
29,1,7:45.0,,D. Sabonis makes 2-pt hook shot from 3 ft (assist by M. Brogdon),12,14
30,1,7:34.0,A. Horford misses 3-pt jump shot from 28 ft,,12,14
31,1,7:30.0,Offensive rebound by B. Simmons,,12,14
