,QUARTER,TIME_REMAINING,BOSTON_ACTION,MIAMI_ACTION,BOSTON_SCORE,MIAMI_SCORE
0,1,11:46.0,M. Smart makes 3-pt jump shot from 25 ft (assist by J. Brown),,3,0
1,1,11:19.0,,D. Robinson misses 3-pt jump shot from 28 ft,3,0
2,1,11:15.0,Defensive rebound by G. Hayward,,3,0
3,1,11:10.0,G. Hayward makes 2-pt jump shot from 3 ft (assist by K. Walker),,5,0
4,1,10:56.0,,Turnover by B. Adebayo (bad pass; steal by K. Walker),5,0
5,1,10:51.0,J. Brown makes 3-pt jump shot from 22 ft (assist by K. Walker),,8,0
6,1,10:51.0,,Miami full timeout,8,0
7,1,10:38.0,,J. Butler misses 2-pt jump shot from 16 ft,8,0
8,1,10:38.0,,Offensive rebound by Team,8,0
9,1,10:38.0,Loose ball foul by G. Hayward (drawn by M. Leonard),,8,0
10,1,10:29.0,,T. Herro makes 2-pt jump shot from 16 ft,8,2
11,1,10:08.0,D. Theis misses 2-pt jump shot from 7 ft,,8,2
12,1,10:03.0,Offensive rebound by D. Theis,,8,2
13,1,10:03.0,D. Theis makes 2-pt dunk at rim,,10,2
14,1,9:45.0,,B. Adebayo makes 2-pt hook shot from 6 ft,10,4
15,1,9:27.0,G. Hayward makes 3-pt jump shot from 26 ft (assist by D. Theis),,13,4
16,1,9:13.0,,B. Adebayo misses 2-pt hook shot from 4 ft (block by D. Theis),13,4
17,1,9:09.0,Defensive rebound by K. Walker,,13,4
18,1,9:07.0,K. Walker misses 2-pt jump shot from 17 ft,,13,4
19,1,9:03.0,,Defensive rebound by J. Butler,13,4
20,1,8:51.0,,T. Herro misses 3-pt jump shot from 25 ft,13,4
21,1,8:48.0,Defensive rebound by D. Theis,,13,4
22,1,8:40.0,D. Theis misses 3-pt jump shot from 25 ft,,13,4
23,1,8:40.0,,Defensive rebound by B. Adebayo,13,4
24,1,8:28.0,,Shooting foul by D. Theis (drawn by J. Butler),13,4
25,1,8:28.0,,J. Butler makes free throw 1 of 2,13,5
