,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PHILADELPHIA_ACTION,CLEVELAND_SCORE,PHILADELPHIA_SCORE
0,1,11:43.0,,F. Korkmaz misses 2-pt jump shot from 10 ft,0,0
1,1,11:38.0,Defensive rebound by D. Garland,,0,0
2,1,11:29.0,K. Love misses 3-pt jump shot from 26 ft,,0,0
3,1,11:25.0,,Defensive rebound by F. Korkmaz,0,0
4,1,11:22.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by F. Korkmaz),0,2
5,1,11:08.0,K. Love misses 2-pt jump shot from 20 ft,,0,2
6,1,11:08.0,Offensive rebound by Team,,0,2
7,1,11:08.0,,Loose ball foul by M. Scott (drawn by T. Thompson),0,2
8,1,11:08.0,,Violation by Team (delay of game),0,2
9,1,11:06.0,Turnover by D. Garland (traveling),,0,2
10,1,10:55.0,,B. Simmons makes 2-pt hook shot from 7 ft,0,4
11,1,10:47.0,C. Sexton misses 2-pt jump shot from 11 ft,,0,4
12,1,10:45.0,,Defensive rebound by B. Simmons,0,4
13,1,10:40.0,,T. Harris misses 3-pt jump shot from 25 ft,0,4
14,1,10:36.0,,Offensive rebound by M. Scott,0,4
15,1,10:31.0,,M. Scott makes 2-pt jump shot from 3 ft (assist by A. Horford),0,6
16,1,10:19.0,D. Garland misses 2-pt jump shot from 9 ft,,0,6
17,1,10:16.0,Offensive rebound by D. Garland,,0,6
18,1,10:03.0,C. Osman misses 3-pt jump shot from 26 ft,,0,6
19,1,10:00.0,,Defensive rebound by B. Simmons,0,6
20,1,9:56.0,,B. Simmons makes 2-pt layup from 1 ft,0,8
21,1,9:56.0,Cleveland full timeout,,0,8
22,1,9:45.0,Turnover by T. Thompson (lost ball; steal by A. Horford),,0,8
23,1,9:36.0,,B. Simmons misses 2-pt layup from 1 ft,0,8
24,1,9:34.0,Defensive rebound by K. Love,,0,8
25,1,9:22.0,C. Sexton misses 2-pt jump shot from 7 ft,,0,8
26,1,9:16.0,Offensive rebound by T. Thompson,,0,8
27,1,9:16.0,T. Thompson misses 2-pt layup from 1 ft,,0,8
28,1,9:15.0,,Defensive rebound by F. Korkmaz,0,8
29,1,9:14.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by F. Korkmaz),0,10
30,1,8:50.0,D. Garland misses 2-pt jump shot from 13 ft,,0,10
31,1,8:48.0,,Defensive rebound by M. Scott,0,10
32,1,8:44.0,,M. Scott misses 3-pt jump shot from 26 ft,0,10
33,1,8:41.0,Defensive rebound by K. Love,,0,10
34,1,8:35.0,Personal foul by M. Scott (drawn by C. Osman),,0,10
35,1,8:24.0,C. Sexton misses 2-pt layup from 2 ft (block by B. Simmons),,0,10
36,1,8:24.0,Offensive rebound by Team,,0,10
37,1,8:21.0,K. Love misses 3-pt jump shot from 26 ft,,0,10
38,1,8:17.0,,Defensive rebound by B. Simmons,0,10
39,1,8:06.0,,T. Harris misses 3-pt jump shot from 24 ft,0,10
40,1,8:03.0,Defensive rebound by K. Love,,0,10
41,1,7:49.0,K. Love makes 3-pt jump shot from 26 ft (assist by T. Thompson),,3,10
