,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MILWAUKEE_ACTION,PHILADELPHIA_SCORE,MILWAUKEE_SCORE
0,1,11:47.0,,K. Middleton makes 2-pt jump shot from 7 ft (assist by W. Matthews),0,2
1,1,11:33.0,S. Milton misses 2-pt jump shot from 16 ft,,0,2
2,1,11:30.0,,Defensive rebound by K. Middleton,0,2
3,1,11:25.0,,E. Bledsoe makes 2-pt layup from 2 ft,0,4
4,1,11:14.0,J. Embiid misses 2-pt jump shot from 14 ft,,0,4
5,1,11:11.0,,Defensive rebound by G. Antetokounmpo,0,4
6,1,11:05.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,0,4
7,1,11:02.0,Defensive rebound by S. Milton,,0,4
8,1,10:54.0,Shooting foul by B. Lopez (drawn by B. Simmons),,0,4
9,1,10:54.0,B. Simmons makes free throw 1 of 2,,1,4
10,1,10:54.0,B. Simmons misses free throw 2 of 2,,1,4
11,1,10:52.0,,Defensive rebound by G. Antetokounmpo,1,4
12,1,10:43.0,,E. Bledsoe misses 2-pt jump shot from 14 ft,1,4
13,1,10:40.0,Defensive rebound by B. Simmons,,1,4
14,1,10:32.0,A. Horford misses 3-pt jump shot from 26 ft,,1,4
15,1,10:29.0,,Defensive rebound by E. Bledsoe,1,4
16,1,10:19.0,,Offensive foul by E. Bledsoe (drawn by B. Simmons),1,4
17,1,10:19.0,,Turnover by E. Bledsoe (offensive foul),1,4
18,1,10:04.0,J. Embiid misses 2-pt jump shot from 17 ft,,1,4
19,1,10:03.0,,Defensive rebound by K. Middleton,1,4
20,1,9:52.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,1,6
21,1,9:36.0,T. Harris misses 2-pt jump shot from 13 ft,,1,6
22,1,9:34.0,Offensive rebound by B. Simmons,,1,6
23,1,9:29.0,T. Harris makes 2-pt jump shot from 14 ft,,3,6
24,1,9:18.0,,K. Middleton misses 3-pt jump shot from 25 ft,3,6
25,1,9:15.0,Defensive rebound by J. Embiid,,3,6
26,1,9:08.0,T. Harris misses 2-pt layup from 4 ft (block by B. Lopez),,3,6
27,1,9:05.0,,Defensive rebound by B. Lopez,3,6
28,1,8:59.0,,G. Antetokounmpo makes 2-pt jump shot from 18 ft,3,8
29,1,8:42.0,T. Harris misses 2-pt jump shot from 12 ft,,3,8
30,1,8:39.0,,Defensive rebound by G. Antetokounmpo,3,8
31,1,8:31.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,3,8
32,1,8:27.0,Defensive rebound by S. Milton,,3,8
33,1,8:21.0,S. Milton misses 3-pt jump shot from 23 ft,,3,8
