,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,OKLAHOMA CITY_ACTION,GOLDEN STATE_SCORE,OKLAHOMA CITY_SCORE
0,1,11:37.0,,S. Adams makes 2-pt jump shot from 2 ft (assist by D. Gallinari),0,2
1,1,11:26.0,Turnover by D. Russell (step out of bounds),,0,2
2,1,11:12.0,,S. Gilgeous-Alexander makes 2-pt layup from 4 ft,0,4
3,1,11:00.0,J. Poole misses 2-pt jump shot from 19 ft,,0,4
4,1,10:57.0,,Defensive rebound by D. Gallinari,0,4
5,1,10:55.0,,T. Ferguson misses 2-pt dunk from 1 ft,0,4
6,1,10:52.0,Defensive rebound by J. Poole,,0,4
7,1,10:48.0,D. Russell makes 3-pt jump shot from 26 ft (assist by J. Poole),,3,4
8,1,10:26.0,,Shooting foul by G. Robinson (drawn by D. Gallinari),3,4
9,1,10:26.0,,D. Gallinari misses free throw 1 of 2,3,4
10,1,10:26.0,,Offensive rebound by Team,3,4
11,1,10:26.0,,D. Gallinari makes free throw 2 of 2,3,5
12,1,10:02.0,A. Burks makes 2-pt jump shot from 15 ft (assist by D. Russell),,5,5
13,1,9:52.0,,Personal foul by J. Poole (drawn by S. Gilgeous-Alexander),5,5
14,1,9:46.0,,S. Adams makes 2-pt dunk at rim (assist by D. Gallinari),5,7
15,1,9:46.0,Golden State full timeout,,5,7
16,1,9:36.0,G. Robinson misses 3-pt jump shot from 25 ft,,5,7
17,1,9:33.0,,Defensive rebound by C. Paul,5,7
18,1,9:21.0,,D. Gallinari misses 2-pt jump shot from 22 ft,5,7
19,1,9:19.0,,Offensive rebound by S. Adams,5,7
20,1,9:17.0,,D. Gallinari makes 2-pt dunk from 1 ft (assist by S. Adams),5,9
21,1,9:01.0,A. Burks makes 2-pt jump shot from 17 ft,,7,9
22,1,8:50.0,,Turnover by C. Paul (out of bounds lost ball),7,9
23,1,8:40.0,W. Cauley-Stein makes 2-pt hook shot from 6 ft (assist by A. Burks),,9,9
24,1,8:32.0,,Offensive foul by T. Ferguson (drawn by J. Poole),9,9
25,1,8:32.0,,Turnover by T. Ferguson (offensive foul),9,9
26,1,8:16.0,Turnover by W. Cauley-Stein (out of bounds lost ball),,9,9
27,1,7:57.0,,D. Gallinari makes 3-pt jump shot from 27 ft (assist by T. Ferguson),9,12
28,1,7:38.0,A. Burks makes 2-pt layup from 5 ft,,11,12
29,1,7:22.0,,D. Gallinari misses 2-pt jump shot from 12 ft,11,12
30,1,7:20.0,,Offensive rebound by D. Gallinari,11,12
31,1,7:13.0,,S. Adams makes 2-pt layup from 1 ft,11,14
32,1,7:13.0,,Shooting foul by W. Cauley-Stein (drawn by S. Adams),11,14
33,1,7:13.0,,S. Adams misses free throw 1 of 1,11,14
34,1,7:11.0,Defensive rebound by W. Cauley-Stein,,11,14
35,1,7:04.0,Shooting foul by T. Ferguson (drawn by D. Russell),,11,14
36,1,7:04.0,D. Russell makes free throw 1 of 2,,12,14
37,1,7:04.0,,H. Diallo enters the game for T. Ferguson,12,14
38,1,7:04.0,D. Russell makes free throw 2 of 2,,13,14
39,1,6:50.0,,C. Paul makes 2-pt jump shot from 16 ft,13,16
