,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DALLAS_ACTION,CHARLOTTE_SCORE,DALLAS_SCORE
0,1,11:41.0,M. Bridges makes 2-pt jump shot from 8 ft,,2,0
1,1,11:14.0,,L. Dončić makes 2-pt layup from 2 ft,2,2
2,1,10:56.0,Offensive foul by T. Rozier (drawn by J. Barea),,2,2
3,1,10:56.0,Turnover by T. Rozier (offensive foul),,2,2
4,1,10:40.0,,J. Barea makes 2-pt layup from 2 ft,2,4
5,1,10:25.0,B. Biyombo makes 2-pt dunk from 1 ft (assist by D. Graham),,4,4
6,1,9:59.0,,Shooting foul by P. Washington (drawn by D. Powell),4,4
7,1,9:59.0,,D. Powell makes free throw 1 of 2,4,5
8,1,9:59.0,,D. Powell misses free throw 2 of 2,4,5
9,1,9:57.0,Defensive rebound by M. Bridges,,4,5
10,1,9:50.0,Offensive foul by B. Biyombo (drawn by J. Jackson),,4,5
11,1,9:50.0,Turnover by B. Biyombo (offensive foul),,4,5
12,1,9:36.0,,L. Dončić makes 2-pt jump shot from 3 ft (assist by J. Barea),4,7
13,1,9:36.0,,Shooting foul by M. Bridges (drawn by L. Dončić),4,7
14,1,9:36.0,,L. Dončić makes free throw 1 of 1,4,8
15,1,9:22.0,P. Washington misses 2-pt jump shot from 7 ft,,4,8
16,1,9:19.0,,Defensive rebound by J. Jackson,4,8
17,1,9:12.0,,J. Barea makes 2-pt layup from 2 ft,4,10
18,1,8:50.0,D. Graham makes 2-pt jump shot from 17 ft (assist by P. Washington),,6,10
19,1,8:35.0,,L. Dončić misses 2-pt layup from 3 ft,6,10
20,1,8:34.0,Defensive rebound by P. Washington,,6,10
21,1,8:30.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by D. Graham),,9,10
22,1,8:17.0,,J. Jackson misses 3-pt jump shot from 26 ft,9,10
23,1,8:13.0,Defensive rebound by M. Bridges,,9,10
24,1,8:05.0,B. Biyombo misses 2-pt layup from 4 ft (block by J. Jackson),,9,10
25,1,8:05.0,,Defensive rebound by L. Dončić,9,10
26,1,7:59.0,,J. Jackson makes 2-pt layup from 2 ft (assist by L. Dončić),9,12
27,1,7:32.0,Turnover by Team (shot clock),,9,12
28,1,7:23.0,,L. Dončić misses 3-pt jump shot from 28 ft,9,12
29,1,7:20.0,Defensive rebound by D. Graham,,9,12
30,1,7:12.0,D. Graham makes 2-pt layup from 2 ft,,11,12
31,1,6:55.0,,J. Jackson makes 2-pt jump shot from 9 ft (assist by J. Barea),11,14
32,1,6:40.0,M. Bridges makes 2-pt dunk from 1 ft (assist by T. Rozier),,13,14
33,1,6:39.0,,Dallas full timeout,13,14
34,1,6:39.0,D. Bacon enters the game for T. Rozier,,13,14
35,1,6:39.0,,S. Curry enters the game for L. Dončić,13,14
36,1,6:39.0,,M. Kleber enters the game for J. Jackson,13,14
37,1,6:16.0,,J. Barea misses 3-pt jump shot from 26 ft,13,14
38,1,6:12.0,Defensive rebound by D. Bacon,,13,14
39,1,6:06.0,D. Bacon makes 2-pt jump shot from 8 ft,,15,14
40,1,5:42.0,,Offensive foul by S. Curry (drawn by D. Graham),15,14
41,1,5:42.0,,Turnover by S. Curry (offensive foul),15,14
42,1,5:26.0,D. Graham misses 3-pt jump shot from 26 ft,,15,14
43,1,5:23.0,,Defensive rebound by J. Barea,15,14
