,QUARTER,TIME_REMAINING,INDIANA_ACTION,PHILADELPHIA_ACTION,INDIANA_SCORE,PHILADELPHIA_SCORE
0,1,11:46.0,,J. Embiid misses 2-pt jump shot from 14 ft,0,0
1,1,11:44.0,Defensive rebound by M. Turner,,0,0
2,1,11:22.0,Turnover by D. Sabonis (traveling),,0,0
3,1,11:04.0,,F. Korkmaz misses 3-pt jump shot from 25 ft,0,0
4,1,10:58.0,,Offensive rebound by B. Simmons,0,0
5,1,10:58.0,,B. Simmons misses 2-pt layup from 1 ft,0,0
6,1,10:57.0,Defensive rebound by D. Sabonis,,0,0
7,1,10:49.0,M. Brogdon misses 2-pt jump shot from 17 ft,,0,0
8,1,10:46.0,,Defensive rebound by T. Harris,0,0
9,1,10:38.0,,T. Harris makes 2-pt jump shot from 12 ft,0,2
10,1,10:19.0,D. Sabonis makes 2-pt layup from 2 ft (assist by J. Lamb),,2,2
11,1,10:02.0,,Shooting foul by J. Lamb (drawn by F. Korkmaz),2,2
12,1,10:02.0,,F. Korkmaz misses free throw 1 of 2,2,2
13,1,10:02.0,,Offensive rebound by Team,2,2
14,1,10:02.0,,F. Korkmaz makes free throw 2 of 2,2,3
15,1,9:48.0,J. Lamb misses 2-pt jump shot from 14 ft,,2,3
16,1,9:46.0,,Defensive rebound by B. Simmons,2,3
17,1,9:41.0,,B. Simmons makes 2-pt layup from 2 ft,2,5
18,1,9:26.0,T. Warren makes 3-pt jump shot from 26 ft (assist by D. Sabonis),,5,5
19,1,9:12.0,,T. Harris misses 2-pt jump shot from 7 ft,5,5
20,1,9:10.0,Defensive rebound by M. Brogdon,,5,5
21,1,8:55.0,M. Brogdon misses 2-pt jump shot from 11 ft (block by J. Embiid),,5,5
22,1,8:54.0,Offensive rebound by Team,,5,5
23,1,8:46.0,J. Lamb makes 2-pt layup from 1 ft,,7,5
24,1,8:29.0,,Shooting foul by M. Turner (drawn by J. Embiid),7,5
25,1,8:29.0,,J. Embiid makes free throw 1 of 2,7,6
26,1,8:29.0,,J. Embiid makes free throw 2 of 2,7,7
27,1,8:19.0,M. Turner misses 2-pt jump shot from 19 ft,,7,7
28,1,8:15.0,,Defensive rebound by J. Embiid,7,7
29,1,7:57.0,,F. Korkmaz makes 3-pt jump shot from 26 ft (assist by J. Embiid),7,10
30,1,7:36.0,M. Turner misses 2-pt hook shot from 10 ft,,7,10
31,1,7:34.0,,Defensive rebound by J. Embiid,7,10
32,1,7:24.0,,Shooting foul by M. Turner (drawn by J. Embiid),7,10
33,1,7:24.0,,J. Embiid makes free throw 1 of 2,7,11
34,1,7:24.0,G. Bitadze enters the game for M. Turner,,7,11
35,1,7:24.0,,J. Embiid makes free throw 2 of 2,7,12
36,1,7:02.0,Turnover by J. Lamb (bad pass; steal by J. Embiid),,7,12
37,1,6:55.0,,A. Horford makes 3-pt jump shot from 26 ft (assist by B. Simmons),7,15
38,1,6:48.0,Indiana full timeout,,7,15
39,1,6:38.0,Turnover by M. Brogdon (bad pass; steal by F. Korkmaz),,7,15
40,1,6:36.0,,T. Harris makes 2-pt dunk from 1 ft (assist by B. Simmons),7,17
41,1,6:22.0,M. Brogdon makes 3-pt jump shot from 25 ft (assist by D. Sabonis),,10,17
42,1,6:00.0,,T. Harris misses 3-pt jump shot from 25 ft,10,17
43,1,5:57.0,Defensive rebound by G. Bitadze,,10,17
