,QUARTER,TIME_REMAINING,DETROIT_ACTION,CHARLOTTE_ACTION,DETROIT_SCORE,CHARLOTTE_SCORE
0,1,11:40.0,A. Drummond makes 2-pt hook shot from 8 ft (assist by B. Brown),,2,0
1,1,11:25.0,,D. Graham misses 3-pt jump shot from 27 ft,2,0
2,1,11:22.0,Defensive rebound by A. Drummond,,2,0
3,1,11:16.0,Turnover by B. Griffin (lost ball; steal by P. Washington),,2,0
4,1,11:08.0,,D. Graham misses 2-pt layup from 3 ft,2,0
5,1,11:06.0,Defensive rebound by A. Drummond,,2,0
6,1,10:52.0,A. Drummond makes 2-pt hook shot from 9 ft (assist by B. Griffin),,4,0
7,1,10:42.0,,T. Rozier misses 2-pt jump shot from 19 ft,4,0
8,1,10:42.0,Defensive rebound by B. Griffin,,4,0
9,1,10:31.0,B. Griffin makes 3-pt jump shot from 25 ft (assist by L. Kennard),,7,0
10,1,10:17.0,,Personal foul by L. Kennard (drawn by P. Washington),7,0
11,1,10:11.0,,T. Rozier makes 2-pt jump shot from 12 ft,7,2
12,1,9:53.0,L. Kennard misses 3-pt jump shot from 25 ft,,7,2
13,1,9:49.0,,Defensive rebound by C. Zeller,7,2
14,1,9:38.0,,P. Washington misses 2-pt layup from 3 ft,7,2
15,1,9:36.0,Defensive rebound by T. Snell,,7,2
16,1,9:25.0,A. Drummond misses 2-pt layup from 3 ft,,7,2
17,1,9:23.0,Offensive rebound by A. Drummond,,7,2
18,1,9:23.0,A. Drummond misses 2-pt layup at rim,,7,2
19,1,9:22.0,,Defensive rebound by C. Zeller,7,2
20,1,9:11.0,,C. Zeller misses 2-pt layup from 2 ft,7,2
21,1,9:08.0,Defensive rebound by B. Brown,,7,2
22,1,9:01.0,B. Brown makes 2-pt layup from 3 ft,,9,2
23,1,8:41.0,,P. Washington misses 2-pt hook shot from 10 ft,9,2
24,1,8:39.0,Defensive rebound by A. Drummond,,9,2
25,1,8:30.0,B. Griffin misses 2-pt jump shot from 18 ft,,9,2
26,1,8:27.0,Offensive rebound by A. Drummond,,9,2
27,1,8:27.0,A. Drummond makes 2-pt layup at rim,,11,2
28,1,8:27.0,,Charlotte full timeout,11,2
29,1,8:27.0,,B. Biyombo enters the game for P. Washington,11,2
30,1,8:27.0,,M. Williams enters the game for C. Zeller,11,2
31,1,8:02.0,,M. Williams misses 2-pt jump shot from 20 ft,11,2
32,1,7:59.0,Defensive rebound by L. Kennard,,11,2
33,1,7:50.0,Turnover by B. Griffin (bad pass),,11,2
34,1,7:32.0,,D. Graham makes 2-pt layup from 3 ft,11,4
35,1,7:14.0,Shooting foul by B. Biyombo (drawn by B. Griffin),,11,4
36,1,7:14.0,B. Griffin makes free throw 1 of 2,,12,4
37,1,7:14.0,B. Griffin makes free throw 2 of 2,,13,4
38,1,7:01.0,,D. Graham makes 2-pt jump shot from 19 ft,13,6
39,1,6:47.0,B. Brown makes 3-pt jump shot from 24 ft (assist by B. Griffin),,16,6
40,1,6:33.0,,B. Biyombo misses 2-pt layup from 2 ft (block by B. Griffin),16,6
41,1,6:29.0,Defensive rebound by A. Drummond,,16,6
42,1,6:23.0,B. Griffin misses 3-pt jump shot from 25 ft,,16,6
43,1,6:19.0,,Defensive rebound by T. Rozier,16,6
44,1,6:15.0,,T. Rozier makes 2-pt layup from 2 ft,16,8
45,1,6:15.0,,Shooting foul by T. Snell (drawn by T. Rozier),16,8
46,1,6:15.0,L. Galloway enters the game for B. Griffin,,16,8
47,1,6:15.0,M. Morris enters the game for T. Snell,,16,8
48,1,6:15.0,,T. Rozier makes free throw 1 of 1,16,9
49,1,6:07.0,A. Drummond makes 2-pt layup from 2 ft (assist by L. Galloway),,18,9
50,1,5:54.0,,M. Williams misses 3-pt jump shot from 30 ft,18,9
51,1,5:50.0,,Offensive rebound by B. Biyombo,18,9
52,1,5:45.0,,Turnover by M. Bridges (bad pass; steal by B. Brown),18,9
53,1,5:33.0,M. Morris makes 2-pt hook shot from 8 ft (assist by B. Brown),,20,9
54,1,5:16.0,,B. Biyombo misses 2-pt jump shot from 6 ft,20,9
55,1,5:14.0,Defensive rebound by A. Drummond,,20,9
56,1,5:07.0,L. Kennard makes 2-pt jump shot from 18 ft (assist by A. Drummond),,22,9
57,1,5:03.0,,Charlotte full timeout,22,9
58,1,5:03.0,D. Rose enters the game for B. Brown,,22,9
59,1,5:03.0,,C. Martin enters the game for M. Bridges,22,9
60,1,5:03.0,,M. Monk enters the game for D. Graham,22,9
61,1,4:50.0,,Shooting foul by A. Drummond (drawn by C. Martin),22,9
62,1,4:50.0,,C. Martin misses free throw 1 of 2,22,9
63,1,4:50.0,,Offensive rebound by Team,22,9
64,1,4:50.0,,C. Martin makes free throw 2 of 2,22,10
65,1,4:42.0,Offensive foul by M. Morris (drawn by C. Martin),,22,10
66,1,4:42.0,Turnover by M. Morris (offensive foul),,22,10
67,1,4:30.0,,T. Rozier misses 2-pt jump shot from 19 ft,22,10
68,1,4:26.0,Defensive rebound by L. Kennard,,22,10
69,1,4:15.0,A. Drummond makes 2-pt layup from 2 ft,,24,10
70,1,3:56.0,,M. Monk makes 3-pt jump shot from 25 ft (assist by C. Martin),24,13
71,1,3:45.0,Turnover by M. Morris (bad pass; steal by C. Martin),,24,13
72,1,3:42.0,,Shooting foul by L. Kennard (drawn by C. Martin),24,13
73,1,3:42.0,,C. Martin makes free throw 1 of 2,24,14
74,1,3:42.0,S. Mykhailiuk enters the game for L. Kennard,,24,14
75,1,3:42.0,,C. Martin misses free throw 2 of 2,24,14
76,1,3:39.0,Defensive rebound by A. Drummond,,24,14
77,1,3:29.0,M. Morris misses 3-pt jump shot from 26 ft,,24,14
78,1,3:28.0,,Defensive rebound by Team,24,14
79,1,3:28.0,Loose ball foul by A. Drummond (drawn by B. Biyombo),,24,14
80,1,3:28.0,,B. Biyombo makes free throw 1 of 2,24,15
81,1,3:28.0,T. Maker enters the game for A. Drummond,,24,15
82,1,3:28.0,,B. Biyombo makes free throw 2 of 2,24,16
83,1,3:09.0,L. Galloway makes 3-pt jump shot from 23 ft (assist by D. Rose),,27,16
84,1,2:57.0,,B. Biyombo makes 2-pt dunk from 1 ft,27,18
