,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,CHARLOTTE_ACTION,SACRAMENTO_SCORE,CHARLOTTE_SCORE
0,1,11:38.0,,C. Zeller misses 2-pt layup from 3 ft,0,0
1,1,11:36.0,,Offensive rebound by B. Biyombo,0,0
2,1,11:35.0,,B. Biyombo misses 2-pt layup from 1 ft,0,0
3,1,11:35.0,,Offensive rebound by Team,0,0
4,1,11:34.0,,Turnover by Team (shot clock),0,0
5,1,11:20.0,Turnover by C. Joseph (bad pass; steal by D. Graham),,0,0
6,1,11:16.0,,Shooting foul by R. Holmes (drawn by D. Graham),0,0
7,1,11:16.0,,D. Graham misses free throw 1 of 2,0,0
8,1,11:16.0,,Offensive rebound by Team,0,0
9,1,11:16.0,,D. Graham makes free throw 2 of 2,0,1
10,1,11:01.0,N. Bjelica misses 3-pt jump shot from 26 ft,,0,1
11,1,10:59.0,,Defensive rebound by B. Biyombo,0,1
12,1,10:55.0,,C. Zeller makes 2-pt layup from 2 ft (assist by D. Graham),0,3
13,1,10:42.0,C. Joseph misses 3-pt jump shot from 26 ft,,0,3
14,1,10:40.0,,Defensive rebound by D. Graham,0,3
15,1,10:30.0,,T. Rozier misses 2-pt layup from 2 ft,0,3
16,1,10:28.0,,Offensive rebound by B. Biyombo,0,3
17,1,10:26.0,,B. Biyombo makes 2-pt layup from 3 ft,0,5
18,1,10:10.0,R. Holmes misses 2-pt layup from 2 ft,,0,5
19,1,10:08.0,,Defensive rebound by C. Zeller,0,5
20,1,9:51.0,,Turnover by D. Graham (bad pass; steal by R. Holmes),0,5
21,1,9:29.0,R. Holmes makes 2-pt jump shot from 7 ft (assist by C. Joseph),,2,5
22,1,9:06.0,,T. Rozier makes 2-pt layup from 2 ft,2,7
23,1,8:48.0,H. Barnes makes 2-pt layup from 1 ft (assist by N. Bjelica),,4,7
24,1,8:35.0,Violation by Team (kicked ball),,4,7
25,1,8:24.0,,Turnover by T. Rozier (bad pass),4,7
26,1,8:16.0,Turnover by B. Hield (bad pass),,4,7
27,1,8:02.0,,B. Biyombo misses 2-pt hook shot from 5 ft,4,7
28,1,8:00.0,Defensive rebound by Team,,4,7
29,1,8:00.0,,M. Williams enters the game for C. Zeller,4,7
30,1,7:51.0,B. Hield misses 3-pt jump shot from 25 ft,,4,7
31,1,7:48.0,Offensive rebound by H. Barnes,,4,7
32,1,7:38.0,Shooting foul by M. Bridges (drawn by R. Holmes),,4,7
33,1,7:38.0,R. Holmes makes free throw 1 of 2,,5,7
34,1,7:38.0,R. Holmes makes free throw 2 of 2,,6,7
35,1,7:24.0,,T. Rozier misses 2-pt jump shot from 10 ft (block by N. Bjelica),6,7
36,1,7:20.0,Defensive rebound by H. Barnes,,6,7
37,1,7:14.0,Personal foul by M. Williams (drawn by N. Bjelica),,6,7
38,1,7:14.0,D. Fox enters the game for C. Joseph,,6,7
39,1,7:14.0,,C. Martin enters the game for D. Graham,6,7
40,1,7:08.0,H. Barnes misses 2-pt hook shot from 4 ft,,6,7
41,1,7:08.0,,Defensive rebound by Team,6,7
42,1,6:49.0,,Turnover by T. Rozier (bad pass; steal by R. Holmes),6,7
43,1,6:39.0,B. Hield makes 3-pt jump shot from 24 ft (assist by D. Fox),,9,7
44,1,6:28.0,,Offensive foul by B. Biyombo (drawn by D. Fox),9,7
45,1,6:28.0,,Turnover by B. Biyombo (offensive foul),9,7
46,1,6:28.0,,Charlotte full timeout,9,7
47,1,6:28.0,B. Bogdanović enters the game for H. Barnes,,9,7
48,1,6:06.0,B. Hield misses 2-pt jump shot from 9 ft,,9,7
49,1,6:04.0,,Defensive rebound by B. Biyombo,9,7
50,1,5:57.0,,Personal foul by N. Bjelica (drawn by M. Williams),9,7
51,1,5:57.0,M. Bagley enters the game for R. Holmes,,9,7
52,1,5:49.0,,M. Williams makes 2-pt jump shot from 4 ft (assist by T. Rozier),9,9
53,1,5:34.0,M. Bagley misses 2-pt jump shot from 10 ft,,9,9
54,1,5:32.0,,Defensive rebound by T. Rozier,9,9
55,1,5:17.0,,C. Martin makes 3-pt jump shot from 27 ft (assist by T. Rozier),9,12
56,1,5:06.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,9,12
57,1,5:03.0,,Defensive rebound by B. Biyombo,9,12
58,1,4:54.0,,M. Bridges makes 2-pt dunk from 3 ft,9,14
59,1,4:32.0,B. Hield misses 2-pt layup from 4 ft (block by M. Bridges),,9,14
60,1,4:30.0,,Defensive rebound by M. Williams,9,14
61,1,4:26.0,,Personal foul by D. Fox (drawn by T. Rozier),9,14
62,1,4:26.0,,M. Monk enters the game for B. Biyombo,9,14
63,1,4:26.0,,C. Zeller enters the game for M. Bridges,9,14
64,1,4:18.0,,M. Williams makes 3-pt jump shot from 26 ft (assist by T. Rozier),9,17
65,1,4:04.0,M. Bagley misses 2-pt dunk from 1 ft (block by C. Zeller),,9,17
66,1,4:02.0,,Defensive rebound by M. Monk,9,17
67,1,3:59.0,,Turnover by M. Monk (bad pass; steal by B. Bogdanović),9,17
68,1,3:59.0,Personal take foul by M. Williams (drawn by B. Bogdanović),,9,17
69,1,3:59.0,Sacramento full timeout,,9,17
70,1,3:59.0,T. Ariza enters the game for N. Bjelica,,9,17
71,1,3:59.0,H. Barnes enters the game for B. Hield,,9,17
72,1,3:46.0,H. Barnes misses 3-pt jump shot from 24 ft,,9,17
73,1,3:44.0,,Defensive rebound by C. Martin,9,17
74,1,3:34.0,,M. Williams misses 3-pt jump shot from 26 ft,9,17
75,1,3:31.0,Defensive rebound by T. Ariza,,9,17
76,1,3:22.0,M. Bagley makes 2-pt layup from 1 ft (assist by D. Fox),,11,17
77,1,3:10.0,,C. Martin makes 2-pt layup from 4 ft (assist by T. Rozier),11,19
78,1,3:10.0,,Shooting foul by D. Fox (drawn by C. Martin),11,19
79,1,3:10.0,,D. Graham enters the game for T. Rozier,11,19
80,1,3:10.0,,C. Martin misses free throw 1 of 1,11,19
81,1,3:06.0,Defensive rebound by T. Ariza,,11,19
82,1,2:55.0,D. Fox misses 2-pt jump shot from 14 ft,,11,19
83,1,2:52.0,,Defensive rebound by C. Martin,11,19
84,1,2:43.0,,C. Zeller misses 2-pt hook shot from 3 ft,11,19
85,1,2:41.0,Defensive rebound by H. Barnes,,11,19
86,1,2:37.0,D. Fox misses 2-pt jump shot from 9 ft,,11,19
87,1,2:35.0,Offensive rebound by D. Fox,,11,19
88,1,2:28.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by D. Fox),,14,19
89,1,2:12.0,,M. Williams makes 3-pt jump shot from 24 ft (assist by C. Zeller),14,22
90,1,1:57.0,H. Barnes misses 2-pt jump shot from 12 ft,,14,22
91,1,1:55.0,,Defensive rebound by M. Monk,14,22
92,1,1:49.0,,M. Monk makes 2-pt layup from 1 ft,14,24
93,1,1:32.0,D. Fox misses 2-pt layup from 3 ft,,14,24
94,1,1:32.0,,Defensive rebound by Team,14,24
95,1,1:32.0,,M. Kidd-Gilchrist enters the game for M. Williams,14,24
96,1,1:20.0,,C. Zeller misses 3-pt jump shot from 26 ft,14,24
97,1,1:18.0,Defensive rebound by D. Fox,,14,24
98,1,1:16.0,M. Bagley makes 2-pt dunk from 1 ft (assist by D. Fox),,16,24
99,1,1:16.0,Shooting foul by C. Zeller (drawn by M. Bagley),,16,24
100,1,1:16.0,M. Bagley makes free throw 1 of 1,,17,24
101,1,1:01.0,,Personal foul by B. Bogdanović (drawn by D. Graham),17,24
102,1,1:01.0,,D. Graham makes free throw 1 of 2,17,25
103,1,1:01.0,,D. Graham makes free throw 2 of 2,17,26
104,1,0:44.0,Shooting foul by M. Kidd-Gilchrist (drawn by D. Fox),,17,26
105,1,0:44.0,D. Fox misses free throw 1 of 2,,17,26
106,1,0:44.0,Offensive rebound by Team,,17,26
107,1,0:44.0,D. Fox makes free throw 2 of 2,,18,26
108,1,0:29.0,,Turnover by C. Martin (bad pass; steal by D. Fox),18,26
109,1,0:17.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Fox),,21,26
110,1,0:00.0,,M. Monk misses 3-pt jump shot from 23 ft,21,26
111,1,0:00.0,,Offensive rebound by Team,21,26
112,2,11:38.0,Turnover by T. Ariza (back court),,21,26
113,2,11:24.0,,Personal foul by M. Bagley (drawn by D. Graham),21,26
114,2,11:10.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by D. Graham),21,28
115,2,10:50.0,Turnover by B. Bogdanović (bad pass),,21,28
116,2,10:31.0,,M. Monk misses 3-pt jump shot from 24 ft,21,28
117,2,10:28.0,Defensive rebound by M. Bagley,,21,28
118,2,10:16.0,M. Bagley makes 2-pt jump shot from 17 ft (assist by C. Joseph),,23,28
119,2,10:00.0,,Shooting foul by B. Bogdanović (drawn by C. Zeller),23,28
120,2,10:00.0,,C. Zeller makes free throw 1 of 2,23,29
121,2,10:00.0,,C. Zeller misses free throw 2 of 2,23,29
122,2,9:58.0,Defensive rebound by T. Ariza,,23,29
123,2,9:43.0,M. Bagley misses 2-pt jump shot from 6 ft (block by C. Zeller),,23,29
124,2,9:40.0,Offensive rebound by M. Bagley,,23,29
125,2,9:36.0,T. Ariza misses 3-pt jump shot from 26 ft,,23,29
126,2,9:34.0,,Defensive rebound by C. Zeller,23,29
127,2,9:30.0,,C. Zeller makes 2-pt dunk from 2 ft (assist by M. Monk),23,31
128,2,9:13.0,H. Barnes makes 2-pt jump shot from 7 ft,,25,31
129,2,9:03.0,,Offensive foul by M. Bridges (drawn by M. Bagley),25,31
130,2,9:03.0,,Turnover by M. Bridges (offensive foul),25,31
131,2,9:03.0,,B. Biyombo enters the game for C. Zeller,25,31
132,2,8:52.0,M. Bagley misses 2-pt layup from 3 ft,,25,31
133,2,8:50.0,,Defensive rebound by B. Biyombo,25,31
134,2,8:45.0,,M. Monk makes 2-pt layup from 3 ft,25,33
135,2,8:45.0,,T. Rozier enters the game for D. Graham,25,33
136,2,8:26.0,B. Bogdanović misses 2-pt jump shot from 16 ft,,25,33
137,2,8:23.0,,Defensive rebound by M. Monk,25,33
138,2,8:13.0,,M. Bridges misses 3-pt jump shot from 26 ft,25,33
139,2,8:11.0,Defensive rebound by M. Bagley,,25,33
140,2,8:01.0,T. Ariza misses 3-pt jump shot from 24 ft,,25,33
141,2,7:57.0,,Defensive rebound by M. Bridges,25,33
142,2,7:52.0,,T. Rozier misses 3-pt jump shot from 26 ft,25,33
143,2,7:50.0,,Offensive rebound by M. Monk,25,33
144,2,7:43.0,,Turnover by M. Monk (bad pass; steal by B. Bogdanović),25,33
145,2,7:39.0,Turnover by H. Barnes (lost ball; steal by M. Bridges),,25,33
146,2,7:34.0,,Shooting foul by C. Joseph (drawn by M. Kidd-Gilchrist),25,33
147,2,7:34.0,,M. Kidd-Gilchrist makes free throw 1 of 2,25,34
148,2,7:34.0,B. Hield enters the game for B. Bogdanović,,25,34
149,2,7:34.0,,C. Martin enters the game for M. Monk,25,34
150,2,7:34.0,,M. Kidd-Gilchrist makes free throw 2 of 2,25,35
151,2,7:17.0,M. Bagley misses 2-pt dunk from 1 ft (block by M. Bridges),,25,35
152,2,7:14.0,,Defensive rebound by T. Rozier,25,35
153,2,7:12.0,,T. Rozier misses 2-pt layup from 1 ft,25,35
154,2,7:12.0,Defensive rebound by B. Hield,,25,35
155,2,7:01.0,B. Hield misses 3-pt jump shot from 26 ft,,25,35
156,2,6:59.0,Offensive rebound by M. Bagley,,25,35
157,2,6:58.0,M. Bagley makes 2-pt dunk from 1 ft,,27,35
158,2,6:56.0,,Charlotte full timeout,27,35
159,2,6:56.0,N. Bjelica enters the game for H. Barnes,,27,35
160,2,6:56.0,D. Fox enters the game for C. Joseph,,27,35
161,2,6:56.0,,M. Williams enters the game for M. Kidd-Gilchrist,27,35
162,2,6:38.0,,M. Williams misses 3-pt jump shot from 25 ft,27,35
163,2,6:35.0,,Offensive rebound by B. Biyombo,27,35
164,2,6:24.0,,C. Martin makes 2-pt layup from 3 ft (assist by B. Biyombo),27,37
165,2,6:05.0,D. Fox misses 3-pt jump shot from 25 ft,,27,37
166,2,6:04.0,,Defensive rebound by Team,27,37
167,2,6:04.0,,D. Graham enters the game for M. Bridges,27,37
168,2,5:47.0,,C. Martin misses 2-pt dunk from 2 ft,27,37
169,2,5:47.0,Defensive rebound by Team,,27,37
170,2,5:47.0,R. Holmes enters the game for M. Bagley,,27,37
171,2,5:38.0,D. Fox makes 2-pt layup from 1 ft,,29,37
172,2,5:19.0,,Turnover by M. Williams (bad pass; steal by T. Ariza),29,37
173,2,5:05.0,N. Bjelica makes 2-pt hook shot from 3 ft,,31,37
174,2,4:48.0,,D. Graham misses 3-pt jump shot from 26 ft,31,37
175,2,4:45.0,,Offensive rebound by C. Martin,31,37
176,2,4:42.0,,D. Graham misses 3-pt jump shot from 28 ft,31,37
177,2,4:40.0,Defensive rebound by N. Bjelica,,31,37
178,2,4:37.0,Shooting foul by T. Rozier (drawn by D. Fox),,31,37
179,2,4:37.0,D. Fox makes free throw 1 of 2,,32,37
180,2,4:37.0,D. Fox makes free throw 2 of 2,,33,37
181,2,4:37.0,H. Barnes enters the game for T. Ariza,,33,37
182,2,4:37.0,,C. Zeller enters the game for B. Biyombo,33,37
183,2,4:26.0,,Shooting foul by R. Holmes (drawn by C. Zeller),33,37
184,2,4:26.0,,C. Zeller misses free throw 1 of 2,33,37
185,2,4:26.0,,Offensive rebound by Team,33,37
186,2,4:26.0,,C. Zeller makes free throw 2 of 2,33,38
187,2,4:14.0,N. Bjelica misses 3-pt jump shot from 28 ft,,33,38
188,2,4:11.0,,Defensive rebound by C. Zeller,33,38
189,2,3:56.0,,T. Rozier makes 2-pt jump shot from 10 ft,33,40
190,2,3:44.0,R. Holmes makes 2-pt layup from 3 ft (assist by B. Hield),,35,40
191,2,3:44.0,Shooting foul by C. Zeller (drawn by R. Holmes),,35,40
192,2,3:44.0,R. Holmes makes free throw 1 of 1,,36,40
193,2,3:28.0,,C. Zeller misses 2-pt layup from 3 ft (block by R. Holmes),36,40
194,2,3:25.0,,Offensive rebound by C. Zeller,36,40
195,2,3:24.0,,M. Williams makes 2-pt hook shot from 7 ft (assist by C. Zeller),36,42
196,2,3:13.0,Turnover by D. Fox (bad pass; steal by M. Williams),,36,42
197,2,3:09.0,,T. Rozier misses 2-pt layup from 2 ft,36,42
198,2,3:05.0,,Offensive rebound by D. Graham,36,42
199,2,3:03.0,,D. Graham misses 3-pt jump shot from 27 ft,36,42
200,2,3:02.0,,Offensive rebound by T. Rozier,36,42
201,2,2:56.0,,D. Graham misses 2-pt layup from 3 ft,36,42
202,2,2:52.0,,Offensive rebound by C. Zeller,36,42
203,2,2:51.0,,Turnover by C. Zeller (lost ball; steal by D. Fox),36,42
204,2,2:42.0,H. Barnes misses 3-pt jump shot from 24 ft,,36,42
205,2,2:38.0,,Defensive rebound by D. Graham,36,42
206,2,2:33.0,,Shooting foul by N. Bjelica (drawn by C. Zeller),36,42
207,2,2:33.0,Sacramento full timeout,,36,42
208,2,2:33.0,B. Bogdanović enters the game for N. Bjelica,,36,42
209,2,2:33.0,,C. Zeller makes free throw 1 of 2,36,43
210,2,2:33.0,,C. Zeller makes free throw 2 of 2,36,44
211,2,2:13.0,D. Fox makes 3-pt jump shot from 25 ft (assist by R. Holmes),,39,44
212,2,1:57.0,,D. Graham misses 2-pt jump shot from 11 ft,39,44
213,2,1:56.0,,Offensive rebound by Team,39,44
