,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,WASHINGTON_ACTION,MILWAUKEE_SCORE,WASHINGTON_SCORE
0,1,11:41.0,E. Bledsoe makes 3-pt jump shot from 24 ft (assist by W. Matthews),,3,0
1,1,11:28.0,,B. Beal makes 2-pt jump shot from 18 ft (assist by I. Smith),3,2
2,1,11:10.0,Turnover by E. Bledsoe (bad pass; steal by I. Mahinmi),,3,2
3,1,11:01.0,,Turnover by I. Bonga (bad pass; steal by W. Matthews),3,2
4,1,10:57.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,5,2
5,1,10:41.0,,I. Mahinmi misses 3-pt jump shot from 25 ft,5,2
6,1,10:36.0,Defensive rebound by G. Antetokounmpo,,5,2
7,1,10:34.0,Turnover by G. Antetokounmpo (out of bounds lost ball),,5,2
8,1,10:12.0,,I. Smith misses 2-pt jump shot from 18 ft,5,2
9,1,10:09.0,Defensive rebound by Team,,5,2
10,1,9:58.0,K. Middleton makes 2-pt jump shot from 19 ft (assist by W. Matthews),,7,2
11,1,9:31.0,,I. Smith makes 2-pt jump shot from 14 ft,7,4
12,1,9:11.0,G. Antetokounmpo makes 2-pt layup from 3 ft,,9,4
13,1,9:03.0,,I. Mahinmi makes 2-pt layup from 3 ft (assist by I. Smith),9,6
14,1,9:03.0,,Shooting foul by R. Lopez (drawn by I. Mahinmi),9,6
15,1,9:03.0,,I. Mahinmi makes free throw 1 of 1,9,7
16,1,8:52.0,Personal foul by I. Bonga (drawn by G. Antetokounmpo),,9,7
17,1,8:47.0,Personal foul by I. Mahinmi (drawn by R. Lopez),,9,7
18,1,8:39.0,R. Lopez misses 3-pt jump shot from 24 ft,,9,7
19,1,8:34.0,,Defensive rebound by I. Bonga,9,7
20,1,8:32.0,,B. Beal misses 3-pt jump shot from 25 ft,9,7
21,1,8:27.0,Defensive rebound by E. Bledsoe,,9,7
22,1,8:24.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),,12,7
23,1,8:15.0,,R. Hachimura misses 2-pt layup from 3 ft,12,7
24,1,8:12.0,Defensive rebound by G. Antetokounmpo,,12,7
25,1,8:10.0,,Violation by Team (kicked ball),12,7
26,1,7:59.0,G. Antetokounmpo makes 2-pt jump shot from 15 ft,,14,7
27,1,7:37.0,,I. Smith makes 3-pt jump shot from 23 ft (assist by B. Beal),14,10
28,1,7:22.0,E. Bledsoe makes 3-pt jump shot from 26 ft,,17,10
29,1,7:20.0,,Washington full timeout,17,10
30,1,7:05.0,,B. Beal misses 2-pt jump shot from 17 ft,17,10
31,1,7:00.0,,Offensive rebound by I. Mahinmi,17,10
32,1,7:00.0,,Shooting foul by G. Antetokounmpo (drawn by I. Mahinmi),17,10
33,1,7:00.0,,I. Mahinmi makes free throw 1 of 2,17,11
34,1,7:00.0,,I. Mahinmi misses free throw 2 of 2,17,11
35,1,6:58.0,Defensive rebound by E. Bledsoe,,17,11
36,1,6:48.0,Turnover by E. Bledsoe (bad pass),,17,11
37,1,6:28.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by R. Hachimura),17,14
38,1,6:03.0,G. Antetokounmpo misses 2-pt jump shot from 17 ft,,17,14
