,QUARTER,TIME_REMAINING,DENVER_ACTION,LA CLIPPERS_ACTION,DENVER_SCORE,LA CLIPPERS_SCORE
0,1,11:42.0,,I. Zubac makes 2-pt jump shot from 5 ft (assist by P. Beverley),0,2
1,1,11:24.0,N. Jokić makes 2-pt layup from 5 ft,,2,2
2,1,11:10.0,,P. George makes 3-pt jump shot from 26 ft (assist by K. Leonard),2,5
3,1,10:44.0,Turnover by J. Murray (bad pass),,2,5
4,1,10:31.0,,M. Morris makes 2-pt jump shot from 15 ft (assist by I. Zubac),2,7
5,1,10:17.0,W. Barton misses 2-pt layup from 5 ft,,2,7
6,1,10:15.0,Offensive rebound by W. Barton,,2,7
7,1,10:06.0,J. Murray misses 3-pt jump shot from 25 ft,,2,7
8,1,10:02.0,,Defensive rebound by M. Morris,2,7
9,1,9:54.0,,K. Leonard makes 2-pt jump shot from 18 ft,2,9
10,1,9:29.0,W. Barton misses 2-pt jump shot from 7 ft,,2,9
11,1,9:27.0,,Defensive rebound by I. Zubac,2,9
12,1,9:16.0,,P. Beverley misses 2-pt layup from 1 ft,2,9
13,1,9:16.0,Defensive rebound by Team,,2,9
14,1,9:06.0,Turnover by N. Jokić (bad pass; steal by M. Morris),,2,9
15,1,8:58.0,,M. Morris misses 2-pt jump shot from 11 ft,2,9
16,1,8:56.0,Defensive rebound by W. Barton,,2,9
17,1,8:47.0,G. Harris misses 2-pt jump shot from 7 ft,,2,9
18,1,8:47.0,Offensive rebound by Team,,2,9
19,1,8:38.0,J. Murray misses 2-pt layup from 3 ft,,2,9
20,1,8:33.0,Offensive rebound by N. Jokić,,2,9
21,1,8:33.0,N. Jokić misses 2-pt layup at rim,,2,9
22,1,8:33.0,Offensive rebound by N. Jokić,,2,9
23,1,8:30.0,N. Jokić makes 2-pt layup at rim,,4,9
24,1,8:21.0,,Personal foul by W. Barton (drawn by P. George),4,9
25,1,8:19.0,,P. George makes 3-pt jump shot from 25 ft (assist by P. Beverley),4,12
26,1,8:11.0,Personal foul by I. Zubac (drawn by N. Jokić),,4,12
27,1,8:07.0,Personal foul by P. Beverley (drawn by N. Jokić),,4,12
28,1,7:57.0,Turnover by N. Jokić (lost ball; steal by K. Leonard),,4,12
29,1,7:51.0,,K. Leonard makes 2-pt dunk from 1 ft (assist by M. Morris),4,14
30,1,7:51.0,Denver full timeout,,4,14
31,1,7:38.0,N. Jokić misses 2-pt layup from 3 ft (block by M. Morris),,4,14
32,1,7:35.0,,Defensive rebound by M. Morris,4,14
33,1,7:33.0,,P. George makes 3-pt jump shot from 23 ft (assist by K. Leonard),4,17
34,1,7:11.0,N. Jokić makes 2-pt jump shot from 5 ft (assist by P. Millsap),,6,17
35,1,6:57.0,,Shooting foul by G. Harris (drawn by I. Zubac),6,17
36,1,6:57.0,,I. Zubac makes free throw 1 of 2,6,18
37,1,6:57.0,,I. Zubac makes free throw 2 of 2,6,19
38,1,6:46.0,G. Harris misses 2-pt jump shot from 14 ft,,6,19
39,1,6:44.0,,Defensive rebound by I. Zubac,6,19
40,1,6:36.0,,M. Morris misses 3-pt jump shot from 22 ft,6,19
41,1,6:31.0,Defensive rebound by N. Jokić,,6,19
42,1,6:23.0,J. Murray makes 2-pt jump shot from 8 ft,,8,19
43,1,6:11.0,,P. George misses 2-pt jump shot from 9 ft,8,19
44,1,6:08.0,Defensive rebound by P. Millsap,,8,19
45,1,6:04.0,W. Barton misses 3-pt jump shot from 27 ft,,8,19
46,1,5:59.0,,Defensive rebound by I. Zubac,8,19
47,1,5:54.0,,P. George misses 3-pt jump shot from 26 ft,8,19
48,1,5:50.0,Defensive rebound by J. Murray,,8,19
49,1,5:39.0,N. Jokić makes 2-pt hook shot from 5 ft (assist by J. Murray),,10,19
50,1,5:23.0,,K. Leonard misses 2-pt jump shot from 17 ft,10,19
51,1,5:19.0,Defensive rebound by N. Jokić,,10,19
52,1,5:15.0,N. Jokić makes 2-pt layup from 2 ft,,12,19
53,1,5:14.0,,LA Clippers full timeout,12,19
54,1,5:14.0,J. Grant enters the game for W. Barton,,12,19
55,1,5:14.0,M. Morris enters the game for P. Millsap,,12,19
56,1,5:14.0,,L. Shamet enters the game for P. George,12,19
57,1,5:03.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by L. Shamet),12,22
58,1,4:35.0,J. Murray misses 3-pt jump shot from 28 ft,,12,22
59,1,4:31.0,,Defensive rebound by P. Beverley,12,22
60,1,4:24.0,,K. Leonard misses 3-pt jump shot from 26 ft,12,22
61,1,4:20.0,Defensive rebound by G. Harris,,12,22
62,1,4:09.0,Turnover by G. Harris (bad pass; steal by M. Morris),,12,22
63,1,4:05.0,,Turnover by M. Morris (lost ball; steal by M. Morris),12,22
64,1,4:01.0,J. Grant misses 2-pt jump shot from 19 ft,,12,22
65,1,4:01.0,,Defensive rebound by Team,12,22
66,1,4:01.0,M. Porter enters the game for G. Harris,,12,22
67,1,4:01.0,,M. Harrell enters the game for I. Zubac,12,22
68,1,3:44.0,,L. Shamet misses 3-pt jump shot from 27 ft,12,22
69,1,3:41.0,Defensive rebound by N. Jokić,,12,22
70,1,3:36.0,J. Grant misses 2-pt layup from 2 ft,,12,22
71,1,3:34.0,,Defensive rebound by M. Harrell,12,22
72,1,3:30.0,,M. Harrell misses 2-pt layup from 2 ft (block by M. Porter),12,22
73,1,3:30.0,,Offensive rebound by P. Beverley,12,22
74,1,3:27.0,,Personal foul by M. Morris (drawn by P. Beverley),12,22
75,1,3:27.0,M. Plumlee enters the game for N. Jokić,,12,22
76,1,3:27.0,,L. Williams enters the game for P. Beverley,12,22
77,1,3:22.0,,M. Morris misses 3-pt jump shot from 25 ft,12,22
78,1,3:20.0,Defensive rebound by M. Porter,,12,22
79,1,3:16.0,Shooting foul by K. Leonard (drawn by J. Grant),,12,22
80,1,3:16.0,J. Grant makes free throw 1 of 2,,13,22
81,1,3:16.0,,J. Green enters the game for K. Leonard,13,22
82,1,3:16.0,,R. Jackson enters the game for M. Morris,13,22
83,1,3:16.0,J. Grant makes free throw 2 of 2,,14,22
84,1,3:06.0,,R. Jackson misses 3-pt jump shot from 23 ft,14,22
85,1,3:02.0,,Offensive rebound by R. Jackson,14,22
86,1,2:55.0,,M. Harrell makes 2-pt layup from 1 ft (assist by L. Williams),14,24
87,1,2:54.0,,Violation by Team (delay of game),14,24
88,1,2:44.0,M. Morris makes 3-pt jump shot from 25 ft,,17,24
89,1,2:18.0,,Shooting foul by M. Plumlee (drawn by M. Harrell),17,24
