,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PHOENIX_ACTION,NEW ORLEANS_SCORE,PHOENIX_SCORE
0,1,11:46.0,J. Hayes misses 2-pt dunk from 2 ft (block by T. Johnson),,0,0
1,1,11:44.0,,Defensive rebound by T. Johnson,0,0
2,1,11:40.0,,F. Kaminsky makes 2-pt layup from 1 ft (assist by K. Oubre),0,2
3,1,11:25.0,J. Holiday makes 2-pt layup from 2 ft,,2,2
4,1,11:01.0,,D. Booker misses 3-pt jump shot from 29 ft,2,2
5,1,10:57.0,,Offensive rebound by K. Oubre,2,2
6,1,10:55.0,,K. Oubre misses 2-pt layup from 1 ft (block by J. Hayes),2,2
7,1,10:52.0,Defensive rebound by J. Holiday,,2,2
8,1,10:45.0,Offensive foul by B. Ingram (drawn by F. Kaminsky),,2,2
9,1,10:45.0,Turnover by B. Ingram (offensive foul),,2,2
10,1,10:29.0,,F. Kaminsky misses 3-pt jump shot from 26 ft,2,2
11,1,10:27.0,Defensive rebound by J. Redick,,2,2
12,1,10:19.0,J. Redick makes 2-pt jump shot from 4 ft (assist by J. Holiday),,4,2
13,1,10:01.0,,F. Kaminsky misses 2-pt layup from 1 ft,4,2
14,1,9:59.0,Defensive rebound by K. Williams,,4,2
15,1,9:54.0,B. Ingram misses 2-pt layup from 1 ft,,4,2
16,1,9:52.0,,Defensive rebound by F. Kaminsky,4,2
17,1,9:47.0,,K. Oubre makes 3-pt jump shot from 23 ft (assist by T. Johnson),4,5
18,1,9:47.0,,Shooting foul by K. Williams (drawn by K. Oubre),4,5
19,1,9:47.0,,K. Oubre makes free throw 1 of 1,4,6
20,1,9:37.0,Personal foul by K. Oubre (drawn by B. Ingram),,4,6
21,1,9:33.0,J. Hayes misses 2-pt layup from 2 ft,,4,6
22,1,9:30.0,,Defensive rebound by T. Johnson,4,6
23,1,9:27.0,,D. Booker makes 2-pt layup from 1 ft (assist by D. Šarić),4,8
24,1,9:13.0,J. Holiday misses 2-pt layup from 4 ft,,4,8
25,1,9:13.0,Offensive rebound by J. Hayes,,4,8
26,1,9:11.0,J. Hayes makes 2-pt layup from 2 ft,,6,8
27,1,8:57.0,,D. Šarić misses 2-pt layup at rim,6,8
28,1,8:57.0,Defensive rebound by B. Ingram,,6,8
29,1,8:49.0,J. Redick makes 2-pt jump shot from 22 ft (assist by B. Ingram),,8,8
30,1,8:33.0,,D. Šarić misses 3-pt jump shot from 24 ft,8,8
31,1,8:33.0,Defensive rebound by J. Redick,,8,8
32,1,8:18.0,J. Hayes makes 2-pt dunk from 1 ft (assist by J. Holiday),,10,8
33,1,8:03.0,,D. Booker misses 2-pt layup from 1 ft (block by K. Williams),10,8
34,1,8:01.0,Defensive rebound by J. Redick,,10,8
35,1,7:57.0,J. Holiday makes 2-pt layup from 1 ft,,12,8
36,1,7:47.0,,Shooting foul by K. Williams (drawn by K. Oubre),12,8
37,1,7:47.0,,K. Oubre makes free throw 1 of 2,12,9
38,1,7:47.0,N. Melli enters the game for K. Williams,,12,9
39,1,7:47.0,,K. Oubre makes free throw 2 of 2,12,10
40,1,7:39.0,B. Ingram makes 2-pt layup from 1 ft,,14,10
41,1,7:21.0,,K. Oubre misses 2-pt layup from 1 ft (block by B. Ingram),14,10
42,1,7:21.0,,Offensive rebound by Team,14,10
43,1,7:13.0,,F. Kaminsky misses 2-pt jump shot from 19 ft,14,10
44,1,7:09.0,Defensive rebound by J. Holiday,,14,10
45,1,7:04.0,J. Redick makes 3-pt jump shot from 26 ft (assist by B. Ingram),,17,10
46,1,7:04.0,Shooting foul by K. Oubre (drawn by J. Redick),,17,10
47,1,7:04.0,,M. Bridges enters the game for K. Oubre,17,10
48,1,7:04.0,,C. Johnson enters the game for D. Šarić,17,10
49,1,7:04.0,J. Redick misses free throw 1 of 1,,17,10
50,1,7:02.0,,Defensive rebound by F. Kaminsky,17,10
51,1,6:48.0,,Turnover by D. Booker (lost ball; steal by J. Holiday),17,10
52,1,6:43.0,J. Redick makes 3-pt jump shot from 31 ft,,20,10
53,1,6:43.0,Shooting foul by F. Kaminsky (drawn by J. Redick),,20,10
54,1,6:43.0,,Phoenix full timeout,20,10
55,1,6:43.0,J. Redick makes free throw 1 of 1,,21,10
56,1,6:31.0,,Shooting foul by J. Hayes (drawn by F. Kaminsky),21,10
57,1,6:31.0,,F. Kaminsky makes free throw 1 of 2,21,11
58,1,6:31.0,,F. Kaminsky makes free throw 2 of 2,21,12
59,1,6:14.0,J. Redick makes 3-pt jump shot from 26 ft (assist by N. Melli),,24,12
60,1,5:59.0,,C. Johnson makes 3-pt jump shot from 25 ft (assist by T. Johnson),24,15
61,1,5:45.0,Shooting foul by C. Johnson (drawn by B. Ingram),,24,15
62,1,5:45.0,B. Ingram misses free throw 1 of 2,,24,15
