,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MINNESOTA_ACTION,LA CLIPPERS_SCORE,MINNESOTA_SCORE
0,1,11:45.0,,Turnover by J. Okogie (bad pass; steal by L. Shamet),0,0
1,1,11:38.0,P. George makes 2-pt jump shot from 15 ft,,2,0
2,1,11:25.0,,K. Towns makes 3-pt jump shot from 26 ft (assist by J. Hernangómez),2,3
3,1,11:04.0,P. George misses 3-pt jump shot from 25 ft,,2,3
4,1,11:01.0,,Defensive rebound by M. Beasley,2,3
5,1,10:54.0,,Turnover by K. Towns (bad pass; steal by P. George),2,3
6,1,10:40.0,L. Shamet misses 2-pt jump shot from 11 ft,,2,3
7,1,10:37.0,,Defensive rebound by K. Towns,2,3
8,1,10:28.0,,M. Beasley misses 3-pt jump shot from 25 ft,2,3
9,1,10:25.0,Defensive rebound by K. Leonard,,2,3
10,1,10:17.0,K. Leonard misses 2-pt jump shot from 6 ft,,2,3
11,1,10:16.0,,Defensive rebound by K. Towns,2,3
12,1,10:12.0,,M. Beasley makes 3-pt jump shot from 22 ft (assist by K. Towns),2,6
13,1,9:50.0,Shooting foul by J. Hernangómez (drawn by K. Leonard),,2,6
14,1,9:50.0,K. Leonard makes free throw 1 of 2,,3,6
15,1,9:50.0,K. Leonard makes free throw 2 of 2,,4,6
16,1,9:40.0,,M. Beasley misses 2-pt jump shot from 16 ft,4,6
17,1,9:38.0,,Offensive rebound by K. Towns,4,6
18,1,9:36.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by K. Towns),4,9
19,1,9:24.0,Offensive foul by P. Patterson (drawn by J. McLaughlin),,4,9
20,1,9:24.0,Turnover by P. Patterson (offensive foul),,4,9
21,1,9:13.0,,K. Towns misses 3-pt jump shot from 25 ft,4,9
22,1,9:11.0,Defensive rebound by P. Patterson,,4,9
23,1,8:57.0,P. Patterson makes 3-pt jump shot from 23 ft (assist by P. George),,7,9
24,1,8:46.0,,Turnover by J. Okogie (discontinued dribble),7,9
25,1,8:34.0,K. Leonard makes 2-pt jump shot from 7 ft,,9,9
26,1,8:25.0,,J. McLaughlin misses 2-pt jump shot from 7 ft,9,9
27,1,8:23.0,Defensive rebound by I. Zubac,,9,9
28,1,8:22.0,Turnover by I. Zubac (bad pass),,9,9
29,1,8:09.0,,J. McLaughlin makes 2-pt layup from 1 ft (assist by M. Beasley),9,11
30,1,8:09.0,Violation by Team (def goaltending),,9,11
31,1,7:55.0,P. George makes 2-pt layup from 1 ft (assist by K. Leonard),,11,11
32,1,7:44.0,,M. Beasley makes 3-pt jump shot from 25 ft,11,14
33,1,7:32.0,P. George misses 2-pt jump shot from 18 ft,,11,14
34,1,7:27.0,,Defensive rebound by K. Towns,11,14
35,1,7:18.0,,J. Okogie makes 2-pt dunk from 1 ft (assist by K. Towns),11,16
36,1,7:05.0,K. Leonard misses 2-pt jump shot from 20 ft,,11,16
37,1,7:04.0,,Defensive rebound by Team,11,16
38,1,6:49.0,,M. Beasley misses 3-pt jump shot from 26 ft,11,16
39,1,6:47.0,Defensive rebound by I. Zubac,,11,16
40,1,6:39.0,K. Leonard makes 2-pt dunk from 2 ft (assist by L. Shamet),,13,16
41,1,6:24.0,,Shooting foul by I. Zubac (drawn by J. Okogie),13,16
42,1,6:24.0,,Minnesota full timeout,13,16
43,1,6:24.0,L. Williams enters the game for P. Patterson,,13,16
44,1,6:24.0,,J. Okogie makes free throw 1 of 2,13,17
45,1,6:24.0,,J. Okogie makes free throw 2 of 2,13,18
46,1,6:12.0,K. Leonard misses 2-pt layup from 2 ft,,13,18
47,1,6:07.0,Offensive rebound by I. Zubac,,13,18
48,1,6:07.0,I. Zubac makes 2-pt dunk from 1 ft,,15,18
49,1,5:48.0,,M. Beasley misses 2-pt jump shot from 13 ft,15,18
50,1,5:45.0,Defensive rebound by K. Leonard,,15,18
51,1,5:45.0,Personal foul by M. Beasley (drawn by K. Leonard),,15,18
52,1,5:45.0,,J. Culver enters the game for J. Hernangómez,15,18
53,1,5:45.0,,J. Johnson enters the game for J. Okogie,15,18
54,1,5:39.0,K. Leonard makes 3-pt jump shot from 25 ft (assist by P. George),,18,18
55,1,5:22.0,,J. Culver misses 3-pt jump shot from 25 ft,18,18
