,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CLEVELAND_ACTION,SAN ANTONIO_SCORE,CLEVELAND_SCORE
0,1,11:39.0,,A. Drummond makes 2-pt layup at rim,0,2
1,1,11:26.0,D. Murray misses 2-pt jump shot from 14 ft,,0,2
2,1,11:23.0,,Defensive rebound by K. Love,0,2
3,1,11:13.0,,K. Love misses 3-pt jump shot from 24 ft,0,2
4,1,11:11.0,Defensive rebound by D. DeRozan,,0,2
5,1,10:59.0,T. Lyles makes 2-pt jump shot from 8 ft (assist by D. DeRozan),,2,2
6,1,10:46.0,,C. Sexton makes 2-pt layup from 1 ft (assist by M. Dellavedova),2,4
7,1,10:32.0,B. Forbes misses 3-pt jump shot from 28 ft,,2,4
8,1,10:30.0,,Defensive rebound by A. Drummond,2,4
9,1,10:15.0,,M. Dellavedova misses 3-pt jump shot from 24 ft,2,4
10,1,10:12.0,,Offensive rebound by K. Love,2,4
11,1,10:09.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by K. Love),2,6
12,1,9:48.0,D. Murray misses 2-pt jump shot from 12 ft,,2,6
13,1,9:45.0,,Defensive rebound by K. Love,2,6
14,1,9:29.0,,K. Love misses 2-pt jump shot from 13 ft,2,6
15,1,9:27.0,Defensive rebound by T. Lyles,,2,6
16,1,9:14.0,D. Eubanks misses 2-pt jump shot from 15 ft,,2,6
17,1,9:08.0,Offensive rebound by D. Murray,,2,6
18,1,9:08.0,D. Murray misses 2-pt layup at rim,,2,6
19,1,9:08.0,,Defensive rebound by K. Love,2,6
20,1,9:02.0,,A. Drummond misses 3-pt jump shot from 26 ft,2,6
21,1,8:59.0,Defensive rebound by D. Murray,,2,6
22,1,8:53.0,D. Murray makes 2-pt layup from 2 ft,,4,6
23,1,8:39.0,,M. Dellavedova makes 2-pt layup at rim (assist by A. Drummond),4,8
24,1,8:39.0,,Shooting foul by D. Murray (drawn by M. Dellavedova),4,8
25,1,8:39.0,D. White enters the game for D. Murray,,4,8
26,1,8:39.0,,M. Dellavedova makes free throw 1 of 1,4,9
27,1,8:24.0,Offensive foul by D. Eubanks (drawn by C. Sexton),,4,9
28,1,8:24.0,Turnover by D. Eubanks (offensive foul),,4,9
29,1,8:10.0,,C. Sexton misses 2-pt jump shot from 16 ft,4,9
30,1,8:09.0,,Offensive rebound by A. Drummond,4,9
31,1,8:07.0,,A. Drummond makes 2-pt layup from 1 ft,4,11
32,1,7:50.0,T. Lyles misses 3-pt jump shot from 24 ft,,4,11
33,1,7:46.0,,Defensive rebound by K. Love,4,11
34,1,7:44.0,,C. Sexton misses 2-pt jump shot from 1 ft (block by T. Lyles),4,11
35,1,7:44.0,,Offensive rebound by Team,4,11
36,1,7:43.0,,Shooting foul by D. Eubanks (drawn by K. Love),4,11
37,1,7:43.0,,Instant Replay (Request: Ruling Stands),4,11
38,1,7:43.0,,K. Love makes free throw 1 of 3,4,12
39,1,7:43.0,,K. Love makes free throw 2 of 3,4,13
40,1,7:43.0,R. Gay enters the game for D. Eubanks,,4,13
41,1,7:43.0,,L. Nance enters the game for M. Dellavedova,4,13
42,1,7:43.0,,K. Love makes free throw 3 of 3,4,14
43,1,7:25.0,Turnover by D. DeRozan (bad pass; steal by C. Osman),,4,14
44,1,7:19.0,,C. Osman misses 2-pt layup from 1 ft,4,14
45,1,7:15.0,Defensive rebound by D. DeRozan,,4,14
46,1,7:14.0,D. DeRozan makes 2-pt layup from 2 ft,,6,14
47,1,6:54.0,,C. Osman makes 3-pt jump shot from 25 ft (assist by C. Sexton),6,17
48,1,6:40.0,D. DeRozan misses 2-pt jump shot from 9 ft,,6,17
49,1,6:38.0,,Defensive rebound by A. Drummond,6,17
50,1,6:34.0,,A. Drummond misses 2-pt layup at rim,6,17
51,1,6:27.0,Defensive rebound by D. DeRozan,,6,17
52,1,6:27.0,Personal foul by C. Osman (drawn by D. White),,6,17
53,1,6:27.0,,Cleveland full timeout,6,17
54,1,6:27.0,P. Mills enters the game for B. Forbes,,6,17
55,1,6:13.0,T. Lyles misses 2-pt layup from 2 ft,,6,17
56,1,6:12.0,Offensive rebound by T. Lyles,,6,17
57,1,6:12.0,Shooting foul by A. Drummond (drawn by T. Lyles),,6,17
58,1,6:12.0,T. Lyles makes free throw 1 of 2,,7,17
59,1,6:12.0,T. Lyles makes free throw 2 of 2,,8,17
60,1,6:03.0,,Personal foul by D. DeRozan (drawn by L. Nance),8,17
61,1,5:50.0,,C. Osman misses 3-pt jump shot from 23 ft,8,17
62,1,5:46.0,Defensive rebound by D. DeRozan,,8,17
63,1,5:42.0,Shooting foul by L. Nance (drawn by D. DeRozan),,8,17
64,1,5:42.0,D. DeRozan makes free throw 1 of 2,,9,17
65,1,5:42.0,D. DeRozan makes free throw 2 of 2,,10,17
66,1,5:31.0,,L. Nance makes 2-pt dunk from 1 ft (assist by C. Sexton),10,19
67,1,5:12.0,T. Lyles misses 3-pt jump shot from 26 ft,,10,19
68,1,5:10.0,,Defensive rebound by A. Drummond,10,19
69,1,4:56.0,,A. Drummond misses 3-pt jump shot from 27 ft,10,19
70,1,4:53.0,Defensive rebound by Team,,10,19
71,1,4:33.0,R. Gay misses 2-pt jump shot from 10 ft,,10,19
72,1,4:30.0,,Defensive rebound by K. Love,10,19
73,1,4:20.0,,C. Sexton makes 2-pt jump shot from 8 ft,10,21
74,1,4:07.0,R. Gay misses 3-pt jump shot from 26 ft,,10,21
75,1,4:05.0,,Defensive rebound by L. Nance,10,21
76,1,4:00.0,,A. Drummond makes 2-pt layup at rim (assist by C. Osman),10,23
77,1,4:00.0,,Shooting foul by R. Gay (drawn by A. Drummond),10,23
78,1,4:00.0,,A. McKinnie enters the game for K. Love,10,23
79,1,4:00.0,,A. Drummond makes free throw 1 of 1,10,24
80,1,3:53.0,P. Mills misses 3-pt jump shot from 27 ft (block by A. Drummond),,10,24
81,1,3:51.0,,Defensive rebound by A. Drummond,10,24
82,1,3:51.0,,Personal foul by P. Mills (drawn by A. Drummond),10,24
83,1,3:51.0,,A. Drummond makes free throw 1 of 2,10,25
84,1,3:51.0,,A. Drummond makes free throw 2 of 2,10,26
85,1,3:38.0,,Instant Replay (Challenge: Ruling Stands),10,26
86,1,3:38.0,,Cleveland full timeout,10,26
87,1,3:38.0,,T. Thompson enters the game for A. Drummond,10,26
88,1,3:38.0,,M. Dellavedova enters the game for C. Osman,10,26
89,1,3:16.0,,Turnover by C. Sexton (bad pass; steal by R. Gay),10,26
90,1,3:05.0,D. DeRozan makes 2-pt layup from 2 ft,,12,26
91,1,2:54.0,,Shooting foul by R. Gay (drawn by C. Sexton),12,26
92,1,2:54.0,,C. Sexton makes free throw 1 of 2,12,27
93,1,2:54.0,K. Johnson enters the game for T. Lyles,,12,27
94,1,2:54.0,,C. Sexton makes free throw 2 of 2,12,28
95,1,2:38.0,K. Johnson makes 2-pt layup at rim,,14,28
96,1,2:27.0,,Shooting foul by D. White (drawn by C. Sexton),14,28
97,1,2:27.0,,C. Sexton makes free throw 1 of 2,14,29
98,1,2:27.0,,C. Sexton makes free throw 2 of 2,14,30
99,1,2:27.0,,C. Osman enters the game for C. Sexton,14,30
100,1,2:06.0,R. Gay makes 2-pt jump shot from 14 ft (assist by P. Mills),,16,30
101,1,1:48.0,,T. Thompson misses 2-pt jump shot from 8 ft,16,30
102,1,1:46.0,Defensive rebound by R. Gay,,16,30
103,1,1:42.0,Personal foul by M. Dellavedova (drawn by P. Mills),,16,30
104,1,1:36.0,D. White misses 3-pt jump shot from 23 ft,,16,30
105,1,1:34.0,,Defensive rebound by L. Nance,16,30
106,1,1:13.0,,L. Nance makes 3-pt jump shot from 25 ft (assist by C. Osman),16,33
107,1,1:04.0,Personal foul by A. McKinnie (drawn by D. White),,16,33
108,1,1:04.0,D. White makes free throw 1 of 2,,17,33
109,1,1:04.0,D. White makes free throw 2 of 2,,18,33
110,1,0:40.0,,L. Nance misses 2-pt hook shot from 3 ft (block by R. Gay),18,33
111,1,0:37.0,Defensive rebound by D. DeRozan,,18,33
112,1,0:34.0,R. Gay misses 2-pt jump shot from 17 ft,,18,33
113,1,0:32.0,,Defensive rebound by T. Thompson,18,33
114,1,0:28.0,,A. McKinnie makes 2-pt layup from 1 ft (assist by C. Osman),18,35
115,1,0:07.0,Offensive foul by D. DeRozan (drawn by M. Dellavedova),,18,35
116,1,0:07.0,Turnover by D. DeRozan (offensive foul),,18,35
117,1,0:01.0,,C. Osman misses 3-pt jump shot from 29 ft,18,35
118,1,0:01.0,,Offensive rebound by A. McKinnie,18,35
119,2,11:50.0,Shooting foul by K. Love (drawn by D. White),,18,35
120,2,11:50.0,D. White makes free throw 1 of 2,,19,35
121,2,11:50.0,D. White makes free throw 2 of 2,,20,35
122,2,11:40.0,,Turnover by K. Love (out of bounds lost ball),20,35
123,2,11:40.0,D. Murray enters the game for D. White,,20,35
124,2,11:30.0,Shooting foul by T. Thompson (drawn by K. Johnson),,20,35
125,2,11:30.0,K. Johnson makes free throw 1 of 2,,21,35
126,2,11:30.0,K. Johnson makes free throw 2 of 2,,22,35
127,2,11:20.0,,Shooting foul by P. Mills (drawn by C. Osman),22,35
128,2,11:20.0,,C. Osman makes free throw 1 of 2,22,36
129,2,11:20.0,B. Forbes enters the game for P. Mills,,22,36
130,2,11:20.0,,C. Osman makes free throw 2 of 2,22,37
131,2,11:01.0,R. Gay misses 2-pt layup from 2 ft,,22,37
132,2,10:57.0,,Defensive rebound by M. Dellavedova,22,37
133,2,10:43.0,,Turnover by A. McKinnie (bad pass; steal by D. Murray),22,37
134,2,10:39.0,Personal foul by M. Dellavedova (drawn by K. Johnson),,22,37
135,2,10:33.0,D. Murray misses 2-pt jump shot from 10 ft,,22,37
136,2,10:28.0,,Defensive rebound by A. McKinnie,22,37
137,2,10:26.0,,Personal foul by B. Forbes (drawn by K. Love),22,37
138,2,10:26.0,T. Lyles enters the game for R. Gay,,22,37
139,2,10:19.0,,C. Osman makes 2-pt layup from 1 ft (assist by K. Love),22,39
140,2,10:12.0,Turnover by B. Forbes (lost ball; steal by C. Osman),,22,39
141,2,10:03.0,,C. Osman misses 2-pt layup from 1 ft,22,39
142,2,10:00.0,,Offensive rebound by C. Osman,22,39
143,2,9:54.0,,K. Love misses 2-pt layup from 1 ft,22,39
144,2,9:52.0,Defensive rebound by D. Eubanks,,22,39
145,2,9:46.0,B. Forbes misses 3-pt jump shot from 24 ft,,22,39
146,2,9:43.0,Offensive rebound by D. Eubanks,,22,39
147,2,9:42.0,D. Eubanks makes 2-pt layup at rim,,24,39
148,2,9:22.0,,T. Thompson makes 2-pt jump shot from 7 ft,24,41
149,2,9:05.0,Shooting foul by T. Thompson (drawn by B. Forbes),,24,41
150,2,9:05.0,B. Forbes makes free throw 1 of 3,,25,41
151,2,9:05.0,B. Forbes makes free throw 2 of 3,,26,41
152,2,9:05.0,,L. Nance enters the game for A. McKinnie,26,41
153,2,9:05.0,B. Forbes makes free throw 3 of 3,,27,41
154,2,8:51.0,,Shooting foul by D. Eubanks (drawn by T. Thompson),27,41
155,2,8:51.0,,T. Thompson misses free throw 1 of 2,27,41
156,2,8:51.0,,Offensive rebound by Team,27,41
157,2,8:51.0,San Antonio full timeout,,27,41
158,2,8:51.0,,T. Thompson misses free throw 2 of 2,27,41
159,2,8:49.0,Defensive rebound by D. Murray,,27,41
160,2,8:41.0,D. Murray misses 2-pt jump shot from 6 ft,,27,41
