,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,INDIANA_ACTION,CLEVELAND_SCORE,INDIANA_SCORE
0,1,11:39.0,,M. Brogdon misses 2-pt jump shot from 15 ft,0,0
1,1,11:36.0,Defensive rebound by K. Love,,0,0
2,1,11:19.0,K. Love makes 3-pt jump shot from 26 ft (assist by C. Sexton),,3,0
3,1,10:57.0,,T. Warren misses 3-pt jump shot from 24 ft,3,0
4,1,10:55.0,Defensive rebound by T. Thompson,,3,0
5,1,10:47.0,Personal foul by T. Leaf (drawn by K. Love),,3,0
6,1,10:46.0,Turnover by K. Love (bad pass; steal by T. Leaf),,3,0
7,1,10:40.0,,Turnover by M. Brogdon (bad pass; steal by K. Love),3,0
8,1,10:34.0,D. Garland misses 2-pt jump shot from 15 ft,,3,0
9,1,10:31.0,,Defensive rebound by D. Sabonis,3,0
10,1,10:25.0,,M. Brogdon makes 2-pt layup from 2 ft,3,2
11,1,10:17.0,Personal foul by J. Lamb (drawn by C. Sexton),,3,2
12,1,10:13.0,C. Sexton makes 2-pt jump shot from 12 ft (assist by K. Love),,5,2
13,1,9:59.0,,J. Lamb makes 2-pt jump shot from 17 ft,5,4
14,1,9:47.0,C. Osman makes 3-pt jump shot from 26 ft (assist by D. Garland),,8,4
15,1,9:23.0,,D. Sabonis makes 2-pt hook shot from 2 ft,8,6
16,1,9:14.0,D. Garland misses 3-pt jump shot from 26 ft,,8,6
17,1,9:12.0,Offensive rebound by Team,,8,6
18,1,9:12.0,,Loose ball foul by T. Leaf (drawn by K. Love),8,6
19,1,9:12.0,,J. Sampson enters the game for T. Leaf,8,6
20,1,9:04.0,Turnover by K. Love (bad pass; steal by J. Lamb),,8,6
21,1,8:56.0,,J. Sampson misses 2-pt layup from 2 ft,8,6
22,1,8:54.0,Defensive rebound by K. Love,,8,6
23,1,8:49.0,C. Sexton misses 2-pt layup from 7 ft (block by J. Sampson),,8,6
24,1,8:47.0,,Defensive rebound by M. Brogdon,8,6
25,1,8:44.0,,T. Warren misses 2-pt jump shot from 7 ft,8,6
26,1,8:41.0,Defensive rebound by T. Thompson,,8,6
27,1,8:33.0,Shooting foul by T. Warren (drawn by D. Garland),,8,6
28,1,8:33.0,D. Garland makes free throw 1 of 2,,9,6
29,1,8:33.0,D. Garland makes free throw 2 of 2,,10,6
30,1,8:22.0,,T. Warren misses 2-pt jump shot from 13 ft,10,6
31,1,8:17.0,Defensive rebound by K. Love,,10,6
32,1,8:14.0,Shooting foul by J. Sampson (drawn by T. Thompson),,10,6
33,1,8:14.0,T. Thompson makes free throw 1 of 2,,11,6
34,1,8:14.0,T. Thompson misses free throw 2 of 2,,11,6
35,1,8:13.0,,Defensive rebound by T. Warren,11,6
36,1,8:02.0,,M. Brogdon misses 3-pt jump shot from 25 ft,11,6
37,1,8:00.0,Defensive rebound by C. Osman,,11,6
38,1,7:50.0,Turnover by C. Osman (traveling),,11,6
39,1,7:28.0,,J. Sampson makes 2-pt dunk from 5 ft (assist by M. Brogdon),11,8
40,1,7:11.0,K. Love makes 2-pt hook shot from 3 ft,,13,8
41,1,7:00.0,,M. Brogdon makes 2-pt jump shot from 17 ft,13,10
42,1,6:54.0,Personal foul by J. Sampson (drawn by K. Love),,13,10
43,1,6:54.0,,Indiana full timeout,13,10
44,1,6:54.0,K. Love makes free throw 1 of 2,,14,10
45,1,6:54.0,K. Love makes free throw 2 of 2,,15,10
46,1,6:47.0,,Shooting foul by C. Sexton (drawn by J. Lamb),15,10
47,1,6:47.0,,J. Lamb makes free throw 1 of 2,15,11
48,1,6:47.0,,J. Lamb makes free throw 2 of 2,15,12
49,1,6:32.0,K. Love misses 2-pt layup from 2 ft (block by M. Brogdon),,15,12
50,1,6:32.0,Offensive rebound by Team,,15,12
51,1,6:25.0,C. Sexton misses 3-pt jump shot from 25 ft,,15,12
52,1,6:22.0,,Defensive rebound by D. Sabonis,15,12
53,1,6:09.0,,M. Brogdon misses 2-pt jump shot from 12 ft,15,12
54,1,6:06.0,,Offensive rebound by D. Sabonis,15,12
55,1,6:05.0,,D. Sabonis misses 2-pt layup from 3 ft,15,12
56,1,6:04.0,Defensive rebound by K. Love,,15,12
57,1,6:00.0,C. Sexton makes 2-pt layup from 2 ft (assist by K. Love),,17,12
58,1,5:33.0,,J. Sampson misses 2-pt jump shot from 12 ft,17,12
59,1,5:32.0,,Offensive rebound by J. Sampson,17,12
60,1,5:32.0,,J. Sampson misses 2-pt layup from 1 ft,17,12
61,1,5:31.0,Defensive rebound by K. Love,,17,12
62,1,5:25.0,C. Osman misses 2-pt layup from 5 ft,,17,12
63,1,5:24.0,Offensive rebound by K. Love,,17,12
64,1,5:24.0,K. Love misses 2-pt layup from 2 ft,,17,12
65,1,5:23.0,Offensive rebound by Team,,17,12
66,1,5:23.0,J. Clarkson enters the game for D. Garland,,17,12
67,1,5:23.0,L. Nance enters the game for K. Love,,17,12
68,1,5:20.0,C. Sexton misses 2-pt layup from 4 ft,,17,12
69,1,5:18.0,,Defensive rebound by D. Sabonis,17,12
70,1,5:10.0,,J. Lamb makes 3-pt jump shot from 24 ft (assist by M. Brogdon),17,15
71,1,4:48.0,T. Thompson misses 2-pt jump shot from 10 ft,,17,15
72,1,4:46.0,,Defensive rebound by D. Sabonis,17,15
73,1,4:37.0,,D. Sabonis misses 2-pt jump shot from 14 ft,17,15
74,1,4:34.0,Defensive rebound by C. Osman,,17,15
75,1,4:27.0,C. Osman makes 2-pt jump shot from 10 ft,,19,15
76,1,4:12.0,,J. Sampson misses 3-pt jump shot from 24 ft,19,15
77,1,4:08.0,Defensive rebound by C. Sexton,,19,15
78,1,4:02.0,C. Sexton misses 2-pt jump shot from 15 ft,,19,15
79,1,3:59.0,,Defensive rebound by D. Sabonis,19,15
80,1,3:48.0,,J. Sampson misses 3-pt jump shot from 24 ft,19,15
81,1,3:45.0,Defensive rebound by J. Clarkson,,19,15
82,1,3:38.0,T. Thompson makes 2-pt dunk from 2 ft (assist by J. Clarkson),,21,15
83,1,3:25.0,,M. Brogdon makes 2-pt layup from 8 ft,21,17
84,1,3:07.0,T. Thompson makes 2-pt hook shot from 8 ft (assist by C. Sexton),,23,17
85,1,2:53.0,,Turnover by D. Sabonis (bad pass; steal by C. Osman),23,17
86,1,2:48.0,C. Osman makes 3-pt jump shot from 25 ft,,26,17
87,1,2:46.0,,Indiana full timeout,26,17
88,1,2:46.0,B. Knight enters the game for C. Osman,,26,17
89,1,2:46.0,K. Porter enters the game for C. Sexton,,26,17
90,1,2:46.0,,A. Holiday enters the game for M. Brogdon,26,17
91,1,2:46.0,,J. Holiday enters the game for J. Lamb,26,17
92,1,2:46.0,,T. McConnell enters the game for J. Sampson,26,17
93,1,2:46.0,,D. McDermott enters the game for T. Warren,26,17
94,1,2:38.0,,A. Holiday misses 2-pt jump shot from 21 ft,26,17
95,1,2:36.0,Defensive rebound by K. Porter,,26,17
96,1,2:29.0,Offensive foul by K. Porter (drawn by T. McConnell),,26,17
97,1,2:29.0,Turnover by K. Porter (offensive foul),,26,17
98,1,2:19.0,,D. McDermott misses 2-pt jump shot from 12 ft,26,17
99,1,2:16.0,Defensive rebound by T. Thompson,,26,17
100,1,2:07.0,B. Knight misses 3-pt jump shot from 24 ft,,26,17
101,1,2:04.0,,Defensive rebound by D. Sabonis,26,17
102,1,2:00.0,,Personal foul by B. Knight (drawn by A. Holiday),26,17
103,1,2:00.0,K. Love enters the game for T. Thompson,,26,17
104,1,2:00.0,,G. Bitadze enters the game for D. Sabonis,26,17
105,1,1:49.0,,J. Holiday makes 2-pt jump shot from 20 ft (assist by T. McConnell),26,19
106,1,1:21.0,J. Clarkson misses 3-pt jump shot from 23 ft,,26,19
107,1,1:18.0,,Defensive rebound by J. Holiday,26,19
108,1,1:13.0,,A. Holiday misses 3-pt jump shot from 25 ft,26,19
109,1,1:11.0,Defensive rebound by K. Porter,,26,19
110,1,1:06.0,Turnover by B. Knight (step out of bounds),,26,19
111,1,0:55.0,,D. McDermott misses 3-pt jump shot from 25 ft,26,19
112,1,0:52.0,Defensive rebound by K. Love,,26,19
113,1,0:40.0,J. Clarkson misses 2-pt jump shot from 6 ft,,26,19
114,1,0:38.0,,Defensive rebound by D. McDermott,26,19
115,1,0:33.0,,J. Holiday misses 3-pt jump shot from 24 ft,26,19
116,1,0:30.0,Defensive rebound by K. Porter,,26,19
117,1,0:13.0,Offensive foul by K. Love (drawn by A. Holiday),,26,19
118,1,0:13.0,Turnover by K. Love (offensive foul),,26,19
119,1,0:00.0,,G. Bitadze misses 2-pt jump shot from 9 ft,26,19
120,1,0:00.0,,Offensive rebound by Team,26,19
121,2,11:39.0,B. Knight misses 3-pt jump shot from 26 ft,,26,19
122,2,11:38.0,,Defensive rebound by Team,26,19
123,2,11:31.0,,D. McDermott makes 2-pt layup from 1 ft (assist by T. McConnell),26,21
124,2,11:31.0,Violation by Team (def goaltending),,26,21
125,2,11:14.0,J. Clarkson makes 2-pt jump shot from 9 ft,,28,21
126,2,11:00.0,,T. McConnell makes 2-pt layup from 2 ft,28,23
127,2,10:51.0,B. Knight misses 2-pt layup from 2 ft (block by G. Bitadze),,28,23
128,2,10:48.0,,Defensive rebound by G. Bitadze,28,23
129,2,10:39.0,,G. Bitadze makes 2-pt jump shot from 17 ft (assist by J. Holiday),28,25
130,2,10:17.0,K. Porter misses 2-pt jump shot from 18 ft,,28,25
131,2,10:15.0,Offensive rebound by Team,,28,25
132,2,10:15.0,,Violation by Team (delay of game),28,25
133,2,10:04.0,Turnover by L. Nance (3 sec),,28,25
134,2,9:57.0,,Offensive foul by G. Bitadze (drawn by K. Porter),28,25
135,2,9:57.0,,Turnover by G. Bitadze (offensive foul),28,25
136,2,9:40.0,Turnover by J. Clarkson (lost ball; steal by A. Holiday),,28,25
137,2,9:36.0,,D. McDermott makes 2-pt layup from 2 ft (assist by A. Holiday),28,27
138,2,9:35.0,Cleveland full timeout,,28,27
139,2,9:15.0,Turnover by K. Porter (lost ball; steal by A. Holiday),,28,27
140,2,9:10.0,,A. Holiday misses 2-pt layup from 3 ft,28,27
141,2,9:05.0,,Offensive rebound by G. Bitadze,28,27
142,2,9:05.0,,G. Bitadze misses 2-pt layup at rim,28,27
143,2,9:05.0,,Offensive rebound by G. Bitadze,28,27
144,2,9:04.0,,G. Bitadze makes 2-pt layup at rim,28,29
145,2,8:45.0,L. Nance misses 3-pt jump shot from 25 ft,,28,29
146,2,8:43.0,Offensive rebound by Team,,28,29
147,2,8:43.0,,Loose ball foul by D. McDermott (drawn by K. Love),28,29
148,2,8:43.0,D. Garland enters the game for B. Knight,,28,29
149,2,8:43.0,C. Osman enters the game for K. Porter,,28,29
150,2,8:40.0,J. Clarkson makes 2-pt layup from 3 ft (assist by K. Love),,30,29
151,2,8:29.0,,A. Holiday misses 2-pt jump shot from 7 ft (block by J. Clarkson),30,29
152,2,8:26.0,Defensive rebound by K. Love,,30,29
153,2,8:25.0,Offensive foul by J. Clarkson (drawn by A. Holiday),,30,29
154,2,8:25.0,Turnover by J. Clarkson (offensive foul),,30,29
155,2,8:25.0,,Technical foul by J. Clarkson,30,29
156,2,8:25.0,Technical foul by A. Holiday,,30,29
157,2,8:25.0,,J. Lamb enters the game for A. Holiday,30,29
158,2,8:09.0,,T. McConnell misses 2-pt jump shot from 7 ft,30,29
159,2,8:07.0,Defensive rebound by K. Love,,30,29
160,2,8:02.0,D. Garland misses 2-pt layup from 12 ft,,30,29
161,2,8:00.0,Offensive rebound by Team,,30,29
162,2,8:00.0,T. Thompson enters the game for L. Nance,,30,29
163,2,8:00.0,,M. Brogdon enters the game for G. Bitadze,30,29
164,2,8:00.0,,D. Sabonis enters the game for T. McConnell,30,29
165,2,7:52.0,Personal foul by D. McDermott (drawn by T. Thompson),,30,29
166,2,7:41.0,K. Love misses 2-pt layup from 3 ft,,30,29
167,2,7:38.0,,Defensive rebound by J. Holiday,30,29
168,2,7:33.0,,J. Holiday misses 2-pt layup from 2 ft,30,29
169,2,7:31.0,Defensive rebound by K. Love,,30,29
170,2,7:29.0,Turnover by K. Love (bad pass; steal by D. McDermott),,30,29
171,2,7:25.0,,D. McDermott misses 3-pt jump shot from 27 ft,30,29
172,2,7:23.0,Defensive rebound by K. Love,,30,29
173,2,7:23.0,Personal foul by J. Lamb (drawn by K. Love),,30,29
174,2,7:23.0,C. Sexton enters the game for J. Clarkson,,30,29
175,2,7:23.0,,T. Warren enters the game for D. McDermott,30,29
176,2,7:09.0,D. Garland misses 2-pt jump shot from 14 ft,,30,29
177,2,7:04.0,,Defensive rebound by J. Lamb,30,29
178,2,7:00.0,,D. Sabonis makes 2-pt dunk from 2 ft (assist by M. Brogdon),30,31
179,2,6:39.0,T. Thompson makes 2-pt jump shot from 9 ft,,32,31
180,2,6:24.0,,D. Sabonis misses 2-pt layup from 2 ft,32,31
181,2,6:21.0,Defensive rebound by K. Love,,32,31
182,2,6:03.0,C. Sexton misses 2-pt jump shot from 7 ft,,32,31
183,2,6:02.0,,Defensive rebound by Team,32,31
184,2,6:02.0,Loose ball foul by C. Sexton (drawn by D. Sabonis),,32,31
185,2,5:49.0,,M. Brogdon misses 2-pt layup from 2 ft,32,31
186,2,5:47.0,Defensive rebound by T. Thompson,,32,31
187,2,5:39.0,D. Garland misses 2-pt jump shot from 12 ft,,32,31
188,2,5:38.0,,Defensive rebound by Team,32,31
189,2,5:38.0,L. Nance enters the game for K. Love,,32,31
190,2,5:23.0,,M. Brogdon misses 2-pt jump shot from 14 ft,32,31
191,2,5:19.0,,Offensive rebound by D. Sabonis,32,31
192,2,5:12.0,,J. Lamb misses 3-pt jump shot from 26 ft,32,31
193,2,5:09.0,Defensive rebound by C. Osman,,32,31
194,2,5:04.0,Offensive foul by L. Nance (drawn by T. Warren),,32,31
195,2,5:04.0,Turnover by L. Nance (offensive foul),,32,31
196,2,5:04.0,,G. Bitadze enters the game for J. Holiday,32,31
197,2,4:52.0,,D. Sabonis makes 2-pt layup from 2 ft (assist by M. Brogdon),32,33
198,2,4:26.0,L. Nance makes 2-pt layup from 3 ft (assist by D. Garland),,34,33
199,2,4:14.0,,J. Lamb makes 2-pt layup from 2 ft (assist by D. Sabonis),34,35
200,2,4:01.0,D. Garland misses 2-pt layup from 3 ft (block by G. Bitadze),,34,35
201,2,3:57.0,,Defensive rebound by D. Sabonis,34,35
202,2,3:48.0,,J. Lamb misses 3-pt jump shot from 26 ft,34,35
203,2,3:45.0,Defensive rebound by L. Nance,,34,35
204,2,3:24.0,T. Thompson misses 2-pt jump shot from 14 ft,,34,35
205,2,3:20.0,,Defensive rebound by M. Brogdon,34,35
206,2,3:12.0,,T. Warren misses 2-pt jump shot from 11 ft,34,35
207,2,3:09.0,Defensive rebound by L. Nance,,34,35
208,2,2:51.0,C. Osman misses 2-pt jump shot from 3 ft,,34,35
209,2,2:46.0,,Defensive rebound by D. Sabonis,34,35
210,2,2:36.0,,T. Warren misses 2-pt jump shot from 7 ft,34,35
211,2,2:34.0,Defensive rebound by C. Sexton,,34,35
212,2,2:20.0,L. Nance misses 2-pt jump shot from 15 ft,,34,35
213,2,2:17.0,,Defensive rebound by J. Lamb,34,35
214,2,2:11.0,,M. Brogdon makes 2-pt layup from 2 ft,34,37
215,2,1:52.0,C. Sexton makes 2-pt layup from 5 ft (assist by T. Thompson),,36,37
216,2,1:38.0,,M. Brogdon makes 3-pt jump shot from 25 ft (assist by D. Sabonis),36,40
217,2,1:27.0,Cleveland full timeout,,36,40
218,2,1:27.0,J. Clarkson enters the game for D. Garland,,36,40
219,2,1:27.0,K. Love enters the game for L. Nance,,36,40
220,2,1:27.0,,D. McDermott enters the game for J. Lamb,36,40
221,2,1:15.0,Personal foul by M. Brogdon (drawn by C. Sexton),,36,40
222,2,1:08.0,C. Osman misses 3-pt jump shot from 27 ft,,36,40
223,2,1:04.0,,Defensive rebound by D. Sabonis,36,40
224,2,0:50.0,,D. Sabonis misses 2-pt jump shot from 2 ft,36,40
225,2,0:49.0,,Offensive rebound by D. Sabonis,36,40
226,2,0:49.0,,D. Sabonis makes 2-pt layup at rim,36,42
227,2,0:45.0,Personal foul by D. Sabonis (drawn by K. Love),,36,42
228,2,0:45.0,K. Love makes free throw 1 of 2,,37,42
229,2,0:45.0,K. Love misses free throw 2 of 2,,37,42
230,2,0:43.0,,Defensive rebound by T. Warren,37,42
231,2,0:28.0,,Turnover by D. Sabonis (bad pass; steal by C. Sexton),37,42
232,2,0:09.0,C. Sexton misses 2-pt jump shot from 6 ft (block by G. Bitadze),,37,42
233,2,0:06.0,,Defensive rebound by G. Bitadze,37,42
234,2,0:03.0,,Turnover by G. Bitadze (traveling),37,42
235,3,11:41.0,T. Thompson misses 2-pt layup from 1 ft (block by D. Sabonis),,37,42
236,3,11:39.0,,Defensive rebound by J. Lamb,37,42
237,3,11:36.0,,Turnover by J. Lamb (bad pass; steal by C. Sexton),37,42
238,3,11:22.0,K. Love makes 3-pt jump shot from 27 ft (assist by C. Osman),,40,42
239,3,11:07.0,,M. Brogdon makes 2-pt layup from 2 ft,40,44
240,3,10:53.0,K. Love makes 3-pt jump shot from 27 ft (assist by D. Garland),,43,44
241,3,10:37.0,,Turnover by M. Brogdon (lost ball; steal by T. Thompson),43,44
242,3,10:33.0,C. Sexton makes 2-pt layup at rim (assist by T. Thompson),,45,44
243,3,10:15.0,,T. Leaf misses 3-pt jump shot from 27 ft,45,44
244,3,10:12.0,,Offensive rebound by M. Brogdon,45,44
245,3,10:10.0,,M. Brogdon makes 2-pt layup from 2 ft,45,46
246,3,10:00.0,C. Sexton misses 2-pt layup from 2 ft (block by D. Sabonis),,45,46
247,3,9:58.0,,Defensive rebound by T. Leaf,45,46
248,3,9:58.0,,Personal foul by T. Thompson (drawn by T. Leaf),45,46
249,3,9:47.0,,Turnover by M. Brogdon (bad pass; steal by C. Osman),45,46
250,3,9:43.0,Shooting foul by T. Warren (drawn by C. Osman),,45,46
251,3,9:43.0,C. Osman makes free throw 1 of 2,,46,46
252,3,9:43.0,C. Osman makes free throw 2 of 2,,47,46
253,3,9:31.0,,J. Lamb misses 2-pt jump shot from 18 ft,47,46
254,3,9:28.0,,Offensive rebound by T. Leaf,47,46
255,3,9:26.0,,T. Leaf misses 2-pt jump shot from 7 ft,47,46
256,3,9:24.0,Defensive rebound by T. Thompson,,47,46
257,3,9:14.0,T. Thompson misses 2-pt dunk from 1 ft,,47,46
258,3,9:12.0,,Defensive rebound by D. Sabonis,47,46
259,3,9:09.0,,T. Warren misses 3-pt jump shot from 23 ft,47,46
260,3,9:03.0,,Offensive rebound by J. Lamb,47,46
261,3,9:03.0,,J. Lamb makes 2-pt layup from 1 ft,47,48
262,3,9:02.0,Turnover by K. Love (bad pass; steal by M. Brogdon),,47,48
263,3,8:56.0,,Turnover by M. Brogdon (bad pass; steal by C. Osman),47,48
264,3,8:42.0,D. Garland misses 2-pt jump shot from 10 ft,,47,48
265,3,8:39.0,Offensive rebound by Team,,47,48
266,3,8:31.0,K. Love misses 3-pt jump shot from 26 ft,,47,48
267,3,8:29.0,,Defensive rebound by M. Brogdon,47,48
268,3,8:27.0,,T. Leaf misses 2-pt layup from 2 ft,47,48
269,3,8:24.0,,Offensive rebound by T. Warren,47,48
270,3,8:24.0,,T. Warren makes 2-pt layup from 1 ft,47,50
271,3,8:00.0,C. Sexton makes 2-pt jump shot from 10 ft,,49,50
272,3,7:45.0,,T. Leaf misses 3-pt jump shot from 25 ft,49,50
273,3,7:43.0,,Offensive rebound by Team,49,50
274,3,7:43.0,Loose ball foul by T. Thompson (drawn by D. Sabonis),,49,50
275,3,7:38.0,,M. Brogdon makes 2-pt jump shot from 17 ft (assist by D. Sabonis),49,52
276,3,7:26.0,D. Garland misses 3-pt jump shot from 25 ft,,49,52
277,3,7:23.0,,Defensive rebound by T. Leaf,49,52
278,3,7:09.0,,D. Sabonis makes 2-pt layup from 1 ft,49,54
279,3,6:55.0,K. Love makes 3-pt jump shot from 25 ft (assist by T. Thompson),,52,54
280,3,6:45.0,,Indiana full timeout,52,54
281,3,6:45.0,J. Clarkson enters the game for D. Garland,,52,54
282,3,6:45.0,,J. Sampson enters the game for T. Leaf,52,54
283,3,6:26.0,,J. Lamb misses 3-pt jump shot from 39 ft,52,54
284,3,6:26.0,,Offensive rebound by Team,52,54
285,3,6:26.0,,Turnover by Team (shot clock),52,54
286,3,6:12.0,T. Thompson misses 2-pt hook shot from 5 ft,,52,54
287,3,6:10.0,,Defensive rebound by J. Lamb,52,54
288,3,6:06.0,,M. Brogdon misses 3-pt jump shot from 26 ft,52,54
289,3,6:04.0,Defensive rebound by T. Thompson,,52,54
290,3,6:00.0,C. Sexton misses 2-pt layup from 5 ft (block by J. Lamb),,52,54
291,3,5:57.0,,Defensive rebound by J. Lamb,52,54
292,3,5:47.0,,Personal foul by T. Thompson (drawn by D. Sabonis),52,54
293,3,5:39.0,,Shooting foul by T. Thompson (drawn by M. Brogdon),52,54
294,3,5:39.0,,M. Brogdon makes free throw 1 of 2,52,55
295,3,5:39.0,L. Nance enters the game for T. Thompson,,52,55
