,QUARTER,TIME_REMAINING,HOUSTON_ACTION,TORONTO_ACTION,HOUSTON_SCORE,TORONTO_SCORE
0,1,11:39.0,Turnover by C. Capela (lost ball; steal by M. Gasol),,0,0
1,1,11:28.0,Violation by Team (kicked ball),,0,0
2,1,11:15.0,,O. Anunoby misses 3-pt jump shot from 23 ft,0,0
3,1,11:11.0,Defensive rebound by P. Tucker,,0,0
4,1,11:02.0,B. McLemore misses 3-pt jump shot from 22 ft,,0,0
5,1,11:02.0,Offensive rebound by Team,,0,0
6,1,11:02.0,,Loose ball foul by P. Siakam (drawn by R. Westbrook),0,0
7,1,10:52.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,3,0
8,1,10:32.0,,F. VanVleet makes 3-pt jump shot from 26 ft (assist by O. Anunoby),3,3
9,1,10:16.0,Turnover by C. Capela (lost ball; steal by M. Gasol),,3,3
10,1,10:07.0,,M. Gasol misses 3-pt jump shot from 25 ft,3,3
11,1,10:02.0,Defensive rebound by P. Tucker,,3,3
12,1,9:53.0,C. Capela misses 2-pt layup from 2 ft,,3,3
13,1,9:52.0,Offensive rebound by Team,,3,3
14,1,9:50.0,B. McLemore makes 3-pt jump shot from 27 ft (assist by R. Westbrook),,6,3
15,1,9:38.0,,Turnover by P. Siakam (bad pass; steal by B. McLemore),6,3
16,1,9:36.0,Turnover by B. McLemore (bad pass; steal by P. Siakam),,6,3
17,1,9:32.0,,F. VanVleet misses 3-pt jump shot from 26 ft,6,3
18,1,9:28.0,Defensive rebound by P. Tucker,,6,3
19,1,9:19.0,Turnover by C. Capela (lost ball; steal by M. Gasol),,6,3
20,1,9:16.0,Violation by Team (kicked ball),,6,3
21,1,9:14.0,,P. Siakam misses 3-pt jump shot from 25 ft,6,3
22,1,9:10.0,Defensive rebound by C. Capela,,6,3
23,1,9:01.0,B. McLemore makes 3-pt jump shot from 25 ft (assist by J. Harden),,9,3
24,1,8:36.0,,O. Anunoby makes 3-pt jump shot from 23 ft (assist by P. Siakam),9,6
25,1,8:24.0,C. Capela misses 2-pt layup from 2 ft (block by M. Gasol),,9,6
26,1,8:21.0,Offensive rebound by C. Capela,,9,6
27,1,8:20.0,B. McLemore misses 3-pt jump shot from 24 ft,,9,6
28,1,8:18.0,,Defensive rebound by K. Lowry,9,6
29,1,8:13.0,,O. Anunoby makes 2-pt layup from 1 ft (assist by F. VanVleet),9,8
30,1,8:03.0,R. Westbrook misses 2-pt jump shot from 19 ft (block by F. VanVleet),,9,8
31,1,8:01.0,Offensive rebound by C. Capela,,9,8
32,1,7:50.0,Turnover by R. Westbrook (bad pass; steal by K. Lowry),,9,8
33,1,7:50.0,,Personal foul by P. Tucker (drawn by K. Lowry),9,8
34,1,7:34.0,,Personal foul by C. Capela (drawn by K. Lowry),9,8
35,1,7:24.0,,Turnover by M. Gasol (traveling),9,8
36,1,7:14.0,Shooting foul by M. Gasol (drawn by R. Westbrook),,9,8
37,1,7:14.0,R. Westbrook misses free throw 1 of 2,,9,8
38,1,7:14.0,Offensive rebound by Team,,9,8
39,1,7:14.0,R. Westbrook makes free throw 2 of 2,,10,8
40,1,6:54.0,,Turnover by M. Gasol (lost ball; steal by J. Harden),10,8
