,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PORTLAND_ACTION,SACRAMENTO_SCORE,PORTLAND_SCORE
0,1,11:47.0,N. Bjelica makes 3-pt jump shot from 25 ft (assist by H. Barnes),,3,0
1,1,11:31.0,,H. Whiteside makes 2-pt hook shot from 6 ft (assist by D. Lillard),3,2
2,1,11:15.0,H. Barnes misses 2-pt jump shot from 7 ft,,3,2
3,1,11:15.0,Offensive rebound by R. Holmes,,3,2
4,1,11:15.0,Shooting foul by H. Whiteside (drawn by R. Holmes),,3,2
5,1,11:15.0,R. Holmes makes free throw 1 of 2,,4,2
6,1,11:15.0,R. Holmes misses free throw 2 of 2,,4,2
7,1,11:12.0,,Defensive rebound by H. Whiteside,4,2
8,1,11:01.0,,H. Whiteside makes 2-pt layup from 2 ft (assist by D. Lillard),4,4
9,1,10:53.0,C. Joseph misses 2-pt jump shot from 15 ft,,4,4
10,1,10:49.0,,Defensive rebound by H. Whiteside,4,4
11,1,10:41.0,,C. McCollum makes 2-pt jump shot from 21 ft,4,6
12,1,10:31.0,B. Hield makes 2-pt jump shot from 6 ft,,6,6
13,1,10:17.0,,D. Lillard makes 2-pt layup from 2 ft,6,8
14,1,9:55.0,H. Barnes misses 2-pt jump shot from 6 ft,,6,8
15,1,9:53.0,,Defensive rebound by H. Whiteside,6,8
16,1,9:43.0,,C. McCollum misses 3-pt jump shot from 25 ft,6,8
17,1,9:41.0,Defensive rebound by C. Joseph,,6,8
18,1,9:31.0,B. Hield misses 2-pt jump shot from 16 ft (block by C. McCollum),,6,8
19,1,9:28.0,,Defensive rebound by H. Whiteside,6,8
20,1,9:22.0,,C. Anthony makes 2-pt layup from 1 ft,6,10
21,1,9:06.0,C. Joseph makes 2-pt layup from 1 ft (assist by N. Bjelica),,8,10
22,1,8:47.0,,R. Hood misses 3-pt jump shot from 24 ft,8,10
23,1,8:44.0,Defensive rebound by B. Hield,,8,10
24,1,8:37.0,B. Hield misses 2-pt jump shot from 15 ft (block by C. McCollum),,8,10
25,1,8:35.0,,Defensive rebound by D. Lillard,8,10
26,1,8:26.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by D. Lillard),8,12
27,1,8:08.0,H. Barnes misses 2-pt jump shot from 8 ft (block by C. Anthony),,8,12
28,1,8:06.0,Offensive rebound by H. Barnes,,8,12
29,1,8:04.0,R. Holmes makes 2-pt layup from 1 ft (assist by H. Barnes),,10,12
30,1,7:54.0,,D. Lillard misses 2-pt jump shot from 19 ft,10,12
31,1,7:52.0,Defensive rebound by R. Holmes,,10,12
32,1,7:46.0,B. Hield misses 2-pt layup from 2 ft (block by C. McCollum),,10,12
33,1,7:46.0,,Defensive rebound by Team,10,12
34,1,7:32.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by R. Hood),10,14
35,1,7:20.0,R. Holmes makes 2-pt jump shot from 15 ft (assist by C. Joseph),,12,14
36,1,7:09.0,,Shooting foul by R. Holmes (drawn by H. Whiteside),12,14
37,1,7:09.0,,H. Whiteside misses free throw 1 of 2,12,14
38,1,7:09.0,,Offensive rebound by Team,12,14
39,1,7:09.0,,H. Whiteside makes free throw 2 of 2,12,15
40,1,6:56.0,Turnover by C. Joseph (bad pass; steal by C. McCollum),,12,15
41,1,6:54.0,,C. Anthony makes 2-pt dunk from 1 ft (assist by D. Lillard),12,17
42,1,6:41.0,N. Bjelica makes 2-pt layup from 2 ft (assist by C. Joseph),,14,17
43,1,6:30.0,,C. Anthony makes 2-pt jump shot from 21 ft,14,19
44,1,6:19.0,B. Hield misses 2-pt jump shot from 16 ft,,14,19
45,1,6:17.0,,Defensive rebound by H. Whiteside,14,19
46,1,6:07.0,,C. Anthony misses 2-pt jump shot from 14 ft,14,19
47,1,6:04.0,Defensive rebound by B. Hield,,14,19
48,1,5:55.0,C. Joseph misses 2-pt layup from 1 ft,,14,19
49,1,5:55.0,Offensive rebound by R. Holmes,,14,19
50,1,5:54.0,R. Holmes makes 2-pt layup at rim,,16,19
51,1,5:54.0,Shooting foul by R. Hood (drawn by R. Holmes),,16,19
52,1,5:54.0,,Portland full timeout,16,19
53,1,5:54.0,T. Ariza enters the game for H. Barnes,,16,19
54,1,5:54.0,,N. Little enters the game for C. Anthony,16,19
55,1,5:54.0,R. Holmes misses free throw 1 of 1,,16,19
56,1,5:52.0,,Defensive rebound by H. Whiteside,16,19
57,1,5:36.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by R. Hood),16,22
58,1,5:18.0,B. Hield misses 3-pt jump shot from 25 ft,,16,22
59,1,5:15.0,,Defensive rebound by H. Whiteside,16,22
60,1,5:11.0,,N. Little makes 2-pt layup from 3 ft (assist by D. Lillard),16,24
61,1,5:01.0,R. Holmes makes 2-pt dunk from 2 ft (assist by B. Hield),,18,24
62,1,4:39.0,,C. McCollum makes 2-pt jump shot from 13 ft,18,26
63,1,4:19.0,B. Hield misses 2-pt jump shot from 18 ft,,18,26
64,1,4:18.0,Offensive rebound by Team,,18,26
65,1,4:18.0,,A. Simons enters the game for C. McCollum,18,26
66,1,4:05.0,C. Joseph makes 3-pt jump shot from 25 ft,,21,26
67,1,3:50.0,,D. Lillard misses 2-pt jump shot from 22 ft,21,26
68,1,3:47.0,Defensive rebound by T. Ariza,,21,26
69,1,3:42.0,T. Ariza misses 2-pt layup from 2 ft,,21,26
70,1,3:39.0,,Defensive rebound by R. Hood,21,26
71,1,3:17.0,,D. Lillard misses 2-pt layup from 1 ft,21,26
72,1,3:16.0,Defensive rebound by N. Bjelica,,21,26
73,1,3:11.0,B. Hield makes 3-pt jump shot from 26 ft (assist by C. Joseph),,24,26
74,1,2:50.0,,A. Simons misses 2-pt jump shot from 16 ft,24,26
75,1,2:49.0,Defensive rebound by N. Bjelica,,24,26
76,1,2:38.0,B. Hield makes 2-pt jump shot from 18 ft,,26,26
77,1,2:17.0,,Turnover by D. Lillard (bad pass; steal by B. Hield),26,26
78,1,2:15.0,B. Hield makes 2-pt layup from 2 ft,,28,26
79,1,2:15.0,Shooting foul by A. Simons (drawn by B. Hield),,28,26
80,1,2:15.0,Sacramento full timeout,,28,26
81,1,2:15.0,D. Dedmon enters the game for R. Holmes,,28,26
82,1,2:15.0,,S. Labissière enters the game for H. Whiteside,28,26
83,1,2:15.0,B. Hield misses free throw 1 of 1,,28,26
84,1,2:12.0,,Defensive rebound by N. Little,28,26
85,1,2:01.0,,Personal foul by T. Ariza (drawn by R. Hood),28,26
86,1,2:01.0,H. Barnes enters the game for N. Bjelica,,28,26
87,1,2:01.0,,C. Anthony enters the game for R. Hood,28,26
88,1,2:01.0,,K. Bazemore enters the game for N. Little,28,26
89,1,1:46.0,,C. Anthony makes 2-pt jump shot from 10 ft (assist by A. Simons),28,28
90,1,1:46.0,Y. Ferrell enters the game for C. Joseph,,28,28
91,1,1:46.0,,C. McCollum enters the game for D. Lillard,28,28
92,1,1:25.0,B. Hield makes 2-pt layup from 2 ft,,30,28
93,1,1:08.0,,K. Bazemore misses 2-pt jump shot from 13 ft,30,28
94,1,1:07.0,Defensive rebound by T. Ariza,,30,28
95,1,0:56.0,B. Hield makes 3-pt jump shot from 26 ft,,33,28
96,1,0:41.0,,A. Simons misses 2-pt layup from 3 ft (block by D. Dedmon),33,28
97,1,0:38.0,Defensive rebound by B. Hield,,33,28
98,1,0:34.0,B. Hield misses 3-pt jump shot from 24 ft,,33,28
99,1,0:32.0,,Defensive rebound by K. Bazemore,33,28
100,1,0:26.0,,A. Simons makes 2-pt jump shot from 7 ft (assist by K. Bazemore),33,30
101,1,0:07.0,D. Dedmon makes 2-pt jump shot from 16 ft (assist by Y. Ferrell),,35,30
102,1,0:00.0,,A. Simons misses 3-pt jump shot from 25 ft (block by T. Ariza),35,30
103,1,0:00.0,,Offensive rebound by C. McCollum,35,30
104,2,11:43.0,,C. Anthony misses 2-pt dunk from 2 ft (block by D. Dedmon),35,30
105,2,11:40.0,Defensive rebound by J. James,,35,30
106,2,11:40.0,Personal foul by S. Labissière (drawn by D. Dedmon),,35,30
107,2,11:32.0,Def 3 sec tech foul by Team,,35,30
108,2,11:32.0,Y. Ferrell makes technical free throw,,36,30
109,2,11:24.0,H. Barnes misses 3-pt jump shot from 25 ft,,36,30
110,2,11:20.0,,Defensive rebound by A. Simons,36,30
111,2,11:12.0,,C. McCollum misses 3-pt jump shot from 26 ft,36,30
112,2,11:10.0,Defensive rebound by D. Dedmon,,36,30
113,2,11:02.0,Personal foul by A. Simons (drawn by D. Dedmon),,36,30
114,2,10:56.0,J. James misses 2-pt jump shot from 3 ft (block by C. McCollum),,36,30
115,2,10:52.0,,Defensive rebound by C. McCollum,36,30
116,2,10:44.0,,Turnover by A. Simons (step out of bounds),36,30
117,2,10:31.0,Y. Ferrell makes 2-pt jump shot from 15 ft,,38,30
118,2,10:14.0,,K. Bazemore makes 3-pt jump shot from 22 ft (assist by C. McCollum),38,33
119,2,9:56.0,Y. Ferrell makes 2-pt jump shot from 17 ft,,40,33
120,2,9:41.0,,C. McCollum makes 2-pt jump shot from 18 ft (assist by A. Simons),40,35
121,2,9:23.0,Y. Ferrell makes 3-pt jump shot from 26 ft,,43,35
122,2,9:06.0,,C. McCollum makes 2-pt layup from 1 ft,43,37
123,2,8:54.0,D. Dedmon misses 3-pt jump shot from 26 ft,,43,37
