,QUARTER,TIME_REMAINING,UTAH_ACTION,GOLDEN STATE_ACTION,UTAH_SCORE,GOLDEN STATE_SCORE
0,1,11:41.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,0,0
1,1,11:39.0,Offensive rebound by R. Gobert,,0,0
2,1,11:36.0,Shooting foul by W. Cauley-Stein (drawn by R. Gobert),,0,0
3,1,11:36.0,R. Gobert misses free throw 1 of 2,,0,0
4,1,11:36.0,Offensive rebound by Team,,0,0
5,1,11:36.0,R. Gobert misses free throw 2 of 2,,0,0
6,1,11:34.0,,Defensive rebound by D. Green,0,0
7,1,11:22.0,,D. Lee makes 2-pt jump shot from 17 ft,0,2
8,1,11:02.0,J. Ingles makes 3-pt jump shot from 26 ft,,3,2
9,1,10:49.0,,D. Green makes 2-pt jump shot from 13 ft (assist by D. Lee),3,4
10,1,10:26.0,B. Bogdanović misses 2-pt jump shot from 10 ft,,3,4
11,1,10:24.0,Offensive rebound by R. Gobert,,3,4
12,1,10:24.0,Shooting foul by W. Cauley-Stein (drawn by R. Gobert),,3,4
13,1,10:24.0,R. Gobert makes free throw 1 of 2,,4,4
14,1,10:24.0,R. Gobert misses free throw 2 of 2,,4,4
15,1,10:22.0,,Defensive rebound by D. Green,4,4
16,1,10:08.0,,D. Russell misses 2-pt jump shot from 13 ft (block by R. Gobert),4,4
17,1,10:06.0,Defensive rebound by R. Gobert,,4,4
18,1,9:59.0,J. Ingles misses 3-pt jump shot from 27 ft,,4,4
19,1,9:57.0,,Defensive rebound by D. Green,4,4
20,1,9:53.0,,D. Lee makes 2-pt jump shot from 13 ft (assist by D. Green),4,6
21,1,9:33.0,D. Mitchell makes 3-pt jump shot from 28 ft (assist by J. Ingles),,7,6
22,1,9:14.0,,G. Robinson makes 2-pt jump shot from 13 ft,7,8
23,1,8:51.0,R. O'Neale makes 2-pt layup from 3 ft (assist by J. Ingles),,9,8
24,1,8:41.0,,W. Cauley-Stein misses 2-pt hook shot from 9 ft,9,8
25,1,8:40.0,,Offensive rebound by G. Robinson,9,8
26,1,8:37.0,,G. Robinson misses 3-pt jump shot from 23 ft,9,8
27,1,8:35.0,Defensive rebound by J. Ingles,,9,8
28,1,8:29.0,Turnover by J. Ingles (bad pass),,9,8
29,1,8:29.0,,M. Chriss enters the game for W. Cauley-Stein,9,8
30,1,8:14.0,,D. Russell misses 3-pt jump shot from 24 ft,9,8
31,1,8:12.0,Defensive rebound by R. O'Neale,,9,8
32,1,8:02.0,R. Gobert makes 2-pt dunk from 3 ft (assist by D. Mitchell),,11,8
33,1,7:49.0,,D. Lee misses 2-pt jump shot from 13 ft,11,8
34,1,7:47.0,,Offensive rebound by G. Robinson,11,8
35,1,7:39.0,,D. Russell makes 2-pt jump shot from 11 ft (assist by M. Chriss),11,10
36,1,7:24.0,D. Mitchell makes 2-pt jump shot from 20 ft (assist by R. O'Neale),,13,10
37,1,7:19.0,,D. Russell misses 3-pt jump shot from 26 ft,13,10
38,1,7:17.0,Defensive rebound by B. Bogdanović,,13,10
39,1,7:11.0,D. Mitchell misses 3-pt jump shot from 28 ft,,13,10
40,1,7:09.0,Offensive rebound by R. O'Neale,,13,10
41,1,6:56.0,B. Bogdanović makes 2-pt layup from 3 ft (assist by J. Ingles),,15,10
42,1,6:49.0,,Golden State full timeout,15,10
43,1,6:49.0,J. Clarkson enters the game for D. Mitchell,,15,10
44,1,6:40.0,,M. Chriss makes 2-pt dunk from 1 ft (assist by D. Lee),15,12
45,1,6:14.0,B. Bogdanović misses 2-pt jump shot from 16 ft,,15,12
46,1,6:13.0,,Defensive rebound by M. Chriss,15,12
47,1,6:00.0,,D. Russell misses 2-pt jump shot from 16 ft,15,12
48,1,5:59.0,Defensive rebound by R. Gobert,,15,12
49,1,5:40.0,R. O'Neale makes 2-pt layup from 3 ft (assist by J. Ingles),,17,12
50,1,5:19.0,,G. Robinson misses 2-pt jump shot from 15 ft,17,12
51,1,5:18.0,Defensive rebound by R. Gobert,,17,12
52,1,5:04.0,Personal foul by G. Robinson (drawn by R. Gobert),,17,12
53,1,5:04.0,G. Niang enters the game for R. O'Neale,,17,12
54,1,5:04.0,,A. Burks enters the game for G. Robinson,17,12
55,1,5:04.0,,J. Evans enters the game for D. Russell,17,12
56,1,4:57.0,R. Gobert makes 2-pt layup from 3 ft (assist by J. Ingles),,19,12
57,1,4:46.0,,J. Evans misses 2-pt jump shot from 18 ft,19,12
58,1,4:45.0,Defensive rebound by G. Niang,,19,12
59,1,4:25.0,G. Niang misses 2-pt hook shot from 12 ft,,19,12
60,1,4:24.0,,Defensive rebound by D. Lee,19,12
61,1,4:13.0,,A. Burks misses 2-pt layup from 3 ft,19,12
62,1,4:12.0,Defensive rebound by R. Gobert,,19,12
63,1,3:53.0,B. Bogdanović misses 2-pt jump shot from 8 ft,,19,12
64,1,3:52.0,,Defensive rebound by A. Burks,19,12
65,1,3:52.0,M. Conley enters the game for J. Ingles,,19,12
66,1,3:52.0,,E. Paschall enters the game for D. Green,19,12
67,1,3:38.0,,J. Evans misses 3-pt jump shot from 24 ft,19,12
68,1,3:36.0,Defensive rebound by M. Conley,,19,12
69,1,3:36.0,,J. Poole enters the game for D. Lee,19,12
70,1,3:20.0,R. Gobert makes 2-pt dunk from 2 ft (assist by B. Bogdanović),,21,12
71,1,2:55.0,,M. Chriss misses 3-pt jump shot from 27 ft,21,12
72,1,2:53.0,Defensive rebound by J. Clarkson,,21,12
73,1,2:50.0,J. Clarkson makes 3-pt jump shot from 27 ft,,24,12
74,1,2:35.0,,J. Poole misses 2-pt jump shot from 17 ft,24,12
75,1,2:34.0,Defensive rebound by B. Bogdanović,,24,12
76,1,2:25.0,Shooting foul by E. Paschall (drawn by B. Bogdanović),,24,12
77,1,2:25.0,Utah full timeout,,24,12
78,1,2:25.0,T. Bradley enters the game for R. Gobert,,24,12
79,1,2:25.0,B. Bogdanović makes free throw 1 of 2,,25,12
80,1,2:25.0,R. O'Neale enters the game for G. Niang,,25,12
81,1,2:25.0,B. Bogdanović misses free throw 2 of 2,,25,12
82,1,2:22.0,,Defensive rebound by M. Chriss,25,12
83,1,2:14.0,,Personal foul by M. Conley (drawn by M. Chriss),25,12
84,1,2:14.0,D. Mitchell enters the game for B. Bogdanović,,25,12
85,1,2:07.0,,Shooting foul by D. Mitchell (drawn by A. Burks),25,12
86,1,2:07.0,,A. Burks makes free throw 1 of 2,25,13
87,1,2:07.0,,A. Burks makes free throw 2 of 2,25,14
88,1,1:52.0,J. Clarkson makes 2-pt hook shot from 10 ft,,27,14
89,1,1:34.0,,E. Paschall misses 2-pt jump shot from 12 ft,27,14
90,1,1:32.0,Defensive rebound by R. O'Neale,,27,14
91,1,1:25.0,M. Conley makes 2-pt jump shot from 22 ft,,29,14
92,1,1:11.0,,A. Burks makes 3-pt jump shot from 28 ft (assist by E. Paschall),29,17
93,1,0:46.0,D. Mitchell makes 2-pt jump shot from 15 ft,,31,17
94,1,0:34.0,,J. Poole misses 2-pt jump shot from 18 ft,31,17
95,1,0:30.0,,Offensive rebound by M. Chriss,31,17
96,1,0:27.0,,J. Poole misses 2-pt jump shot from 13 ft,31,17
97,1,0:23.0,Defensive rebound by T. Bradley,,31,17
98,1,0:05.0,M. Conley misses 3-pt jump shot from 28 ft,,31,17
99,1,0:01.0,,Defensive rebound by A. Burks,31,17
100,2,11:46.0,,E. Paschall makes 2-pt jump shot from 8 ft,31,19
101,2,11:27.0,D. Mitchell misses 2-pt jump shot from 13 ft,,31,19
102,2,11:22.0,Offensive rebound by T. Bradley,,31,19
103,2,11:22.0,T. Bradley misses 2-pt layup from 1 ft,,31,19
104,2,11:22.0,Offensive rebound by T. Bradley,,31,19
105,2,11:22.0,T. Bradley misses 2-pt layup from 3 ft,,31,19
106,2,11:19.0,,Defensive rebound by Team,31,19
107,2,11:09.0,,Shooting foul by T. Bradley (drawn by E. Paschall),31,19
108,2,11:09.0,,E. Paschall makes free throw 1 of 2,31,20
109,2,11:09.0,,E. Paschall makes free throw 2 of 2,31,21
110,2,11:00.0,Personal foul by A. Burks (drawn by T. Bradley),,31,21
111,2,10:47.0,D. Mitchell misses 3-pt jump shot from 27 ft,,31,21
112,2,10:42.0,,Defensive rebound by A. Burks,31,21
113,2,10:33.0,,Shooting foul by T. Bradley (drawn by E. Paschall),31,21
114,2,10:33.0,,E. Paschall misses free throw 1 of 2,31,21
115,2,10:33.0,,Offensive rebound by Team,31,21
116,2,10:33.0,,E. Paschall misses free throw 2 of 2,31,21
117,2,10:31.0,Defensive rebound by T. Bradley,,31,21
118,2,10:19.0,T. Bradley makes 2-pt layup from 3 ft (assist by J. Ingles),,33,21
119,2,10:19.0,Shooting foul by O. Spellman (drawn by T. Bradley),,33,21
120,2,10:19.0,T. Bradley makes free throw 1 of 1,,34,21
121,2,10:08.0,,O. Spellman makes 2-pt jump shot from 18 ft (assist by D. Russell),34,23
122,2,9:54.0,J. Clarkson misses 3-pt jump shot from 27 ft,,34,23
123,2,9:48.0,Offensive rebound by T. Bradley,,34,23
124,2,9:38.0,D. Mitchell makes 2-pt jump shot from 10 ft,,36,23
125,2,9:23.0,,D. Russell makes 2-pt layup from 4 ft (assist by E. Paschall),36,25
126,2,9:09.0,J. Clarkson makes 2-pt jump shot from 9 ft,,38,25
127,2,8:51.0,,E. Paschall misses 2-pt layup from 5 ft,38,25
128,2,8:48.0,Defensive rebound by T. Bradley,,38,25
129,2,8:42.0,Turnover by D. Mitchell (lost ball; steal by A. Burks),,38,25
130,2,8:41.0,,Personal foul by G. Niang (drawn by A. Burks),38,25
131,2,8:41.0,,Instant Replay (Request: Ruling Stands),38,25
132,2,8:41.0,M. Conley enters the game for T. Bradley,,38,25
133,2,8:41.0,R. Gobert enters the game for D. Mitchell,,38,25
134,2,8:20.0,,A. Burks misses 2-pt layup from 3 ft (block by R. Gobert),38,25
135,2,8:18.0,Defensive rebound by J. Ingles,,38,25
136,2,8:14.0,R. Gobert misses 2-pt layup from 2 ft,,38,25
