,QUARTER,TIME_REMAINING,CHICAGO_ACTION,BROOKLYN_ACTION,CHICAGO_SCORE,BROOKLYN_SCORE
0,1,11:33.0,,S. Dinwiddie misses 3-pt jump shot from 26 ft,0,0
1,1,11:30.0,Defensive rebound by T. Satoranský,,0,0
2,1,11:18.0,L. Markkanen makes 3-pt jump shot from 23 ft (assist by D. Valentine),,3,0
3,1,11:05.0,,J. Harris makes 2-pt layup from 2 ft,3,2
4,1,10:39.0,S. Harrison misses 2-pt layup from 4 ft,,3,2
5,1,10:37.0,,Defensive rebound by D. Jordan,3,2
6,1,10:33.0,,C. LeVert misses 2-pt layup from 3 ft,3,2
7,1,10:31.0,Defensive rebound by D. Valentine,,3,2
8,1,10:27.0,S. Harrison makes 2-pt dunk from 1 ft (assist by D. Valentine),,5,2
9,1,9:59.0,,W. Chandler misses 3-pt jump shot from 24 ft,5,2
10,1,9:55.0,Defensive rebound by S. Harrison,,5,2
11,1,9:49.0,T. Satoranský misses 3-pt jump shot from 24 ft,,5,2
12,1,9:46.0,,Defensive rebound by D. Jordan,5,2
13,1,9:27.0,,W. Chandler misses 3-pt jump shot from 22 ft,5,2
14,1,9:22.0,Defensive rebound by L. Markkanen,,5,2
15,1,9:13.0,T. Satoranský misses 2-pt jump shot from 10 ft,,5,2
16,1,9:09.0,,Defensive rebound by W. Chandler,5,2
17,1,9:00.0,,C. LeVert makes 3-pt jump shot from 23 ft,5,5
18,1,8:44.0,L. Markkanen makes 3-pt jump shot from 26 ft (assist by D. Valentine),,8,5
19,1,8:28.0,,Turnover by D. Jordan (3 sec),8,5
20,1,8:15.0,Turnover by T. Satoranský (bad pass; steal by C. LeVert),,8,5
21,1,8:15.0,,Personal take foul by T. Satoranský (drawn by C. LeVert),8,5
22,1,8:15.0,C. White enters the game for S. Harrison,,8,5
23,1,8:02.0,,J. Harris makes 3-pt jump shot from 28 ft (assist by D. Jordan),8,8
24,1,7:50.0,Offensive foul by W. Carter (drawn by J. Harris),,8,8
25,1,7:50.0,Turnover by W. Carter (offensive foul),,8,8
26,1,7:36.0,,S. Dinwiddie makes 3-pt jump shot from 26 ft (assist by W. Chandler),8,11
27,1,7:18.0,T. Satoranský misses 2-pt hook shot from 5 ft,,8,11
28,1,7:16.0,,Defensive rebound by D. Jordan,8,11
29,1,7:11.0,,Turnover by C. LeVert (lost ball; steal by D. Valentine),8,11
30,1,7:11.0,Personal foul by J. Harris (drawn by D. Valentine),,8,11
31,1,7:00.0,D. Valentine makes 2-pt jump shot from 19 ft (assist by W. Carter),,10,11
32,1,6:48.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by S. Dinwiddie),10,13
33,1,6:36.0,L. Markkanen misses 2-pt jump shot from 5 ft,,10,13
34,1,6:33.0,,Defensive rebound by W. Chandler,10,13
35,1,6:23.0,,J. Harris makes 2-pt layup from 2 ft (assist by S. Dinwiddie),10,15
36,1,6:01.0,D. Valentine makes 2-pt jump shot from 6 ft,,12,15
37,1,6:01.0,,Brooklyn full timeout,12,15
38,1,6:01.0,D. Gafford enters the game for W. Carter,,12,15
39,1,6:01.0,O. Porter enters the game for L. Markkanen,,12,15
40,1,6:01.0,T. Young enters the game for D. Valentine,,12,15
41,1,6:01.0,,T. Luwawu-Cabarrot enters the game for W. Chandler,12,15
42,1,6:01.0,,T. Prince enters the game for C. LeVert,12,15
43,1,5:46.0,,Turnover by J. Harris (bad pass; steal by O. Porter),12,15
44,1,5:40.0,O. Porter makes 2-pt layup from 4 ft (assist by T. Satoranský),,14,15
45,1,5:26.0,,Turnover by J. Harris (out of bounds lost ball),14,15
46,1,5:13.0,C. White makes 2-pt jump shot from 4 ft (assist by D. Gafford),,16,15
47,1,5:02.0,,Turnover by S. Dinwiddie (bad pass; steal by O. Porter),16,15
48,1,4:51.0,O. Porter misses 2-pt jump shot from 22 ft,,16,15
49,1,4:49.0,,Defensive rebound by D. Jordan,16,15
50,1,4:39.0,,J. Harris makes 3-pt jump shot from 26 ft (assist by D. Jordan),16,18
51,1,4:23.0,T. Young misses 3-pt jump shot from 26 ft,,16,18
52,1,4:22.0,,Defensive rebound by D. Jordan,16,18
53,1,4:18.0,,Turnover by S. Dinwiddie (bad pass; steal by T. Young),16,18
54,1,4:12.0,Turnover by T. Young (bad pass; steal by T. Prince),,16,18
55,1,4:07.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by S. Dinwiddie),16,20
56,1,3:39.0,T. Young makes 2-pt jump shot from 8 ft,,18,20
57,1,3:39.0,S. Harrison enters the game for T. Satoranský,,18,20
58,1,3:39.0,,J. Allen enters the game for J. Harris,18,20
59,1,3:39.0,,C. Chiozza enters the game for D. Jordan,18,20
60,1,3:13.0,,S. Dinwiddie misses 2-pt jump shot from 6 ft,18,20
61,1,3:10.0,Defensive rebound by S. Harrison,,18,20
62,1,3:06.0,S. Harrison misses 2-pt layup from 4 ft,,18,20
63,1,3:03.0,Offensive rebound by T. Young,,18,20
64,1,3:03.0,T. Young misses 2-pt layup at rim,,18,20
65,1,3:03.0,,Defensive rebound by T. Prince,18,20
66,1,2:56.0,,Turnover by T. Prince (bad pass; steal by S. Harrison),18,20
67,1,2:49.0,Shooting foul by T. Luwawu-Cabarrot (drawn by O. Porter),,18,20
68,1,2:49.0,Chicago full timeout,,18,20
69,1,2:49.0,,C. LeVert enters the game for S. Dinwiddie,18,20
70,1,2:49.0,O. Porter misses free throw 1 of 2,,18,20
71,1,2:49.0,Offensive rebound by Team,,18,20
72,1,2:49.0,O. Porter makes free throw 2 of 2,,19,20
73,1,2:34.0,,J. Allen makes 2-pt dunk from 2 ft (assist by T. Luwawu-Cabarrot),19,22
74,1,2:20.0,C. White misses 2-pt layup from 3 ft (block by C. LeVert),,19,22
75,1,2:17.0,,Defensive rebound by J. Allen,19,22
76,1,2:15.0,,Offensive foul by T. Luwawu-Cabarrot (drawn by T. Young),19,22
77,1,2:15.0,,Turnover by T. Luwawu-Cabarrot (offensive foul),19,22
78,1,2:02.0,O. Porter makes 2-pt jump shot from 7 ft (assist by C. White),,21,22
79,1,1:45.0,,T. Prince misses 2-pt layup from 5 ft (block by D. Gafford),21,22
80,1,1:42.0,Defensive rebound by S. Harrison,,21,22
81,1,1:24.0,O. Porter misses 3-pt jump shot from 26 ft,,21,22
82,1,1:21.0,,Defensive rebound by C. Chiozza,21,22
83,1,1:14.0,,C. LeVert misses 2-pt layup from 2 ft,21,22
