,QUARTER,TIME_REMAINING,DETROIT_ACTION,BOSTON_ACTION,DETROIT_SCORE,BOSTON_SCORE
0,1,11:45.0,,K. Walker makes 3-pt jump shot from 26 ft (assist by D. Theis),0,3
1,1,11:15.0,S. Doumbouya makes 2-pt jump shot from 20 ft (assist by D. Rose),,2,3
2,1,11:00.0,,Shooting foul by A. Drummond (drawn by D. Theis),2,3
3,1,11:00.0,,D. Theis makes free throw 1 of 2,2,4
4,1,11:00.0,,D. Theis misses free throw 2 of 2,2,4
5,1,11:00.0,Defensive rebound by A. Drummond,,2,4
6,1,10:44.0,D. Rose makes 2-pt layup from 5 ft,,4,4
7,1,10:33.0,,K. Walker misses 2-pt jump shot from 18 ft,4,4
8,1,10:31.0,,Offensive rebound by D. Theis,4,4
9,1,10:26.0,,J. Brown misses 3-pt jump shot from 23 ft,4,4
10,1,10:24.0,Defensive rebound by A. Drummond,,4,4
11,1,10:17.0,T. Snell makes 3-pt jump shot from 25 ft (assist by A. Drummond),,7,4
12,1,9:58.0,,Turnover by J. Brown (bad pass; steal by A. Drummond),7,4
13,1,9:47.0,B. Brown makes 2-pt jump shot from 10 ft (assist by D. Rose),,9,4
14,1,9:38.0,,Personal foul by S. Doumbouya (drawn by K. Walker),9,4
15,1,9:28.0,Violation by Team (kicked ball),,9,4
16,1,9:23.0,,G. Hayward misses 3-pt jump shot from 27 ft,9,4
17,1,9:20.0,,Offensive rebound by D. Theis,9,4
18,1,9:09.0,,K. Walker misses 3-pt jump shot from 27 ft,9,4
19,1,9:07.0,Defensive rebound by Team,,9,4
20,1,8:52.0,D. Rose makes 2-pt jump shot from 18 ft,,11,4
21,1,8:36.0,,M. Smart misses 2-pt layup from 3 ft (block by D. Rose),11,4
22,1,8:34.0,Defensive rebound by Team,,11,4
23,1,8:34.0,Detroit full timeout,,11,4
24,1,8:34.0,Instant Replay (Challenge: Ruling Stands),,11,4
25,1,8:11.0,B. Brown misses 3-pt jump shot from 25 ft,,11,4
26,1,8:08.0,,Defensive rebound by Team,11,4
27,1,7:55.0,,G. Hayward makes 2-pt jump shot from 19 ft,11,6
28,1,7:47.0,Shooting foul by D. Theis (drawn by A. Drummond),,11,6
29,1,7:47.0,A. Drummond misses free throw 1 of 2,,11,6
30,1,7:47.0,Offensive rebound by Team,,11,6
31,1,7:47.0,A. Drummond misses free throw 2 of 2,,11,6
32,1,7:47.0,,Defensive rebound by J. Brown,11,6
33,1,7:36.0,,M. Smart misses 2-pt jump shot from 16 ft,11,6
34,1,7:33.0,Defensive rebound by A. Drummond,,11,6
35,1,7:28.0,T. Snell misses 3-pt jump shot from 25 ft,,11,6
36,1,7:26.0,,Defensive rebound by G. Hayward,11,6
37,1,7:19.0,,G. Hayward makes 2-pt jump shot from 12 ft,11,8
38,1,7:07.0,D. Rose makes 2-pt jump shot from 15 ft,,13,8
