,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA CLIPPERS_ACTION,GOLDEN STATE_SCORE,LA CLIPPERS_SCORE
0,1,11:39.0,,Turnover by K. Leonard (bad pass; steal by G. Robinson),0,0
1,1,11:34.0,G. Robinson misses 3-pt jump shot from 27 ft,,0,0
2,1,11:30.0,,Defensive rebound by L. Shamet,0,0
3,1,11:25.0,,Personal foul by O. Spellman (drawn by I. Zubac),0,0
4,1,11:15.0,,P. Beverley makes 3-pt jump shot from 27 ft (assist by L. Shamet),0,3
5,1,11:00.0,O. Spellman makes 3-pt jump shot from 27 ft (assist by D. Lee),,3,3
6,1,10:53.0,,Shooting foul by K. Bowman (drawn by P. Beverley),3,3
7,1,10:53.0,,P. Beverley makes free throw 1 of 2,3,4
8,1,10:53.0,,P. Beverley makes free throw 2 of 2,3,5
9,1,10:41.0,D. Lee misses 3-pt jump shot from 25 ft,,3,5
10,1,10:39.0,,Defensive rebound by M. Harkless,3,5
11,1,10:28.0,,L. Shamet misses 3-pt jump shot from 23 ft,3,5
12,1,10:24.0,Defensive rebound by D. Green,,3,5
13,1,10:20.0,K. Bowman misses 3-pt jump shot from 25 ft,,3,5
14,1,10:16.0,,Defensive rebound by I. Zubac,3,5
15,1,10:07.0,,M. Harkless makes 2-pt layup from 1 ft (assist by K. Leonard),3,7
16,1,9:54.0,Personal foul by L. Shamet (drawn by D. Lee),,3,7
17,1,9:48.0,D. Lee makes 2-pt dunk from 1 ft (assist by K. Bowman),,5,7
18,1,9:37.0,,I. Zubac misses 2-pt jump shot from 6 ft,5,7
19,1,9:34.0,Defensive rebound by O. Spellman,,5,7
20,1,9:27.0,Turnover by O. Spellman (lost ball; steal by M. Harkless),,5,7
21,1,9:22.0,,Turnover by P. Beverley (bad pass; steal by G. Robinson),5,7
22,1,9:17.0,Turnover by G. Robinson (bad pass; steal by K. Leonard),,5,7
23,1,9:12.0,,Offensive foul by K. Leonard (drawn by D. Lee),5,7
24,1,9:12.0,,Turnover by K. Leonard (offensive foul),5,7
25,1,8:56.0,O. Spellman misses 3-pt jump shot from 24 ft,,5,7
26,1,8:54.0,,Defensive rebound by I. Zubac,5,7
27,1,8:42.0,,K. Leonard misses 3-pt jump shot from 28 ft,5,7
28,1,8:39.0,,Offensive rebound by M. Harkless,5,7
29,1,8:37.0,,K. Leonard misses 3-pt jump shot from 27 ft,5,7
30,1,8:34.0,Defensive rebound by G. Robinson,,5,7
31,1,8:30.0,Turnover by G. Robinson (out of bounds lost ball),,5,7
32,1,8:17.0,,M. Harkless misses 3-pt jump shot from 26 ft,5,7
33,1,8:14.0,Defensive rebound by D. Lee,,5,7
34,1,8:03.0,K. Bowman misses 3-pt jump shot from 24 ft,,5,7
35,1,8:00.0,,Defensive rebound by P. Beverley,5,7
36,1,7:51.0,,I. Zubac makes 2-pt hook shot from 9 ft (assist by K. Leonard),5,9
37,1,7:31.0,D. Lee makes 2-pt layup from 1 ft (assist by G. Robinson),,7,9
38,1,7:13.0,,K. Leonard makes 2-pt jump shot from 14 ft (assist by P. Beverley),7,11
39,1,6:54.0,O. Spellman misses 2-pt layup from 1 ft,,7,11
40,1,6:51.0,,Defensive rebound by M. Harkless,7,11
41,1,6:46.0,,K. Leonard misses 3-pt jump shot from 26 ft,7,11
42,1,6:44.0,Defensive rebound by D. Lee,,7,11
43,1,6:39.0,G. Robinson makes 2-pt jump shot from 15 ft (assist by D. Lee),,9,11
44,1,6:20.0,,I. Zubac makes 2-pt jump shot from 14 ft (assist by P. Beverley),9,13
45,1,5:57.0,O. Spellman misses 3-pt jump shot from 27 ft,,9,13
46,1,5:54.0,,Defensive rebound by I. Zubac,9,13
47,1,5:40.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by P. Beverley),9,16
48,1,5:34.0,Golden State full timeout,,9,16
49,1,5:34.0,A. Burks enters the game for K. Bowman,,9,16
50,1,5:34.0,W. Cauley-Stein enters the game for O. Spellman,,9,16
51,1,5:20.0,Turnover by A. Burks (bad pass),,9,16
52,1,5:06.0,Violation by Team (kicked ball),,9,16
53,1,5:06.0,,L. Williams enters the game for L. Shamet,9,16
54,1,5:00.0,,P. Beverley misses 3-pt jump shot from 26 ft,9,16
55,1,4:57.0,,Offensive rebound by I. Zubac,9,16
56,1,4:57.0,,Personal foul by D. Green (drawn by I. Zubac),9,16
57,1,4:53.0,,K. Leonard makes 2-pt jump shot from 13 ft,9,18
58,1,4:35.0,D. Lee misses 2-pt jump shot from 18 ft,,9,18
59,1,4:31.0,,Defensive rebound by M. Harkless,9,18
60,1,4:19.0,,Turnover by I. Zubac (bad pass; steal by D. Green),9,18
61,1,4:13.0,D. Green misses 3-pt jump shot from 27 ft,,9,18
62,1,4:09.0,,Defensive rebound by I. Zubac,9,18
63,1,3:53.0,,L. Williams misses 2-pt jump shot from 20 ft,9,18
64,1,3:51.0,Defensive rebound by W. Cauley-Stein,,9,18
65,1,3:41.0,A. Burks makes 2-pt jump shot from 22 ft,,11,18
66,1,3:17.0,,K. Leonard misses 3-pt jump shot from 25 ft (block by D. Green),11,18
67,1,3:13.0,Defensive rebound by W. Cauley-Stein,,11,18
68,1,3:10.0,G. Robinson makes 2-pt jump shot from 9 ft (assist by D. Lee),,13,18
