,QUARTER,TIME_REMAINING,PORTLAND_ACTION,NEW YORK_ACTION,PORTLAND_SCORE,NEW YORK_SCORE
0,1,11:47.0,,E. Payton misses 2-pt layup from 1 ft,0,0
1,1,11:45.0,Defensive rebound by H. Whiteside,,0,0
2,1,11:35.0,D. Lillard misses 2-pt jump shot from 18 ft,,0,0
3,1,11:33.0,,Defensive rebound by J. Randle,0,0
4,1,11:25.0,,R. Barrett makes 2-pt layup from 1 ft (assist by J. Randle),0,2
5,1,11:25.0,,Shooting foul by C. McCollum (drawn by R. Barrett),0,2
6,1,11:25.0,,R. Barrett misses free throw 1 of 1,0,2
7,1,11:23.0,Defensive rebound by H. Whiteside,,0,2
8,1,11:08.0,C. McCollum misses 2-pt jump shot from 20 ft,,0,2
9,1,11:07.0,Offensive rebound by C. McCollum,,0,2
10,1,11:07.0,C. McCollum misses 2-pt layup at rim,,0,2
11,1,11:06.0,Offensive rebound by H. Whiteside,,0,2
12,1,11:06.0,H. Whiteside misses 2-pt layup at rim,,0,2
13,1,11:05.0,Offensive rebound by H. Whiteside,,0,2
14,1,11:05.0,H. Whiteside makes 2-pt layup at rim,,2,2
15,1,10:48.0,,J. Randle misses 3-pt jump shot from 25 ft,2,2
16,1,10:46.0,Defensive rebound by D. Lillard,,2,2
17,1,10:30.0,K. Bazemore misses 3-pt jump shot from 23 ft,,2,2
18,1,10:28.0,,Defensive rebound by J. Randle,2,2
19,1,10:13.0,,M. Morris misses 2-pt jump shot from 10 ft,2,2
20,1,10:12.0,,Offensive rebound by Team,2,2
21,1,9:54.0,,M. Morris misses 2-pt jump shot from 11 ft,2,2
22,1,9:53.0,Defensive rebound by D. Lillard,,2,2
23,1,9:46.0,Shooting foul by R. Barrett (drawn by C. McCollum),,2,2
24,1,9:46.0,C. McCollum makes free throw 1 of 2,,3,2
25,1,9:46.0,C. McCollum misses free throw 2 of 2,,3,2
26,1,9:44.0,Offensive rebound by H. Whiteside,,3,2
27,1,9:44.0,Shooting foul by T. Gibson (drawn by H. Whiteside),,3,2
28,1,9:44.0,H. Whiteside makes free throw 1 of 2,,4,2
29,1,9:44.0,H. Whiteside makes free throw 2 of 2,,5,2
30,1,9:29.0,,R. Barrett misses 2-pt jump shot from 18 ft,5,2
31,1,9:27.0,Defensive rebound by H. Whiteside,,5,2
32,1,9:22.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),,8,2
33,1,9:10.0,,J. Randle misses 2-pt jump shot from 21 ft,8,2
34,1,9:08.0,Defensive rebound by D. Lillard,,8,2
35,1,9:03.0,K. Bazemore misses 3-pt jump shot from 26 ft,,8,2
36,1,9:01.0,,Defensive rebound by J. Randle,8,2
37,1,8:55.0,,J. Randle makes 2-pt jump shot from 16 ft,8,4
38,1,8:35.0,C. Anthony makes 2-pt jump shot from 9 ft,,10,4
39,1,8:11.0,,T. Gibson makes 2-pt dunk from 2 ft (assist by E. Payton),10,6
40,1,8:11.0,Violation by Team (def goaltending),,10,6
41,1,7:50.0,C. Anthony misses 2-pt jump shot from 13 ft,,10,6
42,1,7:48.0,,Defensive rebound by M. Morris,10,6
43,1,7:38.0,,Turnover by J. Randle (bad pass),10,6
44,1,7:18.0,Shooting foul by J. Randle (drawn by H. Whiteside),,10,6
