,QUARTER,TIME_REMAINING,ATLANTA_ACTION,OKLAHOMA CITY_ACTION,ATLANTA_SCORE,OKLAHOMA CITY_SCORE
0,1,12:00.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 23 ft,0,0
1,1,11:40.0,Defensive rebound by B. Fernando,,0,0
2,1,11:33.0,T. Young misses 2-pt layup from 2 ft,,0,0
3,1,11:30.0,,Defensive rebound by N. Noel,0,0
4,1,11:18.0,,Shooting foul by B. Fernando (drawn by D. Gallinari),0,0
5,1,11:18.0,,D. Gallinari makes free throw 1 of 2,0,1
6,1,11:18.0,,D. Gallinari makes free throw 2 of 2,0,2
7,1,11:01.0,J. Collins makes 2-pt dunk from 2 ft (assist by T. Young),,2,2
8,1,10:35.0,,L. Dort makes 2-pt layup from 2 ft (assist by C. Paul),2,4
9,1,10:18.0,Turnover by J. Collins (lost ball; steal by C. Paul),,2,4
10,1,10:18.0,Clear path foul by C. Paul,,2,4
11,1,10:18.0,,C. Paul makes clear path free throw 1 of 2,2,5
12,1,10:18.0,,C. Paul makes clear path free throw 2 of 2,2,6
13,1,10:09.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 3 ft,2,8
14,1,9:59.0,Personal foul by L. Dort (drawn by T. Young),,2,8
15,1,9:53.0,T. Young misses 3-pt jump shot from 26 ft,,2,8
16,1,9:50.0,Offensive rebound by J. Collins,,2,8
17,1,9:39.0,J. Collins misses 3-pt jump shot from 23 ft,,2,8
18,1,9:35.0,,Defensive rebound by N. Noel,2,8
19,1,9:30.0,,N. Noel makes 2-pt dunk from 2 ft (assist by C. Paul),2,10
20,1,9:29.0,Atlanta full timeout,,2,10
21,1,9:15.0,D. Hunter makes 2-pt layup from 2 ft (assist by K. Huerter),,4,10
22,1,9:02.0,,N. Noel makes 2-pt dunk from 1 ft (assist by D. Gallinari),4,12
23,1,8:44.0,D. Hunter makes 2-pt jump shot from 8 ft,,6,12
24,1,8:37.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,6,12
25,1,8:35.0,Defensive rebound by K. Huerter,,6,12
26,1,8:21.0,K. Huerter makes 3-pt jump shot from 25 ft (assist by T. Young),,9,12
27,1,8:08.0,,S. Gilgeous-Alexander makes 2-pt dunk from 1 ft (assist by C. Paul),9,14
28,1,8:00.0,T. Young misses 3-pt jump shot from 25 ft,,9,14
29,1,7:57.0,,Defensive rebound by C. Paul,9,14
30,1,7:52.0,,L. Dort misses 2-pt layup from 3 ft,9,14
31,1,7:51.0,Defensive rebound by J. Collins,,9,14
32,1,7:45.0,J. Collins makes 2-pt layup from 1 ft (assist by T. Young),,11,14
33,1,7:23.0,,D. Gallinari makes 2-pt jump shot from 12 ft,11,16
34,1,7:02.0,D. Hunter misses 2-pt jump shot from 15 ft,,11,16
35,1,6:58.0,,Defensive rebound by D. Gallinari,11,16
36,1,6:53.0,,Shooting foul by B. Fernando (drawn by D. Gallinari),11,16
37,1,6:53.0,,D. Gallinari makes free throw 1 of 2,11,17
38,1,6:53.0,A. Len enters the game for B. Fernando,,11,17
39,1,6:53.0,,D. Gallinari makes free throw 2 of 2,11,18
