,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,GOLDEN STATE_ACTION,LA CLIPPERS_SCORE,GOLDEN STATE_SCORE
0,1,11:46.0,,Violation by Team (kicked ball),0,0
1,1,11:36.0,K. Leonard misses 2-pt jump shot from 12 ft,,0,0
2,1,11:35.0,,Defensive rebound by M. Chriss,0,0
3,1,11:17.0,,J. Toscano-Anderson misses 2-pt layup from 4 ft,0,0
4,1,11:16.0,,Offensive rebound by M. Chriss,0,0
5,1,11:16.0,,M. Chriss makes 2-pt layup from 1 ft,0,2
6,1,11:10.0,Personal take foul by M. Mulder (drawn by P. Beverley),,0,2
7,1,11:10.0,,Golden State full timeout,0,2
8,1,11:10.0,,E. Paschall enters the game for J. Toscano-Anderson,0,2
9,1,10:58.0,P. George makes 2-pt jump shot from 8 ft,,2,2
10,1,10:44.0,,Shooting foul by P. George (drawn by A. Wiggins),2,2
11,1,10:44.0,,A. Wiggins misses free throw 1 of 2,2,2
12,1,10:44.0,,Offensive rebound by Team,2,2
13,1,10:44.0,,A. Wiggins misses free throw 2 of 2,2,2
14,1,10:42.0,Defensive rebound by I. Zubac,,2,2
15,1,10:23.0,M. Morris makes 2-pt jump shot from 18 ft (assist by P. George),,4,2
16,1,10:07.0,,E. Paschall misses 2-pt jump shot from 16 ft,4,2
17,1,10:06.0,Defensive rebound by K. Leonard,,4,2
18,1,9:52.0,P. George makes 3-pt jump shot from 23 ft (assist by M. Morris),,7,2
19,1,9:34.0,,A. Wiggins makes 2-pt jump shot from 10 ft,7,4
20,1,9:23.0,P. Beverley makes 3-pt jump shot from 29 ft (assist by K. Leonard),,10,4
21,1,9:02.0,,M. Chriss misses 2-pt dunk from 2 ft,10,4
22,1,9:01.0,Defensive rebound by I. Zubac,,10,4
23,1,8:49.0,P. George makes 2-pt jump shot from 21 ft,,12,4
24,1,8:31.0,,M. Mulder misses 3-pt jump shot from 29 ft,12,4
25,1,8:29.0,Defensive rebound by I. Zubac,,12,4
26,1,8:19.0,P. Beverley misses 2-pt layup from 6 ft,,12,4
27,1,8:18.0,,Defensive rebound by M. Chriss,12,4
28,1,8:07.0,,D. Lee misses 3-pt jump shot from 24 ft,12,4
29,1,8:05.0,Defensive rebound by M. Morris,,12,4
30,1,7:58.0,P. George misses 2-pt layup from 5 ft,,12,4
31,1,7:57.0,Offensive rebound by I. Zubac,,12,4
32,1,7:56.0,I. Zubac misses 2-pt hook shot from 6 ft,,12,4
33,1,7:55.0,Offensive rebound by I. Zubac,,12,4
34,1,7:51.0,Personal foul by E. Paschall (drawn by I. Zubac),,12,4
35,1,7:51.0,,D. Bender enters the game for M. Chriss,12,4
36,1,7:48.0,Shooting foul by D. Bender (drawn by K. Leonard),,12,4
37,1,7:48.0,K. Leonard makes free throw 1 of 2,,13,4
38,1,7:48.0,K. Leonard makes free throw 2 of 2,,14,4
39,1,7:34.0,,D. Bender makes 3-pt jump shot from 25 ft (assist by E. Paschall),14,7
40,1,7:14.0,P. Beverley misses 2-pt jump shot from 8 ft,,14,7
41,1,7:13.0,,Defensive rebound by D. Bender,14,7
42,1,6:58.0,,E. Paschall makes 3-pt jump shot from 24 ft (assist by D. Bender),14,10
43,1,6:46.0,K. Leonard misses 3-pt jump shot from 26 ft,,14,10
44,1,6:44.0,Offensive rebound by M. Morris,,14,10
45,1,6:33.0,Turnover by I. Zubac (3 sec),,14,10
46,1,6:20.0,,E. Paschall makes 2-pt layup from 3 ft,14,12
47,1,6:12.0,Shooting foul by D. Bender (drawn by P. George),,14,12
48,1,6:12.0,P. George makes free throw 1 of 2,,15,12
49,1,6:12.0,P. George makes free throw 2 of 2,,16,12
50,1,5:57.0,,Turnover by A. Wiggins (lost ball; steal by K. Leonard),16,12
51,1,5:53.0,K. Leonard makes 2-pt dunk from 1 ft (assist by P. George),,18,12
52,1,5:40.0,,Personal foul by K. Leonard (drawn by A. Wiggins),18,12
53,1,5:34.0,,M. Mulder misses 2-pt layup from 3 ft,18,12
54,1,5:33.0,Defensive rebound by I. Zubac,,18,12
55,1,5:30.0,P. George makes 3-pt jump shot from 27 ft (assist by P. Beverley),,21,12
56,1,5:13.0,,D. Bender misses 3-pt jump shot from 27 ft,21,12
57,1,5:11.0,Defensive rebound by K. Leonard,,21,12
58,1,5:04.0,M. Morris misses 3-pt jump shot from 24 ft,,21,12
59,1,5:02.0,,Defensive rebound by E. Paschall,21,12
60,1,4:53.0,,D. Bender makes 2-pt layup from 3 ft (assist by E. Paschall),21,14
61,1,4:48.0,LA Clippers full timeout,,21,14
62,1,4:48.0,M. Harrell enters the game for P. George,,21,14
63,1,4:48.0,L. Shamet enters the game for I. Zubac,,21,14
64,1,4:48.0,,M. Chriss enters the game for D. Bender,21,14
65,1,4:48.0,,J. Poole enters the game for A. Wiggins,21,14
66,1,4:37.0,Turnover by P. Beverley (bad pass; steal by D. Lee),,21,14
67,1,4:19.0,,E. Paschall misses 3-pt jump shot from 28 ft,21,14
68,1,4:17.0,Defensive rebound by P. Beverley,,21,14
69,1,4:09.0,K. Leonard makes 3-pt jump shot from 27 ft,,24,14
70,1,3:53.0,,Turnover by D. Lee (traveling),24,14
71,1,3:53.0,J. Green enters the game for P. Beverley,,24,14
72,1,3:53.0,R. Jackson enters the game for M. Morris,,24,14
73,1,3:53.0,,K. Bowman enters the game for M. Mulder,24,14
74,1,3:35.0,Shooting foul by D. Lee (drawn by L. Shamet),,24,14
75,1,3:35.0,L. Shamet makes free throw 1 of 3,,25,14
76,1,3:35.0,L. Shamet makes free throw 2 of 3,,26,14
77,1,3:35.0,L. Shamet makes free throw 3 of 3,,27,14
78,1,3:13.0,,M. Chriss makes 2-pt jump shot from 11 ft,27,16
79,1,3:09.0,Turnover by R. Jackson (out of bounds lost ball),,27,16
80,1,3:09.0,R. McGruder enters the game for K. Leonard,,27,16
81,1,3:09.0,,A. Wiggins enters the game for D. Lee,27,16
82,1,3:03.0,,K. Bowman makes 2-pt jump shot from 8 ft (assist by M. Chriss),27,18
83,1,2:35.0,R. Jackson makes 2-pt hook shot from 6 ft (assist by M. Harrell),,29,18
84,1,2:25.0,,K. Bowman makes 2-pt jump shot from 13 ft,29,20
85,1,2:10.0,M. Harrell misses 2-pt layup from 6 ft,,29,20
86,1,2:09.0,Offensive rebound by M. Harrell,,29,20
87,1,2:09.0,M. Harrell makes 2-pt layup at rim,,31,20
88,1,1:56.0,,E. Paschall makes 2-pt dunk from 2 ft (assist by M. Chriss),31,22
89,1,1:46.0,R. Jackson misses 3-pt jump shot from 28 ft,,31,22
90,1,1:44.0,,Defensive rebound by A. Wiggins,31,22
91,1,1:31.0,,E. Paschall misses 2-pt jump shot from 16 ft,31,22
92,1,1:30.0,Defensive rebound by J. Green,,31,22
93,1,1:22.0,L. Shamet misses 3-pt jump shot from 27 ft,,31,22
94,1,1:20.0,,Defensive rebound by M. Chriss,31,22
95,1,1:06.0,,A. Wiggins misses 3-pt jump shot from 23 ft,31,22
96,1,1:04.0,Defensive rebound by M. Harrell,,31,22
97,1,0:58.0,R. Jackson makes 2-pt layup from 2 ft,,33,22
98,1,0:42.0,,Shooting foul by J. Green (drawn by M. Chriss),33,22
99,1,0:42.0,,M. Chriss makes free throw 1 of 2,33,23
100,1,0:42.0,,M. Chriss makes free throw 2 of 2,33,24
101,1,0:21.0,L. Shamet misses 3-pt jump shot from 22 ft,,33,24
102,1,0:19.0,,Defensive rebound by A. Wiggins,33,24
103,1,0:08.0,,Personal foul by L. Shamet (drawn by M. Chriss),33,24
104,1,0:08.0,,M. Chriss makes free throw 1 of 2,33,25
105,1,0:08.0,,M. Chriss makes free throw 2 of 2,33,26
106,1,0:01.0,M. Harrell makes 2-pt jump shot from 23 ft,,35,26
107,1,0:01.0,Instant Replay (Request: Ruling Stands),,35,26
108,2,11:36.0,,Turnover by Team (shot clock),35,26
109,2,11:16.0,L. Shamet makes 3-pt jump shot from 25 ft (assist by R. Jackson),,38,26
110,2,10:50.0,,A. Wiggins makes 2-pt jump shot from 14 ft,38,28
111,2,10:41.0,L. Shamet misses 3-pt jump shot from 25 ft,,38,28
112,2,10:39.0,,Defensive rebound by K. Bowman,38,28
113,2,10:35.0,,Offensive foul by M. Chriss (drawn by R. Jackson),38,28
114,2,10:35.0,,Turnover by M. Chriss (offensive foul),38,28
115,2,10:35.0,,D. Bender enters the game for E. Paschall,38,28
116,2,10:25.0,M. Harrell misses 2-pt layup from 2 ft,,38,28
117,2,10:24.0,,Defensive rebound by K. Bowman,38,28
118,2,10:05.0,,D. Bender makes 2-pt layup from 3 ft (assist by A. Wiggins),38,30
119,2,9:49.0,L. Shamet makes 2-pt layup from 2 ft (assist by M. Harrell),,40,30
120,2,9:33.0,,Turnover by D. Bender (bad pass; steal by R. McGruder),40,30
121,2,9:27.0,J. Green makes 3-pt jump shot from 22 ft (assist by L. Shamet),,43,30
122,2,9:24.0,,Golden State full timeout,43,30
123,2,9:24.0,P. George enters the game for R. McGruder,,43,30
124,2,9:24.0,,D. Lee enters the game for M. Chriss,43,30
125,2,9:03.0,,A. Wiggins misses 2-pt layup from 6 ft,43,30
126,2,9:02.0,,Offensive rebound by D. Bender,43,30
127,2,9:02.0,,D. Bender misses 2-pt layup from 4 ft,43,30
128,2,9:01.0,Defensive rebound by M. Harrell,,43,30
129,2,8:52.0,M. Harrell makes 2-pt dunk from 2 ft,,45,30
130,2,8:35.0,,A. Wiggins makes 3-pt jump shot from 29 ft (assist by J. Poole),45,33
131,2,8:09.0,M. Harrell makes 2-pt layup from 2 ft (assist by L. Shamet),,47,33
132,2,7:53.0,,K. Bowman makes 3-pt jump shot from 26 ft (assist by A. Wiggins),47,36
133,2,7:40.0,R. Jackson makes 2-pt layup from 1 ft,,49,36
134,2,7:40.0,Shooting foul by K. Bowman (drawn by R. Jackson),,49,36
135,2,7:40.0,K. Leonard enters the game for L. Shamet,,49,36
136,2,7:40.0,,M. Chriss enters the game for D. Bender,49,36
137,2,7:40.0,,C. Randle enters the game for J. Poole,49,36
138,2,7:40.0,R. Jackson makes free throw 1 of 1,,50,36
139,2,7:28.0,,A. Wiggins makes 3-pt jump shot from 24 ft (assist by C. Randle),50,39
140,2,7:04.0,J. Green misses 3-pt jump shot from 23 ft,,50,39
141,2,7:02.0,,Defensive rebound by D. Lee,50,39
142,2,6:52.0,,Turnover by K. Bowman (out of bounds lost ball),50,39
143,2,6:52.0,P. Beverley enters the game for R. Jackson,,50,39
144,2,6:52.0,,E. Paschall enters the game for K. Bowman,50,39
145,2,6:41.0,K. Leonard makes 2-pt dunk from 1 ft,,52,39
146,2,6:26.0,,A. Wiggins misses 3-pt jump shot from 26 ft,52,39
147,2,6:24.0,Defensive rebound by J. Green,,52,39
148,2,6:14.0,Personal foul by C. Randle (drawn by K. Leonard),,52,39
149,2,6:14.0,M. Morris enters the game for J. Green,,52,39
150,2,6:14.0,,M. Mulder enters the game for A. Wiggins,52,39
151,2,6:07.0,K. Leonard makes 2-pt jump shot from 16 ft,,54,39
152,2,5:55.0,,Personal foul by M. Morris (drawn by E. Paschall),54,39
153,2,5:55.0,I. Zubac enters the game for M. Harrell,,54,39
154,2,5:55.0,,D. Bender enters the game for M. Chriss,54,39
155,2,5:49.0,,D. Lee misses 3-pt jump shot from 27 ft,54,39
156,2,5:47.0,Defensive rebound by M. Morris,,54,39
157,2,5:30.0,P. George misses 2-pt jump shot from 6 ft,,54,39
158,2,5:29.0,Offensive rebound by I. Zubac,,54,39
159,2,5:29.0,I. Zubac makes 2-pt layup at rim,,56,39
160,2,5:17.0,,E. Paschall misses 2-pt jump shot from 11 ft,56,39
161,2,5:16.0,Defensive rebound by K. Leonard,,56,39
162,2,5:05.0,K. Leonard makes 2-pt jump shot from 12 ft,,58,39
163,2,4:58.0,,Golden State full timeout,58,39
164,2,4:58.0,,J. Poole enters the game for C. Randle,58,39
165,2,4:46.0,,J. Poole makes 2-pt jump shot from 16 ft (assist by D. Bender),58,41
166,2,4:28.0,P. George misses 3-pt jump shot from 23 ft,,58,41
167,2,4:26.0,Offensive rebound by M. Morris,,58,41
168,2,4:17.0,P. George makes 3-pt jump shot from 24 ft,,61,41
169,2,4:00.0,,J. Poole misses 3-pt jump shot from 26 ft,61,41
170,2,3:58.0,Defensive rebound by I. Zubac,,61,41
171,2,3:49.0,Personal foul by M. Mulder (drawn by M. Morris),,61,41
172,2,3:41.0,M. Morris makes 3-pt jump shot from 31 ft (assist by K. Leonard),,64,41
173,2,3:28.0,,D. Bender misses 3-pt jump shot from 26 ft,64,41
174,2,3:26.0,Defensive rebound by P. Beverley,,64,41
175,2,3:19.0,P. Beverley misses 2-pt jump shot from 12 ft,,64,41
176,2,3:18.0,Offensive rebound by Team,,64,41
177,2,3:18.0,,M. Chriss enters the game for M. Mulder,64,41
178,2,3:18.0,,A. Wiggins enters the game for J. Poole,64,41
179,2,3:12.0,P. George misses 2-pt jump shot from 4 ft,,64,41
180,2,3:11.0,,Defensive rebound by D. Bender,64,41
181,2,3:04.0,,D. Lee makes 3-pt jump shot from 27 ft,64,44
182,2,2:48.0,M. Morris makes 3-pt jump shot from 24 ft (assist by P. Beverley),,67,44
183,2,2:48.0,Shooting foul by D. Bender (drawn by M. Morris),,67,44
184,2,2:48.0,,K. Bowman enters the game for D. Bender,67,44
185,2,2:48.0,M. Morris makes free throw 1 of 1,,68,44
186,2,2:34.0,,A. Wiggins misses 2-pt layup from 6 ft (block by I. Zubac),68,44
187,2,2:33.0,Defensive rebound by Team,,68,44
188,2,2:17.0,P. Beverley makes 3-pt jump shot from 23 ft (assist by M. Morris),,71,44
189,2,2:02.0,,D. Lee misses 2-pt jump shot from 13 ft,71,44
190,2,2:00.0,Defensive rebound by I. Zubac,,71,44
191,2,1:44.0,P. George misses 2-pt layup from 6 ft,,71,44
192,2,1:43.0,,Defensive rebound by M. Chriss,71,44
193,2,1:40.0,,Personal take foul by K. Leonard (drawn by E. Paschall),71,44
194,2,1:40.0,L. Shamet enters the game for P. George,,71,44
195,2,1:35.0,,Personal foul by L. Shamet (drawn by D. Lee),71,44
196,2,1:35.0,,D. Lee makes free throw 1 of 2,71,45
197,2,1:35.0,,D. Lee makes free throw 2 of 2,71,46
198,2,1:21.0,K. Leonard makes 2-pt jump shot from 12 ft,,73,46
199,2,1:04.0,,E. Paschall misses 2-pt jump shot from 22 ft,73,46
200,2,1:02.0,Defensive rebound by K. Leonard,,73,46
201,2,0:55.0,P. Beverley misses 3-pt jump shot from 27 ft,,73,46
202,2,0:53.0,,Defensive rebound by E. Paschall,73,46
