,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,SAN ANTONIO_ACTION,GOLDEN STATE_SCORE,SAN ANTONIO_SCORE
0,1,11:37.0,,D. DeRozan makes 2-pt jump shot from 1 ft,0,2
1,1,11:21.0,G. Robinson misses 2-pt jump shot from 19 ft,,0,2
2,1,11:17.0,,Defensive rebound by D. Murray,0,2
3,1,10:58.0,,D. DeRozan misses 2-pt jump shot from 5 ft,0,2
4,1,10:58.0,Defensive rebound by D. Lee,,0,2
5,1,10:51.0,G. Robinson makes 2-pt layup from 2 ft (assist by D. Lee),,2,2
6,1,10:33.0,,T. Lyles misses 2-pt layup from 2 ft (block by M. Chriss),2,2
7,1,10:31.0,Defensive rebound by D. Green,,2,2
8,1,10:22.0,D. Green misses 3-pt jump shot from 26 ft,,2,2
9,1,10:18.0,,Defensive rebound by B. Forbes,2,2
10,1,10:10.0,,D. Murray misses 2-pt jump shot from 8 ft,2,2
11,1,10:08.0,Defensive rebound by D. Green,,2,2
12,1,10:01.0,A. Burks misses 2-pt layup from 3 ft (block by L. Aldridge),,2,2
13,1,9:58.0,,Defensive rebound by D. Murray,2,2
14,1,9:50.0,,L. Aldridge misses 3-pt jump shot from 26 ft,2,2
15,1,9:46.0,,Offensive rebound by Team,2,2
16,1,9:41.0,,L. Aldridge misses 2-pt jump shot from 20 ft,2,2
17,1,9:37.0,Defensive rebound by D. Lee,,2,2
18,1,9:27.0,Turnover by G. Robinson (bad pass; steal by D. DeRozan),,2,2
19,1,9:22.0,,B. Forbes misses 2-pt layup from 1 ft,2,2
20,1,9:20.0,,Offensive rebound by L. Aldridge,2,2
21,1,9:20.0,,L. Aldridge makes 2-pt layup from 1 ft,2,4
22,1,9:03.0,A. Burks makes 2-pt jump shot from 21 ft (assist by G. Robinson),,4,4
23,1,8:37.0,,T. Lyles makes 2-pt layup at rim (assist by L. Aldridge),4,6
24,1,8:19.0,D. Lee makes 2-pt jump shot from 6 ft (assist by M. Chriss),,6,6
25,1,8:05.0,,L. Aldridge makes 2-pt layup from 2 ft,6,8
26,1,7:57.0,Golden State full timeout,,6,8
27,1,7:49.0,D. Lee misses 2-pt jump shot from 8 ft,,6,8
28,1,7:49.0,,Defensive rebound by T. Lyles,6,8
29,1,7:33.0,,Turnover by B. Forbes (bad pass; steal by A. Burks),6,8
30,1,7:20.0,A. Burks makes 2-pt jump shot from 16 ft (assist by M. Chriss),,8,8
31,1,6:57.0,,D. Murray makes 2-pt jump shot from 14 ft,8,10
32,1,6:47.0,G. Robinson makes 2-pt jump shot from 13 ft (assist by D. Green),,10,10
33,1,6:22.0,,L. Aldridge misses 3-pt jump shot from 26 ft,10,10
34,1,6:19.0,Defensive rebound by D. Green,,10,10
35,1,6:11.0,D. Green misses 2-pt jump shot from 19 ft,,10,10
36,1,6:08.0,,Defensive rebound by L. Aldridge,10,10
37,1,6:00.0,,D. Murray makes 2-pt layup from 2 ft,10,12
38,1,5:40.0,Shooting foul by D. DeRozan (drawn by A. Burks),,10,12
39,1,5:40.0,A. Burks makes free throw 1 of 3,,11,12
40,1,5:40.0,A. Burks misses free throw 2 of 3,,11,12
41,1,5:40.0,Offensive rebound by Team,,11,12
