,QUARTER,TIME_REMAINING,INDIANA_ACTION,PHOENIX_ACTION,INDIANA_SCORE,PHOENIX_SCORE
0,1,11:45.0,,D. Booker misses 2-pt jump shot from 3 ft,0,0
1,1,11:41.0,Defensive rebound by D. Sabonis,,0,0
2,1,11:20.0,T. Warren misses 2-pt jump shot from 14 ft,,0,0
3,1,11:17.0,,Defensive rebound by R. Rubio,0,0
4,1,11:05.0,,Turnover by K. Oubre (bad pass; steal by J. Lamb),0,0
5,1,10:51.0,D. Sabonis misses 2-pt hook shot from 5 ft,,0,0
6,1,10:50.0,Offensive rebound by D. Sabonis,,0,0
7,1,10:49.0,D. Sabonis makes 2-pt layup from 1 ft,,2,0
8,1,10:33.0,,D. Ayton misses 2-pt jump shot from 9 ft,2,0
9,1,10:31.0,Defensive rebound by J. Lamb,,2,0
10,1,10:15.0,J. Lamb misses 2-pt jump shot from 18 ft,,2,0
11,1,10:11.0,,Defensive rebound by K. Oubre,2,0
12,1,10:00.0,,Turnover by D. Booker (lost ball; steal by T. Warren),2,0
13,1,9:54.0,M. Turner misses 3-pt jump shot from 25 ft,,2,0
14,1,9:52.0,,Defensive rebound by D. Booker,2,0
15,1,9:48.0,,Shooting foul by M. Turner (drawn by D. Booker),2,0
16,1,9:48.0,,D. Booker makes free throw 1 of 2,2,1
17,1,9:48.0,,D. Booker makes free throw 2 of 2,2,2
18,1,9:33.0,J. Lamb misses 2-pt jump shot from 8 ft,,2,2
19,1,9:30.0,,Defensive rebound by D. Šarić,2,2
20,1,9:24.0,,R. Rubio misses 3-pt jump shot from 23 ft,2,2
21,1,9:22.0,Defensive rebound by M. Turner,,2,2
22,1,9:14.0,M. Turner makes 2-pt layup from 2 ft (assist by D. Sabonis),,4,2
23,1,9:14.0,Shooting foul by R. Rubio (drawn by M. Turner),,4,2
24,1,9:14.0,M. Turner misses free throw 1 of 1,,4,2
25,1,9:12.0,,Defensive rebound by D. Ayton,4,2
26,1,8:56.0,,D. Šarić misses 2-pt jump shot from 17 ft,4,2
27,1,8:52.0,,Offensive rebound by K. Oubre,4,2
28,1,8:52.0,,K. Oubre misses 2-pt dunk from 1 ft,4,2
29,1,8:51.0,,Offensive rebound by D. Ayton,4,2
30,1,8:49.0,,D. Ayton makes 2-pt layup at rim,4,4
31,1,8:30.0,D. Sabonis makes 2-pt layup from 2 ft,,6,4
32,1,8:23.0,,D. Booker makes 2-pt dunk from 1 ft (assist by R. Rubio),6,6
33,1,8:01.0,T. Warren misses 2-pt layup from 3 ft,,6,6
34,1,7:54.0,Offensive rebound by T. Warren,,6,6
35,1,7:54.0,T. Warren makes 2-pt layup at rim,,8,6
36,1,7:51.0,,Personal foul by T. Warren (drawn by K. Oubre),8,6
37,1,7:47.0,,D. Šarić misses 2-pt layup from 2 ft (block by M. Turner),8,6
38,1,7:44.0,Defensive rebound by D. Sabonis,,8,6
39,1,7:32.0,M. Turner misses 2-pt jump shot from 17 ft,,8,6
40,1,7:28.0,,Defensive rebound by R. Rubio,8,6
41,1,7:23.0,,R. Rubio makes 2-pt jump shot from 9 ft,8,8
42,1,7:01.0,M. Brogdon misses 2-pt layup from 2 ft,,8,8
43,1,7:01.0,Offensive rebound by Team,,8,8
44,1,6:55.0,M. Turner makes 2-pt jump shot from 14 ft (assist by M. Brogdon),,10,8
45,1,6:40.0,,R. Rubio misses 3-pt jump shot from 25 ft,10,8
46,1,6:38.0,Defensive rebound by D. Sabonis,,10,8
47,1,6:28.0,M. Brogdon makes 2-pt jump shot from 21 ft,,12,8
