,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DALLAS_ACTION,LA LAKERS_SCORE,DALLAS_SCORE
0,1,11:45.0,A. Bradley misses 2-pt layup from 2 ft,,0,0
1,1,11:43.0,,Defensive rebound by L. Dončić,0,0
2,1,11:31.0,,D. Powell makes 2-pt dunk from 2 ft (assist by L. Dončić),0,2
3,1,11:13.0,L. James makes 2-pt layup from 2 ft,,2,2
4,1,11:01.0,,T. Hardaway misses 3-pt jump shot from 25 ft,2,2
5,1,10:59.0,Defensive rebound by L. James,,2,2
6,1,10:56.0,Turnover by L. James (bad pass; steal by D. Wright),,2,2
7,1,10:47.0,,L. Dončić misses 3-pt jump shot from 25 ft,2,2
8,1,10:42.0,Defensive rebound by J. McGee,,2,2
9,1,10:38.0,K. Kuzma misses 2-pt layup from 2 ft,,2,2
10,1,10:35.0,,Defensive rebound by D. Powell,2,2
11,1,10:25.0,,Turnover by L. Dončić (lost ball; steal by J. McGee),2,2
12,1,10:20.0,A. Bradley makes 3-pt jump shot from 23 ft (assist by L. James),,5,2
13,1,9:59.0,,Turnover by L. Dončić (bad pass),5,2
14,1,9:39.0,K. Kuzma makes 3-pt jump shot from 25 ft (assist by L. James),,8,2
15,1,9:32.0,,Personal foul by A. Bradley (drawn by L. Dončić),8,2
16,1,9:23.0,,D. Finney-Smith makes 3-pt jump shot from 24 ft (assist by T. Hardaway),8,5
17,1,9:07.0,L. James makes 2-pt jump shot from 5 ft,,10,5
18,1,8:48.0,,D. Finney-Smith misses 3-pt jump shot from 27 ft,10,5
19,1,8:46.0,Defensive rebound by L. James,,10,5
20,1,8:41.0,Turnover by L. James (lost ball; steal by T. Hardaway),,10,5
21,1,8:39.0,,Shooting foul by K. Kuzma (drawn by T. Hardaway),10,5
22,1,8:39.0,,T. Hardaway makes free throw 1 of 2,10,6
23,1,8:39.0,,T. Hardaway makes free throw 2 of 2,10,7
24,1,8:26.0,L. James misses 2-pt jump shot from 15 ft,,10,7
25,1,8:24.0,Offensive rebound by J. McGee,,10,7
26,1,8:23.0,J. McGee makes 2-pt layup at rim,,12,7
27,1,8:11.0,,Personal foul by D. Green (drawn by L. Dončić),12,7
28,1,8:01.0,,L. Dončić misses 2-pt jump shot from 6 ft,12,7
29,1,7:59.0,Defensive rebound by L. James,,12,7
30,1,7:46.0,L. James makes 2-pt layup from 2 ft,,14,7
31,1,7:28.0,,L. Dončić makes 2-pt layup from 1 ft,14,9
32,1,7:14.0,A. Bradley misses 2-pt jump shot from 18 ft,,14,9
33,1,7:12.0,Offensive rebound by J. McGee,,14,9
34,1,7:11.0,J. McGee makes 2-pt layup from 1 ft,,16,9
35,1,7:11.0,,Dallas full timeout,16,9
36,1,6:52.0,,Turnover by L. Dončić (lost ball; steal by A. Bradley),16,9
37,1,6:46.0,A. Bradley makes 3-pt jump shot from 23 ft (assist by L. James),,19,9
38,1,6:31.0,,Turnover by T. Hardaway (bad pass; steal by L. James),19,9
39,1,6:26.0,L. James makes 3-pt jump shot from 26 ft,,22,9
40,1,6:12.0,,L. Dončić misses 3-pt jump shot from 29 ft,22,9
41,1,6:10.0,,Offensive rebound by D. Finney-Smith,22,9
42,1,6:06.0,,T. Hardaway misses 3-pt jump shot from 26 ft,22,9
43,1,6:05.0,,Offensive rebound by L. Dončić,22,9
44,1,6:02.0,,D. Wright misses 3-pt jump shot from 25 ft,22,9
45,1,6:00.0,Defensive rebound by Team,,22,9
46,1,6:00.0,,S. Curry enters the game for L. Dončić,22,9
