,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MILWAUKEE_ACTION,ATLANTA_SCORE,MILWAUKEE_SCORE
0,1,11:44.0,,D. DiVincenzo misses 2-pt layup from 1 ft (block by D. Jones),0,0
1,1,11:44.0,,Offensive rebound by Team,0,0
2,1,11:37.0,,G. Antetokounmpo misses 2-pt jump shot from 9 ft,0,0
3,1,11:32.0,Defensive rebound by C. Reddish,,0,0
4,1,11:30.0,Shooting foul by B. Lopez (drawn by J. Parker),,0,0
5,1,11:30.0,J. Parker makes free throw 1 of 2,,1,0
6,1,11:30.0,J. Parker misses free throw 2 of 2,,1,0
7,1,11:27.0,,Defensive rebound by G. Antetokounmpo,1,0
8,1,11:12.0,,B. Lopez misses 3-pt jump shot from 26 ft,1,0
9,1,11:09.0,,Offensive rebound by G. Antetokounmpo,1,0
10,1,11:06.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),1,3
11,1,10:50.0,J. Parker makes 2-pt layup from 2 ft,,3,3
12,1,10:42.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,3,3
13,1,10:39.0,Defensive rebound by J. Parker,,3,3
14,1,10:33.0,J. Parker makes 3-pt jump shot from 23 ft,,6,3
15,1,10:10.0,,B. Lopez makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),6,6
16,1,9:53.0,J. Parker misses 2-pt layup from 1 ft (block by G. Antetokounmpo),,6,6
17,1,9:53.0,Offensive rebound by D. Jones,,6,6
18,1,9:48.0,D. Jones misses 2-pt layup from 3 ft,,6,6
19,1,9:46.0,,Defensive rebound by W. Matthews,6,6
20,1,9:43.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by W. Matthews),6,8
21,1,9:28.0,D. Hunter misses 3-pt jump shot from 27 ft,,6,8
22,1,9:25.0,Offensive rebound by D. Jones,,6,8
23,1,9:22.0,D. Jones misses 2-pt layup from 2 ft (block by G. Antetokounmpo),,6,8
24,1,9:22.0,Offensive rebound by J. Parker,,6,8
25,1,9:21.0,J. Parker makes 2-pt layup from 2 ft,,8,8
26,1,8:55.0,,B. Lopez misses 2-pt jump shot from 13 ft,8,8
27,1,8:52.0,Defensive rebound by J. Parker,,8,8
28,1,8:45.0,T. Young misses 2-pt jump shot from 8 ft,,8,8
29,1,8:45.0,Offensive rebound by Team,,8,8
30,1,8:45.0,,Loose ball foul by G. Antetokounmpo (drawn by D. Jones),8,8
31,1,8:32.0,D. Jones makes 2-pt dunk from 1 ft (assist by C. Reddish),,10,8
32,1,8:10.0,,B. Lopez makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),10,11
33,1,8:09.0,Atlanta full timeout,,10,11
34,1,8:09.0,,S. Brown enters the game for D. DiVincenzo,10,11
35,1,7:53.0,J. Parker makes 2-pt layup from 2 ft (assist by T. Young),,12,11
