,QUARTER,TIME_REMAINING,DETROIT_ACTION,BROOKLYN_ACTION,DETROIT_SCORE,BROOKLYN_SCORE
0,1,11:40.0,,J. Allen makes 2-pt dunk from 2 ft (assist by K. Irving),0,2
1,1,11:24.0,T. Snell misses 3-pt jump shot from 27 ft,,0,2
2,1,11:20.0,,Defensive rebound by T. Prince,0,2
3,1,11:11.0,,K. Irving misses 2-pt jump shot from 16 ft,0,2
4,1,11:07.0,Defensive rebound by B. Brown,,0,2
5,1,10:56.0,D. Rose misses 2-pt jump shot from 9 ft,,0,2
6,1,10:54.0,,Defensive rebound by J. Allen,0,2
7,1,10:45.0,,T. Prince makes 3-pt jump shot from 26 ft (assist by G. Temple),0,5
8,1,10:31.0,A. Drummond makes 2-pt dunk from 1 ft (assist by T. Snell),,2,5
9,1,10:21.0,,K. Irving makes 3-pt jump shot from 26 ft,2,8
10,1,10:02.0,Personal foul by J. Harris (drawn by T. Snell),,2,8
11,1,9:50.0,A. Drummond misses 2-pt hook shot from 6 ft,,2,8
12,1,9:49.0,Offensive rebound by A. Drummond,,2,8
13,1,9:47.0,Turnover by A. Drummond (lost ball; steal by K. Irving),,2,8
14,1,9:42.0,,Turnover by K. Irving (bad pass; steal by S. Doumbouya),2,8
15,1,9:36.0,Turnover by S. Doumbouya (bad pass),,2,8
16,1,9:36.0,,Brooklyn full timeout,2,8
17,1,9:36.0,,Instant Replay (Challenge: Ruling Stands),2,8
18,1,9:21.0,,J. Allen makes 2-pt dunk from 2 ft,2,10
19,1,9:03.0,T. Snell misses 2-pt jump shot from 8 ft,,2,10
20,1,9:00.0,Offensive rebound by A. Drummond,,2,10
21,1,8:58.0,A. Drummond makes 2-pt hook shot from 5 ft,,4,10
22,1,8:38.0,,K. Irving misses 3-pt jump shot from 25 ft,4,10
23,1,8:33.0,,Offensive rebound by K. Irving,4,10
24,1,8:32.0,,K. Irving makes 2-pt layup from 2 ft,4,12
25,1,8:24.0,D. Rose misses 2-pt hook shot from 5 ft,,4,12
26,1,8:21.0,,Defensive rebound by J. Allen,4,12
27,1,8:17.0,,Personal foul by B. Brown (drawn by K. Irving),4,12
28,1,8:10.0,,Shooting foul by A. Drummond (drawn by J. Allen),4,12
29,1,8:10.0,,J. Allen makes free throw 1 of 2,4,13
30,1,8:10.0,,J. Allen misses free throw 2 of 2,4,13
31,1,8:07.0,Defensive rebound by A. Drummond,,4,13
32,1,7:43.0,A. Drummond misses 2-pt hook shot from 5 ft,,4,13
33,1,7:41.0,,Defensive rebound by T. Prince,4,13
