,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,GOLDEN STATE_ACTION,NEW ORLEANS_SCORE,GOLDEN STATE_SCORE
0,1,11:48.0,Shooting foul by K. Looney (drawn by B. Ingram),,0,0
1,1,11:48.0,B. Ingram makes free throw 1 of 2,,1,0
2,1,11:48.0,B. Ingram makes free throw 2 of 2,,2,0
3,1,11:29.0,,A. Wiggins misses 3-pt jump shot from 26 ft,2,0
4,1,11:27.0,Defensive rebound by D. Favors,,2,0
5,1,11:17.0,L. Ball misses 3-pt jump shot from 25 ft,,2,0
6,1,11:15.0,,Defensive rebound by D. Lee,2,0
7,1,11:08.0,,D. Lee makes 2-pt dunk from 2 ft (assist by J. Poole),2,2
8,1,10:58.0,Z. Williamson misses 2-pt layup from 2 ft,,2,2
9,1,10:57.0,Offensive rebound by Z. Williamson,,2,2
10,1,10:57.0,Shooting foul by E. Paschall (drawn by Z. Williamson),,2,2
11,1,10:57.0,Z. Williamson misses free throw 1 of 2,,2,2
12,1,10:57.0,Offensive rebound by Team,,2,2
13,1,10:57.0,Z. Williamson misses free throw 2 of 2,,2,2
14,1,10:56.0,,Defensive rebound by K. Looney,2,2
15,1,10:44.0,,A. Wiggins misses 2-pt jump shot from 17 ft,2,2
16,1,10:43.0,Defensive rebound by D. Favors,,2,2
17,1,10:39.0,Turnover by J. Holiday (bad pass; steal by K. Looney),,2,2
18,1,10:28.0,,D. Lee makes 3-pt jump shot from 28 ft,2,5
19,1,10:19.0,Z. Williamson makes 2-pt layup from 3 ft (assist by L. Ball),,4,5
20,1,10:19.0,Shooting foul by E. Paschall (drawn by Z. Williamson),,4,5
21,1,10:19.0,Z. Williamson misses free throw 1 of 1,,4,5
22,1,10:18.0,,Defensive rebound by E. Paschall,4,5
23,1,10:06.0,,Turnover by J. Poole (lost ball; steal by L. Ball),4,5
24,1,10:01.0,L. Ball makes 2-pt layup from 2 ft (assist by Z. Williamson),,6,5
25,1,9:45.0,,K. Looney misses 3-pt jump shot from 23 ft,6,5
26,1,9:43.0,Defensive rebound by J. Holiday,,6,5
27,1,9:32.0,B. Ingram misses 3-pt jump shot from 26 ft,,6,5
28,1,9:30.0,,Defensive rebound by E. Paschall,6,5
29,1,9:21.0,,E. Paschall misses 2-pt layup from 2 ft,6,5
30,1,9:20.0,,Offensive rebound by K. Looney,6,5
31,1,9:16.0,,K. Looney misses 2-pt layup from 4 ft,6,5
32,1,9:15.0,Defensive rebound by D. Favors,,6,5
33,1,9:11.0,Z. Williamson makes 2-pt dunk from 1 ft (assist by J. Holiday),,8,5
34,1,8:56.0,,J. Poole makes 2-pt jump shot from 16 ft,8,7
35,1,8:46.0,B. Ingram misses 3-pt jump shot from 25 ft,,8,7
36,1,8:44.0,,Defensive rebound by K. Looney,8,7
37,1,8:35.0,,J. Poole misses 3-pt jump shot from 28 ft,8,7
38,1,8:33.0,Defensive rebound by D. Favors,,8,7
39,1,8:27.0,Z. Williamson makes 2-pt dunk from 1 ft (assist by J. Holiday),,10,7
40,1,8:20.0,,Golden State full timeout,10,7
41,1,8:20.0,,D. Bender enters the game for E. Paschall,10,7
42,1,8:10.0,,A. Wiggins misses 2-pt layup from 4 ft,10,7
43,1,8:09.0,,Offensive rebound by A. Wiggins,10,7
44,1,8:08.0,,A. Wiggins misses 2-pt layup from 3 ft (block by D. Favors),10,7
45,1,8:07.0,Defensive rebound by Team,,10,7
46,1,7:47.0,B. Ingram misses 2-pt jump shot from 13 ft (block by A. Wiggins),,10,7
