,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,HOUSTON_ACTION,SACRAMENTO_SCORE,HOUSTON_SCORE
0,1,11:44.0,,Turnover by R. Westbrook (bad pass; steal by R. Holmes),0,0
1,1,11:25.0,N. Bjelica misses 2-pt jump shot from 9 ft,,0,0
2,1,11:23.0,,Defensive rebound by C. Capela,0,0
3,1,11:14.0,,J. Harden makes 2-pt layup at rim,0,2
4,1,10:50.0,H. Barnes misses 2-pt jump shot from 11 ft,,0,2
5,1,10:48.0,,Defensive rebound by P. Tucker,0,2
6,1,10:41.0,,Shooting foul by B. Hield (drawn by C. Capela),0,2
7,1,10:41.0,,C. Capela makes free throw 1 of 2,0,3
8,1,10:41.0,,C. Capela misses free throw 2 of 2,0,3
9,1,10:41.0,Defensive rebound by N. Bjelica,,0,3
10,1,10:19.0,B. Hield misses 3-pt jump shot from 24 ft,,0,3
11,1,10:17.0,,Defensive rebound by P. Tucker,0,3
12,1,10:09.0,,J. Harden misses 3-pt jump shot from 27 ft,0,3
13,1,10:07.0,Defensive rebound by H. Barnes,,0,3
14,1,9:59.0,R. Holmes misses 2-pt hook shot from 6 ft,,0,3
15,1,9:57.0,,Defensive rebound by P. Tucker,0,3
16,1,9:52.0,,R. Westbrook makes 2-pt layup from 2 ft (assist by J. Harden),0,5
17,1,9:52.0,Sacramento full timeout,,0,5
18,1,9:36.0,N. Bjelica makes 3-pt jump shot from 28 ft (assist by C. Joseph),,3,5
19,1,9:21.0,,Turnover by J. Harden (bad pass),3,5
20,1,9:17.0,Turnover by B. Hield (out of bounds lost ball),,3,5
21,1,9:09.0,,R. Westbrook makes 2-pt layup from 1 ft,3,7
22,1,8:53.0,Shooting foul by P. Tucker (drawn by R. Holmes),,3,7
23,1,8:53.0,R. Holmes makes free throw 1 of 2,,4,7
24,1,8:53.0,R. Holmes makes free throw 2 of 2,,5,7
25,1,8:45.0,,P. Tucker misses 3-pt jump shot from 26 ft,5,7
26,1,8:44.0,Defensive rebound by R. Holmes,,5,7
27,1,8:33.0,H. Barnes makes 3-pt jump shot from 24 ft (assist by N. Bjelica),,8,7
28,1,8:20.0,,C. Capela misses 2-pt layup from 3 ft (block by R. Holmes),8,7
29,1,8:17.0,Defensive rebound by B. Hield,,8,7
30,1,8:17.0,Turnover by B. Hield (bad pass),,8,7
31,1,8:07.0,,Shooting foul by N. Bjelica (drawn by C. Capela),8,7
32,1,8:07.0,,C. Capela misses free throw 1 of 2,8,7
33,1,8:07.0,,Offensive rebound by Team,8,7
34,1,8:07.0,,C. Capela makes free throw 2 of 2,8,8
35,1,7:42.0,N. Bjelica makes 2-pt hook shot from 7 ft,,10,8
36,1,7:25.0,,R. Westbrook makes 2-pt jump shot from 19 ft,10,10
37,1,7:03.0,Personal foul by R. Westbrook (drawn by N. Bjelica),,10,10
38,1,6:56.0,B. Hield makes 3-pt jump shot from 28 ft (assist by C. Joseph),,13,10
39,1,6:38.0,,P. Tucker misses 2-pt layup from 3 ft,13,10
40,1,6:36.0,Defensive rebound by N. Bjelica,,13,10
41,1,6:26.0,B. Hield misses 3-pt jump shot from 27 ft,,13,10
42,1,6:24.0,Offensive rebound by N. Bjelica,,13,10
