,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,INDIANA_ACTION,PHILADELPHIA_SCORE,INDIANA_SCORE
0,1,11:44.0,A. Horford makes 2-pt jump shot from 16 ft (assist by M. Scott),,2,0
1,1,11:21.0,,J. Lamb misses 3-pt jump shot from 28 ft,2,0
2,1,11:18.0,Defensive rebound by M. Scott,,2,0
3,1,11:14.0,T. Harris misses 2-pt layup at rim (block by M. Turner),,2,0
4,1,11:11.0,,Defensive rebound by J. Lamb,2,0
5,1,11:06.0,,T. Warren misses 2-pt layup from 1 ft,2,0
6,1,11:03.0,Defensive rebound by J. Richardson,,2,0
7,1,10:45.0,B. Simmons misses 2-pt jump shot from 9 ft,,2,0
8,1,10:42.0,,Defensive rebound by M. Brogdon,2,0
9,1,10:20.0,,D. Sabonis misses 2-pt jump shot from 14 ft,2,0
10,1,10:18.0,Defensive rebound by A. Horford,,2,0
11,1,10:06.0,B. Simmons makes 2-pt layup at rim (assist by A. Horford),,4,0
12,1,9:54.0,,J. Lamb misses 2-pt jump shot from 18 ft,4,0
13,1,9:51.0,Defensive rebound by T. Harris,,4,0
14,1,9:44.0,M. Scott misses 3-pt jump shot from 26 ft,,4,0
15,1,9:39.0,Offensive rebound by B. Simmons,,4,0
16,1,9:39.0,B. Simmons makes 2-pt layup from 1 ft,,6,0
17,1,9:26.0,,M. Brogdon misses 2-pt jump shot from 20 ft,6,0
18,1,9:23.0,,Offensive rebound by Team,6,0
19,1,9:16.0,,J. Lamb misses 3-pt jump shot from 26 ft,6,0
20,1,9:13.0,Defensive rebound by T. Harris,,6,0
21,1,9:07.0,A. Horford misses 3-pt jump shot from 24 ft,,6,0
22,1,9:04.0,,Defensive rebound by M. Turner,6,0
23,1,8:50.0,,D. Sabonis misses 2-pt jump shot from 18 ft,6,0
24,1,8:46.0,Defensive rebound by B. Simmons,,6,0
25,1,8:35.0,T. Harris misses 3-pt jump shot from 27 ft,,6,0
26,1,8:32.0,,Defensive rebound by M. Brogdon,6,0
27,1,8:22.0,,T. Warren makes 2-pt dunk from 1 ft (assist by M. Brogdon),6,2
28,1,8:04.0,T. Harris makes 2-pt jump shot from 6 ft,,8,2
29,1,7:38.0,,D. Sabonis misses 2-pt jump shot from 22 ft,8,2
30,1,7:35.0,Defensive rebound by B. Simmons,,8,2
31,1,7:15.0,J. Richardson misses 2-pt jump shot from 11 ft (block by T. Warren),,8,2
32,1,7:12.0,Offensive rebound by A. Horford,,8,2
33,1,7:11.0,A. Horford misses 2-pt jump shot from 11 ft,,8,2
34,1,7:11.0,Offensive rebound by Team,,8,2
35,1,7:06.0,M. Scott misses 3-pt jump shot from 28 ft,,8,2
36,1,7:03.0,,Defensive rebound by J. Lamb,8,2
37,1,6:52.0,,M. Brogdon makes 3-pt jump shot from 27 ft (assist by J. Lamb),8,5
38,1,6:32.0,M. Scott makes 3-pt jump shot from 26 ft (assist by J. Richardson),,11,5
39,1,6:31.0,,Indiana full timeout,11,5
40,1,6:16.0,,M. Turner makes 2-pt jump shot from 11 ft,11,7
41,1,5:53.0,A. Horford misses 3-pt jump shot from 26 ft,,11,7
42,1,5:51.0,,Defensive rebound by D. Sabonis,11,7
43,1,5:44.0,,M. Brogdon misses 2-pt layup from 3 ft,11,7
44,1,5:43.0,,Offensive rebound by D. Sabonis,11,7
45,1,5:43.0,,Shooting foul by M. Scott (drawn by D. Sabonis),11,7
46,1,5:43.0,,D. Sabonis makes free throw 1 of 2,11,8
47,1,5:43.0,F. Korkmaz enters the game for J. Richardson,,11,8
48,1,5:43.0,M. Thybulle enters the game for M. Scott,,11,8
49,1,5:43.0,,D. Sabonis misses free throw 2 of 2,11,8
50,1,5:41.0,Defensive rebound by T. Harris,,11,8
51,1,5:29.0,T. Harris misses 3-pt jump shot from 27 ft,,11,8
52,1,5:26.0,,Defensive rebound by M. Turner,11,8
53,1,5:09.0,,T. Warren makes 2-pt jump shot from 14 ft (assist by M. Brogdon),11,10
54,1,4:47.0,M. Thybulle misses 2-pt jump shot from 16 ft,,11,10
55,1,4:44.0,,Defensive rebound by D. Sabonis,11,10
56,1,4:34.0,,M. Brogdon misses 2-pt layup from 2 ft,11,10
57,1,4:32.0,Defensive rebound by A. Horford,,11,10
58,1,4:22.0,A. Horford misses 2-pt layup from 1 ft,,11,10
59,1,4:20.0,,Defensive rebound by M. Brogdon,11,10
60,1,4:08.0,,Turnover by M. Turner (bad pass; steal by T. Harris),11,10
61,1,4:03.0,B. Simmons makes 2-pt layup at rim (assist by T. Harris),,13,10
62,1,3:49.0,,M. Brogdon misses 2-pt jump shot from 11 ft,13,10
63,1,3:47.0,Defensive rebound by T. Harris,,13,10
64,1,3:37.0,T. Harris makes 2-pt dunk from 2 ft (assist by B. Simmons),,15,10
65,1,3:22.0,,M. Turner makes 2-pt dunk from 1 ft (assist by M. Brogdon),15,12
66,1,3:00.0,B. Simmons makes 2-pt jump shot from 1 ft,,17,12
67,1,2:44.0,,J. Lamb makes 2-pt jump shot from 8 ft,17,14
68,1,2:25.0,F. Korkmaz misses 3-pt jump shot from 27 ft,,17,14
69,1,2:23.0,,Defensive rebound by T. Warren,17,14
70,1,2:10.0,,M. Brogdon misses 2-pt jump shot from 18 ft,17,14
71,1,2:08.0,Defensive rebound by T. Harris,,17,14
72,1,1:55.0,T. Harris misses 2-pt jump shot from 5 ft (block by M. Turner),,17,14
73,1,1:52.0,,Defensive rebound by D. Sabonis,17,14
74,1,1:47.0,,T. Warren makes 2-pt layup from 2 ft (assist by D. Sabonis),17,16
75,1,1:47.0,Philadelphia full timeout,,17,16
76,1,1:47.0,T. Burke enters the game for T. Harris,,17,16
77,1,1:47.0,N. Pelle enters the game for A. Horford,,17,16
78,1,1:47.0,J. Richardson enters the game for F. Korkmaz,,17,16
79,1,1:47.0,M. Scott enters the game for B. Simmons,,17,16
80,1,1:47.0,,G. Bitadze enters the game for M. Brogdon,17,16
81,1,1:47.0,,A. Holiday enters the game for J. Lamb,17,16
82,1,1:47.0,,J. Holiday enters the game for D. Sabonis,17,16
83,1,1:47.0,,T. McConnell enters the game for M. Turner,17,16
84,1,1:33.0,N. Pelle makes 2-pt jump shot from 5 ft (assist by J. Richardson),,19,16
85,1,1:15.0,,T. Warren makes 2-pt jump shot from 15 ft (assist by G. Bitadze),19,18
86,1,0:53.0,Shooting foul by J. Holiday (drawn by M. Scott),,19,18
87,1,0:53.0,M. Scott makes free throw 1 of 2,,20,18
88,1,0:53.0,,D. McDermott enters the game for T. Warren,20,18
89,1,0:53.0,M. Scott makes free throw 2 of 2,,21,18
90,1,0:41.0,,G. Bitadze makes 2-pt jump shot from 8 ft (assist by A. Holiday),21,20
91,1,0:27.0,J. Richardson makes 2-pt jump shot from 20 ft,,23,20
92,1,0:08.0,,T. McConnell makes 2-pt jump shot from 18 ft,23,22
93,1,0:01.0,J. Richardson misses 3-pt jump shot from 26 ft,,23,22
94,1,0:01.0,Offensive rebound by Team,,23,22
95,2,11:48.0,,J. Holiday makes 3-pt jump shot from 27 ft (assist by T. McConnell),23,25
96,2,11:30.0,N. Pelle misses 2-pt layup from 2 ft,,23,25
97,2,11:27.0,Offensive rebound by N. Pelle,,23,25
98,2,11:27.0,N. Pelle misses 2-pt layup from 1 ft,,23,25
99,2,11:26.0,,Defensive rebound by T. McConnell,23,25
100,2,11:20.0,,J. Holiday misses 2-pt layup from 1 ft,23,25
101,2,11:18.0,Defensive rebound by M. Scott,,23,25
102,2,11:12.0,T. Burke misses 2-pt jump shot from 10 ft,,23,25
103,2,11:09.0,Offensive rebound by N. Pelle,,23,25
104,2,11:09.0,N. Pelle misses 2-pt layup from 1 ft,,23,25
105,2,11:08.0,,Defensive rebound by D. McDermott,23,25
106,2,11:02.0,,A. Holiday misses 2-pt jump shot from 2 ft,23,25
107,2,11:00.0,Defensive rebound by M. Scott,,23,25
108,2,10:54.0,J. Richardson misses 3-pt jump shot from 27 ft,,23,25
109,2,10:49.0,,Defensive rebound by G. Bitadze,23,25
110,2,10:34.0,,D. McDermott misses 2-pt layup from 2 ft,23,25
111,2,10:31.0,,Offensive rebound by D. McDermott,23,25
112,2,10:31.0,,D. McDermott makes 2-pt layup at rim,23,27
113,2,10:22.0,F. Korkmaz misses 3-pt jump shot from 27 ft,,23,27
114,2,10:19.0,,Defensive rebound by J. Holiday,23,27
115,2,10:09.0,,Turnover by T. McConnell (dbl dribble),23,27
116,2,10:09.0,T. Harris enters the game for M. Scott,,23,27
117,2,9:58.0,T. Harris misses 2-pt layup from 3 ft (block by J. Holiday),,23,27
118,2,9:56.0,,Defensive rebound by J. Holiday,23,27
119,2,9:51.0,,G. Bitadze misses 3-pt jump shot from 27 ft,23,27
120,2,9:47.0,Defensive rebound by N. Pelle,,23,27
121,2,9:42.0,Offensive foul by T. Burke (drawn by T. McConnell),,23,27
122,2,9:42.0,Turnover by T. Burke (offensive foul),,23,27
123,2,9:42.0,B. Simmons enters the game for T. Burke,,23,27
124,2,9:33.0,,Offensive foul by G. Bitadze (drawn by B. Simmons),23,27
125,2,9:33.0,,Turnover by G. Bitadze (offensive foul),23,27
126,2,9:33.0,,D. Sabonis enters the game for G. Bitadze,23,27
127,2,9:20.0,Shooting foul by D. Sabonis (drawn by B. Simmons),,23,27
128,2,9:20.0,B. Simmons makes free throw 1 of 2,,24,27
129,2,9:20.0,B. Simmons makes free throw 2 of 2,,25,27
130,2,9:11.0,,D. Sabonis misses 3-pt jump shot from 26 ft,25,27
131,2,9:08.0,Defensive rebound by B. Simmons,,25,27
132,2,9:03.0,T. Harris makes 3-pt jump shot from 29 ft (assist by B. Simmons),,28,27
133,2,8:53.0,,D. McDermott misses 3-pt jump shot from 27 ft,28,27
