,QUARTER,TIME_REMAINING,DETROIT_ACTION,HOUSTON_ACTION,DETROIT_SCORE,HOUSTON_SCORE
0,1,11:44.0,,D. House misses 3-pt jump shot from 23 ft,0,0
1,1,11:39.0,Defensive rebound by L. Kennard,,0,0
2,1,11:27.0,B. Brown misses 2-pt layup from 3 ft (block by C. Capela),,0,0
3,1,11:25.0,,Defensive rebound by C. Capela,0,0
4,1,11:13.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),0,2
5,1,10:52.0,Shooting foul by P. Tucker (drawn by B. Brown),,0,2
6,1,10:52.0,B. Brown makes free throw 1 of 2,,1,2
7,1,10:52.0,B. Brown makes free throw 2 of 2,,2,2
8,1,10:39.0,,C. Capela makes 2-pt dunk from 1 ft (assist by P. Tucker),2,4
9,1,10:14.0,B. Griffin misses 2-pt jump shot from 16 ft,,2,4
10,1,10:12.0,,Defensive rebound by J. Harden,2,4
11,1,10:08.0,,J. Harden makes 2-pt layup at rim,2,6
12,1,9:56.0,Turnover by B. Griffin (lost ball; steal by B. McLemore),,2,6
13,1,9:48.0,,J. Harden misses 3-pt jump shot from 26 ft,2,6
14,1,9:46.0,Defensive rebound by B. Brown,,2,6
15,1,9:31.0,L. Kennard makes 3-pt jump shot from 26 ft (assist by B. Griffin),,5,6
16,1,9:17.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),5,8
17,1,8:58.0,B. Brown makes 2-pt layup from 1 ft (assist by L. Kennard),,7,8
18,1,8:34.0,,Turnover by P. Tucker (bad pass; steal by T. Snell),7,8
19,1,8:29.0,L. Kennard makes 2-pt layup from 1 ft (assist by B. Brown),,9,8
20,1,8:10.0,,D. House misses 3-pt jump shot from 23 ft,9,8
21,1,8:10.0,Defensive rebound by B. Brown,,9,8
22,1,7:51.0,Shooting foul by D. House (drawn by B. Griffin),,9,8
23,1,7:51.0,B. Griffin makes free throw 1 of 2,,10,8
24,1,7:51.0,B. Griffin makes free throw 2 of 2,,11,8
25,1,7:41.0,,Turnover by J. Harden (lost ball; steal by B. Brown),11,8
26,1,7:33.0,L. Kennard makes 3-pt jump shot from 25 ft (assist by B. Griffin),,14,8
27,1,7:20.0,,J. Harden misses 3-pt jump shot from 29 ft,14,8
28,1,7:20.0,Defensive rebound by Team,,14,8
29,1,7:20.0,Technical foul by J. Harden,,14,8
30,1,7:20.0,L. Kennard makes technical free throw,,15,8
31,1,7:10.0,B. Griffin misses 3-pt jump shot from 24 ft,,15,8
32,1,7:06.0,Offensive rebound by T. Maker,,15,8
33,1,6:58.0,B. Brown misses 2-pt layup from 2 ft,,15,8
34,1,6:56.0,,Defensive rebound by P. Tucker,15,8
35,1,6:49.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),15,10
36,1,6:42.0,B. Griffin misses 3-pt jump shot from 26 ft,,15,10
37,1,6:41.0,,Defensive rebound by Team,15,10
38,1,6:41.0,,Houston full timeout,15,10
39,1,6:41.0,,A. Rivers enters the game for D. House,15,10
40,1,6:29.0,,J. Harden misses 2-pt jump shot from 2 ft,15,10
41,1,6:27.0,Defensive rebound by B. Brown,,15,10
42,1,6:25.0,L. Kennard makes 3-pt jump shot from 26 ft (assist by B. Brown),,18,10
43,1,6:08.0,,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),18,12
44,1,6:08.0,,Shooting foul by T. Maker (drawn by C. Capela),18,12
45,1,6:08.0,D. Rose enters the game for B. Brown,,18,12
46,1,6:08.0,,G. Clark enters the game for P. Tucker,18,12
47,1,6:08.0,,C. Capela misses free throw 1 of 1,18,12
48,1,6:08.0,Defensive rebound by B. Griffin,,18,12
49,1,5:43.0,D. Rose makes 2-pt jump shot from 8 ft,,20,12
50,1,5:35.0,,Shooting foul by T. Maker (drawn by B. McLemore),20,12
51,1,5:35.0,,B. McLemore makes free throw 1 of 2,20,13
52,1,5:35.0,C. Wood enters the game for T. Maker,,20,13
53,1,5:35.0,,B. McLemore makes free throw 2 of 2,20,14
54,1,5:18.0,C. Wood misses 3-pt jump shot from 24 ft,,20,14
55,1,5:15.0,,Defensive rebound by C. Capela,20,14
56,1,5:08.0,,J. Harden misses 3-pt jump shot from 26 ft,20,14
57,1,5:06.0,Defensive rebound by C. Wood,,20,14
58,1,5:00.0,T. Snell makes 3-pt jump shot from 27 ft,,23,14
59,1,4:42.0,,A. Rivers makes 2-pt layup from 1 ft (assist by J. Harden),23,16
60,1,4:30.0,L. Kennard misses 3-pt jump shot from 25 ft,,23,16
61,1,4:28.0,,Defensive rebound by C. Capela,23,16
62,1,4:13.0,,J. Harden makes 3-pt jump shot from 25 ft,23,19
63,1,3:50.0,D. Rose misses 3-pt jump shot from 26 ft,,23,19
64,1,3:49.0,,Defensive rebound by A. Rivers,23,19
65,1,3:32.0,,B. McLemore misses 3-pt jump shot from 25 ft,23,19
66,1,3:30.0,,Offensive rebound by G. Clark,23,19
67,1,3:24.0,,B. McLemore makes 2-pt layup from 1 ft (assist by A. Rivers),23,21
68,1,3:07.0,L. Kennard misses 3-pt jump shot from 23 ft,,23,21
69,1,3:05.0,,Defensive rebound by J. Harden,23,21
70,1,3:01.0,,Personal foul by L. Kennard (drawn by C. Capela),23,21
71,1,3:01.0,,C. Clemons enters the game for B. McLemore,23,21
72,1,2:55.0,,C. Clemons makes 3-pt jump shot from 25 ft (assist by G. Clark),23,24
73,1,2:42.0,Turnover by D. Rose (step out of bounds),,23,24
74,1,2:42.0,Detroit full timeout,,23,24
75,1,2:42.0,L. Galloway enters the game for B. Griffin,,23,24
76,1,2:42.0,M. Morris enters the game for L. Kennard,,23,24
77,1,2:42.0,,P. Tucker enters the game for C. Capela,23,24
78,1,2:27.0,,A. Rivers makes 2-pt jump shot from 6 ft,23,26
79,1,2:10.0,D. Rose makes 2-pt jump shot from 4 ft,,25,26
80,1,2:03.0,,A. Rivers misses 3-pt jump shot from 26 ft,25,26
81,1,2:00.0,Defensive rebound by M. Morris,,25,26
82,1,1:54.0,T. Snell misses 3-pt jump shot from 24 ft,,25,26
83,1,1:52.0,,Defensive rebound by Team,25,26
84,1,1:35.0,,G. Clark misses 3-pt jump shot from 26 ft,25,26
85,1,1:33.0,,Offensive rebound by J. Harden,25,26
86,1,1:23.0,,J. Harden misses 2-pt jump shot from 5 ft,25,26
87,1,1:22.0,,Offensive rebound by J. Harden,25,26
88,1,1:21.0,,C. Clemons makes 3-pt jump shot from 27 ft (assist by J. Harden),25,29
89,1,1:06.0,M. Morris misses 2-pt jump shot from 10 ft (block by C. Clemons),,25,29
90,1,1:04.0,Offensive rebound by C. Wood,,25,29
91,1,1:03.0,C. Wood makes 2-pt layup from 1 ft,,27,29
92,1,0:55.0,,P. Tucker misses 3-pt jump shot from 26 ft,27,29
93,1,0:52.0,Defensive rebound by L. Galloway,,27,29
94,1,0:44.0,T. Snell makes 3-pt jump shot from 23 ft (assist by D. Rose),,30,29
95,1,0:26.0,,J. Harden makes 3-pt jump shot from 27 ft,30,32
96,1,0:06.0,T. Snell misses 3-pt jump shot from 23 ft,,30,32
97,1,0:05.0,,Defensive rebound by Team,30,32
98,1,0:05.0,B. Brown enters the game for T. Snell,,30,32
99,1,0:03.0,,Personal take foul by B. Brown (drawn by J. Harden),30,32
100,1,0:00.0,,J. Harden misses 2-pt layup from 1 ft,30,32
101,1,0:00.0,,Offensive rebound by Team,30,32
102,2,11:46.0,M. Morris makes 2-pt jump shot from 5 ft (assist by D. Rose),,32,32
103,2,11:32.0,,C. Clemons makes 3-pt jump shot from 23 ft (assist by A. Rivers),32,35
104,2,11:22.0,D. Rose makes 2-pt layup from 1 ft,,34,35
105,2,11:04.0,,D. House misses 2-pt jump shot from 18 ft,34,35
106,2,11:02.0,Defensive rebound by C. Wood,,34,35
107,2,10:57.0,L. Galloway makes 3-pt jump shot from 24 ft (assist by D. Rose),,37,35
108,2,10:39.0,,C. Clemons misses 3-pt jump shot from 26 ft,37,35
109,2,10:39.0,Defensive rebound by C. Wood,,37,35
110,2,10:24.0,S. Mykhailiuk misses 3-pt jump shot from 26 ft,,37,35
111,2,10:21.0,,Defensive rebound by C. Clemons,37,35
112,2,10:17.0,,P. Tucker misses 3-pt jump shot from 23 ft,37,35
113,2,10:14.0,Defensive rebound by M. Morris,,37,35
114,2,10:10.0,Personal foul by C. Clemons (drawn by S. Mykhailiuk),,37,35
115,2,10:10.0,,C. Capela enters the game for G. Clark,37,35
116,2,10:02.0,D. Rose misses 3-pt jump shot from 25 ft,,37,35
117,2,10:00.0,,Defensive rebound by C. Capela,37,35
118,2,9:47.0,,A. Rivers misses 2-pt jump shot from 15 ft,37,35
119,2,9:46.0,Defensive rebound by C. Wood,,37,35
120,2,9:42.0,S. Mykhailiuk misses 3-pt jump shot from 26 ft,,37,35
121,2,9:42.0,,Defensive rebound by D. House,37,35
122,2,9:27.0,,Turnover by C. Clemons (bad pass; steal by M. Morris),37,35
123,2,9:23.0,L. Galloway makes 2-pt layup from 1 ft (assist by M. Morris),,39,35
124,2,9:04.0,,A. Rivers misses 2-pt jump shot from 8 ft,39,35
125,2,9:03.0,Defensive rebound by C. Wood,,39,35
126,2,8:57.0,M. Morris makes 3-pt jump shot from 23 ft (assist by C. Wood),,42,35
127,2,8:54.0,,Houston full timeout,42,35
128,2,8:43.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by A. Rivers),42,38
129,2,8:25.0,D. Rose makes 2-pt jump shot from 20 ft,,44,38
130,2,8:15.0,,C. Clemons misses 3-pt jump shot from 27 ft,44,38
131,2,8:14.0,,Offensive rebound by C. Capela,44,38
132,2,7:59.0,,A. Rivers makes 2-pt jump shot from 21 ft,44,40
133,2,7:38.0,S. Mykhailiuk misses 3-pt jump shot from 26 ft,,44,40
134,2,7:36.0,,Defensive rebound by A. Rivers,44,40
135,2,7:30.0,,A. Rivers misses 2-pt layup from 1 ft,44,40
136,2,7:27.0,,Offensive rebound by C. Capela,44,40
137,2,7:26.0,,C. Capela misses 2-pt hook shot from 5 ft,44,40
138,2,7:26.0,Defensive rebound by Team,,44,40
139,2,7:10.0,L. Galloway misses 3-pt jump shot from 27 ft,,44,40
140,2,7:08.0,,Defensive rebound by P. Tucker,44,40
141,2,7:02.0,,D. House makes 2-pt jump shot from 7 ft (assist by A. Rivers),44,42
142,2,7:02.0,,Shooting foul by S. Mykhailiuk (drawn by D. House),44,42
143,2,7:02.0,B. Brown enters the game for S. Mykhailiuk,,44,42
144,2,7:02.0,L. Kennard enters the game for D. Rose,,44,42
145,2,7:02.0,,J. Harden enters the game for C. Clemons,44,42
146,2,7:02.0,,B. McLemore enters the game for A. Rivers,44,42
147,2,7:02.0,,D. House misses free throw 1 of 1,44,42
148,2,7:02.0,Defensive rebound by C. Wood,,44,42
149,2,6:49.0,L. Galloway makes 2-pt jump shot from 11 ft (assist by B. Brown),,46,42
150,2,6:34.0,,C. Capela makes 2-pt hook shot from 6 ft (assist by J. Harden),46,44
151,2,6:20.0,L. Galloway makes 3-pt jump shot from 24 ft (assist by M. Morris),,49,44
152,2,6:02.0,,Turnover by J. Harden (bad pass),49,44
153,2,6:02.0,B. Griffin enters the game for M. Morris,,49,44
154,2,6:02.0,T. Maker enters the game for C. Wood,,49,44
155,2,5:43.0,L. Galloway misses 3-pt jump shot from 27 ft,,49,44
156,2,5:42.0,,Defensive rebound by C. Capela,49,44
157,2,5:21.0,,D. House misses 2-pt jump shot from 7 ft,49,44
158,2,5:21.0,Defensive rebound by T. Maker,,49,44
159,2,5:08.0,B. Griffin misses 2-pt layup from 2 ft,,49,44
160,2,5:07.0,,Defensive rebound by C. Capela,49,44
161,2,4:59.0,,J. Harden makes 2-pt layup from 1 ft,49,46
162,2,4:36.0,L. Kennard misses 2-pt jump shot from 14 ft,,49,46
163,2,4:35.0,,Defensive rebound by C. Capela,49,46
164,2,4:28.0,,D. House misses 2-pt layup from 2 ft,49,46
165,2,4:27.0,Defensive rebound by T. Maker,,49,46
166,2,4:09.0,L. Kennard makes 3-pt jump shot from 26 ft (assist by B. Brown),,52,46
167,2,3:53.0,,J. Harden makes 2-pt jump shot at rim,52,48
168,2,3:42.0,Personal foul by J. Harden (drawn by L. Kennard),,52,48
169,2,3:42.0,,G. Clark enters the game for C. Capela,52,48
170,2,3:37.0,B. Griffin misses 2-pt layup from 1 ft,,52,48
171,2,3:36.0,Offensive rebound by B. Griffin,,52,48
172,2,3:36.0,B. Griffin misses 2-pt layup from 2 ft (block by G. Clark),,52,48
173,2,3:34.0,Offensive rebound by Team,,52,48
174,2,3:34.0,Personal foul by P. Tucker (drawn by B. Griffin),,52,48
175,2,3:21.0,T. Maker makes 2-pt dunk from 2 ft (assist by L. Kennard),,54,48
176,2,2:57.0,,G. Clark misses 3-pt jump shot from 28 ft,54,48
177,2,2:57.0,Defensive rebound by L. Kennard,,54,48
178,2,2:47.0,Shooting foul by G. Clark (drawn by B. Brown),,54,48
179,2,2:47.0,Detroit full timeout,,54,48
180,2,2:47.0,T. Snell enters the game for L. Galloway,,54,48
181,2,2:47.0,,C. Capela enters the game for G. Clark,54,48
182,2,2:47.0,B. Brown misses free throw 1 of 2,,54,48
183,2,2:47.0,Offensive rebound by Team,,54,48
184,2,2:47.0,B. Brown makes free throw 2 of 2,,55,48
185,2,2:25.0,,J. Harden makes 2-pt jump shot from 4 ft (assist by P. Tucker),55,50
